Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,14,-0.2440,30,0.91448,22,0.45715,6,-1.4546,8,-1.1097,19,0.20002,21,0.33484,11,-0.6162,16,-0.0999
ENSG00000188976,NOC2L,52,0.45150,54,0.51035,65,0.99453,17,-1.2535,19,-1.1153,30,-0.4222,40,0.02129,25,-0.6929,25,-0.7139
ENSG00000188290,HES4,50,-0.4248,49,-0.4606,115,1.09806,26,-1.3969,36,-0.9360,49,-0.4720,79,0.28619,6,-3.5308,133,1.18668
ENSG00000187608,ISG15,38,-0.4385,35,-0.5644,50,-0.0177,35,-0.5625,32,-0.7016,40,-0.3567,31,-0.7681,58,0.23470,134,1.70313
ENSG00000078808,SDF4,49,-0.7389,83,0.08638,88,0.20771,60,-0.4309,81,0.05207,71,-0.1551,65,-0.3022,91,0.23867,110,0.54252
ENSG00000176022,B3GALT6,21,-0.3636,66,1.50758,39,0.66694,15,-0.8710,16,-0.8264,9,-1.6625,24,-0.1738,22,-0.3514,21,-0.4262
ENSG00000160087,UBE2J2,38,0.21504,43,0.40915,37,0.16538,25,-0.4685,28,-0.2489,26,-0.3578,25,-0.4511,44,0.45175,30,-0.1415
ENSG00000131584,ACAP3,15,-0.7469,21,-0.2730,35,0.66373,44,0.96128,7,-1.8097,19,-0.3640,22,-0.1583,19,-0.4344,28,0.23201
ENSG00000127054,INTS11,31,-0.6535,60,0.37955,54,0.24421,47,0.00809,31,-0.6337,35,-0.4837,49,0.04537,53,0.17279,59,0.35140
ENSG00000224051,CPTP,34,0.61255,11,-1.0939,31,0.50416,20,-0.2700,19,-0.2957,30,0.36673,25,0.11283,17,-0.4698,16,-0.5768
ENSG00000107404,DVL1,31,-0.3942,31,-0.4189,36,-0.1891,61,0.68131,30,-0.4830,28,-0.5843,49,0.31640,62,0.69725,39,-0.0420
ENSG00000175756,AURKAIP1,123,-0.0658,115,-0.1805,172,0.54743,82,-0.7044,116,-0.1573,103,-0.3475,177,0.52413,107,-0.2887,117,-0.1459
ENSG00000221978,CCNL2,33,-0.5848,57,0.29475,50,0.10534,41,-0.2230,17,-1.5238,32,-0.6038,33,-0.5799,77,0.79007,84,0.94813
ENSG00000242485,MRPL20,233,0.27351,226,0.22178,221,0.20677,164,-0.2883,176,-0.1811,130,-0.6569,205,0.06674,208,0.08968,186,-0.0901
ENSG00000179403,VWA1,4,-3.7237,10,-2.5903,18,-1.8897,293,3.14095,43,-0.4938,48,-0.3264,22,-1.4661,45,-0.4038,85,0.60654
ENSG00000205090,TMEM240,9,-0.8787,8,-1.1091,21,0.39916,9,-1.0048,14,-0.2537,24,0.54967,34,1.16797,12,-0.4938,16,-0.0723
ENSG00000160075,SSU72,150,-0.0372,213,0.52793,179,0.28150,104,-0.6215,97,-0.7154,105,-0.6004,168,0.13705,203,0.44602,141,-0.1364
ENSG00000228594,FNDC10,79,0.86401,54,0.23284,85,1.17962,19,-1.4010,22,-1.1297,21,-1.2488,45,-0.0624,15,-1.7371,43,-0.1166
ENSG00000272106,AL691432.2,7,-1.1313,11,-0.4802,10,-0.7156,23,0.67453,9,-0.8111,10,-0.5964,23,0.69079,28,0.98546,21,0.48763
ENSG00000197530,MIB2,11,-1.4154,21,-0.4413,30,0.15682,35,0.37824,22,-0.3857,19,-0.6066,27,-0.0548,30,0.12457,53,1.07013
ENSG00000189339,SLC35E2B,9,-0.6213,12,-0.2258,12,-0.2488,13,-0.0708,9,-0.6446,17,0.27947,20,0.54055,12,-0.2006,23,0.81906
ENSG00000008128,CDK11A,2,-2.1833,9,-0.4092,10,-0.2271,16,0.54606,17,0.57968,16,0.54290,11,-0.1333,12,0.07993,12,0.07106
ENSG00000215790,SLC35E2A,3,-2.5131,11,-0.6300,24,0.67243,12,-0.4684,10,-0.7839,10,-0.7121,24,0.60086,28,0.82393,20,0.32202
ENSG00000008130,NADK,27,0.21015,18,-0.3662,24,0.02101,13,-0.9157,18,-0.4071,18,-0.3882,20,-0.2112,42,0.97645,30,0.37891
ENSG00000078369,GNB1,366,0.11413,416,0.32610,416,0.37267,292,-0.2447,272,-0.3581,261,-0.4181,328,-0.0593,248,-0.4977,389,0.21552
