Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188976,NOC2L,83,0.79059,0,-5.9921,72,0.54002,68,0.53077,57,0.18738,44,-0.2456,27,-0.9702,37,-0.5252
ENSG00000188290,HES4,83,0.18075,58,-0.3981,137,1.01824,91,0.36573,101,0.56882,25,-1.6477,40,-0.9679,18,-2.1440
ENSG00000187608,ISG15,83,0.71952,21,-1.4257,167,2.00490,27,-1.1178,68,0.43416,12,-2.2075,30,-0.9017,33,-0.7544
ENSG00000078808,SDF4,83,-0.0600,151,0.92224,103,0.28327,71,-0.3386,86,-0.0104,98,0.19358,44,-1.0278,71,-0.3090
ENSG00000176022,B3GALT6,83,1.36852,0,-6.4561,96,1.62792,46,0.41532,20,-1.0539,3,-3.3779,13,-1.5820,43,0.24431
ENSG00000160087,UBE2J2,83,1.23507,37,-0.1065,53,0.47135,22,-1.0143,52,0.50137,27,-0.5907,31,-0.3799,18,-1.1797
ENSG00000131584,ACAP3,83,1.39216,0,-6.4376,39,0.10801,38,0.08719,28,-0.4395,64,0.91411,18,-1.0466,28,-0.4273
ENSG00000127054,INTS11,83,0.65686,92,0.82019,49,-0.1938,55,-0.0319,71,0.44562,34,-0.7859,23,-1.3369,25,-1.2295
ENSG00000107404,DVL1,83,0.55459,131,1.33875,90,0.68165,36,-0.8361,51,-0.2619,63,0.08826,26,-1.2418,25,-1.2996
ENSG00000175756,AURKAIP1,83,-0.6946,139,0.11266,146,0.18698,163,0.41459,143,0.17818,119,-0.1443,98,-0.4459,103,-0.3729
ENSG00000221978,CCNL2,83,0.68945,155,1.82086,67,0.33980,36,-0.7295,40,-0.5504,24,-1.2598,32,-0.8313,34,-0.7267
ENSG00000242485,MRPL20,83,-0.8717,150,0.04473,99,-0.6109,198,0.57153,101,-0.6421,199,0.50336,158,0.13195,173,0.27547
ENSG00000179403,VWA1,83,0.70327,39,-0.5252,75,0.52330,8,-3.0485,15,-2.0928,227,2.67605,24,-1.2595,50,-0.1134
ENSG00000160075,SSU72,83,-0.7809,126,-0.1323,187,0.50087,166,0.34786,197,0.68105,78,-0.8807,89,-0.6820,85,-0.7452
ENSG00000228594,FNDC10,83,0.68435,0,-7.0139,13,-2.1664,103,1.25149,94,1.05202,14,-2.0585,29,-0.9777,16,-1.8661
ENSG00000197530,MIB2,83,1.41594,97,1.70414,0,-5.8817,21,-0.8809,24,-0.7178,42,0.22673,24,-0.6339,25,-0.5556
ENSG00000008130,NADK,83,1.13291,117,1.76983,19,-1.2291,31,-0.5300,31,-0.5130,48,0.20177,14,-1.6246,16,-1.4418
ENSG00000078369,GNB1,688,0.91080,318,-0.3553,420,0.08495,450,0.22584,392,-0.0279,354,-0.1887,253,-0.7076,263,-0.6483
ENSG00000067606,PRKCZ,83,-0.6715,72,-0.8911,108,-0.2713,205,0.91205,158,0.38947,117,-0.1368,89,-0.5746,84,-0.6497
ENSG00000162585,FAAP20,891,3.94770,104,-0.4784,89,-0.7192,44,-1.9094,56,-1.5231,58,-1.3715,35,-2.1144,32,-2.2582
ENSG00000157933,SKI,83,1.42144,90,1.57367,33,-0.1595,12,-1.7279,10,-2.0718,43,0.29999,29,-0.3512,38,0.07649
ENSG00000157916,RER1,83,0.20944,127,0.91563,113,0.71524,77,0.10477,62,-0.2870,48,-0.6634,34,-1.1817,47,-0.6901
