Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000188976,NOC2L,41,-0.5714,112,1.44164,32,-0.9327,59,0.01971,45,-0.4238,34,-0.9779
ENSG00000188290,HES4,127,0.60387,148,1.09025,62,-0.5788,66,-0.4955,18,-2.4712,72,-0.3961
ENSG00000187608,ISG15,237,1.66240,82,-0.2668,21,-2.2711,89,-0.1027,96,0.01578,76,-0.4213
ENSG00000078808,SDF4,174,0.69033,132,0.25656,57,-1.1301,53,-1.2406,185,0.79239,98,-0.3157
ENSG00000176022,B3GALT6,5,-2.3552,52,1.61619,7,-2.0250,30,0.26842,24,-0.0967,17,-0.7142
ENSG00000160087,UBE2J2,5,-3.0977,53,0.44452,30,-0.5475,36,-0.2574,88,1.27582,37,-0.2517
ENSG00000131584,ACAP3,5,-2.8609,44,0.38120,28,-0.3904,56,0.76005,37,0.03878,37,0.05295
ENSG00000127054,INTS11,5,-3.2889,71,0.78749,50,0.05998,38,-0.3825,80,0.85214,36,-0.5354
ENSG00000224051,CPTP,82,1.54791,36,0.11780,20,-0.8796,15,-1.2576,30,-0.1993,27,-0.4090
ENSG00000107404,DVL1,5,-3.2949,58,0.35088,28,-0.8677,65,0.48846,66,0.50264,54,0.21851
ENSG00000175756,AURKAIP1,124,-0.3227,150,-0.0102,97,-0.7071,115,-0.4440,274,1.03712,149,-0.0260
ENSG00000221978,CCNL2,5,-3.1570,39,-0.2467,17,-1.5079,42,-0.0978,137,2.12700,38,-0.2826
ENSG00000242485,MRPL20,73,-1.0363,162,0.28675,63,-1.2642,54,-1.4815,246,0.97630,180,0.50812
ENSG00000179403,VWA1,118,1.32554,3,-4.3962,68,0.32599,60,0.11717,46,-0.3118,74,0.57322
ENSG00000160075,SSU72,83,-1.1615,246,0.72026,115,-0.6651,151,-0.2308,275,0.78661,136,-0.4458
ENSG00000228594,FNDC10,126,0.98252,137,1.44611,18,-2.0782,77,0.11657,2,-5.0392,38,-1.1227
ENSG00000197530,MIB2,5,-3.0981,43,0.00202,10,-2.1871,57,0.48368,86,1.24515,48,0.24694
ENSG00000008130,NADK,99,1.78370,31,-0.3183,16,-1.2938,21,-0.8890,66,0.98376,16,-1.3962
ENSG00000078369,GNB1,230,-0.4575,439,0.75516,187,-0.7808,223,-0.5055,345,0.20305,288,-0.1073
ENSG00000067606,PRKCZ,5,-4.6853,240,1.42119,67,-1.0199,191,0.69364,131,0.05093,71,-1.0289
ENSG00000162585,FAAP20,6,-3.4476,64,0.18594,44,-0.4619,37,-0.7039,118,1.24934,66,0.25108
ENSG00000157916,RER1,5,-3.8289,87,0.42029,36,-1.0555,37,-1.0159,162,1.49595,74,0.10639
ENSG00000157911,PEX10,65,0.69406,37,-0.2665,38,-0.1853,38,-0.1982,33,-0.4114,47,0.19335
ENSG00000197921,HES5,5,-2.4592,25,-0.1646,12,-1.2345,21,-0.4336,11,-1.4140,60,1.82614
ENSG00000157870,PRXL2B,5,-3.6932,106,1.08050,26,-1.4322,79,0.34373,56,-0.2260,68,0.09851
ENSG00000158109,TPRG1L,64,-1.2376,266,1.41851,50,-1.6255,122,-0.2373,168,0.29847,96,-0.7034
ENSG00000130764,LRRC47,5,-3.6513,117,1.40770,41,-0.6742,56,-0.1588,52,-0.2966,55,-0.2440
ENSG00000069424,KCNAB2,95,0.19496,157,1.36902,35,-1.3608,104,0.34925,64,-0.4499,32,-1.6590
ENSG00000116254,CHD5,5,-3.8588,116,1.01811,39,-0.9668,171,1.55717,25,-1.6143,51,-0.6166
ENSG00000116251,RPL22,827,0.83801,201,-1.6019,534,0.08181,141,-1.9882,631,0.36428,765,0.85546
ENSG00000116237,ICMT,5,-2.7231,48,0.77955,14,-1.2910,28,-0.2560,46,0.56649,37,0.20990
ENSG00000097021,ACOT7,5,-5.9162,848,2.87673,96,-1.7706,308,0.05317,66,-2.3094,108,-1.7466
ENSG00000162413,KLHL21,5,-3.3011,63,0.51795,20,-1.3872,56,0.22301,89,1.02760,47,-0.0592
ENSG00000007923,DNAJC11,5,-2.6578,62,1.52139,18,-0.9112,21,-0.6706,42,0.46527,21,-0.6904
ENSG00000171735,CAMTA1,198,-0.0770,212,0.03701,185,-0.1927,282,0.51682,166,-0.3600,203,-0.0394
ENSG00000049245,VAMP3,104,1.27660,26,-1.1681,69,0.51747,30,-0.8373,29,-0.8636,60,0.34268
ENSG00000049246,PER3,5,-2.8429,5,-3.2004,10,-1.9486,25,-0.5749,73,1.25926,82,1.97669
ENSG00000116288,PARK7,502,0.59824,356,0.02003,200,-0.9042,105,-1.8797,449,0.40450,427,0.37813
