Tested Domain	Other Domain	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NOC2L	0.769	-0.094	0.618	-0.499	ENSG00000188976
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HES4	0.064	-0.42	0.01	-2.585	ENSG00000188290
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ISG15	0.517	-0.186	0.31	-1.016	ENSG00000187608
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SDF4	0.479	-0.158	0.27	-1.104	ENSG00000078808
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE2J2	0.755	-0.098	0.6	-0.525	ENSG00000160087
ACHE_SERT_LC_WM	ACHE_SERT_Npep	INTS11	0.612	-0.139	0.415	-0.816	ENSG00000127054
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DVL1	0.328	-0.267	0.139	-1.482	ENSG00000107404
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AURKAIP1	0.411	-0.149	0.206	-1.265	ENSG00000175756
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCNL2	0.687	-0.117	0.506	-0.665	ENSG00000221978
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPL20	0.424	-0.134	0.216	-1.238	ENSG00000242485
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VWA1	0.126	0.362	0.029	2.193	ENSG00000179403
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SSU72	0.328	-0.164	0.139	-1.481	ENSG00000160075
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FNDC10	0.754	-0.096	0.599	-0.526	ENSG00000228594
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GNB1	0.05	-0.189	0.007	-2.702	ENSG00000078369
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRKCZ	0.69	-0.071	0.51	-0.66	ENSG00000067606
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAAP20	0.533	-0.153	0.329	-0.977	ENSG00000162585
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RER1	0.151	-0.311	0.038	-2.08	ENSG00000157916
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRXL2B	0.923	-0.032	0.855	-0.183	ENSG00000157870
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TPRG1L	0.438	-0.182	0.231	-1.2	ENSG00000158109
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LRRC47	0.365	-0.222	0.169	-1.376	ENSG00000130764
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KCNAB2	0.487	-0.171	0.279	-1.082	ENSG00000069424
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CHD5	0.559	0.148	0.357	0.922	ENSG00000116254
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPL22	0.568	0.063	0.369	0.899	ENSG00000116251
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACOT7	0.343	-0.173	0.153	-1.432	ENSG00000097021
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CAMTA1	0.322	0.144	0.134	1.501	ENSG00000171735
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VAMP3	0.916	-0.03	0.846	-0.194	ENSG00000049245
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PARK7	0.075	-0.205	0.012	-2.508	ENSG00000116288
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RERE	0.88	-0.039	0.785	-0.273	ENSG00000142599
