Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000188976,NOC2L,40,-0.2596,17,-1.5284,130,1.78603,62,0.52320,29,-0.9106,35,-0.4914
ENSG00000188290,HES4,25,-1.6317,5,-3.8910,214,1.91550,86,0.33055,66,-0.1885,54,-0.5011
ENSG00000187608,ISG15,25,-1.0086,58,0.33119,109,1.41705,21,-1.3273,57,0.37293,35,-0.5173
ENSG00000078808,SDF4,286,1.57837,148,0.40956,114,-0.0149,101,-0.2159,83,-0.6282,74,-0.7555
ENSG00000176022,B3GALT6,25,-0.2201,14,-1.0419,63,1.33568,40,0.61983,18,-0.8756,25,-0.2289
ENSG00000160087,UBE2J2,68,0.67189,51,0.20682,19,-1.2954,46,0.05586,53,0.36211,29,-0.7275
ENSG00000131584,ACAP3,25,-0.3314,10,-1.7074,10,-1.7279,49,0.92397,40,0.56497,22,-0.5742
ENSG00000127054,INTS11,25,-1.2473,67,0.30212,82,0.62386,56,0.02126,62,0.23714,42,-0.4953
ENSG00000107404,DVL1,25,-0.8221,55,0.43448,25,-0.8097,39,-0.1474,46,0.18506,50,0.32872
ENSG00000175756,AURKAIP1,60,-1.4621,169,0.12895,102,-0.6681,145,-0.1257,206,0.61066,160,0.04967
ENSG00000221978,CCNL2,25,-0.9435,84,1.02023,63,0.53499,47,0.07230,36,-0.4321,39,-0.2510
ENSG00000242485,MRPL20,881,2.37705,203,-0.2645,161,-0.6278,181,-0.4908,174,-0.6223,136,-0.9655
ENSG00000179403,VWA1,25,-0.3769,44,0.52993,0,-5.3982,11,-1.6695,57,1.44631,26,-0.3007
ENSG00000160075,SSU72,25,-2.6009,226,0.79911,125,-0.1683,157,0.21714,144,0.07153,135,-0.0515
ENSG00000228594,FNDC10,25,-1.4037,10,-2.6660,150,1.51917,95,0.81340,46,-0.5837,53,-0.2537
ENSG00000197530,MIB2,187,2.53403,63,0.45515,15,-1.7401,35,-0.5417,33,-0.7009,21,-1.3580
ENSG00000078369,GNB1,93,-1.9364,305,-0.1337,325,-0.0333,472,0.67008,380,0.28809,255,-0.4602
