gene_id	rn	source	type	gene_version	gene_name	gene_type	gene_search	chr	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000165795	ENSG00000165795	HAVANA	gene	23	NDRG2	protein_coding	NDRG2; ENSG00000165795	chr14	-0.892127418823632	9.0397342225291	-18.7934840000946	8.63994458675334e-42	5.82073066809573e-38	84.5446245019199
ENSG00000107317	ENSG00000107317	HAVANA	gene	13	PTGDS	protein_coding	PTGDS; ENSG00000107317	chr9	-0.873856549830233	9.29658985945696	-17.7673751038062	3.68391612159718e-38	1.24092714556001e-34	76.2477186629542
ENSG00000112531	ENSG00000112531	HAVANA	gene	17	QKI	protein_coding	QKI; ENSG00000112531	chr6	-0.940036744405583	7.58276723549094	-16.0980927721399	1.16988746278424e-36	2.6271772789258e-33	72.7271692173637
ENSG00000166925	ENSG00000166925	HAVANA	gene	9	TSC22D4	protein_coding	TSC22D4; ENSG00000166925	chr7	-0.893461609816734	7.17588859447767	-15.6073289610959	2.12837495778762e-35	3.5847155226538e-32	69.8265254557845
ENSG00000167614	ENSG00000167614	HAVANA	gene	14	TTYH1	protein_coding	TTYH1; ENSG00000167614	chr19	-0.89057089254256	7.488825937784	-15.5143522094524	3.96859954909575e-35	5.34729103245161e-32	69.234503550953
ENSG00000125462	ENSG00000125462	HAVANA	gene	18	C1orf61	protein_coding	C1orf61; ENSG00000125462	chr1	-0.882475307578567	8.74134036776759	-16.2861934012554	9.20261618417846e-35	1.03330042054684e-31	68.478673731453
ENSG00000046653	ENSG00000046653	HAVANA	gene	15	GPM6B	protein_coding	GPM6B; ENSG00000046653	chrX	-0.672606427413453	8.45450430525156	-15.1194246561522	5.63064073888192e-34	5.41908952254964e-31	66.5984321245838
ENSG00000064393	ENSG00000064393	HAVANA	gene	16	HIPK2	protein_coding	HIPK2; ENSG00000064393	chr7	-0.856163190561993	6.83704766831713	-14.9941792649773	1.30819591063233e-33	1.10166448124125e-30	65.726624374075
ENSG00000159176	ENSG00000159176	HAVANA	gene	14	CSRP1	protein_coding	CSRP1; ENSG00000159176	chr1	-0.697381764724872	7.32861027016534	-14.3527877362545	9.92137750617243e-32	7.42670225100929e-29	61.4853285850946
ENSG00000164106	ENSG00000164106	HAVANA	gene	8	SCRG1	protein_coding	SCRG1; ENSG00000164106	chr4	-1.15060871498103	5.86617362467714	-14.2535047800267	1.94172777897193e-31	1.30814200469339e-28	60.627598861632
ENSG00000147588	ENSG00000147588	HAVANA	gene	7	PMP2	protein_coding	PMP2; ENSG00000147588	chr8	-0.977425423096252	7.66145536269124	-14.7964051737066	3.8390844163523e-31	2.35126470117868e-28	60.2157810387673
ENSG00000197971	ENSG00000197971	HAVANA	gene	15	MBP	protein_coding	MBP; ENSG00000197971	chr18	-0.896901297226602	10.8779675808661	-14.869237311267	2.55993268248238e-30	1.43718887349032e-27	58.0552067013209
ENSG00000101439	ENSG00000101439	HAVANA	gene	9	CST3	protein_coding	CST3; ENSG00000101439	chr20	-0.749417647496172	9.78456556444195	-14.4925485698921	1.78727780453306e-29	9.26222351472249e-27	56.2737551070595
ENSG00000100234	ENSG00000100234	HAVANA	gene	11	TIMP3	protein_coding	TIMP3; ENSG00000100234	chr22	-0.968070419493237	6.22154812751409	-13.4093538109367	5.91024123678178e-29	2.84409251515706e-26	55.0855668512996
ENSG00000168710	ENSG00000168710	HAVANA	gene	18	AHCYL1	protein_coding	AHCYL1; ENSG00000168710	chr1	-0.726514012906616	7.49769850900309	-13.3169601484134	1.10568691143715e-28	4.96600848156806e-26	54.5426801955224
ENSG00000172247	ENSG00000172247	HAVANA	gene	4	C1QTNF4	protein_coding	C1QTNF4; ENSG00000172247	chr11	-0.951561673235488	6.2512385939385	-13.1873155793431	2.66271992418316e-28	1.12117150807637e-25	53.642695104673
ENSG00000130203	ENSG00000130203	HAVANA	gene	10	APOE	protein_coding	APOE; ENSG00000130203	chr19	-0.789059296519275	9.93526954291334	-13.9505501163827	4.78666495806868e-28	1.89692716602992e-25	52.9835505116651
ENSG00000137154	ENSG00000137154	HAVANA	gene	13	RPS6	protein_coding	RPS6; ENSG00000137154	chr9	-0.490001177928177	8.52596778782002	-13.0510129974357	6.70771535983043e-28	2.5105487988432e-25	52.6854503813214
