Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000175756,AURKAIP1,467,1.45991,101,-1.1908,185,-0.2225,248,0.26949,183,-0.2418,86,-1.4385,214,0.01180
ENSG00000242485,MRPL20,467,1.12245,113,-1.2763,304,0.33120,264,0.08744,287,0.23105,80,-1.8009,239,-0.0782
ENSG00000160075,SSU72,467,1.14442,243,-0.0311,257,0.06500,335,0.52148,223,-0.1748,100,-1.4430,108,-1.3193
ENSG00000078369,GNB1,467,-0.0573,611,0.40218,642,0.48915,672,0.57070,495,0.04018,165,-1.6986,333,-0.6125
ENSG00000067606,PRKCZ,467,1.12498,379,0.72532,378,0.72370,168,-0.6477,99,-1.4771,173,-0.6066,88,-1.6550
ENSG00000158109,TPRG1L,467,0.73745,405,0.47945,478,0.78128,419,0.54000,135,-1.3134,50,-2.7882,193,-0.7551
ENSG00000116251,RPL22,467,-0.1509,347,-0.6331,293,-0.9030,479,-0.1083,1053,1.32030,359,-0.5805,582,0.21984
ENSG00000097021,ACOT7,467,-0.7394,1079,0.66864,1630,1.47320,1026,0.57756,434,-0.8568,214,-1.9396,300,-1.4272
ENSG00000171735,CAMTA1,467,0.54337,845,1.71204,90,-2.0851,292,-0.2593,172,-1.0990,297,-0.2310,226,-0.6698
ENSG00000116288,PARK7,467,0.06580,290,-0.7124,524,0.26165,806,1.04616,580,0.43957,127,-1.9821,351,-0.4061
ENSG00000074800,ENO1,467,-0.5675,898,0.53114,1138,0.96941,716,0.13660,706,0.11342,224,-1.7099,475,-0.5424
ENSG00000171603,CLSTN1,467,-0.0898,1107,1.50149,400,-0.3475,731,0.68758,261,-1.0261,215,-1.3231,271,-0.9690
ENSG00000054523,KIF1B,467,0.36466,520,0.55295,430,0.22015,345,-0.1513,300,-0.3813,325,-0.2507,258,-0.6258
ENSG00000116661,FBXO2,467,0.34111,248,-0.7066,772,1.27814,323,-0.2840,436,0.22047,97,-2.1423,337,-0.2122
ENSG00000011021,CLCN6,467,1.88592,70,-1.4584,140,-0.3693,272,0.77350,114,-0.6944,103,-0.8556,58,-1.7275
ENSG00000116688,MFN2,467,1.79234,267,0.66653,109,-0.8294,116,-0.7344,135,-0.4920,74,-1.4386,107,-0.8596
ENSG00000159363,ATP13A2,467,0.56196,443,0.46877,612,1.06463,420,0.37416,188,-0.9486,76,-2.3195,159,-1.2105
ENSG00000117115,PADI2,467,2.15111,99,-0.7494,13,-3.6976,9,-4.2959,122,-0.4049,324,1.33011,61,-1.4841
ENSG00000077549,CAPZB,467,1.07243,173,-0.6485,254,-0.0208,362,0.59555,256,-0.0078,134,-1.0520,154,-0.8339
ENSG00000173436,MICOS10,467,0.63371,245,-0.4613,374,0.24022,472,0.65324,327,0.01302,177,-0.9756,210,-0.7128
ENSG00000158747,NBL1,467,1.71422,272,0.63506,139,-0.4976,166,-0.2077,49,-2.0862,32,-2.7279,194,0.04657
ENSG00000162545,CAMK2N1,467,0.02694,905,1.23003,319,-0.5965,336,-0.5172,393,-0.2608,423,-0.1397,375,-0.3355
ENSG00000158828,PINK1,467,-0.0429,519,0.13340,757,0.80378,497,0.06238,326,-0.6301,224,-1.2189,566,0.28253
ENSG00000127483,HP1BP3,467,1.31166,341,0.70609,79,-1.6755,244,0.11921,204,-0.1876,152,-0.6647,108,-1.1934
ENSG00000075151,EIF4G3,467,1.59507,252,0.40827,126,-0.7442,222,0.18588,107,-0.9951,68,-1.6909,150,-0.4629
ENSG00000070831,CDC42,467,0.36970,262,-0.5925,473,0.38952,793,1.36756,255,-0.6367,184,-1.1460,201,-1.0085
ENSG00000142676,RPL11,467,-0.4497,312,-1.0909,279,-1.2633,633,0.05227,1409,1.54767,464,-0.4618,734,0.30599
ENSG00000057757,PITHD1,467,0.22926,476,0.25983,737,1.05819,610,0.70273,224,-0.9676,109,-2.0715,236,-0.8900
ENSG00000001461,NIPAL3,467,1.72137,223,0.29320,134,-0.5546,191,0.02871,16,-3.7220,225,0.30768,59,-1.8210
ENSG00000117632,STMN1,467,-1.1610,817,-0.2729,1338,0.57173,2335,1.66845,799,-0.3099,627,-0.6998,357,-1.5745
ENSG00000142669,SH3BGRL3,467,0.67509,146,-1.2378,602,1.15644,431,0.52874,225,-0.5663,144,-1.2624,206,-0.7013
ENSG00000198830,HMGN2,467,1.43656,124,-0.8916,113,-1.0269,303,0.59954,259,0.32105,93,-1.3353,143,-0.6639
ENSG00000090273,NUDC,467,1.16779,346,0.59915,173,-0.5708,281,0.23574,162,-0.6753,115,-1.2143,170,-0.5923
ENSG00000186501,TMEM222,467,2.04289,95,-0.8764,171,0.07831,197,0.32127,123,-0.4643,64,-1.4905,27,-2.7695
ENSG00000126709,IFI6,467,1.05995,41,-2.8186,560,1.42306,171,-0.6746,236,-0.1504,111,-1.3445,223,-0.2425
ENSG00000117758,STX12,467,1.83723,70,-1.4769,134,-0.4768,210,0.27536,189,0.09474,71,-1.4517,108,-0.8077
ENSG00000126698,DNAJC8,467,1.31466,257,0.20719,187,-0.3229,248,0.14928,181,-0.3798,87,-1.5229,165,-0.5277
ENSG00000130770,ATP5IF1,467,-0.4075,415,-0.6003,1068,1.03810,884,0.68316,809,0.52173,138,-2.2843,406,-0.6325
ENSG00000134644,PUM1,467,1.53068,314,0.74870,157,-0.4370,139,-0.6347,68,-1.7408,86,-1.3790,204,-0.0109
ENSG00000121766,ZCCHC17,467,1.83202,115,-0.7187,221,0.35925,86,-1.1650,141,-0.3907,144,-0.3567,78,-1.3252
