Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7
ENSG00000116251,RPL22,17,-5.7703,10,-6.5199,2700,2.33662,794,-0.1949
ENSG00000074800,ENO1,2594,2.15097,113,-3.1338,84,-3.5657,826,-0.1713
ENSG00000054523,KIF1B,18,-4.2918,10,-5.0510,650,1.39005,365,0.68933
ENSG00000162545,CAMK2N1,18,-3.3579,10,-4.1082,30,-2.5758,266,3.75118
ENSG00000158828,PINK1,18,-4.1235,10,-4.8797,30,-3.3452,460,4.53989
ENSG00000142676,RPL11,537,-0.5444,635,-0.2715,31,-4.7801,1008,1.32898
ENSG00000133226,SRRM1,18,-3.0144,10,-3.7786,30,-2.2217,207,3.39141
ENSG00000117632,STMN1,17,-4.7492,10,-5.5019,1646,2.95895,310,-0.8468
ENSG00000184007,PTP4A2,18,-4.2475,10,-5.0066,30,-3.4735,503,4.66896
ENSG00000175130,MARCKSL1,17,-4.3055,10,-5.0601,526,0.95848,399,1.10921
ENSG00000197982,C1orf122,17,-6.0197,10,-6.7628,5759,4.77492,308,-2.6454
ENSG00000127603,MACF1,17,-4.2926,10,-5.0480,30,-3.5164,518,4.71302
ENSG00000117394,SLC2A1,17,-4.5774,641,0.97800,30,-3.8066,476,1.05039
ENSG00000066322,ELOVL1,826,2.32603,10,-4.8154,30,-3.2779,236,-0.2881
ENSG00000142937,RPS8,1734,0.81156,827,-0.4610,1028,-0.1053,1018,-0.2327
ENSG00000117450,PRDX1,2205,2.48186,10,-6.1513,30,-4.6245,581,-0.3642
ENSG00000116133,DHCR24,17,-3.2201,10,-3.9818,30,-2.4354,241,3.60920
ENSG00000162407,PLPP3,17,-3.8666,10,-4.6226,30,-3.0854,382,4.27584
ENSG00000162599,NFIA,274,-1.7909,10,-6.5407,2161,1.76444,882,0.11444
ENSG00000116754,SRSF11,730,1.92132,10,-4.8685,30,-3.3376,279,0.11675
ENSG00000122406,RPL5,2419,2.00881,258,-1.8973,768,-0.1888,645,-0.8326
ENSG00000168710,AHCYL1,208,-2.5763,56,-4.4955,1398,0.41735,1504,1.43988
ENSG00000155366,RHOC,107,-1.5361,331,0.27476,30,-3.4015,376,1.26640
ENSG00000009307,CSDE1,501,0.43215,127,-1.7700,30,-3.8785,517,1.23699
ENSG00000198162,MAN1A2,18,-4.4757,164,-1.1958,32,-3.6234,552,2.94769
ENSG00000265972,TXNIP,2031,3.03081,480,-0.0779,30,-4.2472,245,-1.7899
ENSG00000189171,S100A13,17,-5.0047,72,-2.9760,668,0.50977,681,1.43035
ENSG00000177954,RPS27,2091,-0.6428,1579,-1.0852,8672,1.99968,2335,-0.8171
ENSG00000163346,PBXIP1,3123,1.24010,10,-7.4269,6702,3.20680,305,-3.4249
ENSG00000132718,SYT11,861,1.33760,10,-5.4971,30,-3.9678,500,0.73527
ENSG00000160781,PAQR6,1554,0.40705,287,-2.2665,3093,1.75671,912,-0.8497
ENSG00000125462,C1orf61,17,-5.8918,528,-0.8960,1359,0.68718,1129,0.83096
ENSG00000132702,HAPLN2,18,-4.1173,10,-4.8769,944,2.57739,230,-0.4949
ENSG00000018625,ATP1A2,107,-3.3930,567,-0.8905,1042,0.10056,1290,1.17214
ENSG00000162734,PEA15,360,-2.3021,10,-7.4218,5248,2.44737,1350,-0.4718
ENSG00000143248,RGS5,17,-3.7254,411,1.25413,30,-2.9462,246,0.68526
ENSG00000143153,ATP1B1,1953,2.19575,10,-6.1341,30,-4.6080,629,-0.0795
ENSG00000117523,PRRC2C,18,-4.7783,10,-5.4977,170,-1.4612,697,3.38956
ENSG00000117592,PRDX6,2135,3.17345,10,-5.7873,30,-4.2623,344,-1.0737
ENSG00000135821,GLUL,17,-6.9010,675,-1.5939,4457,1.66064,1941,0.17711
ENSG00000159176,CSRP1,286,-2.0860,159,-2.9501,3445,2.32341,921,-0.4940
ENSG00000170075,GPR37L1,3672,3.91986,29,-4.8491,30,-4.7889,348,-1.8343
ENSG00000184144,CNTN2,17,-3.9944,10,-4.7475,547,1.46535,290,0.59566
ENSG00000069275,NUCKS1,6823,3.50210,10,-7.3432,30,-5.8216,893,-1.3575
ENSG00000117691,NENF,722,1.72594,10,-4.9751,30,-3.4437,317,0.31732
ENSG00000143772,ITPKB,2628,3.08779,206,-1.7897,96,-2.9192,388,-1.3323
ENSG00000143774,GUK1,70,-2.2240,517,1.02332,30,-3.4574,356,0.79067
ENSG00000135744,AGT,21429,6.33911,50,-6.2397,30,-6.9670,376,-4.2504
ENSG00000054267,ARID4B,253,0.45765,10,-4.3925,30,-2.8546,266,1.43926
ENSG00000171863,RPS7,266,-0.4553,303,-0.2430,30,-3.7229,464,1.21421
ENSG00000143878,RHOB,18,-6.8301,10,-7.5828,9997,4.69816,570,-2.5503
ENSG00000119820,YIPF4,18,-3.4834,71,-1.4393,30,-2.6994,276,2.79382
ENSG00000143933,CALM2,2049,2.05689,10,-6.2823,217,-1.8761,681,-0.1550
ENSG00000115306,SPTBN1,1110,0.03767,853,-0.3974,1703,0.79355,983,-0.3142
ENSG00000115310,RTN4,1963,1.57715,10,-6.5230,1372,0.85892,641,-0.7984
ENSG00000143947,RPS27A,576,-0.8793,264,-2.0726,461,-1.2265,1409,1.69875
ENSG00000115355,CCDC88A,772,0.79485,10,-5.7383,30,-4.2160,657,1.27738
ENSG00000124374,PAIP2B,18,-3.5751,10,-4.3381,148,-0.3758,282,2.25498
ENSG00000034510,TMSB10,17,-5.8724,1318,0.65536,30,-5.1021,1243,1.44829
ENSG00000135940,COX5B,17,-4.0219,10,-4.7799,30,-3.2452,428,4.43736
ENSG00000158417,EIF5B,1761,1.08232,10,-6.7159,685,-0.5612,1073,0.39052
ENSG00000071082,RPL31,503,-1.5803,884,-0.7049,2740,1.27522,1351,-0.0260
ENSG00000071054,MAP4K4,17,-4.5577,10,-5.3114,30,-3.7820,625,4.98232
ENSG00000155368,DBI,320,-0.4539,390,-0.1296,30,-3.9883,552,1.16171
ENSG00000144224,UBXN4,678,1.73977,10,-4.8788,30,-3.3470,294,0.29528
ENSG00000169554,ZEB2,1347,1.45527,10,-6.0610,1424,1.57472,378,-1.2949
ENSG00000168280,KIF5C,17,-3.9762,235,-0.0695,30,-3.1964,358,1.92022
ENSG00000157827,FMNL2,18,-3.3562,10,-4.1123,30,-2.5692,266,3.74793
ENSG00000136541,ERMN,748,2.10905,10,-4.7904,30,-3.2601,249,-0.0750
ENSG00000144283,PKP4,17,-5.4826,113,-2.7905,2926,3.20053,444,-1.1972
ENSG00000123636,BAZ2B,17,-3.9163,10,-4.6730,30,-3.1395,397,4.32919
ENSG00000138398,PPIG,18,-4.5257,10,-5.2816,31,-3.7255,611,4.93735
ENSG00000077380,DYNC1I2,18,-4.4977,10,-5.2529,30,-3.7249,600,4.92320
ENSG00000115993,TRAK2,740,0.28320,10,-6.0946,2963,3.63889,169,-2.8724
ENSG00000114942,EEF1B2,157,-1.5316,961,1.57661,30,-3.9574,436,0.18696
ENSG00000078018,MAP2,18,-4.7769,665,0.78629,31,-3.9585,566,1.24861
ENSG00000197756,RPL37A,1271,-1.8317,2204,-0.9877,14246,2.59064,2678,-1.1411
ENSG00000135924,DNAJB2,3740,4.20408,10,-6.2686,30,-4.7438,294,-2.0998
ENSG00000135916,ITM2C,845,0.30439,133,-2.5834,30,-4.7358,985,1.54954
ENSG00000173692,PSMD1,966,2.31499,10,-5.0487,33,-3.3890,280,-0.2649
ENSG00000115053,NCL,17,-4.6893,446,0.18500,30,-3.9149,576,1.80571
ENSG00000187514,PTMA,4858,1.81398,864,-1.2440,1660,-0.2060,1441,-0.7715
