Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000188976,NOC2L,41,-0.7584,78,0.58305,66,0.46027
ENSG00000188290,HES4,47,-1.3776,282,2.29499,70,-0.4176
ENSG00000187608,ISG15,46,-1.0562,207,1.99042,59,-0.3959
ENSG00000078808,SDF4,59,-1.2879,52,-1.0751,177,1.60443
ENSG00000160087,UBE2J2,31,-0.4324,0,-5.7080,55,1.15337
ENSG00000131584,ACAP3,46,0.23863,69,0.81647,29,-0.7891
ENSG00000127054,INTS11,27,-0.7855,61,0.85985,42,0.31250
ENSG00000224051,CPTP,22,-0.7613,56,1.06618,32,0.14420
ENSG00000107404,DVL1,50,0.75204,4,-3.2482,38,-0.1072
ENSG00000175756,AURKAIP1,119,-0.5026,114,-0.3862,188,0.66595
ENSG00000221978,CCNL2,42,-0.5539,86,0.88692,53,0.06643
ENSG00000242485,MRPL20,147,-0.4989,218,0.34881,204,0.34019
ENSG00000179403,VWA1,60,1.56917,27,-0.6250,17,-1.5785
ENSG00000205090,TMEM240,31,0.03091,37,0.30866,28,-0.1923
ENSG00000160075,SSU72,115,-0.7341,251,0.84622,172,0.27247
ENSG00000228594,FNDC10,42,-0.9666,31,-1.0597,99,1.30616
ENSG00000197530,MIB2,35,-0.2079,62,0.81015,34,-0.2479
ENSG00000078369,GNB1,245,-0.6748,290,-0.1505,425,0.74175
ENSG00000067606,PRKCZ,151,-0.2723,70,-1.3535,220,0.70294
ENSG00000162585,FAAP20,70,-0.5445,47,-0.9577,121,0.87994
ENSG00000157916,RER1,49,-0.9961,115,0.77833,92,0.55941
ENSG00000157870,PRXL2B,44,-0.8966,93,0.64957,79,0.54910
ENSG00000158109,TPRG1L,105,-0.9391,119,-0.4034,229,1.08343
ENSG00000130764,LRRC47,76,-0.6143,123,0.41397,114,0.41814
ENSG00000069424,KCNAB2,72,-0.8725,106,0.06044,141,0.83570
ENSG00000116254,CHD5,131,-0.0450,145,0.13985,132,-0.0196
ENSG00000116251,RPL22,327,-0.1613,617,1.00375,282,-0.4494
ENSG00000116237,ICMT,32,-0.8476,0,-6.0908,77,1.57151
ENSG00000097021,ACOT7,264,-0.9993,270,-0.6180,615,1.21101
ENSG00000162408,NOL9,19,-0.3409,7,-1.6374,30,0.82297
ENSG00000162413,KLHL21,22,-1.3832,12,-1.8302,72,1.85273
ENSG00000007923,DNAJC11,22,-0.8320,34,0.17060,41,0.74735
ENSG00000171735,CAMTA1,321,-0.1220,337,0.01038,353,0.12393
ENSG00000049245,VAMP3,64,0.75679,108,1.33423,14,-2.3245
ENSG00000116288,PARK7,238,-0.5633,289,-0.0281,372,0.58400
ENSG00000162426,SLC45A1,26,-0.5535,41,0.40410,37,0.36433
ENSG00000142599,RERE,65,-0.8205,86,-0.0828,125,0.85028
ENSG00000074800,ENO1,549,-0.4987,722,0.14400,794,0.44303
ENSG00000171612,SLC25A33,34,-0.8397,79,0.85786,56,0.36491
ENSG00000171603,CLSTN1,268,-1.2858,249,-0.9827,790,1.57794
ENSG00000178585,CTNNBIP1,43,0.46688,46,0.38249,26,-0.7511
ENSG00000162441,LZIC,53,0.37653,57,0.32537,35,-0.6021
ENSG00000130939,UBE4B,34,-1.7966,60,-0.3776,138,1.80740
ENSG00000054523,KIF1B,278,0.05451,204,-0.4723,289,0.13514
ENSG00000142657,PGD,42,-1.2070,75,0.10596,107,1.11125
