Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000078808,SDF4,87,-0.1821,87,-0.1894,62,-0.7171,117,0.30402,53,-0.9703,99,0.02451,175,1.01607,100,0.03889
ENSG00000175756,AURKAIP1,175,0.45736,271,1.25690,62,-1.1889,122,-0.1407,75,-0.9182,143,0.11416,71,-1.0015,146,0.15258
ENSG00000242485,MRPL20,237,0.25760,314,0.74801,214,0.09018,162,-0.3658,60,-1.8932,235,0.24730,151,-0.4791,250,0.34801
ENSG00000179403,VWA1,24,-2.7163,10,-4.0261,111,-0.4359,15,-3.4111,54,-1.5476,202,0.55336,451,2.13492,299,1.26688
ENSG00000160075,SSU72,232,0.37706,473,1.71186,82,-1.2888,121,-0.6820,140,-0.4464,110,-0.8360,169,-0.1475,155,-0.2918
ENSG00000078369,GNB1,598,0.62950,807,1.17627,212,-1.0578,334,-0.3456,230,-0.9320,482,0.25723,231,-0.9220,410,-0.0123
ENSG00000067606,PRKCZ,327,1.38145,325,1.36762,53,-1.6368,111,-0.4858,40,-2.0449,64,-1.3324,155,0.05188,128,-0.2566
ENSG00000157916,RER1,82,-0.7494,164,0.36787,47,-1.6067,120,-0.1492,44,-1.6912,293,1.43454,99,-0.4481,201,0.72834
ENSG00000158109,TPRG1L,327,2.05620,181,0.86943,76,-0.5771,136,0.36015,61,-0.9328,3,-5.1462,19,-2.6297,71,-0.6815
ENSG00000116251,RPL22,267,-1.3336,420,-0.6339,880,0.58482,341,-0.9600,414,-0.6567,1562,1.67446,485,-0.4052,616,-0.0191
ENSG00000097021,ACOT7,705,1.89719,809,2.21331,32,-3.1466,172,-0.6200,103,-1.4139,62,-2.1595,55,-2.3506,89,-1.6284
ENSG00000171735,CAMTA1,199,-0.2136,551,1.60798,203,-0.1807,305,0.49818,149,-0.6710,272,0.30290,83,-1.5709,52,-2.2531
ENSG00000049245,VAMP3,43,-1.4703,11,-3.4108,177,0.79965,92,-0.3042,56,-1.0838,58,-1.0207,117,0.08733,333,2.06537
ENSG00000116288,PARK7,435,0.12749,911,1.46506,430,0.10842,226,-0.9164,156,-1.4866,408,0.02128,249,-0.7704,406,0.01250
ENSG00000074800,ENO1,1244,1.18795,1229,1.16393,281,-1.2806,1060,0.88932,282,-1.2762,260,-1.4015,511,-0.3499,199,-1.8002
ENSG00000171603,CLSTN1,429,0.30960,969,1.84791,98,-2.0045,393,0.16120,110,-1.8225,283,-0.3701,304,-0.2575,264,-0.4825
ENSG00000054523,KIF1B,636,0.85731,144,-1.5428,386,-0.0029,396,0.03870,238,-0.7770,192,-1.1097,596,0.73874,505,0.45111
ENSG00000116661,FBXO2,574,1.43266,574,1.43546,217,-0.2777,346,0.49875,123,-1.1665,71,-1.9984,70,-2.0180,84,-1.7333
ENSG00000116688,MFN2,195,0.46016,326,1.40170,100,-0.6388,128,-0.2414,94,-0.7279,154,0.05431,106,-0.5377,85,-0.8869
ENSG00000189337,KAZN,109,-0.4219,132,-0.1210,65,-1.2172,55,-1.4719,59,-1.3617,104,-0.4931,393,1.88465,217,0.72030
ENSG00000159363,ATP13A2,468,2.00060,449,1.90768,3,-5.9315,111,-0.5967,65,-1.4167,36,-2.2871,90,-0.9160,63,-1.4694
ENSG00000117118,SDHB,118,0.55398,124,0.63411,128,0.69388,94,0.17592,33,-1.4602,13,-2.7737,51,-0.8237,118,0.56011
ENSG00000117115,PADI2,51,-3.2248,213,-1.1014,270,-0.7345,243,-0.9045,293,-0.6099,183,-1.3343,1147,1.81693,1023,1.57492
ENSG00000077549,CAPZB,167,-0.3120,300,0.67130,167,-0.3125,273,0.50698,69,-1.6769,225,0.17498,190,-0.0994,227,0.19144
ENSG00000173436,MICOS10,344,-0.1151,451,0.33448,731,1.20302,199,-0.9839,173,-1.1924,506,0.53340,220,-0.8278,329,-0.1895
ENSG00000158747,NBL1,99,-0.4669,257,1.16217,56,-1.3561,153,0.24858,53,-1.4317,408,2.13252,11,-3.6892,20,-2.8275
ENSG00000162545,CAMK2N1,573,-0.0266,1018,0.96687,479,-0.3194,301,-1.0482,428,-0.4996,172,-1.8917,961,0.86248,729,0.37571
ENSG00000158828,PINK1,771,1.71506,401,0.48332,265,-0.2127,278,-0.1333,204,-0.6301,84,-1.9846,317,0.08610,92,-1.8439
ENSG00000127483,HP1BP3,200,0.03369,112,-0.8889,197,0.00351,287,0.64826,114,-0.8584,193,-0.0230,285,0.63478,180,-0.1402
ENSG00000075151,EIF4G3,166,0.21135,348,1.56858,122,-0.2936,98,-0.6452,133,-0.1464,60,-1.3809,106,-0.5212,135,-0.1290
ENSG00000070831,CDC42,557,0.39912,542,0.35287,228,-1.0376,245,-0.9307,106,-2.1951,593,0.50649,407,-0.1261,836,1.12613
ENSG00000125944,HNRNPR,153,0.22097,64,-1.1684,48,-1.6105,166,0.35708,35,-2.0659,209,0.76176,155,0.24812,242,1.02392
ENSG00000142676,RPL11,201,-2.0985,473,-0.8020,1359,0.96199,361,-1.2181,518,-0.6580,1783,1.48420,743,-0.0805,804,0.05020
ENSG00000057757,PITHD1,911,2.29759,349,0.39369,84,-1.8373,276,0.00044,113,-1.3970,10,-4.9113,191,-0.5931,272,-0.0233
ENSG00000001461,NIPAL3,108,-0.7465,293,0.92100,182,0.09211,41,-2.1993,84,-1.1237,32,-2.5808,445,1.74007,191,0.16938
ENSG00000169504,CLIC4,17,-4.2506,84,-1.9269,170,-0.8632,102,-1.6503,130,-1.2715,992,2.36172,519,0.99545,326,0.17729
ENSG00000117616,RSRP1,15,-3.0331,106,-0.1133,48,-1.3419,68,-0.8223,106,-0.1218,257,1.44884,104,-0.1431,207,1.03899
ENSG00000183726,TMEM50A,58,-1.3325,89,-0.6765,106,-0.4102,13,-3.4899,83,-0.7886,291,1.34088,197,0.62413,254,1.08127
ENSG00000117632,STMN1,1156,-0.1201,1444,0.24945,782,-0.7436,426,-1.6746,463,-1.5497,502,-1.4242,1547,0.36558,3629,2.00666
ENSG00000142669,SH3BGRL3,373,0.37926,351,0.27453,241,-0.3411,183,-0.7745,101,-1.6772,614,1.28178,222,-0.4709,294,-0.0191
ENSG00000198830,HMGN2,121,-0.6308,68,-1.5144,161,-0.1789,73,-1.4111,98,-0.9555,387,1.36441,230,0.41020,299,0.87681
ENSG00000090273,NUDC,230,0.72740,174,0.24285,182,0.32241,96,-0.7196,114,-0.4404,146,-0.0486,85,-0.8975,174,0.24642
ENSG00000158195,WASF2,18,-2.7296,13,-3.1989,57,-0.9877,54,-1.0661,93,-0.2221,250,1.53184,194,1.03989,174,0.84371
ENSG00000126709,IFI6,488,1.00685,205,-0.4641,101,-1.5499,306,0.18952,72,-2.0540,832,2.10318,101,-1.5508,79,-1.9184
ENSG00000117758,STX12,249,0.50472,213,0.23477,99,-0.9949,206,0.17806,61,-1.7328,132,-0.5408,365,1.19437,155,-0.2912
ENSG00000126698,DNAJC8,161,0.00107,237,0.65774,163,0.01914,117,-0.5130,96,-0.8158,252,0.76456,135,-0.2876,127,-0.3882
ENSG00000130770,ATP5IF1,796,1.03187,1222,1.89461,509,0.24417,194,-1.2875,182,-1.3902,225,-1.0628,54,-3.1823,337,-0.4304
ENSG00000162512,SDC3,46,-1.6833,110,-0.3458,116,-0.2576,359,1.78285,133,-0.0410,118,-0.2324,180,0.47158,26,-2.5149
ENSG00000134644,PUM1,188,0.33527,253,0.85727,82,-0.9988,208,0.50932,73,-1.1799,270,0.98129,107,-0.5726,48,-1.8132
ENSG00000121766,ZCCHC17,133,0.50263,123,0.37190,84,-0.2703,167,0.90533,57,-0.8844,7,-3.9957,40,-1.4030,180,1.03714
ENSG00000084636,COL16A1,24,-2.3728,64,-0.9381,4,-5.0328,39,-1.6887,28,-2.1843,231,1.22022,372,2.23207,162,0.57226
ENSG00000184007,PTP4A2,111,-1.9170,187,-1.1310,625,0.84464,185,-1.1485,373,-0.0441,272,-0.5524,914,1.57336,394,0.05005
ENSG00000121774,KHDRBS1,151,0.05927,85,-0.8607,230,0.78294,140,-0.0589,75,-1.0378,165,0.21174,151,0.06815,165,0.21625
ENSG00000084623,EIF3I,230,0.98693,85,-0.6799,60,-1.2017,147,0.21168,43,-1.7261,206,0.79262,117,-0.1670,150,0.24052
ENSG00000175130,MARCKSL1,80,-3.5850,461,-0.9814,576,-0.6359,258,-1.8636,306,-1.6050,685,-0.3585,1491,0.96419,2981,2.43445
ENSG00000160058,BSDC1,90,-0.2178,162,0.76479,60,-0.8619,89,-0.2523,63,-0.7817,89,-0.2446,191,1.06731,83,-0.3528
ENSG00000162521,RBBP4,44,-1.6038,139,0.19647,69,-0.9111,158,0.42319,61,-1.1042,185,0.69027,88,-0.5442,241,1.17750
ENSG00000134686,PHC2,109,-0.0227,95,-0.2316,78,-0.5632,24,-2.3328,34,-1.8106,74,-0.6381,267,1.59998,200,1.04052
ENSG00000116560,SFPQ,121,-0.9470,178,-0.3432,79,-1.6041,165,-0.4577,148,-0.6322,394,1.01564,474,1.36891,198,-0.1696
ENSG00000020129,NCDN,722,1.69401,1041,2.55105,31,-3.3503,207,-0.5172,127,-1.2771,16,-4.2635,67,-2.2338,71,-2.1541
ENSG00000126067,PSMB2,305,1.18987,252,0.83476,84,-0.9623,165,0.10450,41,-2.0418,128,-0.3077,65,-1.3514,198,0.41151
ENSG00000116871,MAP7D1,349,0.20632,348,0.20134,129,-1.3683,182,-0.8374,71,-2.2598,281,-0.1491,445,0.62653,659,1.35168
ENSG00000054118,THRAP3,81,-0.3209,179,1.01987,35,-1.6179,112,0.20553,27,-2.0055,108,0.13545,124,0.36914,128,0.42674
ENSG00000163875,MEAF6,235,1.00667,255,1.15782,76,-0.8787,97,-0.4888,87,-0.6546,157,0.29867,34,-2.0888,111,-0.2742
ENSG00000197982,C1orf122,299,-0.3208,362,-0.0124,414,0.21159,145,-1.4432,297,-0.3323,172,-1.1849,492,0.50710,734,1.23520
ENSG00000174574,AKIRIN1,250,0.95951,140,-0.0405,73,-1.0748,109,-0.4387,57,-1.4323,142,-0.0164,134,-0.1096,242,0.90298
ENSG00000168653,NDUFS5,619,0.31138,1076,1.31090,571,0.17488,319,-0.7613,385,-0.4637,256,-1.1043,565,0.15764,318,-0.7652
ENSG00000127603,MACF1,196,-0.7483,187,-0.8216,183,-0.8484,323,0.05720,241,-0.4182,394,0.39016,787,1.68273,188,-0.8122
ENSG00000116983,HPCAL4,272,2.08589,189,1.31795,4,-4.6222,148,0.86020,45,-1.0973,2,-5.6576,19,-2.3419,40,-1.2859
ENSG00000131236,CAP1,229,0.17373,298,0.62567,145,-0.5695,104,-1.0802,68,-1.7219,341,0.86433,200,-0.0490,265,0.41812
ENSG00000131238,PPT1,224,0.43966,337,1.17027,85,-1.1214,181,0.07972,95,-0.9556,160,-0.1285,188,0.13812,113,-0.6853
ENSG00000049089,COL9A2,23,-2.3288,33,-1.7702,151,0.62683,39,-1.5380,37,-1.5955,86,-0.3163,155,0.67191,311,2.04623
ENSG00000065978,YBX1,31,-2.9075,95,-1.2463,253,0.30985,75,-1.6116,100,-1.1650,659,2.17032,223,0.10142,244,0.25053
ENSG00000117394,SLC2A1,4,-6.3680,74,-2.1129,54,-2.5684,124,-1.3366,89,-1.8338,1610,3.97417,276,-0.0813,92,-1.7808
ENSG00000179178,TMEM125,10,-3.6470,9,-3.7855,74,-0.6679,6,-4.3853,39,-1.6647,1,-6.0948,405,2.50533,358,2.19909
ENSG00000066322,ELOVL1,42,-2.8887,97,-1.6423,174,-0.7538,30,-3.3868,85,-1.8503,125,-1.2570,701,1.68186,975,2.44150
ENSG00000142949,PTPRF,115,-0.1082,178,0.63586,48,-1.4698,125,0.03750,57,-1.2017,2,-6.1249,312,1.70956,142,0.25262
ENSG00000117408,IPO13,28,-2.0379,42,-1.4448,165,0.75573,59,-0.9368,28,-2.0328,31,-1.8937,205,1.15109,290,1.85778
ENSG00000117410,ATP6V0B,877,1.49576,986,1.73799,195,-1.0631,255,-0.6469,90,-2.2302,157,-1.3936,169,-1.2824,323,-0.2703
ENSG00000117419,ERI3,312,2.23860,57,-0.8447,64,-0.6637,144,0.67282,57,-0.8462,1,-5.8716,17,-2.5923,121,0.37408
ENSG00000187147,RNF220,193,0.21753,226,0.49176,47,-1.9645,93,-0.9532,38,-2.2886,46,-2.0056,504,2.05100,205,0.32329
ENSG00000142937,RPS8,639,-0.8240,456,-1.3436,1906,1.00363,434,-1.4169,626,-0.8561,2933,1.86638,627,-0.8535,939,-0.2133
ENSG00000117450,PRDX1,1024,0.29900,651,-0.4442,403,-1.1930,1025,0.29970,348,-1.4136,1223,0.60464,753,-0.2092,1424,0.87678
ENSG00000085998,POMGNT1,67,-0.6139,48,-1.1187,78,-0.3783,27,-1.9982,44,-1.2583,101,0.03548,180,1.04975,243,1.63305
ENSG00000173660,UQCRH,1049,1.25736,1088,1.32962,461,-0.1793,217,-1.3572,338,-0.6770,468,-0.1542,246,-1.1683,250,-1.1408
ENSG00000123472,ATPAF1,275,0.84905,341,1.25222,111,-0.6552,231,0.54143,65,-1.4800,20,-3.2251,129,-0.4182,169,0.01055
ENSG00000159658,EFCAB14,47,-1.8509,103,-0.6632,161,0.05250,116,-0.4771,99,-0.7287,179,0.23467,356,1.48146,185,0.28934
ENSG00000162368,CMPK1,458,1.41341,228,0.16026,273,0.46467,198,-0.0750,116,-0.9243,107,-1.0442,37,-2.6144,241,0.24773
ENSG00000162374,ELAVL4,503,3.40992,92,-0.2036,40,-1.4776,163,0.77038,18,-2.6317,2,-5.8787,13,-3.0757,0,-8.5855
