Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000188290,HES4,100,-0.4331,51,-1.2823,177,0.96824
ENSG00000187608,ISG15,41,-1.9589,23,-2.1110,227,2.59609
ENSG00000078808,SDF4,94,-0.5269,105,-0.1141,152,0.65192
ENSG00000160087,UBE2J2,79,0.78272,78,0.32170,29,-1.4052
ENSG00000127054,INTS11,58,-0.0358,57,-0.0551,61,0.07491
ENSG00000107404,DVL1,65,-0.2730,84,0.27962,76,0.14828
ENSG00000175756,AURKAIP1,137,-0.2054,106,-0.5150,183,0.48743
ENSG00000221978,CCNL2,44,-0.5444,22,-1.3721,86,1.10174
ENSG00000242485,MRPL20,128,-0.5217,133,-0.2238,210,0.69835
ENSG00000179403,VWA1,33,-2.8461,529,3.33539,91,-0.5345
ENSG00000160075,SSU72,198,0.03122,177,-0.1682,202,0.05887
ENSG00000228594,FNDC10,141,3.26256,31,-1.6157,6,-4.2273
ENSG00000078369,GNB1,265,-0.3146,393,0.50913,298,0.03636
ENSG00000067606,PRKCZ,218,0.65484,217,0.27981,99,-1.1317
ENSG00000162585,FAAP20,42,-1.5691,53,-0.6156,162,1.85814
ENSG00000157916,RER1,68,-1.0738,139,0.55178,147,0.83178
ENSG00000157870,PRXL2B,155,1.55693,12,-3.4056,73,-0.7921
ENSG00000158109,TPRG1L,134,0.29153,81,-0.6813,124,0.00063
ENSG00000130764,LRRC47,79,0.09384,27,-1.6318,97,0.50239
ENSG00000069424,KCNAB2,176,2.82367,12,-3.3335,30,-2.2109
ENSG00000116254,CHD5,154,1.50945,14,-3.1022,73,-0.7749
ENSG00000116251,RPL22,198,-1.4152,369,0.14307,608,1.38693
ENSG00000097021,ACOT7,406,1.93186,164,-0.8524,77,-2.2061
ENSG00000162413,KLHL21,64,-0.2054,87,0.42777,66,-0.0362
ENSG00000171735,CAMTA1,252,-0.0673,122,-1.2021,336,0.56949
ENSG00000049245,VAMP3,27,-2.4921,289,2.60498,87,0.13335
ENSG00000116288,PARK7,141,-0.8933,200,0.05889,293,0.94000
ENSG00000142599,RERE,83,-0.8669,87,-0.4181,183,1.12998
ENSG00000074800,ENO1,677,0.16781,331,-1.0717,738,0.27987
ENSG00000171603,CLSTN1,335,-0.2916,271,-0.4969,479,0.57262
ENSG00000130939,UBE4B,69,0.32062,61,-0.0484,52,-0.3695
ENSG00000054523,KIF1B,437,0.11427,423,0.00204,394,-0.1404
ENSG00000142657,PGD,73,-0.1589,58,-0.4568,93,0.41272
ENSG00000160049,DFFA,53,-0.1320,55,0.00608,59,0.15234
ENSG00000120948,TARDBP,49,-1.0111,9,-3.1168,145,1.80543
ENSG00000116649,SRM,62,-0.6578,88,0.23338,102,0.60432
ENSG00000116661,FBXO2,502,0.93342,91,-2.3000,349,-0.2688
ENSG00000132879,FBXO44,168,1.67726,32,-2.0439,62,-1.1680
ENSG00000011021,CLCN6,148,1.52887,62,-0.8559,45,-1.5257
ENSG00000116685,KIAA2013,52,-0.6963,85,0.42996,85,0.52449
ENSG00000116688,MFN2,130,0.14039,113,-0.1650,120,-0.0729
ENSG00000048707,VPS13D,47,-0.8887,38,-0.8435,113,1.30101
ENSG00000189337,KAZN,41,-1.2977,157,1.58822,74,0.19800
ENSG00000065526,SPEN,37,-1.6363,79,0.15959,136,1.57007
ENSG00000055070,SZRD1,32,-1.4607,88,0.76409,91,1.05024
ENSG00000159363,ATP13A2,258,1.88703,83,-1.2096,62,-1.8262
ENSG00000117118,SDHB,87,0.95418,48,-0.5697,43,-0.8841
ENSG00000117115,PADI2,45,-2.9663,609,2.51420,228,0.53253
ENSG00000053371,AKR7A2,47,-0.8846,10,-2.8739,127,1.66073
ENSG00000077549,CAPZB,276,0.30930,211,-0.3020,228,-0.2023
ENSG00000173436,MICOS10,121,-0.7907,311,1.21524,159,0.00019
ENSG00000158747,NBL1,180,0.34824,69,-1.3698,178,0.16862
ENSG00000162545,CAMK2N1,311,-0.0566,580,1.08665,196,-0.8973
ENSG00000158828,PINK1,305,0.40260,151,-0.9575,270,-0.0196
ENSG00000127483,HP1BP3,103,-1.4270,239,0.51362,296,1.18506
ENSG00000075151,EIF4G3,133,-0.1054,139,0.01488,146,0.11617
ENSG00000076864,RAP1GAP,127,1.79165,11,-3.2035,49,-1.0673
ENSG00000070831,CDC42,267,-0.4592,390,0.39479,355,0.28662
ENSG00000125944,HNRNPR,59,-1.0892,160,1.07131,110,0.46273
ENSG00000117318,ID3,19,-3.0060,18,-2.2731,228,3.55226
ENSG00000142676,RPL11,215,-1.8786,713,0.76160,831,1.40034
ENSG00000057757,PITHD1,390,1.25283,146,-1.1181,172,-0.9854
ENSG00000189266,PNRC2,60,-0.7826,53,-0.6347,128,1.12788
