Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188976,NOC2L,172,1.28214,74,-0.1261,38,-1.2386,97,0.35009,70,-0.2534,99,0.33724,49,-0.7754
ENSG00000188290,HES4,172,0.41829,28,-2.3221,118,-0.2071,148,0.20274,122,-0.1556,23,-2.6186,328,1.55767
ENSG00000187608,ISG15,172,1.62131,119,0.94330,72,0.13814,38,-0.9603,44,-0.7123,14,-2.3902,58,-0.2317
ENSG00000078808,SDF4,172,0.73927,231,1.25803,73,-0.7016,91,-0.3304,100,-0.1609,63,-0.8618,103,-0.0963
ENSG00000176022,B3GALT6,172,2.42465,36,-0.3867,13,-1.9914,49,0.11987,59,0.46672,0,-6.3409,7,-2.6752
ENSG00000160087,UBE2J2,172,1.62074,123,1.00174,24,-1.6788,45,-0.6920,68,0.03114,68,0.01920,35,-1.0122
ENSG00000131584,ACAP3,172,1.73281,19,-1.8040,27,-1.4348,41,-0.7309,49,-0.4440,97,0.69859,112,0.94171
ENSG00000127054,INTS11,172,1.26670,170,1.24276,40,-1.1674,64,-0.4113,85,0.08742,46,-0.8785,45,-0.9162
ENSG00000224051,CPTP,172,2.39608,43,-0.1123,23,-1.1379,36,-0.4105,35,-0.4725,57,0.33675,0,-6.0125
ENSG00000107404,DVL1,172,1.75351,70,0.17727,51,-0.3600,56,-0.1915,57,-0.1841,36,-0.8449,21,-1.6319
ENSG00000175756,AURKAIP1,172,0.41359,160,0.29430,130,-0.0450,184,0.61219,102,-0.4673,120,-0.1594,48,-1.5724
ENSG00000221978,CCNL2,172,2.03543,111,1.18507,35,-0.7445,38,-0.6124,37,-0.6803,41,-0.4544,2,-4.4576
ENSG00000242485,MRPL20,172,-0.0144,261,0.67395,145,-0.3145,217,0.41999,164,-0.0986,155,-0.1829,93,-0.9647
ENSG00000179403,VWA1,172,1.25413,46,-0.8788,45,-1.0105,4,-4.6265,26,-1.8779,380,2.94984,71,-0.2128
ENSG00000205090,TMEM240,172,2.38951,54,0.25636,36,-0.4550,30,-0.7497,41,-0.2245,24,-0.9830,0,-6.0173
ENSG00000160075,SSU72,172,0.02931,195,0.23333,113,-0.6911,237,0.64108,168,-0.0071,122,-0.5070,163,-0.0600
ENSG00000228594,FNDC10,172,1.48267,0,-7.9203,34,-1.2590,90,0.41380,101,0.62492,17,-2.2095,84,0.24654
ENSG00000197530,MIB2,172,2.40494,33,-0.5149,38,-0.3192,33,-0.5907,44,-0.0790,11,-2.1744,15,-1.7161
ENSG00000078369,GNB1,172,-0.5216,195,-0.3251,231,-0.0680,368,0.82809,215,-0.1935,218,-0.1479,182,-0.4297
ENSG00000067606,PRKCZ,172,-0.0576,98,-0.9238,98,-1.0111,295,0.98587,233,0.50218,213,0.28918,45,-2.0764
ENSG00000162585,FAAP20,172,0.92859,215,1.33113,71,-0.5504,43,-1.3777,40,-1.4789,178,0.98639,109,0.16325
ENSG00000157916,RER1,172,1.62769,116,0.90678,56,-0.3161,78,0.28985,51,-0.4579,7,-3.3025,3,-4.3069
ENSG00000157911,PEX10,172,2.04561,84,0.72345,25,-1.2981,30,-1.0228,29,-1.0437,40,-0.4681,80,0.62369
ENSG00000197921,HES5,172,2.84253,0,-7.0153,54,0.65602,23,-0.8847,28,-0.5196,0,-6.0938,1,-4.9192
ENSG00000157870,PRXL2B,172,0.62463,126,0.11254,84,-0.5783,126,0.12176,199,1.03656,47,-1.4032,11,-3.4695
ENSG00000158109,TPRG1L,172,0.04889,116,-0.5745,96,-0.9415,279,1.00676,157,-0.1035,139,-0.2912,177,0.09255
ENSG00000130764,LRRC47,172,1.51543,105,0.63170,64,-0.1865,68,-0.0775,58,-0.3547,8,-3.2244,46,-0.6733
ENSG00000116198,CEP104,172,2.24314,90,0.98220,27,-1.0456,32,-0.7586,22,-1.3468,71,0.58406,3,-4.1398
ENSG00000069424,KCNAB2,172,0.82104,13,-3.0476,74,-0.5950,163,0.85310,124,0.32037,21,-2.3883,116,0.16629
ENSG00000116254,CHD5,172,0.53908,1,-6.4940,103,-0.3131,118,-0.0889,249,1.43311,10,-3.6679,111,-0.1635
ENSG00000116251,RPL22,172,-1.4760,419,-0.1061,620,0.61185,230,-1.1251,203,-1.3247,993,1.35462,793,0.95013
ENSG00000116237,ICMT,172,2.18654,50,-0.0172,27,-1.0571,46,-0.1909,31,-0.8156,60,0.25768,18,-1.5474
ENSG00000097021,ACOT7,172,-0.8268,59,-2.4110,127,-1.3881,677,1.78715,376,0.46975,212,-0.5072,118,-1.3950
ENSG00000162408,NOL9,172,2.59714,43,0.02260,28,-0.7266,38,-0.1919,29,-0.6687,7,-2.5519,13,-1.7835
ENSG00000162413,KLHL21,172,1.66224,210,2.06242,22,-1.7446,52,-0.4034,29,-1.3557,15,-2.1965,54,-0.3187
ENSG00000007923,DNAJC11,172,2.26697,26,-0.9873,18,-1.6299,45,-0.1672,52,0.11714,36,-0.4952,27,-0.9252
ENSG00000171735,CAMTA1,172,-0.4039,132,-0.8070,229,0.05642,175,-0.4152,363,0.95838,127,-0.8659,254,0.21453
ENSG00000049245,VAMP3,172,1.17127,123,0.58765,58,-0.6627,27,-1.8687,22,-2.1729,233,1.74224,114,0.46275
ENSG00000116288,PARK7,172,-0.3675,367,0.87184,255,0.29506,285,0.51216,143,-0.7128,158,-0.4958,106,-1.1154
ENSG00000162426,SLC45A1,172,2.38114,0,-7.2901,28,-0.8383,70,0.78436,32,-0.6464,21,-1.2105,11,-2.0872
ENSG00000142599,RERE,172,0.70006,177,0.74685,117,0.06845,93,-0.3302,122,0.15559,11,-3.4658,99,-0.1927
ENSG00000074800,ENO1,172,-2.0650,1212,1.00079,554,-0.3258,987,0.75321,512,-0.4601,511,-0.4183,659,-0.0169
ENSG00000171612,SLC25A33,172,2.09682,53,-0.0148,48,-0.1572,22,-1.4295,8,-2.8994,123,1.42745,25,-1.1344
ENSG00000171603,CLSTN1,172,-0.8158,639,1.34686,213,-0.5347,375,0.48177,279,-0.0683,164,-0.8841,188,-0.6756
ENSG00000178585,CTNNBIP1,172,2.62260,28,-0.6473,26,-0.7855,40,-0.0979,29,-0.6295,29,-0.5519,0,-5.8738
ENSG00000162441,LZIC,172,1.92938,133,1.42269,30,-1.0727,27,-1.2304,19,-1.8289,111,1.09221,7,-3.0380
ENSG00000130939,UBE4B,172,2.33411,18,-1.4895,32,-0.6934,71,0.75417,37,-0.4172,4,-3.4205,2,-4.6535
ENSG00000054523,KIF1B,172,-1.1094,578,0.82416,282,-0.3866,353,0.00947,441,0.42329,434,0.34126,178,-1.0602
ENSG00000142657,PGD,172,1.34908,44,-0.8792,51,-0.7305,113,0.71029,102,0.51793,10,-3.0828,19,-2.1368
