Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188290,HES4,125,-0.3498,294,1.11988,116,-0.7297,37,-2.1928,317,1.26684
ENSG00000078808,SDF4,125,-0.1325,294,1.37357,120,-0.3344,33,-2.1850,154,0.20976
ENSG00000175756,AURKAIP1,125,-0.2003,294,1.28775,130,-0.2427,92,-0.6973,104,-0.4985
ENSG00000242485,MRPL20,125,-0.6024,294,0.82650,175,-0.1045,78,-1.3165,255,0.57770
ENSG00000160075,SSU72,125,-0.7232,294,0.68892,242,0.69780,83,-1.3392,95,-1.1340
ENSG00000078369,GNB1,838,1.34234,294,-0.4745,344,-0.3656,223,-0.9041,419,0.10217
ENSG00000067606,PRKCZ,125,-0.6864,294,0.72337,223,0.46058,117,-0.7953,111,-0.8715
ENSG00000157870,PRXL2B,125,-0.1814,294,1.32041,150,0.22423,53,-1.4985,42,-1.8442
ENSG00000158109,TPRG1L,125,-0.5171,294,0.92461,195,0.38860,83,-1.1475,94,-0.9602
ENSG00000069424,KCNAB2,125,-0.3929,294,1.06914,183,0.44436,70,-1.2829,50,-1.7997
ENSG00000116254,CHD5,125,-0.4377,294,1.01686,193,0.52702,91,-0.9226,26,-2.8120
ENSG00000116251,RPL22,125,-1.5858,294,-0.2581,292,-0.4367,425,0.35389,740,1.36209
ENSG00000097021,ACOT7,125,-1.4617,294,-0.1240,485,1.71060,84,-2.0570,90,-1.9508
ENSG00000171735,CAMTA1,125,-1.3013,294,0.04718,384,1.04077,174,-0.7878,153,-0.9864
ENSG00000116288,PARK7,125,-0.9747,294,0.40359,259,0.35163,173,-0.4668,220,-0.0810
ENSG00000142599,RERE,125,-0.3357,294,1.13649,157,0.07459,96,-0.7445,83,-0.9734
ENSG00000074800,ENO1,125,-2.3880,294,-1.1009,902,1.71636,381,-0.6968,298,-1.0797
ENSG00000171603,CLSTN1,125,-1.4613,294,-0.1236,402,0.79781,171,-0.9820,336,0.09620
ENSG00000054523,KIF1B,125,-1.7404,294,-0.4217,492,0.86223,281,-0.4891,381,0.00177
ENSG00000116649,SRM,125,0.08048,294,1.64250,114,-0.1094,48,-1.4178,27,-2.2817
ENSG00000116661,FBXO2,125,-1.3850,294,-0.0414,434,1.37153,143,-1.1803,110,-1.5766
ENSG00000132879,FBXO44,125,-0.3600,294,1.10785,167,0.21520,57,-1.5529,100,-0.7009
ENSG00000011021,CLCN6,125,-0.3418,294,1.12927,173,0.36032,54,-1.6365,67,-1.3076
ENSG00000116688,MFN2,125,-0.2520,294,1.23585,147,0.02738,95,-0.6843,63,-1.3024
ENSG00000159363,ATP13A2,125,-0.8526,294,0.54326,290,1.08639,93,-1.3045,33,-2.8170
ENSG00000117115,PADI2,1557,2.94160,294,-0.3824,73,-3.1968,204,-0.9548,628,0.90470
ENSG00000077549,CAPZB,125,-1.0671,294,0.30180,285,0.47781,138,-0.9105,262,0.11221
ENSG00000173436,MICOS10,125,-0.7429,294,0.66668,170,-0.4180,175,-0.2077,315,0.79246
ENSG00000158747,NBL1,125,-0.6148,294,0.81234,206,0.37002,107,-0.8463,112,-0.7813
ENSG00000162545,CAMK2N1,1046,1.29998,294,-0.8564,448,-0.3133,256,-1.0681,630,0.38197
ENSG00000158828,PINK1,125,-2.4066,2501,2.94973,439,-0.7753,246,-1.3887,136,-2.2792
ENSG00000127483,HP1BP3,125,-2.1636,2575,3.61349,261,-1.5217,120,-2.2187,181,-1.6050
ENSG00000075151,EIF4G3,125,-0.5170,294,0.92480,190,0.31367,81,-1.1798,113,-0.6692
ENSG00000076864,RAP1GAP,125,-0.1375,294,1.37357,153,0.37404,29,-2.3698,25,-2.5664
ENSG00000070831,CDC42,125,-1.4251,294,-0.0878,356,0.43685,137,-1.2857,497,0.81203
ENSG00000125944,HNRNPR,125,-0.4021,294,1.05839,151,-0.1513,40,-2.1430,215,0.49943
ENSG00000142676,RPL11,125,-1.9076,294,-0.5992,310,-0.8075,603,0.58871,1148,1.82907
