Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000078369,GNB1,154,-1.7548,330,-0.5754,977,1.34816,125,-2.0693,1011,1.41800,449,-0.0715,233,-1.1199
ENSG00000116251,RPL22,466,-1.1201,5,-7.7241,977,0.07409,1975,1.37361,762,-0.3394,1288,0.55551,1073,0.23498
ENSG00000171735,CAMTA1,116,-2.3332,14,-5.3956,977,1.13877,195,-1.5535,1030,1.24416,472,-0.1595,833,0.83317
ENSG00000116288,PARK7,119,-2.0787,447,-0.0099,977,1.43069,500,0.17729,289,-0.7199,402,-0.1895,416,-0.1316
ENSG00000074800,ENO1,610,-0.6610,1703,1.11994,977,0.11188,334,-1.5983,1181,0.44092,1157,0.40426,440,-1.1751
ENSG00000171603,CLSTN1,132,-2.8554,1626,1.19414,977,0.25490,505,-0.8278,1597,1.15831,269,-1.7986,782,-0.1215
ENSG00000054523,KIF1B,259,-1.4574,1016,0.79089,977,0.71803,186,-1.9640,639,-0.0253,765,0.28184,697,0.12304
ENSG00000116661,FBXO2,146,-2.0733,767,0.57517,977,1.02597,236,-1.3507,890,0.84796,604,0.15655,234,-1.3635
ENSG00000117115,PADI2,354,0.22991,5,-6.1289,977,2.29974,157,-1.0911,83,-2.0556,533,0.96836,57,-2.6212
ENSG00000173436,MICOS10,105,-1.9723,112,-1.8759,977,1.86310,433,0.26955,362,-0.0343,394,0.10854,204,-0.9626
ENSG00000158747,NBL1,92,-2.2130,5,-6.4299,977,1.78621,249,-0.6962,658,0.96700,268,-0.5833,426,0.18455
ENSG00000162545,CAMK2N1,250,-1.1945,5,-6.8991,977,1.10854,245,-1.2283,892,0.93214,771,0.66259,554,0.08143
ENSG00000158828,PINK1,307,-0.7445,6,-6.3450,977,1.27371,369,-0.4521,645,0.48931,652,0.50805,443,-0.1519
ENSG00000127483,HP1BP3,115,-2.0530,5,-6.5914,977,1.54138,546,0.42335,663,0.77423,399,-0.1147,284,-0.6649
ENSG00000070831,CDC42,76,-2.8422,441,-0.1391,977,1.30194,498,0.06640,865,1.06076,298,-0.7736,198,-1.4055
ENSG00000142676,RPL11,913,-0.3627,704,-0.7810,977,-0.2522,2213,1.20775,893,-0.3994,1271,0.18969,989,-0.2327
ENSG00000117632,STMN1,116,-2.6966,137,-2.4533,977,0.67011,517,-0.4176,1955,2.11532,551,-0.3145,407,-0.8001
ENSG00000142669,SH3BGRL3,94,-2.2406,23,-4.2788,977,1.71365,663,0.92009,533,0.52120,262,-0.6700,211,-1.0109
ENSG00000198830,HMGN2,69,-2.9788,1097,1.55386,977,1.31142,388,-0.3392,386,-0.3475,281,-0.8550,138,-1.9429
ENSG00000090273,NUDC,91,-2.4770,869,1.20499,977,1.44523,184,-1.4157,296,-0.6729,327,-0.5135,385,-0.2462
ENSG00000126709,IFI6,85,-2.7465,844,0.92445,977,1.20963,762,0.73292,302,-0.8225,328,-0.6915,213,-1.3681
ENSG00000130770,ATP5IF1,49,-3.3660,41,-3.6364,977,1.43820,220,-1.1435,1287,2.05900,354,-0.3879,209,-1.2202
ENSG00000162512,SDC3,164,-1.9409,883,0.79265,977,0.98385,158,-1.9927,595,0.09454,474,-0.2851,689,0.34671
ENSG00000134644,PUM1,105,-2.0623,5,-6.4734,977,1.71804,161,-1.4265,351,-0.1916,388,-0.0263,770,1.21699
ENSG00000184007,PTP4A2,635,0.39764,5,-6.8300,977,1.20096,326,-0.7077,447,-0.1991,488,-0.0540,648,0.43410
ENSG00000175130,MARCKSL1,160,-1.7731,74,-2.9126,977,1.25022,115,-2.2661,696,0.60661,992,1.28045,426,-0.2374
ENSG00000116560,SFPQ,66,-3.3349,1731,2.13859,977,0.91394,262,-1.2785,625,0.11412,181,-1.8469,245,-1.3815
ENSG00000020129,NCDN,82,-2.5485,5,-6.5830,977,1.55483,119,-1.9906,1254,2.13029,194,-1.2536,340,-0.3673
ENSG00000116871,MAP7D1,110,-1.8964,5,-6.3792,977,1.87148,306,-0.3062,621,0.92959,371,0.01348,187,-1.0905
ENSG00000197982,C1orf122,218,-1.2100,5,-6.7097,977,1.36640,236,-1.0882,918,1.23892,567,0.34268,329,-0.5663
ENSG00000168653,NDUFS5,93,-2.7140,706,0.45742,977,1.05826,559,0.05371,828,0.74564,406,-0.4727,220,-1.4303
ENSG00000127603,MACF1,199,-1.6141,673,0.34408,977,1.02653,594,0.12841,233,-1.3708,497,-0.1713,681,0.36501
ENSG00000065978,YBX1,163,-1.4590,253,-0.7800,977,1.63321,920,1.50398,159,-1.5039,299,-0.5180,94,-2.2956
ENSG00000117394,SLC2A1,219,-1.4740,5,-6.9667,977,1.02015,2260,3.07551,225,-1.4260,67,-3.2237,113,-2.4642
ENSG00000142949,PTPRF,137,-1.9770,1028,1.38167,977,1.27705,49,-3.4820,402,-0.3091,416,-0.2539,383,-0.3876
ENSG00000117410,ATP6V0B,61,-3.3235,28,-4.4296,977,1.08905,254,-1.1860,1580,2.13796,351,-0.6805,480,-0.1754
ENSG00000117419,ERI3,55,-3.0413,415,0.05975,977,1.68077,164,-1.4190,330,-0.3188,322,-0.3596,540,0.51547
ENSG00000142937,RPS8,546,-1.6935,1596,0.00333,977,-0.7945,3593,1.51243,1414,-0.1980,1540,-0.0560,1482,-0.1207
ENSG00000117450,PRDX1,454,-1.2806,1038,0.04371,977,-0.0580,602,-0.8434,1629,0.84232,1624,0.83660,756,-0.4797
ENSG00000173660,UQCRH,123,-2.2622,231,-1.3084,977,1.12269,226,-1.3405,1391,1.87355,473,-0.1698,246,-1.2113
ENSG00000162374,ELAVL4,67,-2.7628,5,-6.5115,977,1.66929,2,-7.4852,892,1.47208,125,-1.8434,751,1.12261
ENSG00000123091,RNF11,147,-2.0560,278,-1.0907,977,1.03517,212,-1.5051,1356,1.71242,159,-1.9450,706,0.43704
ENSG00000116133,DHCR24,193,-0.8092,5,-6.1659,977,2.23172,33,-3.4556,388,0.34304,539,0.94114,88,-2.0062
ENSG00000162407,PLPP3,183,-1.2800,505,0.36419,977,1.63896,199,-1.1507,395,-0.0535,366,-0.1807,231,-0.9181
ENSG00000177606,JUN,77,-3.3401,2063,2.17951,977,0.61874,1447,1.37519,164,-2.2343,29,-4.7516,36,-4.4362
ENSG00000162599,NFIA,525,-0.9602,2875,2.18998,977,0.04677,783,-0.3214,405,-1.3609,559,-0.8605,529,-0.9473
