Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to13,Feature log2 fold change topic 11to13
ENSG00000228794,LINC01128,8,-0.8787,2,-2.3987,22,0.71811,27,1.78331,3,-2.0336,0,-7.1721,10,-0.5230
ENSG00000188976,NOC2L,60,0.71517,2,-3.8612,28,-0.4819,52,0.67071,34,-0.2013,38,-0.0237,32,-0.3456
ENSG00000188290,HES4,257,2.00304,39,-1.0649,19,-2.1239,87,0.21848,109,0.57030,10,-2.9803,44,-1.0227
ENSG00000187608,ISG15,95,0.78145,3,-4.1736,27,-1.1487,45,-0.5302,121,1.35039,42,-0.4886,57,-0.0411
ENSG00000078808,SDF4,8,-3.0158,2,-4.5148,116,1.03857,75,0.46220,58,-0.0801,91,0.63934,52,-0.2756
ENSG00000176022,B3GALT6,28,0.23470,2,-3.2117,26,0.10401,40,1.19440,18,-0.4589,16,-0.6695,15,-0.7798
ENSG00000160087,UBE2J2,8,-2.0549,12,-1.3386,36,0.25892,39,0.49130,43,0.59199,25,-0.3045,26,-0.3092
ENSG00000131584,ACAP3,9,-1.2806,17,-0.3382,8,-1.4806,26,0.42083,13,-0.7116,22,0.05370,30,0.67218
ENSG00000127054,INTS11,76,0.73298,32,-0.6269,90,1.00977,52,0.17641,50,0.09504,35,-0.4559,27,-1.0154
ENSG00000224051,CPTP,89,2.17130,2,-3.2406,19,-0.3689,24,-0.0430,15,-0.8367,7,-1.7973,26,0.07826
ENSG00000107404,DVL1,80,0.86865,76,0.77965,59,0.37029,38,-0.3956,25,-0.9768,45,-0.0415,47,0.02236
ENSG00000175756,AURKAIP1,174,0.35240,106,-0.4185,204,0.60882,136,-0.0467,138,-0.0148,136,-0.0313,123,-0.2302
ENSG00000221978,CCNL2,9,-2.0695,9,-2.0303,99,1.62428,44,0.38846,26,-0.5799,47,0.39160,29,-0.4374
ENSG00000242485,MRPL20,288,0.73787,108,-0.7894,241,0.45362,185,0.04458,209,0.24567,150,-0.2943,137,-0.5074
ENSG00000235098,ANKRD65,9,-1.0783,2,-2.8488,42,1.28225,17,-0.2106,8,-1.4041,47,1.45568,21,0.18450
ENSG00000179403,VWA1,15,-2.1912,53,-0.3122,63,-0.0499,26,-1.6697,25,-1.4901,225,2.11663,112,1.12710
ENSG00000205090,TMEM240,8,-0.7859,2,-2.3086,21,0.78027,19,0.93015,8,-0.6963,11,-0.2941,10,-0.3635
ENSG00000160075,SSU72,277,1.01348,30,-2.3811,155,0.07323,183,0.47478,163,0.17172,88,-0.7881,103,-0.6361
ENSG00000228594,FNDC10,125,1.52450,2,-4.2256,21,-1.2911,76,1.02252,46,-0.1293,27,-0.8966,23,-1.2881
ENSG00000272106,AL691432.2,8,-1.2464,43,1.43048,25,0.53961,18,0.06445,7,-1.3562,22,0.32483,15,-0.2948
ENSG00000197530,MIB2,24,-0.4965,57,0.85445,46,0.52172,35,0.12751,26,-0.3808,34,0.05473,25,-0.4761
ENSG00000189339,SLC35E2B,111,2.45380,3,-3.2731,24,-0.1492,25,-0.1522,22,-0.3375,31,0.20308,12,-1.2924
ENSG00000008130,NADK,8,-1.5928,2,-3.0967,37,0.79979,24,0.15450,31,0.53909,22,0.00107,21,-0.0902
ENSG00000078369,GNB1,173,-0.9193,119,-1.4709,293,-0.1107,388,0.45963,412,0.47029,322,0.03447,270,-0.2831
ENSG00000187730,GABRD,8,-0.8239,2,-2.3455,48,2.15342,4,-1.8239,24,1.05370,6,-1.2072,14,0.13710
ENSG00000067606,PRKCZ,319,1.26937,135,-0.1201,85,-0.8281,195,0.64981,82,-0.9338,108,-0.4692,103,-0.6323
ENSG00000162585,FAAP20,91,0.88430,23,-1.2122,68,0.42084,50,-0.0975,64,0.34889,41,-0.3812,43,-0.3552
ENSG00000157933,SKI,8,-1.5154,3,-2.8413,47,1.28859,12,-1.1077,28,0.45819,25,0.23708,31,0.72031
ENSG00000157916,RER1,145,1.13424,11,-2.7875,105,0.60175,75,0.09166,59,-0.3223,70,-0.0319,61,-0.2859
ENSG00000157911,PEX10,8,-1.5287,2,-3.0176,50,1.36086,22,0.03344,21,-0.0397,31,0.54915,20,-0.1415
ENSG00000157870,PRXL2B,9,-2.3083,17,-1.4526,52,0.19756,63,0.70630,69,0.71938,23,-1.0514,35,-0.4772
ENSG00000158109,TPRG1L,89,-0.3419,22,-2.3891,136,0.31686,180,1.16744,101,-0.1568,52,-1.1361,73,-0.7397
ENSG00000130764,LRRC47,8,-3.0421,58,-0.0668,54,-0.1852,81,0.61626,80,0.48098,53,-0.2095,46,-0.5185
ENSG00000116198,CEP104,8,-1.8317,26,-0.0025,42,0.73317,17,-0.7937,28,0.06967,43,0.76584,33,0.44691
ENSG00000196581,AJAP1,8,-0.8486,2,-2.3695,4,-1.7277,27,1.79526,7,-0.9294,0,-7.1509,13,-0.0812
ENSG00000069424,KCNAB2,234,1.99379,3,-4.3858,33,-1.1919,98,0.69059,53,-0.5063,21,-1.8103,49,-0.6849
ENSG00000116254,CHD5,112,1.02048,3,-4.2910,6,-3.3060,92,1.03981,64,0.13789,10,-2.5660,47,-0.4046
ENSG00000116251,RPL22,61,-3.2549,1882,2.11538,593,0.13103,295,-1.1500,602,0.16913,713,0.42425,485,-0.2160
ENSG00000116237,ICMT,109,1.67909,9,-2.1237,75,1.03766,41,0.08846,25,-0.7089,23,-0.7835,27,-0.6841
ENSG00000097021,ACOT7,450,0.59110,173,-0.8938,73,-2.1772,543,1.39258,256,-0.3187,118,-1.4643,178,-0.9751
ENSG00000162408,NOL9,110,2.27566,4,-2.7431,43,0.60590,25,-0.3129,27,-0.1534,12,-1.2899,19,-0.7577
ENSG00000162413,KLHL21,8,-2.2656,4,-3.3774,94,1.42719,38,-0.0440,47,0.33287,63,0.74560,31,-0.4332
ENSG00000116273,PHF13,8,-0.9578,2,-2.4757,23,0.70691,15,0.08827,24,0.91960,17,0.22147,10,-0.6659
ENSG00000041988,THAP3,8,-0.9784,2,-2.4957,21,0.52020,23,1.08335,9,-0.8431,18,0.32059,10,-0.5833
ENSG00000007923,DNAJC11,76,1.60599,2,-3.4407,25,-0.1783,34,0.35681,14,-1.1466,21,-0.4811,28,-0.0348
ENSG00000171735,CAMTA1,238,0.11598,95,-1.2872,116,-0.9914,367,1.22849,155,-0.5890,126,-0.8594,174,-0.4309
ENSG00000049245,VAMP3,8,-3.1586,61,-0.1321,39,-0.7889,18,-2.2346,67,0.01811,298,2.64964,83,0.43774
ENSG00000049246,PER3,8,-1.7668,2,-3.2679,54,1.23536,20,-0.4115,38,0.71860,40,0.73587,22,-0.2550
ENSG00000116288,PARK7,253,-0.5025,388,0.15933,453,0.40162,376,0.14698,452,0.44170,350,-0.0020,236,-0.7045
ENSG00000116285,ERRFI1,12,-0.6738,4,-2.3168,20,0.15271,21,0.28882,16,-0.2191,42,1.32738,15,-0.3626
ENSG00000162426,SLC45A1,77,1.59230,2,-3.4658,8,-1.8581,51,1.38852,21,-0.5365,9,-1.7919,12,-1.4893
ENSG00000142599,RERE,136,0.59791,79,-0.2693,112,0.28865,98,0.09787,95,0.01998,105,0.18215,67,-0.5859
ENSG00000074800,ENO1,686,0.11852,300,-1.1425,1165,0.97669,728,0.29225,764,0.31853,360,-0.8704,438,-0.6670
ENSG00000171612,SLC25A33,8,-2.3735,28,-0.5042,42,0.15084,42,0.18922,50,0.44909,60,0.69124,32,-0.3527
ENSG00000188807,TMEM201,8,-1.1619,2,-2.6746,15,-0.1188,24,0.82961,14,-0.2377,10,-0.7105,19,0.20224
ENSG00000171603,CLSTN1,805,1.39389,126,-1.5220,586,0.85341,419,0.42905,265,-0.4374,206,-0.7862,183,-1.1041
ENSG00000178585,CTNNBIP1,93,1.27151,80,1.02884,13,-1.7641,41,-0.0535,37,-0.2399,37,-0.1915,30,-0.6342
ENSG00000162441,LZIC,8,-2.5148,3,-3.6308,71,0.81243,34,-0.4347,62,0.66069,73,0.86712,46,0.14148
ENSG00000130939,UBE4B,8,-2.1821,3,-3.3428,42,0.33578,52,1.02400,19,-0.9354,48,0.56238,30,-0.1960
ENSG00000054523,KIF1B,487,0.72490,193,-0.7222,355,0.21619,306,-0.0235,296,-0.0739,366,0.26377,268,-0.2618
ENSG00000142657,PGD,64,-0.0528,10,-2.7105,40,-0.7686,93,0.78314,62,-0.0932,82,0.34112,55,-0.3366
