Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to5,Feature log2 fold change topic 2to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000187634,SAMD11,38,0.98332,37,1.84098,2,-3.1944,5,-2.0244,6,-1.9228
ENSG00000188976,NOC2L,38,-0.4484,58,0.33908,50,-0.0164,13,-2.0254,62,0.35640
ENSG00000188290,HES4,420,2.88427,82,-0.2934,35,-1.6148,59,-0.7148,27,-2.0175
ENSG00000187608,ISG15,38,-0.6493,88,1.21967,23,-1.5097,79,0.50564,31,-1.0365
ENSG00000078808,SDF4,38,-1.1052,101,0.66230,89,0.22410,67,-0.2404,49,-0.8007
ENSG00000176022,B3GALT6,38,0.60303,37,0.91368,9,-1.7443,25,-0.0635,17,-0.7003
ENSG00000160087,UBE2J2,414,3.38159,55,-0.7431,40,-1.0958,11,-2.9257,22,-1.9847
ENSG00000131584,ACAP3,38,-0.1427,29,-0.7901,64,0.81122,35,-0.2964,51,0.35610
ENSG00000127054,INTS11,38,-0.4042,53,0.15621,58,0.30203,35,-0.5455,47,-0.0923
ENSG00000224051,CPTP,38,0.67183,30,0.39377,18,-0.6020,18,-0.5545,21,-0.2779
ENSG00000107404,DVL1,408,2.90087,56,-1.0038,64,-0.5811,52,-0.8346,42,-1.2492
ENSG00000175756,AURKAIP1,38,-1.8198,158,0.58352,129,0.03084,128,0.01770,104,-0.3373
ENSG00000221978,CCNL2,38,-0.0900,43,0.14193,42,0.08798,43,0.07933,34,-0.3220
ENSG00000242485,MRPL20,38,-2.3212,237,0.77941,157,-0.2151,215,0.31352,129,-0.5474
ENSG00000179403,VWA1,38,-1.3305,16,-3.1470,260,2.39877,103,0.19767,94,0.05356
ENSG00000160075,SSU72,382,1.26053,205,0.29922,146,-0.3797,119,-0.6617,102,-0.9825
ENSG00000228594,FNDC10,409,2.81963,85,-0.1994,53,-0.9490,15,-2.7049,28,-1.9272
ENSG00000197530,MIB2,38,0.53295,33,0.49000,6,-2.4490,35,0.40555,28,0.05240
ENSG00000078369,GNB1,1120,1.63509,447,0.05685,340,-0.4388,311,-0.5320,233,-1.0631
ENSG00000067606,PRKCZ,38,-2.3222,240,0.81916,178,0.00699,65,-1.5471,178,0.00329
ENSG00000162585,FAAP20,38,-0.6982,66,0.22573,60,-0.0010,55,-0.1413,62,0.05732
ENSG00000157933,SKI,38,0.40442,15,-1.3302,43,0.69005,29,-0.0639,42,0.62834
ENSG00000157916,RER1,38,-1.1491,88,0.20955,104,0.47352,89,0.15794,60,-0.5137
ENSG00000157911,PEX10,415,3.96908,29,-1.5902,6,-3.5500,34,-1.0002,36,-1.0139
ENSG00000157870,PRXL2B,418,2.60704,91,-0.3005,66,-0.7609,45,-1.2725,37,-1.6752
ENSG00000158109,TPRG1L,38,-2.1032,276,1.94216,98,-0.7698,52,-1.6504,71,-1.2774
ENSG00000130764,LRRC47,38,-0.9930,96,0.74433,88,0.34300,32,-1.2526,49,-0.6892
ENSG00000116198,CEP104,38,0.39035,20,-0.8109,37,0.39338,26,-0.1924,39,0.50371
ENSG00000069424,KCNAB2,38,-1.4773,161,1.41142,107,0.11875,29,-1.8797,40,-1.5353
ENSG00000116254,CHD5,38,-1.0881,118,1.21197,61,-0.4123,36,-1.1633,53,-0.6435
ENSG00000116251,RPL22,38,-3.1496,279,-0.2629,308,-0.0244,730,1.45515,312,-0.0031
ENSG00000116237,ICMT,38,-0.3664,52,0.16409,65,0.56218,34,-0.5653,37,-0.4619
