Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000242485,MRPL20,290,0.29292,192,-0.3948,247,0.01946,60,-2.3880,543,1.48190,316,0.44348
ENSG00000179403,VWA1,160,-0.7256,425,0.94013,0,-8.5785,155,-0.8955,543,1.42505,315,0.39306
ENSG00000160075,SSU72,267,-0.1753,351,0.28809,381,0.43053,110,-1.7535,543,1.08457,315,0.10131
ENSG00000078369,GNB1,526,-0.4489,657,-0.0843,469,-0.6312,115,-2.9963,543,-0.3972,2409,2.57412
ENSG00000067606,PRKCZ,110,-1.2638,284,0.26841,352,0.64448,48,-2.7248,543,1.49047,315,0.44794
ENSG00000116251,RPL22,983,1.12566,658,0.38389,189,-1.6202,497,-0.1156,543,0.05218,318,-0.8197
ENSG00000097021,ACOT7,63,-2.5122,270,-0.2715,923,2.08480,56,-2.9030,543,0.95163,315,-0.0151
ENSG00000171735,CAMTA1,100,-2.0608,833,1.49586,379,0.03035,217,-0.9974,543,0.65976,315,-0.2752
ENSG00000116288,PARK7,381,0.44216,274,-0.1241,221,-0.4777,166,-1.0641,543,1.09605,315,0.11130
ENSG00000074800,ENO1,1343,1.36764,565,-0.2029,1144,1.04656,277,-1.4937,543,-0.2674,315,-1.1317
ENSG00000171603,CLSTN1,436,-0.7261,775,0.22097,302,-1.2991,151,-2.5558,543,-0.3745,2407,2.61251
ENSG00000054523,KIF1B,577,0.35881,551,0.27962,727,0.77542,281,-0.9491,543,0.25375,315,-0.6456
ENSG00000116661,FBXO2,545,0.68526,407,0.16888,617,0.91592,76,-2.6756,543,0.67751,315,-0.2592
ENSG00000116688,MFN2,191,-0.3419,234,-0.0081,243,0.05167,60,-2.3263,543,1.55829,315,0.50442
ENSG00000159363,ATP13A2,76,-1.6900,108,-1.1609,363,0.86223,77,-1.8585,543,1.67731,315,0.60242
ENSG00000117115,PADI2,276,-0.0782,554,1.18007,2,-7.2679,166,-1.0264,543,1.13844,315,0.14811
ENSG00000077549,CAPZB,368,0.35891,144,-1.1670,487,0.86276,117,-1.6648,543,1.07208,315,0.09042
ENSG00000173436,MICOS10,235,-0.3810,527,1.03278,133,-1.2752,159,-1.1378,543,1.09021,315,0.10621
ENSG00000162545,CAMK2N1,162,-1.6448,1205,1.85685,227,-1.1255,374,-0.3906,543,0.29400,315,-0.6084
ENSG00000158828,PINK1,546,0.85611,258,-0.4343,310,-0.1362,191,-1.0429,543,0.84484,315,-0.1096
ENSG00000127483,HP1BP3,402,0.62606,314,0.19015,105,-1.5512,143,-1.2310,543,1.19333,315,0.19556
ENSG00000075151,EIF4G3,1,-8.6187,198,-1.5031,198,-1.4999,107,-2.6423,543,0.10519,2416,3.64708
ENSG00000070831,CDC42,324,-1.7258,771,-0.3743,260,-2.0588,193,-2.7182,543,-0.9328,4480,3.55506
ENSG00000142676,RPL11,1412,1.46323,749,0.26801,281,-1.3181,591,-0.1583,543,-0.2740,315,-1.1389
ENSG00000057757,PITHD1,186,-0.8148,334,0.13691,653,1.37914,63,-2.6860,543,1.01187,315,0.03779
ENSG00000001461,NIPAL3,53,-2.1678,142,-0.6784,164,-0.4468,143,-0.7613,543,1.75869,315,0.66859
ENSG00000117632,STMN1,284,-1.2827,2151,2.49543,689,0.14184,227,-1.8068,543,-0.2574,315,-1.1225
ENSG00000142669,SH3BGRL3,308,0.13710,188,-0.6760,346,0.33912,144,-1.2323,543,1.16956,315,0.17504
ENSG00000198830,HMGN2,423,0.85934,291,0.18947,122,-1.2050,63,-2.4134,543,1.34790,315,0.32783
ENSG00000090273,NUDC,242,0.00439,314,0.45467,125,-1.0601,74,-2.0392,543,1.50704,315,0.46178
ENSG00000126709,IFI6,516,0.78376,428,0.44669,160,-1.1646,176,-1.1574,543,0.87805,315,-0.0801
ENSG00000126698,DNAJC8,291,0.20010,253,-0.0392,273,0.08822,69,-2.2768,543,1.35716,315,0.33569
