Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188290,HES4,568,2.17701,195,0.18430,116,-0.7144,160,-0.1422,39,-2.4316,335,1.11629,1,-7.0283
ENSG00000187608,ISG15,10,-3.9002,2,-5.8801,57,-1.5122,144,0.05293,77,-1.0239,335,1.54156,495,2.37738
ENSG00000078808,SDF4,192,0.67006,104,-0.3371,108,-0.3232,159,0.35128,63,-1.2098,335,1.70001,25,-2.4840
ENSG00000107404,DVL1,11,-2.9811,73,-0.1830,66,-0.3815,31,-1.4759,76,-0.1313,335,2.73053,1,-5.9374
ENSG00000175756,AURKAIP1,10,-4.1329,187,0.21999,164,0.00900,146,-0.1884,79,-1.2360,335,1.23393,307,1.07368
ENSG00000242485,MRPL20,10,-3.9958,237,0.77613,176,0.31671,193,0.42518,106,-0.5959,335,1.41215,1,-6.7998
ENSG00000160075,SSU72,1502,3.04201,255,-0.4072,208,-0.8000,172,-1.0179,70,-2.5136,335,0.03167,137,-1.3569
ENSG00000228594,FNDC10,10,-3.5052,220,1.24884,156,0.76026,23,-2.3200,28,-2.1987,335,2.10301,1,-6.3150
ENSG00000078369,GNB1,865,1.38647,589,0.68865,440,0.22640,338,-0.2290,146,-1.6518,335,-0.2439,211,-0.9621
ENSG00000067606,PRKCZ,10,-4.1772,211,0.36483,340,1.49867,79,-1.1832,62,-1.6886,335,1.17639,82,-1.1335
ENSG00000157916,RER1,10,-3.1593,9,-3.2605,79,-0.1143,114,0.51709,37,-1.3912,335,2.67062,54,-0.7019
ENSG00000157870,PRXL2B,10,-3.1343,0,-6.9959,125,0.83238,46,-0.8964,49,-0.9031,335,2.71229,1,-5.9474
ENSG00000158109,TPRG1L,10,-4.3322,329,0.94618,345,1.26760,77,-1.3828,61,-1.8690,335,0.98099,128,-0.6036
ENSG00000130764,LRRC47,338,1.90349,0,-7.5063,117,-0.0076,68,-0.8503,40,-1.7777,335,1.88717,1,-6.4576
ENSG00000069424,KCNAB2,2146,4.12290,275,-0.3754,124,-1.7318,52,-2.8730,36,-3.5901,335,-0.0587,1,-8.0218
ENSG00000116254,CHD5,10,-3.6559,163,0.54304,213,1.22723,36,-1.8104,44,-1.6407,335,1.88287,1,-6.4616
ENSG00000116251,RPL22,10,-4.9528,204,-0.5490,206,-0.6003,809,1.85470,320,0.19582,335,0.24609,186,-0.6947
ENSG00000097021,ACOT7,2044,2.39068,928,0.81078,741,0.49459,103,-2.6156,133,-2.3855,335,-0.8464,1,-8.4161
ENSG00000171735,CAMTA1,434,0.80276,305,0.20209,316,0.30372,176,-0.6692,218,-0.3759,335,0.36119,104,-1.4804
ENSG00000116288,PARK7,10,-4.9182,530,1.08117,205,-0.5632,244,-0.2308,167,-0.9097,335,0.28582,670,1.52228
ENSG00000142599,RERE,10,-3.7349,124,-0.0066,97,-0.4518,53,-1.3314,84,-0.6879,335,1.76945,236,1.09266
ENSG00000074800,ENO1,801,0.30171,875,0.44914,900,0.58405,452,-0.6175,386,-0.9522,335,-1.0778,966,0.61779
ENSG00000171603,CLSTN1,1538,1.78611,728,0.41190,410,-0.5746,216,-1.5005,125,-2.4644,335,-0.8290,1215,1.32069
ENSG00000054523,KIF1B,10,-5.3880,565,0.62022,369,-0.0983,403,0.05597,239,-0.8536,335,-0.2417,976,1.62348
ENSG00000142657,PGD,10,-3.0971,32,-1.4192,110,0.61530,84,0.07248,20,-2.2720,335,2.78270,1,-5.9090
ENSG00000116649,SRM,10,-3.5400,290,1.75032,105,-0.0661,71,-0.6632,30,-2.0956,335,2.05315,1,-6.3467
ENSG00000116661,FBXO2,1561,2.07966,539,0.11823,439,-0.2434,123,-2.1569,153,-1.9683,335,-0.6389,771,0.72030
ENSG00000132879,FBXO44,468,1.73339,335,1.08775,159,-0.1940,52,-1.8905,42,-2.3556,335,1.09042,1,-7.0475
ENSG00000011021,CLCN6,10,-3.7646,307,1.55181,191,0.81370,45,-1.6111,31,-2.2948,335,1.72734,1,-6.5702
ENSG00000116688,MFN2,10,-3.6416,36,-1.7942,198,1.07775,103,-0.1983,60,-1.1446,335,1.90188,50,-1.3091
ENSG00000116786,PLEKHM2,10,-3.0549,0,-6.9179,77,-0.0219,95,0.32622,53,-0.6751,335,2.85649,1,-5.8700
ENSG00000159363,ATP13A2,2071,3.24130,446,0.08033,404,-0.0898,71,-2.7164,44,-3.5959,335,-0.3776,1,-8.3092
ENSG00000117115,PADI2,10,-3.5992,64,-0.9046,17,-3.0105,333,1.95196,91,-0.3903,335,1.96555,61,-0.9703
ENSG00000077549,CAPZB,10,-4.4190,263,0.45747,316,0.92348,187,-0.1017,80,-1.5396,335,0.87578,208,0.06788
ENSG00000173436,MICOS10,10,-4.2600,362,1.21328,199,0.20477,310,0.93110,96,-1.0737,335,1.07263,1,-7.0604
ENSG00000158747,NBL1,10,-3.8790,223,0.81603,184,0.57250,123,-0.1809,87,-0.7894,335,1.56968,1,-6.6832
ENSG00000162545,CAMK2N1,10,-5.0403,841,1.81122,343,0.21256,435,0.58260,224,-0.5554,335,0.14703,1,-7.8391
ENSG00000158828,PINK1,10,-4.8697,632,1.47168,411,0.81793,277,0.02442,168,-0.8414,335,0.34048,40,-2.9081
ENSG00000127483,HP1BP3,10,-4.1837,190,0.18566,96,-0.9807,204,0.30559,118,-0.6336,335,1.16952,357,1.28455
ENSG00000075151,EIF4G3,10,-4.0816,267,0.88538,165,0.07645,127,-0.3435,42,-2.1815,335,1.29970,270,0.90171
ENSG00000076864,RAP1GAP,10,-3.6769,253,1.29421,178,0.78656,54,-1.2453,34,-2.0825,335,1.85161,1,-6.4831
ENSG00000070831,CDC42,10,-4.7583,308,0.32657,294,0.29270,313,0.35370,141,-1.0123,335,0.47079,434,0.91919
ENSG00000125944,HNRNPR,10,-3.6266,247,1.31754,61,-1.1007,163,0.56954,47,-1.5216,335,1.92514,68,-0.8231
ENSG00000142676,RPL11,302,-0.5917,407,-0.1233,159,-1.7084,1116,1.65270,401,-0.1660,335,-0.4308,672,0.71353
ENSG00000057757,PITHD1,409,0.50009,546,1.00314,537,1.18701,122,-1.4121,54,-2.7742,335,0.16652,129,-1.3319
ENSG00000001461,NIPAL3,10,-3.4366,12,-3.1264,135,0.55208,104,0.04545,76,-0.5140,335,2.21165,28,-1.9388
ENSG00000133226,SRRM1,10,-3.2469,51,-0.8799,40,-1.3604,158,0.97292,83,-0.1308,335,2.51913,1,-6.0566
ENSG00000169504,CLIC4,10,-3.4420,36,-1.6120,3,-5.0483,301,1.96431,73,-0.5871,335,2.20346,80,-0.3778
ENSG00000117614,SYF2,10,-3.2690,39,-1.2826,42,-1.3107,158,0.94471,76,-0.3050,335,2.48293,34,-1.5139
ENSG00000117640,MTFR1L,10,-3.5218,5,-4.5632,121,0.22153,39,-1.5760,55,-1.1519,335,2.07756,227,1.29347
ENSG00000117632,STMN1,10,-5.6838,1234,1.68402,636,0.55518,883,1.04566,187,-1.5850,335,-0.5644,195,-1.3963
ENSG00000142669,SH3BGRL3,40,-2.9384,541,1.10644,310,0.17050,250,-0.2023,80,-2.0844,335,0.27685,602,1.30472
ENSG00000198830,HMGN2,15,-3.8751,102,-1.0863,70,-1.7991,255,0.35915,107,-1.1186,335,0.82550,785,2.55967
ENSG00000117713,ARID1A,10,-3.5986,55,-1.1284,33,-2.0349,89,-0.3911,53,-1.2766,335,1.96646,357,2.10583
ENSG00000090273,NUDC,10,-4.7646,355,0.56261,153,-0.8790,139,-0.9366,87,-1.7772,335,0.46333,958,2.53357
ENSG00000186501,TMEM222,10,-3.4494,66,-0.6796,110,0.14609,71,-0.5702,39,-1.6220,335,2.19106,138,0.49879
ENSG00000126709,IFI6,10,-4.8256,77,-1.8969,369,0.65761,242,-0.1438,108,-1.5170,335,0.39252,759,1.90652
ENSG00000117758,STX12,189,0.48576,109,-0.4076,175,0.41544,105,-0.4655,89,-0.8047,335,1.52259,1,-6.7182
ENSG00000126698,DNAJC8,10,-3.8550,65,-1.1502,127,-0.1171,138,0.03188,93,-0.6664,335,1.60231,230,0.89518
ENSG00000130770,ATP5IF1,10,-5.0960,1069,2.24798,333,0.08395,287,-0.1655,112,-1.7519,335,0.08317,275,-0.2359
ENSG00000198492,YTHDF2,10,-3.6719,0,-7.5253,143,0.34556,107,-0.1655,13,-3.5261,335,1.85919,308,1.68561
ENSG00000162512,SDC3,10,-4.1903,9,-4.2596,193,0.23916,102,-0.8001,231,0.59541,335,1.16115,226,0.46965
ENSG00000134644,PUM1,10,-4.2721,130,-0.5173,254,0.67766,117,-0.6800,100,-1.0243,335,1.05833,320,0.97737
ENSG00000121766,ZCCHC17,10,-3.8757,250,1.02365,197,0.71912,65,-1.1669,88,-0.7669,335,1.57467,1,-6.6796
ENSG00000121769,FABP3,3038,4.58707,135,-1.8563,196,-1.4105,54,-3.1837,45,-3.6355,335,-0.4677,1,-8.3917
ENSG00000162517,PEF1,10,-3.7758,255,1.18437,195,0.84247,94,-0.4971,33,-2.2148,335,1.71046,1,-6.5823
ENSG00000184007,PTP4A2,10,-4.1754,104,-0.7661,107,-0.7967,384,1.43440,235,0.64749,335,1.18018,1,-6.9779
ENSG00000121774,KHDRBS1,10,-3.8397,34,-2.0971,140,0.08716,210,0.75543,36,-2.1351,335,1.62322,261,1.14686
ENSG00000025800,KPNA6,10,-3.3503,136,0.58216,88,-0.1566,90,-0.0875,56,-0.9310,335,2.34805,1,-6.1588
ENSG00000084623,EIF3I,58,-1.4236,256,0.96832,186,0.49067,168,0.24567,47,-1.8752,335,1.46939,18,-3.1325
ENSG00000175130,MARCKSL1,10,-4.7103,229,-0.1010,76,-1.9269,1104,3.01430,169,-0.6468,335,0.52753,25,-3.4239
ENSG00000162521,RBBP4,10,-3.4220,4,-4.7271,85,-0.3027,108,0.12743,50,-1.2002,335,2.23412,176,0.95130
ENSG00000134684,YARS,10,-3.8080,275,1.27821,135,0.05931,47,-1.5851,29,-2.4634,335,1.66529,184,0.56370
ENSG00000134686,PHC2,10,-3.1390,46,-0.9027,97,0.30284,110,0.47015,23,-2.0699,335,2.70705,1,-5.9499
ENSG00000116560,SFPQ,10,-4.2353,53,-1.8298,119,-0.6811,244,0.54378,82,-1.2916,335,1.10443,535,2.02839
ENSG00000020129,NCDN,800,1.36782,1067,1.94756,421,0.27589,86,-2.2006,66,-2.7571,335,-0.1330,14,-4.8173
ENSG00000126067,PSMB2,10,-4.2348,394,1.40807,248,0.67662,69,-1.4542,45,-2.2352,335,1.10428,187,0.10002
ENSG00000116871,MAP7D1,742,1.81974,424,0.76371,231,-0.2776,256,-0.0771,100,-1.6586,335,0.36188,1,-7.5211
ENSG00000054118,THRAP3,10,-3.4389,42,-1.3558,87,-0.2773,86,-0.2604,46,-1.3397,335,2.20761,173,0.90148
ENSG00000163875,MEAF6,10,-3.8292,101,-0.4346,237,1.20069,54,-1.3933,36,-2.1347,335,1.63675,148,0.17699
ENSG00000197982,C1orf122,10,-4.6406,330,0.58357,211,-0.1744,460,1.17093,162,-0.6409,335,0.60892,210,-0.1600
ENSG00000174574,AKIRIN1,10,-3.9035,218,0.74614,126,-0.1881,133,-0.0832,45,-1.8667,335,1.53659,218,0.74874
ENSG00000168653,NDUFS5,10,-5.1424,511,0.73990,447,0.59719,403,0.33531,181,-1.0372,335,0.03093,445,0.50099
ENSG00000127603,MACF1,10,-4.5568,205,-0.1055,108,-1.2118,334,0.70272,136,-0.8377,335,0.70916,601,1.80674
ENSG00000116983,HPCAL4,10,-3.7254,71,-0.8688,245,1.46218,54,-1.2902,72,-0.9473,335,1.78279,8,-4.0134
ENSG00000131236,CAP1,10,-3.8470,113,-0.2784,219,0.99189,147,0.14287,82,-0.8537,335,1.61292,1,-6.6518
ENSG00000131238,PPT1,10,-4.0278,321,1.28877,102,-0.7027,77,-1.0569,66,-1.4221,335,1.37037,291,1.10466
ENSG00000084070,SMAP2,10,-3.5186,251,1.48745,121,0.22752,66,-0.7609,30,-2.1080,335,2.08534,1,-6.3260
ENSG00000117016,RIMS3,10,-3.1891,5,-4.1632,168,1.44017,26,-1.7886,27,-1.8899,335,2.61923,1,-5.9997
ENSG00000065978,YBX1,10,-3.5720,0,-7.4268,71,-0.7796,258,1.46764,58,-1.1226,335,2.00550,139,0.37048
ENSG00000117394,SLC2A1,10,-3.7199,14,-3.2031,55,-1.3675,386,2.09377,125,0.03479,335,1.79006,1,-6.5256
