Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,235,2.21985,50,-0.5330,19,-2.0174,43,-0.9735,42,-0.8218,81,0.24936
ENSG00000188290,HES4,235,1.48826,110,0.15643,62,-0.7626,50,-1.3312,110,0.15103,118,0.31190
ENSG00000078808,SDF4,235,1.20988,122,0.07272,139,0.29316,59,-1.2869,127,0.13769,123,0.11049
ENSG00000127054,INTS11,235,2.26265,55,-0.3668,60,-0.2196,26,-1.7664,28,-1.4143,83,0.34903
ENSG00000107404,DVL1,235,2.12553,68,-0.1329,59,-0.3553,46,-0.9046,78,0.09361,42,-0.9705
ENSG00000175756,AURKAIP1,235,0.62015,150,-0.1229,150,-0.1214,101,-0.9289,111,-0.5950,254,0.90396
ENSG00000221978,CCNL2,235,2.20214,58,-0.3268,100,0.56768,31,-1.5414,98,0.53252,28,-1.5626
ENSG00000242485,MRPL20,235,0.23245,287,0.56485,202,-0.0180,149,-0.6376,170,-0.2897,248,0.37262
ENSG00000179403,VWA1,235,1.57441,115,0.29800,285,1.96978,58,-0.9731,30,-1.7747,12,-3.2799
ENSG00000160075,SSU72,235,0.51581,146,-0.2664,88,-1.0576,125,-0.6393,280,0.81688,213,0.40255
ENSG00000228594,FNDC10,235,1.97025,13,-2.7171,113,0.58790,46,-1.0535,58,-0.4894,78,-0.0310
ENSG00000078369,GNB1,235,-0.3145,245,-0.2493,312,0.14270,237,-0.3916,457,0.78646,308,0.13599
ENSG00000067606,PRKCZ,235,0.64935,66,-1.3736,251,0.76533,88,-1.1470,221,0.54075,198,0.42159
ENSG00000162585,FAAP20,235,1.99592,71,-0.1572,118,0.69098,46,-1.0364,94,0.30596,24,-1.9523
ENSG00000157916,RER1,235,1.69379,107,0.27405,84,-0.1119,50,-1.1534,60,-0.6535,89,-0.0191
ENSG00000157870,PRXL2B,235,1.96618,90,0.20725,8,-3.3299,56,-0.7001,10,-3.0857,101,0.47061
ENSG00000158109,TPRG1L,235,0.79210,161,0.15038,65,-1.2651,91,-0.9430,97,-0.6467,245,1.04246
ENSG00000130764,LRRC47,235,1.64014,77,-0.2931,95,0.03838,50,-1.1922,64,-0.5941,108,0.27792
ENSG00000069424,KCNAB2,235,1.71222,35,-1.4648,10,-3.2991,39,-1.5523,195,1.34188,108,0.35265
ENSG00000116254,CHD5,235,1.33931,31,-1.9185,6,-4.1469,64,-1.0316,298,1.80744,107,-0.0201
ENSG00000116251,RPL22,235,-0.8670,820,1.20288,831,1.22716,405,-0.0165,289,-0.5474,140,-1.7872
ENSG00000116237,ICMT,235,2.46048,77,0.30078,62,-0.0350,30,-1.4017,31,-1.0996,39,-0.8598
ENSG00000097021,ACOT7,235,-0.5394,145,-1.2842,98,-1.8659,147,-1.5124,355,0.11786,848,2.21559
ENSG00000171735,CAMTA1,235,0.11947,196,-0.1781,36,-2.7278,243,0.23789,524,1.53704,123,-0.9957
ENSG00000049245,VAMP3,235,1.90663,105,0.41987,230,1.85975,40,-1.3252,15,-2.5684,14,-2.8331
ENSG00000116288,PARK7,235,-0.4813,510,0.79354,292,-0.1363,256,-0.4462,328,0.04864,365,0.25821
ENSG00000142599,RERE,235,1.45138,56,-0.9523,113,0.16129,80,-0.4959,156,0.70689,60,-0.9260
ENSG00000074800,ENO1,235,-1.9035,1129,0.55263,549,-0.6177,778,-0.0838,709,-0.2132,1164,0.71677
ENSG00000171603,CLSTN1,235,-0.5424,289,-0.2193,231,-0.5709,213,-0.8684,696,1.28753,443,0.56836
ENSG00000130939,UBE4B,235,2.17796,25,-1.6024,14,-2.4600,44,-0.9577,52,-0.5231,95,0.53107
ENSG00000054523,KIF1B,235,-0.4273,270,-0.2093,497,0.80659,234,-0.5523,245,-0.3634,408,0.55156
ENSG00000142657,PGD,235,1.21253,81,-0.5661,88,-0.4341,44,-1.7656,103,-0.1872,202,1.13607
ENSG00000160049,DFFA,235,1.88447,43,-1.0202,190,1.45533,47,-1.0995,80,-0.0396,27,-1.8532
