Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6
ENSG00000188290,HES4,78,-1.2220,39,-2.5236,116,-0.6043,361,2.39695
ENSG00000078808,SDF4,49,-1.9927,64,-1.8336,142,-0.3420,361,2.17360
ENSG00000175756,AURKAIP1,96,-0.9904,65,-1.8169,106,-0.8414,361,2.11310
ENSG00000242485,MRPL20,59,-1.8681,72,-1.7844,217,0.22970,361,1.77615
ENSG00000160075,SSU72,124,-0.8606,65,-2.1139,280,0.51823,361,1.43358
ENSG00000078369,GNB1,265,-0.1840,133,-1.4921,516,1.04012,361,0.46276
ENSG00000067606,PRKCZ,189,-0.1432,41,-2.7991,239,0.26773,361,1.49882
ENSG00000162585,FAAP20,30,-2.6114,50,-2.0902,99,-0.7824,361,2.65555
ENSG00000158109,TPRG1L,180,-0.1821,30,-3.2325,240,0.31932,361,1.58450
ENSG00000116254,CHD5,255,0.43696,64,-2.0610,91,-1.2686,361,1.60477
ENSG00000116251,RPL22,77,-2.3039,418,0.52620,360,0.13709,361,0.18344
ENSG00000097021,ACOT7,403,0.59094,12,-5.1573,591,1.36221,361,0.50533
ENSG00000171735,CAMTA1,226,-0.4748,199,-0.8164,454,0.75147,361,0.42205
ENSG00000049245,VAMP3,19,-3.3756,50,-2.1788,178,0.08255,361,2.27001
ENSG00000116288,PARK7,160,-0.8774,134,-1.3399,481,1.06099,361,0.66650
ENSG00000142599,RERE,119,-0.7261,79,-1.5731,107,-0.9036,361,1.90381
ENSG00000074800,ENO1,743,0.66093,359,-0.7224,907,1.05331,361,-0.7118
ENSG00000171603,CLSTN1,282,-0.0277,124,-1.5578,465,0.89104,361,0.53583
ENSG00000054523,KIF1B,329,-0.0343,273,-0.4237,415,0.37752,361,0.16270
ENSG00000116661,FBXO2,265,-0.0982,129,-1.4645,437,0.81172,361,0.58958
ENSG00000132879,FBXO44,150,-0.3370,30,-3.1102,168,-0.1489,361,1.92974
ENSG00000011021,CLCN6,112,-0.7853,21,-3.5576,198,0.17736,361,2.02719
ENSG00000116688,MFN2,116,-0.7926,62,-1.9995,157,-0.2876,361,1.85875
ENSG00000159363,ATP13A2,240,0.08624,26,-3.6518,356,0.81191,361,1.15446
ENSG00000117115,PADI2,11,-4.5977,216,-0.1754,242,0.05393,361,1.07508
ENSG00000077549,CAPZB,151,-0.7384,53,-2.5981,429,1.12797,361,1.07228
ENSG00000173436,MICOS10,84,-1.5767,134,-1.0106,274,0.34902,361,1.20417
ENSG00000158747,NBL1,122,-0.6959,71,-1.7646,126,-0.6495,361,1.88520
ENSG00000162545,CAMK2N1,225,-0.7708,244,-0.7585,709,1.30122,361,0.02245
ENSG00000158828,PINK1,314,0.12855,135,-1.4482,442,0.75758,361,0.49299
ENSG00000127483,HP1BP3,77,-1.5793,145,-0.6989,143,-0.6093,361,1.50057
ENSG00000075151,EIF4G3,87,-1.3210,73,-1.8119,220,0.20355,361,1.66988
ENSG00000076864,RAP1GAP,75,-1.3395,19,-3.6607,191,0.18914,361,2.24340
ENSG00000070831,CDC42,157,-0.8779,103,-1.7495,516,1.24559,361,0.71472
ENSG00000125944,HNRNPR,36,-2.4895,89,-1.3152,132,-0.5088,361,2.05486
ENSG00000142676,RPL11,79,-2.5073,501,0.59218,529,0.55061,361,-0.1566
ENSG00000057757,PITHD1,255,-0.0869,37,-3.3460,555,1.39880,361,0.70693
ENSG00000001461,NIPAL3,84,-1.2972,73,-1.7278,163,-0.2225,361,1.87575
ENSG00000133226,SRRM1,45,-2.2412,132,-0.6701,77,-1.4125,361,1.89594
ENSG00000169504,CLIC4,8,-4.6331,117,-0.7309,47,-2.0372,361,2.32012
ENSG00000117614,SYF2,14,-3.6507,81,-1.2649,47,-1.9224,361,2.67867
ENSG00000117640,MTFR1L,55,-1.6928,48,-2.1499,77,-1.1699,361,2.65396
ENSG00000117632,STMN1,149,-1.8520,256,-1.1844,1461,2.39823,361,-0.5546
ENSG00000142669,SH3BGRL3,163,-0.6682,77,-2.0689,421,1.01399,361,0.96557
ENSG00000198830,HMGN2,28,-3.0278,98,-1.3297,236,0.31751,361,1.64923
ENSG00000117713,ARID1A,56,-1.7189,60,-1.8408,83,-1.1137,361,2.47647
ENSG00000090273,NUDC,67,-1.6549,69,-1.8364,203,0.12831,361,1.81807
