Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000188290,HES4,229,1.49641,121,0.36191,102,0.00668,36,-1.6326,2,-5.8039
ENSG00000078808,SDF4,229,1.39315,98,-0.1672,140,0.57034,41,-1.5075,3,-5.0870
ENSG00000175756,AURKAIP1,229,1.02823,158,0.43634,138,0.14216,35,-2.0197,44,-1.6810
ENSG00000242485,MRPL20,229,0.56476,154,-0.1456,246,0.88812,71,-1.3378,57,-1.6807
ENSG00000160075,SSU72,229,0.67868,176,0.26562,219,0.75967,58,-1.5564,7,-4.5075
ENSG00000078369,GNB1,229,-0.4364,340,0.26833,499,1.19302,95,-1.8005,87,-1.9309
ENSG00000067606,PRKCZ,1824,4.12764,45,-3.3845,241,-0.7068,51,-2.9616,2,-7.5793
ENSG00000157916,RER1,229,1.81799,52,-0.9656,122,0.71669,37,-1.3899,2,-5.5932
ENSG00000157870,PRXL2B,229,1.67092,45,-1.3123,143,0.92995,52,-0.9609,2,-5.6895
ENSG00000158109,TPRG1L,229,0.77322,66,-1.4411,313,1.94725,28,-2.5713,16,-3.3631
ENSG00000116254,CHD5,229,0.82238,83,-1.0164,266,1.48751,77,-1.0086,2,-6.2949
ENSG00000116251,RPL22,229,-0.8981,762,1.58527,223,-1.0747,182,-1.2508,411,0.05236
ENSG00000097021,ACOT7,229,-0.1384,133,-1.1529,591,2.39372,64,-2.1228,2,-6.7438
ENSG00000171735,CAMTA1,229,-0.0281,269,0.30120,361,0.99271,138,-0.8457,2,-6.9933
ENSG00000116288,PARK7,229,0.10479,360,1.19197,243,0.25197,70,-1.7743,2,-6.8774
ENSG00000142599,RERE,229,1.28296,123,0.17642,118,0.08930,78,-0.6018,2,-5.9533
ENSG00000074800,ENO1,229,-1.2549,556,0.21235,891,1.36436,386,-0.4300,2,-8.1012
ENSG00000171612,SLC25A33,229,2.03670,93,0.30993,69,-0.2806,6,-3.9186,2,-5.4620
ENSG00000171603,CLSTN1,229,-0.2981,299,0.18158,488,1.37012,74,-2.0455,41,-2.9305
ENSG00000054523,KIF1B,229,-0.4469,343,0.27442,481,1.07597,181,-0.8179,44,-2.9481
ENSG00000142657,PGD,229,1.76631,43,-1.3198,138,0.95190,38,-1.3725,2,-5.6247
ENSG00000120948,TARDBP,229,1.83012,112,0.51221,71,-0.4158,18,-2.4051,2,-5.5849
ENSG00000116649,SRM,229,1.61209,71,-0.5934,137,0.77052,30,-1.8496,2,-5.7272
