Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188290,HES4,8,-3.6030,298,2.29865,0,-8.5755,6,-3.9944,18,-2.4626,76,-0.2679,252,1.91065,61,-0.6093
ENSG00000078808,SDF4,70,-0.4891,164,0.95059,101,0.10891,133,0.57511,27,-1.9054,80,-0.2776,84,-0.1955,98,0.05494
ENSG00000175756,AURKAIP1,8,-4.2512,385,1.83879,182,0.41414,115,-0.3436,93,-0.6840,67,-1.1845,198,0.56340,89,-0.7526
ENSG00000242485,MRPL20,24,-2.9331,243,0.65503,254,0.72934,182,0.15852,143,-0.2416,71,-1.3303,263,0.79225,144,-0.2222
ENSG00000179403,VWA1,19,-2.6135,177,0.86373,279,1.74999,257,1.57922,33,-1.8064,58,-0.9779,34,-1.7765,0,-9.1624
ENSG00000160075,SSU72,11,-3.6701,99,-0.4086,130,0.02968,145,0.22272,61,-1.1577,162,0.40526,217,0.91835,193,0.71286
ENSG00000078369,GNB1,219,-0.6862,391,0.24769,272,-0.3472,456,0.51005,153,-1.2395,295,-0.2184,538,0.80388,370,0.15709
ENSG00000067606,PRKCZ,36,-1.7294,47,-1.3307,138,0.38594,155,0.59074,47,-1.3231,44,-1.4332,219,1.21684,191,0.95653
ENSG00000157916,RER1,10,-3.2735,148,0.83606,102,0.18166,152,0.88478,62,-0.6197,68,-0.4731,102,0.18538,84,-0.1230
ENSG00000158109,TPRG1L,8,-3.8203,67,-0.7091,41,-1.4572,128,0.33716,26,-2.1452,33,-1.7982,285,1.84914,249,1.56259
ENSG00000130764,LRRC47,8,-2.6646,11,-2.2310,30,-0.6997,96,1.23886,8,-2.6162,54,0.21739,118,1.65137,53,0.19429
ENSG00000069424,KCNAB2,8,-2.8418,20,-1.5338,3,-4.2265,28,-0.9916,6,-3.1348,35,-0.6548,136,1.69885,190,2.47592
ENSG00000116251,RPL22,961,0.53927,1472,1.32270,534,-0.4341,526,-0.4589,957,0.53203,355,-1.0737,615,-0.2087,169,-2.1936
ENSG00000097021,ACOT7,147,-0.1588,10,-4.1996,130,-0.3633,123,-0.4426,46,-1.9447,24,-2.9179,305,1.10238,513,2.19055
ENSG00000171735,CAMTA1,113,-0.5567,237,0.66876,103,-0.7087,24,-2.8937,84,-1.0137,217,0.51338,366,1.48549,135,-0.2689
ENSG00000049245,VAMP3,8,-4.5301,302,0.98632,469,1.86707,378,1.41921,124,-0.5171,43,-2.1160,13,-3.8706,29,-2.6740
ENSG00000049246,PER3,8,-2.9715,115,1.18398,104,0.99514,104,0.99759,36,-0.7429,54,-0.1192,41,-0.5675,5,-3.7238
ENSG00000116288,PARK7,8,-5.3741,400,0.45377,379,0.35768,429,0.57316,292,-0.0749,245,-0.3565,507,0.87106,186,-0.7975
ENSG00000142599,RERE,8,-3.0047,12,-2.4641,29,-1.1042,58,-0.0431,38,-0.7335,68,0.22450,224,2.61549,40,-0.6349
ENSG00000074800,ENO1,322,-0.4229,249,-0.8269,152,-1.5813,254,-0.7929,157,-1.5368,683,0.84538,718,0.93604,808,1.15712
ENSG00000171603,CLSTN1,84,-1.5643,129,-0.9073,112,-1.1284,298,0.44789,59,-2.0794,186,-0.3313,662,1.98999,296,0.43675
ENSG00000162441,LZIC,169,1.21767,70,-0.2978,93,0.16751,115,0.52365,94,0.17088,65,-0.4155,47,-0.9192,21,-2.0955
ENSG00000054523,KIF1B,36,-3.2320,211,-0.6026,480,0.76075,417,0.51452,149,-1.1481,275,-0.1801,469,0.72022,423,0.53642
ENSG00000142657,PGD,8,-2.9067,45,-0.3258,100,1.01117,65,0.25541,12,-2.2856,39,-0.5606,48,-0.2470,128,1.48418
ENSG00000120948,TARDBP,8,-3.0413,73,0.30514,85,0.56226,107,0.95947,48,-0.3940,47,-0.4117,98,0.79970,23,-1.5299
ENSG00000116649,SRM,67,-0.1194,47,-0.6996,48,-0.6471,65,-0.1856,36,-1.1085,59,-0.3361,180,1.65312,78,0.11444
ENSG00000116661,FBXO2,47,-2.4154,82,-1.5928,58,-2.0935,169,-0.4786,113,-1.1050,287,0.39238,430,1.11894,630,1.89107
ENSG00000132879,FBXO44,8,-3.1985,33,-1.1188,85,0.37822,68,-0.0018,2,-5.0325,78,0.23581,122,1.00698,148,1.37305
ENSG00000011021,CLCN6,8,-3.4318,1,-5.9635,61,-0.4340,86,0.11837,39,-1.1358,25,-1.8184,205,1.71070,216,1.82583
ENSG00000116685,KIAA2013,8,-2.9106,68,0.32256,119,1.34376,121,1.37532,9,-2.7724,30,-0.9543,43,-0.4147,48,-0.2484
ENSG00000116688,MFN2,8,-3.4498,56,-0.5921,34,-1.3706,38,-1.1688,71,-0.2233,70,-0.2432,252,2.14615,120,0.66164
ENSG00000189337,KAZN,286,1.21946,81,-0.8937,176,0.34839,272,1.12619,76,-1.0058,42,-1.8865,158,0.16907,52,-1.5873
ENSG00000185519,FAM131C,19,-4.0286,120,-1.3247,512,1.05772,1382,3.50165,114,-1.4028,5,-5.9182,53,-2.5523,28,-3.4703
ENSG00000219481,NBPF1,8,-3.8012,66,-0.7126,220,1.34611,379,2.56211,56,-0.9552,15,-2.8872,36,-1.6340,44,-1.3212
ENSG00000159363,ATP13A2,8,-3.8089,12,-3.2574,15,-2.9071,57,-0.9563,21,-2.4323,71,-0.6120,240,1.50364,406,2.74021
ENSG00000117118,SDHB,8,-3.3931,34,-1.2785,164,1.32017,102,0.44347,25,-1.7467,76,-0.0320,128,0.85475,85,0.14797
ENSG00000117115,PADI2,621,0.72525,216,-1.0016,978,1.59222,1005,1.64771,195,-1.1571,135,-1.7148,72,-2.6557,26,-4.1443
ENSG00000053371,AKR7A2,8,-2.8789,53,-0.0399,16,-1.8674,110,1.21890,46,-0.2902,47,-0.2266,104,1.12609,53,-0.0586
ENSG00000077549,CAPZB,115,-0.7514,252,0.52839,126,-0.6060,178,-0.0560,98,-0.9956,71,-1.4907,389,1.32262,245,0.47681
ENSG00000173436,MICOS10,401,-0.0945,517,0.32626,431,0.02292,361,-0.2662,911,1.35467,79,-2.5805,497,0.26036,204,-1.1583
ENSG00000158747,NBL1,8,-3.5687,136,0.75060,10,-3.2003,6,-3.9939,36,-1.4104,48,-0.9420,311,2.46338,147,0.88932
ENSG00000162545,CAMK2N1,667,0.45358,277,-0.9690,515,0.01619,683,0.49301,461,-0.1651,261,-1.0611,972,1.12970,242,-1.1752
ENSG00000158828,PINK1,8,-4.7676,201,-0.0024,66,-1.7401,76,-1.5115,138,-0.6032,225,0.19137,486,1.59919,407,1.24517
