Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7
ENSG00000116251,RPL22,17,-5.7703,10,-6.5199,2700,2.33662,1180,0.73467,486,-0.8928,331,-1.4879
ENSG00000074800,ENO1,2594,2.15097,113,-3.1338,84,-3.5657,1241,0.77848,390,-1.2842,434,-1.1214
ENSG00000054523,KIF1B,18,-4.2918,10,-5.0510,650,1.39005,392,0.53153,461,0.72195,215,-0.5760
ENSG00000162545,CAMK2N1,18,-3.3579,10,-4.1082,30,-2.5758,327,1.79594,210,0.45867,202,0.39214
ENSG00000158828,PINK1,18,-4.1235,10,-4.8797,30,-3.3452,691,2.74063,238,-0.2193,220,-0.3483
ENSG00000142676,RPL11,537,-0.5444,635,-0.2715,31,-4.7801,1294,1.28837,1006,0.51424,438,-0.8686
ENSG00000133226,SRRM1,18,-3.0144,10,-3.7786,30,-2.2217,131,0.07275,484,2.83895,83,-0.6961
ENSG00000117632,STMN1,17,-4.7492,10,-5.5019,1646,2.95895,443,0.12895,273,-0.6858,80,-2.5564
ENSG00000184007,PTP4A2,18,-4.2475,10,-5.0066,30,-3.4735,368,0.45843,1020,2.53605,259,-0.2203
ENSG00000175130,MARCKSL1,17,-4.3055,10,-5.0601,526,0.95848,561,1.44631,405,0.47553,69,-2.3178
ENSG00000197982,C1orf122,17,-6.0197,10,-6.7628,5759,4.77492,469,-1.3727,136,-3.0742,157,-2.8582
ENSG00000127603,MACF1,17,-4.2926,10,-5.0480,30,-3.5164,669,2.07403,534,1.00656,200,-0.6857
ENSG00000117394,SLC2A1,17,-4.5774,641,0.97800,30,-3.8066,671,1.42449,489,0.48054,71,-2.5480
ENSG00000066322,ELOVL1,826,2.32603,10,-4.8154,30,-3.2779,258,-0.0072,382,0.67985,48,-2.6111
ENSG00000142937,RPS8,1734,0.81156,827,-0.4610,1028,-0.1053,1119,0.04598,1344,0.35263,489,-1.2901
ENSG00000117450,PRDX1,2205,2.48186,10,-6.1513,30,-4.6245,943,0.81256,212,-1.7779,227,-1.6684
ENSG00000116133,DHCR24,17,-3.2201,10,-3.9818,30,-2.4354,203,0.71950,318,1.43829,239,0.87303
ENSG00000162407,PLPP3,17,-3.8666,10,-4.6226,30,-3.0854,572,2.68096,203,-0.1872,183,-0.3515
ENSG00000162599,NFIA,274,-1.7909,10,-6.5407,2161,1.76444,1384,1.10994,591,-0.6033,170,-2.5040
ENSG00000116754,SRSF11,730,1.92132,10,-4.8685,30,-3.3376,213,-0.4544,593,1.45809,96,-1.6302
ENSG00000122406,RPL5,2419,2.00881,258,-1.8973,768,-0.1888,878,0.04131,476,-0.9554,345,-1.4524
ENSG00000168710,AHCYL1,208,-2.5763,56,-4.4955,1398,0.41735,2231,1.79370,918,-0.2951,635,-0.8844
ENSG00000155366,RHOC,107,-1.5361,331,0.27476,30,-3.4015,654,2.30064,66,-2.2637,129,-1.2518
ENSG00000009307,CSDE1,501,0.43215,127,-1.7700,30,-3.8785,812,1.88063,213,-0.9750,231,-0.8464
ENSG00000198162,MAN1A2,18,-4.4757,164,-1.1958,32,-3.6234,758,2.06575,476,0.55611,214,-0.7801
ENSG00000265972,TXNIP,2031,3.03081,480,-0.0779,30,-4.2472,255,-1.2345,427,-0.2716,41,-3.8179
ENSG00000189171,S100A13,17,-5.0047,72,-2.9760,668,0.50977,1067,1.98451,266,-1.0098,324,-0.7004
ENSG00000177954,RPS27,2091,-0.6428,1579,-1.0852,8672,1.99968,3135,0.02446,1907,-0.7893,1163,-1.5562
ENSG00000163346,PBXIP1,3123,1.24010,10,-7.4269,6702,3.20680,444,-2.1922,155,-3.5442,175,-3.3698
ENSG00000132718,SYT11,861,1.33760,10,-5.4971,30,-3.9678,649,1.01437,375,-0.1662,328,-0.3851
ENSG00000160781,PAQR6,1554,0.40705,287,-2.2665,3093,1.75671,384,-2.0225,2063,0.92430,818,-0.6616
ENSG00000125462,C1orf61,17,-5.8918,528,-0.8960,1359,0.68718,1831,1.73001,314,-1.6951,541,-0.8577
ENSG00000132702,HAPLN2,18,-4.1173,10,-4.8769,944,2.57739,128,-1.3464,620,1.54595,43,-2.8309
ENSG00000018625,ATP1A2,107,-3.3930,567,-0.8905,1042,0.10056,1713,1.31127,842,-0.2563,891,-0.1615
ENSG00000162734,PEA15,360,-2.3021,10,-7.4218,5248,2.44737,1950,0.45307,789,-1.1116,713,-1.2680
ENSG00000143248,RGS5,17,-3.7254,411,1.25413,30,-2.9462,285,0.70324,351,0.94645,64,-1.8420
ENSG00000143153,ATP1B1,1953,2.19575,10,-6.1341,30,-4.6080,958,0.88439,98,-2.9053,502,-0.4113
ENSG00000117523,PRRC2C,18,-4.7783,10,-5.4977,170,-1.4612,701,1.14793,953,1.49116,431,0.01671
ENSG00000117592,PRDX6,2135,3.17345,10,-5.7873,30,-4.2623,478,-0.1206,221,-1.3291,201,-1.4733
ENSG00000135821,GLUL,17,-6.9010,675,-1.5939,4457,1.66064,3085,1.19347,830,-1.2791,764,-1.4058
ENSG00000159176,CSRP1,286,-2.0860,159,-2.9501,3445,2.32341,1400,0.55301,515,-1.1896,366,-1.7123
ENSG00000170075,GPR37L1,3672,3.91986,29,-4.8491,30,-4.7889,455,-0.8890,309,-1.3744,174,-2.2383
ENSG00000184144,CNTN2,17,-3.9944,10,-4.7475,547,1.46535,114,-1.3941,764,2.23719,167,-0.6469
ENSG00000069275,NUCKS1,6823,3.50210,10,-7.3432,30,-5.8216,1145,-0.5087,947,-0.7387,334,-2.3337
ENSG00000117691,NENF,722,1.72594,10,-4.9751,30,-3.4437,427,0.86001,262,-0.1689,151,-1.0497
ENSG00000143772,ITPKB,2628,3.08779,206,-1.7897,96,-2.9192,457,-0.6430,385,-0.8255,252,-1.4813
ENSG00000143774,GUK1,70,-2.2240,517,1.02332,30,-3.4574,505,1.29199,209,-0.5426,204,-0.5836
ENSG00000135744,AGT,21429,6.33911,50,-6.2397,30,-6.9670,658,-2.7207,57,-6.0684,133,-4.8402
ENSG00000054267,ARID4B,253,0.45765,10,-4.3925,30,-2.8546,295,0.94220,396,1.30521,77,-1.4617
ENSG00000171863,RPS7,266,-0.4553,303,-0.2430,30,-3.7229,743,1.93674,249,-0.5626,121,-1.6827
ENSG00000143878,RHOB,18,-6.8301,10,-7.5828,9997,4.69816,929,-1.1691,320,-2.6388,102,-4.3089
ENSG00000119820,YIPF4,18,-3.4834,71,-1.4393,30,-2.6994,358,1.81136,227,0.44991,163,-0.1202
ENSG00000143933,CALM2,2049,2.05689,10,-6.2823,217,-1.8761,1116,1.00999,308,-1.3440,186,-2.1101
ENSG00000115306,SPTBN1,1110,0.03767,853,-0.3974,1703,0.79355,1517,0.73209,417,-1.5185,481,-1.3026
ENSG00000115310,RTN4,1963,1.57715,10,-6.5230,1372,0.85892,814,-0.0718,549,-0.7024,386,-1.2524
ENSG00000143947,RPS27A,576,-0.8793,264,-2.0726,461,-1.2265,1641,1.16530,1505,0.73309,850,-0.2556
ENSG00000115355,CCDC88A,772,0.79485,10,-5.7383,30,-4.2160,338,-0.7071,1648,2.46117,304,-0.7823
ENSG00000124374,PAIP2B,18,-3.5751,10,-4.3381,148,-0.3758,130,-0.6797,625,2.46062,243,0.45462
ENSG00000034510,TMSB10,17,-5.8724,1318,0.65536,30,-5.1021,2179,2.46003,273,-1.8838,339,-1.5568
ENSG00000135940,COX5B,17,-4.0219,10,-4.7799,30,-3.2452,703,3.26661,182,-0.5403,123,-1.1484
ENSG00000158417,EIF5B,1761,1.08232,10,-6.7159,685,-0.5612,1188,0.44122,1313,0.53526,604,-0.7604
ENSG00000071082,RPL31,503,-1.5803,884,-0.7049,2740,1.27522,1961,0.80544,989,-0.5247,493,-1.6107
ENSG00000071054,MAP4K4,17,-4.5577,10,-5.3114,30,-3.7820,491,0.64039,1216,2.44188,300,-0.3232
ENSG00000155368,DBI,320,-0.4539,390,-0.1296,30,-3.9883,987,2.33675,107,-2.1406,128,-1.8714
ENSG00000144224,UBXN4,678,1.73977,10,-4.8788,30,-3.3470,277,0.04693,447,0.88687,175,-0.7064
ENSG00000169554,ZEB2,1347,1.45527,10,-6.0610,1424,1.57472,153,-2.3748,988,0.84288,216,-1.6523
ENSG00000168280,KIF5C,17,-3.9762,235,-0.0695,30,-3.1964,244,-0.0096,716,2.10475,227,-0.1232
