Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000078369,GNB1,154,-1.7548,330,-0.5754,977,1.34816,125,-2.0693,1011,1.41800,341,-0.6059
ENSG00000116251,RPL22,466,-1.1201,5,-7.7241,977,0.07409,1975,1.37361,762,-0.3394,1181,0.49646
ENSG00000171735,CAMTA1,116,-2.3332,14,-5.3956,977,1.13877,195,-1.5535,1030,1.24416,653,0.48431
ENSG00000116288,PARK7,119,-2.0787,447,-0.0099,977,1.43069,500,0.17729,289,-0.7199,409,-0.1904
ENSG00000074800,ENO1,610,-0.6610,1703,1.11994,977,0.11188,334,-1.5983,1181,0.44092,798,-0.2673
ENSG00000171603,CLSTN1,132,-2.8554,1626,1.19414,977,0.25490,505,-0.8278,1597,1.15831,526,-0.8797
ENSG00000054523,KIF1B,259,-1.4574,1016,0.79089,977,0.71803,186,-1.9640,639,-0.0253,731,0.24841
ENSG00000116661,FBXO2,146,-2.0733,767,0.57517,977,1.02597,236,-1.3507,890,0.84796,419,-0.5251
ENSG00000117115,PADI2,354,0.22991,5,-6.1289,977,2.29974,157,-1.0911,83,-2.0556,295,-0.0963
ENSG00000173436,MICOS10,105,-1.9723,112,-1.8759,977,1.86310,433,0.26955,362,-0.0343,299,-0.4123
ENSG00000158747,NBL1,92,-2.2130,5,-6.4299,977,1.78621,249,-0.6962,658,0.96700,347,-0.1919
ENSG00000162545,CAMK2N1,250,-1.1945,5,-6.8991,977,1.10854,245,-1.2283,892,0.93214,663,0.48344
ENSG00000158828,PINK1,307,-0.7445,6,-6.3450,977,1.27371,369,-0.4521,645,0.48931,548,0.24801
ENSG00000127483,HP1BP3,115,-2.0530,5,-6.5914,977,1.54138,546,0.42335,663,0.77423,341,-0.4334
ENSG00000070831,CDC42,76,-2.8422,441,-0.1391,977,1.30194,498,0.06640,865,1.06076,248,-1.2031
ENSG00000142676,RPL11,913,-0.3627,704,-0.7810,977,-0.2522,2213,1.20775,893,-0.3994,1130,-0.0125
ENSG00000117632,STMN1,116,-2.6966,137,-2.4533,977,0.67011,517,-0.4176,1955,2.11532,479,-0.6287
ENSG00000142669,SH3BGRL3,94,-2.2406,23,-4.2788,977,1.71365,663,0.92009,533,0.52120,236,-0.9534
ENSG00000198830,HMGN2,69,-2.9788,1097,1.55386,977,1.31142,388,-0.3392,386,-0.3475,210,-1.4734
ENSG00000090273,NUDC,91,-2.4770,869,1.20499,977,1.44523,184,-1.4157,296,-0.6729,356,-0.4396
ENSG00000126709,IFI6,85,-2.7465,844,0.92445,977,1.20963,762,0.73292,302,-0.8225,270,-1.1336
ENSG00000130770,ATP5IF1,49,-3.3660,41,-3.6364,977,1.43820,220,-1.1435,1287,2.05900,282,-0.8682
ENSG00000162512,SDC3,164,-1.9409,883,0.79265,977,0.98385,158,-1.9927,595,0.09454,581,0.06637
ENSG00000134644,PUM1,105,-2.0623,5,-6.4734,977,1.71804,161,-1.4265,351,-0.1916,579,0.85555
ENSG00000184007,PTP4A2,635,0.39764,5,-6.8300,977,1.20096,326,-0.7077,447,-0.1991,568,0.24852
ENSG00000175130,MARCKSL1,160,-1.7731,74,-2.9126,977,1.25022,115,-2.2661,696,0.60661,709,0.80902
ENSG00000116560,SFPQ,66,-3.3349,1731,2.13859,977,0.91394,262,-1.2785,625,0.11412,213,-1.7787
ENSG00000020129,NCDN,82,-2.5485,5,-6.5830,977,1.55483,119,-1.9906,1254,2.13029,267,-0.8681
ENSG00000116871,MAP7D1,110,-1.8964,5,-6.3792,977,1.87148,306,-0.3062,621,0.92959,279,-0.5328
ENSG00000197982,C1orf122,218,-1.2100,5,-6.7097,977,1.36640,236,-1.0882,918,1.23892,448,-0.0719
ENSG00000168653,NDUFS5,93,-2.7140,706,0.45742,977,1.05826,559,0.05371,828,0.74564,313,-1.0126
ENSG00000127603,MACF1,199,-1.6141,673,0.34408,977,1.02653,594,0.12841,233,-1.3708,589,0.13807
ENSG00000065978,YBX1,163,-1.4590,253,-0.7800,977,1.63321,920,1.50398,159,-1.5039,196,-1.3322
ENSG00000117394,SLC2A1,219,-1.4740,5,-6.9667,977,1.02015,2260,3.07551,225,-1.4260,90,-3.0248
ENSG00000142949,PTPRF,137,-1.9770,1028,1.38167,977,1.27705,49,-3.4820,402,-0.3091,400,-0.3758
ENSG00000117410,ATP6V0B,61,-3.3235,28,-4.4296,977,1.08905,254,-1.1860,1580,2.13796,416,-0.4806
ENSG00000117419,ERI3,55,-3.0413,415,0.05975,977,1.68077,164,-1.4190,330,-0.3188,431,0.14978
ENSG00000142937,RPS8,546,-1.6935,1596,0.00333,977,-0.7945,3593,1.51243,1414,-0.1980,1511,-0.1051
ENSG00000117450,PRDX1,454,-1.2806,1038,0.04371,977,-0.0580,602,-0.8434,1629,0.84232,1190,0.34002
ENSG00000173660,UQCRH,123,-2.2622,231,-1.3084,977,1.12269,226,-1.3405,1391,1.87355,360,-0.7127
ENSG00000162374,ELAVL4,67,-2.7628,5,-6.5115,977,1.66929,2,-7.4852,892,1.47208,438,0.17200
ENSG00000123091,RNF11,147,-2.0560,278,-1.0907,977,1.03517,212,-1.5051,1356,1.71242,433,-0.4574
ENSG00000116133,DHCR24,193,-0.8092,5,-6.1659,977,2.23172,33,-3.4556,388,0.34304,314,-0.0244
ENSG00000162407,PLPP3,183,-1.2800,505,0.36419,977,1.63896,199,-1.1507,395,-0.0535,299,-0.5961
ENSG00000177606,JUN,77,-3.3401,2063,2.17951,977,0.61874,1447,1.37519,164,-2.2343,33,-4.8384
ENSG00000162599,NFIA,525,-0.9602,2875,2.18998,977,0.04677,783,-0.3214,405,-1.3609,544,-1.0317
ENSG00000116675,DNAJC6,49,-3.3712,5,-6.5816,977,1.45056,37,-3.7621,1362,2.21563,345,-0.4959
ENSG00000142864,SERBP1,154,-1.6298,720,0.91283,977,1.52528,315,-0.5114,200,-1.2291,323,-0.5482
ENSG00000116754,SRSF11,211,-1.4950,1054,1.20927,977,1.05934,300,-0.9548,300,-0.9551,473,-0.2639
ENSG00000142875,PRKACB,72,-2.9302,5,-6.7665,977,1.29203,195,-1.4343,1110,1.55790,505,0.09937
ENSG00000153904,DDAH1,188,-1.8070,1116,1.14961,977,0.89235,338,-0.9031,532,-0.1737,491,-0.3588
ENSG00000122406,RPL5,423,-1.3583,1122,0.21033,977,-0.0239,1375,0.56882,681,-0.6146,1180,0.36559
ENSG00000117519,CNN3,113,-1.8293,5,-6.3471,977,1.91800,383,0.10276,21,-4.2649,513,0.77486
ENSG00000134243,SORT1,103,-2.2633,598,0.53867,977,1.48692,684,0.78476,141,-1.7863,282,-0.8273
ENSG00000168710,AHCYL1,829,-0.2022,5,-7.7223,977,0.07341,786,-0.2896,639,-0.6237,1657,1.35580
ENSG00000155366,RHOC,156,-1.5709,185,-1.3116,977,1.57706,1032,1.69668,71,-2.7452,260,-0.8968
ENSG00000009307,CSDE1,313,-1.3609,700,-0.0802,977,0.49392,972,0.48406,890,0.32920,644,-0.2583
ENSG00000198162,MAN1A2,181,-1.5285,119,-2.1621,977,1.31926,504,0.10158,246,-1.0568,648,0.67585
ENSG00000178104,PDE4DIP,100,-2.5429,1043,1.28848,977,1.15850,307,-0.8378,339,-0.6805,418,-0.4032
ENSG00000159164,SV2A,3,-7.5272,5,-7.0608,977,0.89599,127,-2.3916,2199,2.77312,408,-0.6981
ENSG00000143401,ANP32E,146,-1.3999,5,-6.2522,977,1.97979,288,-0.3279,207,-0.8559,419,0.36650
ENSG00000197956,S100A6,209,-2.0844,463,-0.8683,977,0.36197,2176,1.95645,682,-0.2475,515,-0.8055
ENSG00000189171,S100A13,199,-1.2275,256,-0.8355,977,1.53005,405,-0.0990,14,-5.1445,577,0.63927
ENSG00000160678,S100A1,160,-1.4790,5,-6.5226,977,1.64981,233,-0.9021,439,0.13282,515,0.50433
ENSG00000177954,RPS27,1939,-0.4040,951,-1.5214,977,-1.4801,4217,0.94737,2642,0.10928,3305,0.62348
ENSG00000143549,TPM3,97,-2.3192,359,-0.2982,977,1.52737,445,0.05750,141,-1.7577,495,0.29385
ENSG00000160710,ADAR,121,-2.1330,427,-0.1779,977,1.31748,358,-0.4644,694,0.66158,374,-0.4614
ENSG00000163346,PBXIP1,403,-0.5890,1117,1.19284,977,0.93308,703,0.33644,199,-1.6819,323,-1.0732
ENSG00000116539,ASH1L,75,-2.5216,249,-0.6873,977,1.80112,341,-0.1797,64,-2.7359,476,0.47874
ENSG00000132718,SYT11,314,-0.9439,556,-0.0211,977,0.98289,86,-2.8859,1028,1.08155,490,-0.2737
ENSG00000160781,PAQR6,1048,0.72116,675,-0.0476,977,0.59349,578,-0.3037,134,-2.5511,724,0.08610
ENSG00000125462,C1orf61,1072,-0.1693,235,-2.5146,977,-0.3216,586,-1.1343,909,-0.4383,2263,1.58131
ENSG00000132692,BCAN,153,-1.5492,393,-0.0610,977,1.64240,69,-2.7449,269,-0.6780,496,0.41314
ENSG00000162706,CADM3,47,-3.6460,916,1.00959,977,1.13581,21,-4.8124,724,0.57315,479,-0.1649
ENSG00000018625,ATP1A2,1261,-0.0027,804,-0.7358,977,-0.4237,1922,0.73661,1089,-0.2461,1394,0.20330
ENSG00000162734,PEA15,1070,-0.1216,542,-1.2058,977,-0.2715,581,-1.0998,2118,1.09761,1383,0.38684
ENSG00000143248,RGS5,222,-1.0176,5,-6.5601,977,1.59406,1422,2.51051,70,-2.7532,111,-2.2774
ENSG00000143198,MGST3,109,-2.0819,278,-0.6472,977,1.61267,422,0.03623,521,0.39999,292,-0.6592
ENSG00000143153,ATP1B1,100,-3.7916,1066,-0.1985,977,-0.3423,347,-1.9520,3693,2.23087,1114,-0.1508
ENSG00000117523,PRRC2C,623,-0.1265,293,-1.3267,977,0.65370,716,0.10892,114,-2.7380,990,0.86090
ENSG00000117592,PRDX6,302,-0.9307,340,-0.7432,977,1.07459,391,-0.5230,366,-0.6282,692,0.54151
ENSG00000116147,TNR,128,-1.5809,6,-5.9654,977,2.01511,73,-2.4095,382,0.16763,429,0.45384
ENSG00000135821,GLUL,2052,0.62142,5,-8.3154,977,-0.6304,882,-0.7922,1717,0.30568,2210,0.97167
ENSG00000159176,CSRP1,658,0.02847,5,-7.1916,977,0.72174,651,0.01002,426,-0.6822,907,0.73797
ENSG00000170075,GPR37L1,250,-1.5315,2025,2.23968,977,0.69613,98,-2.9326,246,-1.5589,500,-0.5249
ENSG00000069275,NUCKS1,411,-1.6266,1923,0.91627,977,-0.2679,899,-0.4031,1249,0.14225,1288,0.23869
