Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to12,Feature log2 fold change topic 8to12
ENSG00000188976,NOC2L,117,1.17969,15,-1.9495,1,-5.5250,10,-2.5039,67,0.25431,71,0.35851,33,-0.8326,74,0.70345
ENSG00000188290,HES4,117,0.15077,22,-2.3581,27,-2.0567,0,-7.6394,423,2.43838,150,0.54850,75,-0.5483,93,-0.3253
ENSG00000187608,ISG15,117,0.86652,193,1.74750,10,-2.8830,2,-5.1922,157,1.36575,33,-1.1144,50,-0.4899,52,-0.6127
ENSG00000078808,SDF4,117,-0.8283,910,2.73591,244,0.31009,231,0.22033,153,-0.4214,83,-1.3445,72,-1.5610,120,-1.1069
ENSG00000160087,UBE2J2,117,0.91579,36,-0.9140,67,0.02120,83,0.35078,73,0.14740,45,-0.5896,34,-1.0254,68,0.06717
ENSG00000131584,ACAP3,117,1.26181,14,-1.9721,48,-0.1866,29,-0.9307,54,-0.0017,30,-0.8991,32,-0.7859,65,0.48010
ENSG00000127054,INTS11,117,0.89072,151,1.32963,60,-0.1849,90,0.45437,28,-1.3184,51,-0.4319,40,-0.8154,55,-0.4874
ENSG00000107404,DVL1,117,0.49782,298,2.15932,28,-1.7050,63,-0.4760,116,0.47972,45,-0.9659,60,-0.5363,60,-0.7854
ENSG00000175756,AURKAIP1,117,0.07415,14,-3.0242,87,-0.3793,131,0.25293,134,0.28622,156,0.53727,127,0.20313,115,0.06378
ENSG00000221978,CCNL2,117,0.92826,14,-2.2572,49,-0.4466,88,0.45133,86,0.42245,42,-0.6902,43,-0.6464,70,0.16054
