Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to6,Feature log2 fold change topic 2to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188976,NOC2L,156,1.29505,76,0.06586,39,-1.0284,23,-1.8021
ENSG00000188290,HES4,156,0.80855,115,0.75105,20,-2.3730,28,-1.9423
ENSG00000187608,ISG15,156,1.17269,91,0.58367,4,-4.2654,22,-1.9809
ENSG00000078808,SDF4,156,0.88138,84,-0.3742,121,0.43902,50,-0.9948
ENSG00000160087,UBE2J2,156,1.34810,72,-0.0201,43,-0.8342,21,-1.8782
ENSG00000131584,ACAP3,156,1.37872,52,-0.9867,93,0.42950,64,-0.1948
ENSG00000127054,INTS11,156,1.55768,52,-0.7725,91,0.55884,19,-1.9246
ENSG00000107404,DVL1,156,1.41485,55,-0.7727,66,-0.1076,64,-0.1608
ENSG00000175756,AURKAIP1,156,0.41612,129,0.25373,91,-0.4603,78,-0.7044
ENSG00000221978,CCNL2,156,1.20478,70,-0.3967,82,0.07073,39,-1.0837
ENSG00000242485,MRPL20,156,0.18348,128,-0.3041,176,0.38497,144,0.04875
ENSG00000179403,VWA1,156,0.87782,44,-1.9653,284,2.08788,86,-0.1354
ENSG00000160075,SSU72,156,0.10979,161,0.42286,95,-0.6926,110,-0.4545
ENSG00000228594,FNDC10,156,1.34814,75,0.11302,37,-1.0465,14,-2.4519
ENSG00000197530,MIB2,156,2.25595,36,-0.8608,24,-1.0572,19,-1.3923
ENSG00000078369,GNB1,156,-1.3556,438,0.77721,389,0.08606,221,-0.8219
ENSG00000067606,PRKCZ,156,-0.3006,222,0.76867,150,-0.3580,84,-1.2615
ENSG00000162585,FAAP20,156,1.68013,48,-0.8373,59,-0.0794,41,-0.6347
ENSG00000157933,SKI,156,1.70849,46,-0.8940,37,-0.7801,64,0.09159
ENSG00000157916,RER1,156,1.03974,71,-0.6158,131,0.72357,42,-1.1333
ENSG00000157870,PRXL2B,156,0.88204,106,0.56384,40,-1.3282,19,-2.3935
ENSG00000158109,TPRG1L,156,-0.1179,207,1.02592,98,-0.8605,51,-1.8418
ENSG00000130764,LRRC47,156,1.02240,87,0.01272,59,-0.6068,43,-1.1055
ENSG00000116198,CEP104,156,1.98829,29,-1.7032,57,0.09356,72,0.49322
ENSG00000069424,KCNAB2,156,0.91647,110,0.86848,4,-4.6060,21,-2.2509
ENSG00000116254,CHD5,156,0.50486,144,1.09036,2,-5.9280,45,-1.4727
ENSG00000116251,RPL22,156,-1.0711,306,-0.0020,294,-0.0689,471,0.73231
ENSG00000116237,ICMT,156,1.42945,66,-0.2221,39,-0.9160,35,-1.0753
ENSG00000097021,ACOT7,156,-1.2101,466,1.97276,111,-1.7232,88,-2.0672
ENSG00000162408,NOL9,156,1.70864,52,-0.5163,52,-0.2477,17,-1.9295
ENSG00000162413,KLHL21,156,1.52218,57,-0.5235,55,-0.3007,36,-0.9642
ENSG00000007923,DNAJC11,156,2.11858,41,-0.6975,30,-0.8191,14,-1.9608
ENSG00000171735,CAMTA1,156,-0.9514,363,1.26760,71,-2.1367,225,-0.3747
ENSG00000049245,VAMP3,156,1.14850,35,-2.1306,214,1.78650,99,0.34610
ENSG00000049246,PER3,156,1.62594,43,-1.1463,88,0.54477,47,-0.4954
ENSG00000116288,PARK7,156,-0.8341,306,0.67532,238,-0.1640,180,-0.6053
ENSG00000116285,ERRFI1,156,1.95885,37,-1.1521,55,0.02325,38,-0.5731
ENSG00000162426,SLC45A1,156,2.44974,34,-0.8185,6,-2.8524,20,-1.2575
ENSG00000142599,RERE,156,0.41727,129,0.22845,98,-0.3478,75,-0.7649
ENSG00000074800,ENO1,156,-1.5348,536,1.32277,249,-0.8195,238,-0.8896
ENSG00000171612,SLC25A33,156,2.09145,42,-0.6430,15,-1.8814,28,-0.9698
ENSG00000171603,CLSTN1,156,-1.0815,381,1.00990,238,-0.4208,172,-0.9266
ENSG00000178585,CTNNBIP1,156,1.74680,46,-0.8653,60,-0.0073,35,-0.8441
ENSG00000162441,LZIC,156,1.62447,34,-1.7324,103,0.83529,80,0.38341
ENSG00000130939,UBE4B,156,1.13721,69,-0.5416,95,0.25096,53,-0.6811
ENSG00000054523,KIF1B,156,-1.3475,370,0.03007,533,0.63212,399,0.13628
ENSG00000142657,PGD,156,0.86157,95,0.03283,77,-0.3283,46,-1.1257
ENSG00000160049,DFFA,156,1.41132,56,-0.7724,70,-0.0190,60,-0.2501
ENSG00000120948,TARDBP,156,0.89433,77,-0.6256,110,0.28913,91,-0.0362
ENSG00000116649,SRM,156,1.17630,75,-0.2094,72,-0.1740,34,-1.3479
ENSG00000171824,EXOSC10,156,2.13623,34,-1.1583,51,0.03953,23,-1.1952
ENSG00000198793,MTOR,156,2.15392,39,-0.7756,21,-1.3558,26,-1.0351
ENSG00000116661,FBXO2,156,-0.7039,313,1.34319,113,-1.1990,100,-1.3794
ENSG00000132879,FBXO44,156,1.00735,94,0.32227,37,-1.3384,33,-1.5121
ENSG00000011021,CLCN6,156,0.07235,182,0.93299,66,-1.2779,63,-1.3549
ENSG00000116685,KIAA2013,156,1.66883,38,-1.3945,104,0.88276,45,-0.5100
ENSG00000083444,PLOD1,156,2.10484,38,-0.9010,19,-1.5463,41,-0.3440
ENSG00000116688,MFN2,156,-0.0408,186,0.66730,107,-0.6493,88,-0.9514
ENSG00000048707,VPS13D,156,1.24748,70,-0.3184,45,-0.8286,61,-0.3585
ENSG00000116731,PRDM2,156,1.87728,32,-1.5853,68,0.31506,67,0.28003
ENSG00000189337,KAZN,156,0.91880,54,-1.4898,239,1.76061,65,-0.5525
ENSG00000142634,EFHD2,156,1.93772,50,-0.3416,5,-3.6164,29,-0.9993
ENSG00000116138,DNAJC16,156,2.16961,35,-1.0274,38,-0.4233,25,-1.0960
ENSG00000116786,PLEKHM2,156,1.96847,45,-0.5860,21,-1.4697,28,-1.0103
ENSG00000065526,SPEN,156,1.30584,57,-0.8564,60,-0.3568,95,0.40787
ENSG00000055070,SZRD1,156,1.99406,33,-1.4107,75,0.56503,33,-0.7653
ENSG00000219481,NBPF1,156,1.73321,34,-1.5873,132,1.38813,23,-1.4690
ENSG00000159363,ATP13A2,156,-0.3398,257,1.61147,43,-2.3044,53,-1.9950
ENSG00000117118,SDHB,156,1.25051,74,-0.1438,57,-0.4657,31,-1.4035
ENSG00000117115,PADI2,156,-0.5799,71,-2.7541,1003,3.15449,277,0.35841
