Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188290,HES4,125,-0.3498,294,1.11988,119,-0.4813,113,-0.5694,37,-2.1928,317,1.26684
ENSG00000078808,SDF4,125,-0.1325,294,1.37357,135,-0.0098,105,-0.4736,33,-2.1850,154,0.20976
ENSG00000175756,AURKAIP1,125,-0.2003,294,1.28775,151,0.11811,109,-0.4848,92,-0.6973,104,-0.4985
ENSG00000242485,MRPL20,125,-0.6024,294,0.82650,188,0.07460,161,-0.2237,78,-1.3165,255,0.57770
ENSG00000160075,SSU72,125,-0.7232,294,0.68892,265,0.61870,219,0.22286,83,-1.3392,95,-1.1340
ENSG00000078369,GNB1,838,1.34234,294,-0.4745,360,-0.1688,328,-0.3414,223,-0.9041,419,0.10217
ENSG00000067606,PRKCZ,125,-0.6864,294,0.72337,276,0.75035,169,-0.2421,117,-0.7953,111,-0.8715
ENSG00000157870,PRXL2B,125,-0.1814,294,1.32041,182,0.54061,118,-0.3070,53,-1.4985,42,-1.8442
ENSG00000158109,TPRG1L,125,-0.5171,294,0.92461,252,0.79747,137,-0.4140,83,-1.1475,94,-0.9602
ENSG00000069424,KCNAB2,125,-0.3929,294,1.06914,189,0.34623,177,0.21358,70,-1.2829,50,-1.7997
ENSG00000116254,CHD5,125,-0.4377,294,1.01686,195,0.35396,191,0.30420,91,-0.9226,26,-2.8120
ENSG00000116251,RPL22,125,-1.5858,294,-0.2581,182,-1.1247,402,0.30921,425,0.35389,740,1.36209
ENSG00000097021,ACOT7,125,-1.4617,294,-0.1240,675,1.77228,296,-0.1294,84,-2.0570,90,-1.9508
ENSG00000171735,CAMTA1,125,-1.3013,294,0.04718,309,0.15851,459,1.01054,174,-0.7878,153,-0.9864
ENSG00000116288,PARK7,125,-0.9747,294,0.40359,229,-0.0185,289,0.45104,173,-0.4668,220,-0.0810
ENSG00000142599,RERE,125,-0.3357,294,1.13649,125,-0.3717,189,0.41763,96,-0.7445,83,-0.9734
ENSG00000074800,ENO1,125,-2.3880,294,-1.1009,977,1.09047,827,0.70166,381,-0.6968,298,-1.0797
ENSG00000171603,CLSTN1,125,-1.4613,294,-0.1236,445,0.70171,359,0.24577,171,-0.9820,336,0.09620
ENSG00000054523,KIF1B,125,-1.7404,294,-0.4217,500,0.55179,483,0.47673,281,-0.4891,381,0.00177
ENSG00000116649,SRM,125,0.08048,294,1.64250,122,0.05242,106,-0.2062,48,-1.4178,27,-2.2817
ENSG00000116661,FBXO2,125,-1.3850,294,-0.0414,524,1.20545,345,0.26955,143,-1.1803,110,-1.5766
ENSG00000132879,FBXO44,125,-0.3600,294,1.10785,223,0.74472,111,-0.6139,57,-1.5529,100,-0.7009
ENSG00000011021,CLCN6,125,-0.3418,294,1.12927,249,1.02647,97,-0.8321,54,-1.6365,67,-1.3076
ENSG00000116688,MFN2,125,-0.2520,294,1.23585,160,0.18364,134,-0.1572,95,-0.6843,63,-1.3024
ENSG00000159363,ATP13A2,125,-0.8526,294,0.54326,347,1.04553,232,0.16638,93,-1.3045,33,-2.8170
ENSG00000117115,PADI2,1557,2.94160,294,-0.3824,22,-4.4096,123,-1.8828,204,-0.9548,628,0.90470
ENSG00000077549,CAPZB,125,-1.0671,294,0.30180,353,0.75374,218,-0.2223,138,-0.9105,262,0.11221
ENSG00000173436,MICOS10,125,-0.7429,294,0.66668,178,-0.2043,161,-0.3821,175,-0.2077,315,0.79246
ENSG00000158747,NBL1,125,-0.6148,294,0.81234,194,0.11169,219,0.35551,107,-0.8463,112,-0.7813
ENSG00000162545,CAMK2N1,1046,1.29998,294,-0.8564,293,-0.9616,602,0.36103,256,-1.0681,630,0.38197
ENSG00000158828,PINK1,125,-2.4066,2501,2.94973,511,-0.2882,368,-0.8687,246,-1.3887,136,-2.2792
ENSG00000127483,HP1BP3,125,-2.1636,2575,3.61349,164,-1.9101,357,-0.6337,120,-2.2187,181,-1.6050
ENSG00000075151,EIF4G3,125,-0.5170,294,0.92480,134,-0.4629,247,0.75118,81,-1.1798,113,-0.6692
ENSG00000076864,RAP1GAP,125,-0.1375,294,1.37357,175,0.50892,132,-0.0564,29,-2.3698,25,-2.5664
ENSG00000070831,CDC42,125,-1.4251,294,-0.0878,417,0.60713,295,-0.0909,137,-1.2857,497,0.81203
ENSG00000125944,HNRNPR,125,-0.4021,294,1.05839,111,-0.6694,192,0.36620,40,-2.1430,215,0.49943
ENSG00000142676,RPL11,125,-1.9076,294,-0.5992,194,-1.3711,425,-0.0041,603,0.58871,1148,1.82907
ENSG00000057757,PITHD1,125,-1.1888,294,0.17163,529,1.58140,221,-0.3393,93,-1.6332,107,-1.4257
ENSG00000001461,NIPAL3,125,-0.3308,294,1.14220,155,0.02689,125,-0.3797,89,-0.8565,156,0.03532
ENSG00000133226,SRRM1,125,0.17360,294,1.76048,64,-1.0060,82,-0.5649,66,-0.8438,121,0.12908
ENSG00000169504,CLIC4,125,-0.0644,294,1.45956,18,-3.1477,91,-0.6488,84,-0.6936,317,1.61923
ENSG00000117632,STMN1,3421,2.41095,294,-1.8906,835,-0.3197,454,-1.3645,290,-1.9085,1340,0.51075
ENSG00000142669,SH3BGRL3,125,-2.2618,2585,3.37468,435,-0.4046,134,-2.3258,105,-2.5139,372,-0.6004
ENSG00000198830,HMGN2,125,-0.2155,294,1.27894,54,-1.6725,152,0.12630,118,-0.3084,192,0.50082
ENSG00000117713,ARID1A,125,0.07117,294,1.62992,62,-1.1502,127,0.12258,37,-1.8028,121,0.02286
ENSG00000090273,NUDC,125,-0.4343,294,1.02080,125,-0.4856,202,0.42616,94,-0.8713,138,-0.2749
ENSG00000186501,TMEM222,125,-0.0315,294,1.50304,140,0.18379,104,-0.3680,43,-1.6691,67,-1.0090
ENSG00000126709,IFI6,125,-1.1025,294,0.26620,306,0.39882,238,-0.0974,127,-1.0769,370,0.66548
ENSG00000117758,STX12,125,-0.5257,294,0.90971,221,0.48687,139,-0.4081,76,-1.3013,172,-0.0107
ENSG00000126698,DNAJC8,125,-0.4430,294,1.01057,172,0.08779,146,-0.2170,112,-0.6123,146,-0.1867
ENSG00000130770,ATP5IF1,125,-1.2219,294,0.13516,270,-0.0006,394,0.78046,146,-0.9842,271,0.00414
ENSG00000162512,SDC3,125,-0.6220,294,0.80409,131,-0.6115,257,0.69260,187,0.03306,86,-1.1962
ENSG00000134644,PUM1,125,-0.7282,294,0.68328,224,0.25873,268,0.63281,121,-0.7743,48,-2.1548
ENSG00000121766,ZCCHC17,125,-0.4266,294,1.02239,223,0.63855,130,-0.4155,65,-1.4320,113,-0.5816
ENSG00000162517,PEF1,1978,4.17493,294,-0.2518,175,-1.1845,19,-4.5123,57,-2.7425,24,-3.9780
ENSG00000121753,ADGRB2,125,0.11240,294,1.68271,84,-0.6006,143,0.41584,43,-1.5425,15,-3.0427
ENSG00000184007,PTP4A2,125,-1.0019,294,0.37495,152,-0.7838,178,-0.5101,363,0.74406,436,1.08185
ENSG00000121774,KHDRBS1,125,-0.3812,294,1.07802,136,-0.2791,169,0.13330,57,-1.5765,178,0.19464
ENSG00000084623,EIF3I,125,-0.4494,294,1.00316,155,-0.1186,162,-0.0292,72,-1.2959,193,0.26587
ENSG00000175130,MARCKSL1,2696,3.15590,294,-1.1350,55,-3.8120,117,-2.7035,269,-1.2677,1208,1.22969
ENSG00000162521,RBBP4,125,0.08188,294,1.63114,65,-1.0667,123,0.05748,82,-0.5954,77,-0.7029
ENSG00000134684,YARS,125,-0.1237,294,1.39024,147,0.17827,126,-0.1232,57,-1.3517,54,-1.4273
ENSG00000116560,SFPQ,125,-0.5035,294,0.93442,139,-0.3836,219,0.49619,87,-1.0683,146,-0.2551
ENSG00000020129,NCDN,125,-1.6438,294,-0.3190,579,1.03195,498,0.68094,134,-1.5365,151,-1.3519
ENSG00000126067,PSMB2,125,-0.5561,294,0.86944,310,1.21717,122,-0.6811,62,-1.6373,73,-1.3856
