Feature ID,Feature Name,Feature count topic 1to4,Feature log2 fold change topic 1to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188976,NOC2L,89,0.17560,29,-1.6047,37,-1.2653,33,-1.4391,90,0.11726,206,1.58669
ENSG00000188290,HES4,111,0.34878,68,-0.5824,31,-1.7840,42,-1.3024,90,-0.1388,206,1.28181
ENSG00000187608,ISG15,66,-0.3814,36,-1.1624,14,-2.6080,84,0.13208,90,0.25304,206,1.75286
ENSG00000078808,SDF4,105,-0.0620,57,-0.9954,100,-0.1141,95,-0.1994,90,-0.2867,206,1.11012
ENSG00000131584,ACAP3,49,-0.6499,41,-0.7248,20,-1.7821,28,-1.3081,90,0.55168,206,2.13236
ENSG00000127054,INTS11,62,-0.5655,26,-1.7069,57,-0.5109,79,0.01676,90,0.22666,206,1.72030
ENSG00000107404,DVL1,61,-0.5377,39,-1.0423,50,-0.6633,60,-0.3989,90,0.25956,206,1.76093
ENSG00000175756,AURKAIP1,175,-0.7773,107,-1.2901,94,-1.4750,204,-0.2884,888,2.43528,206,-0.2703
ENSG00000221978,CCNL2,46,-0.9114,31,-1.2157,37,-0.9436,67,-0.0309,90,0.45421,206,2.00613
ENSG00000242485,MRPL20,206,0.29525,141,-0.4306,126,-0.6087,276,0.66695,90,-1.1227,206,0.18082
ENSG00000179403,VWA1,8,-3.9700,39,-1.0093,274,2.45442,31,-1.3523,90,0.30547,206,1.81801
ENSG00000160075,SSU72,205,0.59542,110,-0.6497,83,-1.0835,187,0.19096,90,-0.9602,206,0.35717
ENSG00000228594,FNDC10,97,0.35453,49,-0.8726,32,-1.5033,3,-4.9674,90,0.08301,206,1.54531
ENSG00000078369,GNB1,502,1.17591,218,-0.7333,302,-0.2192,293,-0.2674,90,-2.0666,206,-0.8171
ENSG00000067606,PRKCZ,284,0.13209,108,-1.4207,138,-1.0501,54,-2.4527,789,1.93918,206,-0.4290
ENSG00000162585,FAAP20,52,-0.7747,39,-0.9584,31,-1.2940,78,0.12554,90,0.35307,206,1.87766
ENSG00000157916,RER1,91,-0.1014,37,-1.4279,85,-0.1630,68,-0.5201,90,-0.0785,206,1.35276
ENSG00000157870,PRXL2B,121,0.58587,23,-2.1782,33,-1.6795,49,-1.0814,90,-0.1430,206,1.27697
ENSG00000158109,TPRG1L,373,1.53468,114,-1.1368,124,-1.0166,107,-1.2404,90,-1.4989,206,-0.2214
ENSG00000130764,LRRC47,105,0.03966,47,-1.2279,92,-0.1835,75,-0.5018,90,-0.2233,206,1.18336
ENSG00000069424,KCNAB2,155,0.99763,37,-1.6924,40,-1.5875,13,-3.1924,90,-0.3454,206,1.04269
ENSG00000116254,CHD5,116,0.63521,50,-0.9654,9,-3.4605,17,-2.5379,90,-0.0526,206,1.38333
ENSG00000116251,RPL22,264,-0.7880,401,0.12625,510,0.52936,1074,1.92252,90,-2.1671,206,-0.9216
ENSG00000097021,ACOT7,1144,1.88249,215,-1.7770,136,-2.4593,121,-2.6335,872,0.40814,206,-1.8392
ENSG00000162413,KLHL21,34,-1.3632,21,-1.7161,36,-0.9078,90,0.55754,90,0.54977,206,2.12987
ENSG00000171735,CAMTA1,212,0.51890,277,0.75440,91,-1.0405,75,-1.3190,90,-1.0526,206,0.25673
