Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to9,Feature log2 fold change topic 4to9,Feature count topic 10to13,Feature log2 fold change topic 10to13
ENSG00000228794,LINC01128,8,-0.8787,2,-2.3987,22,0.71811,19,1.09799,8,-1.0842
ENSG00000188976,NOC2L,60,0.71517,2,-3.8612,28,-0.4819,46,0.51708,33,-0.2888
ENSG00000188290,HES4,257,2.00304,39,-1.0649,19,-2.1239,94,0.53192,35,-1.4597
ENSG00000187608,ISG15,95,0.78145,3,-4.1736,27,-1.1487,70,0.52404,53,-0.1797
ENSG00000078808,SDF4,8,-3.0158,2,-4.5148,116,1.03857,69,0.37552,62,0.03910
ENSG00000176022,B3GALT6,28,0.23470,2,-3.2117,26,0.10401,33,0.93516,16,-0.8434
ENSG00000160087,UBE2J2,8,-2.0549,12,-1.3386,36,0.25892,40,0.80514,26,-0.3531
ENSG00000131584,ACAP3,9,-1.2806,17,-0.3382,8,-1.4806,22,0.06621,28,0.60321
ENSG00000127054,INTS11,76,0.73298,32,-0.6269,90,1.00977,51,0.20481,29,-0.9550
ENSG00000224051,CPTP,89,2.17130,2,-3.2406,19,-0.3689,21,-0.4000,21,-0.3095
ENSG00000107404,DVL1,80,0.86865,76,0.77965,59,0.37029,34,-0.7532,47,0.00503
ENSG00000175756,AURKAIP1,174,0.35240,106,-0.4185,204,0.60882,137,-0.0476,126,-0.1994
ENSG00000221978,CCNL2,9,-2.0695,9,-2.0303,99,1.62428,38,0.08519,34,-0.1933
ENSG00000242485,MRPL20,288,0.73787,108,-0.7894,241,0.45362,193,0.17423,140,-0.5097
ENSG00000235098,ANKRD65,9,-1.0783,2,-2.8488,42,1.28225,14,-0.7231,28,0.82372
ENSG00000179403,VWA1,15,-2.1912,53,-0.3122,63,-0.0499,25,-1.9326,140,2.13540
ENSG00000205090,TMEM240,8,-0.7859,2,-2.3086,21,0.78027,16,0.56699,10,-0.3941
ENSG00000160075,SSU72,277,1.01348,30,-2.3811,155,0.07323,177,0.52243,100,-0.7604
ENSG00000228594,FNDC10,125,1.52450,2,-4.2256,21,-1.2911,66,0.91038,24,-1.3073
ENSG00000272106,AL691432.2,8,-1.2464,43,1.43048,25,0.53961,15,-0.4618,17,-0.1147
ENSG00000197530,MIB2,24,-0.4965,57,0.85445,46,0.52172,32,-0.0708,27,-0.3611
ENSG00000189339,SLC35E2B,111,2.45380,3,-3.2731,24,-0.1492,24,-0.2939,17,-0.8604
ENSG00000008130,NADK,8,-1.5928,2,-3.0967,37,0.79979,26,0.45339,22,-0.0742
ENSG00000078369,GNB1,173,-0.9193,119,-1.4709,293,-0.1107,396,0.69132,283,-0.2183
ENSG00000187730,GABRD,8,-0.8239,2,-2.3455,48,2.15342,11,-0.4500,12,-0.1719
ENSG00000067606,PRKCZ,319,1.26937,135,-0.1201,85,-0.8281,158,0.20934,104,-0.6650
ENSG00000162585,FAAP20,91,0.88430,23,-1.2122,68,0.42084,54,0.11559,42,-0.4142
ENSG00000157933,SKI,8,-1.5154,3,-2.8413,47,1.28859,17,-0.5402,29,0.70548
ENSG00000157916,RER1,145,1.13424,11,-2.7875,105,0.60175,70,-0.0768,64,-0.2443
ENSG00000157911,PEX10,8,-1.5287,2,-3.0176,50,1.36086,22,0.00816,23,0.09899
ENSG00000157870,PRXL2B,9,-2.3083,17,-1.4526,52,0.19756,65,1.12014,32,-0.6903
ENSG00000158109,TPRG1L,89,-0.3419,22,-2.3891,136,0.31686,154,1.05114,68,-0.9331
ENSG00000130764,LRRC47,8,-3.0421,58,-0.0668,54,-0.1852,80,0.85330,48,-0.4900
ENSG00000116198,CEP104,8,-1.8317,26,-0.0025,42,0.73317,21,-0.5808,36,0.67076
ENSG00000196581,AJAP1,8,-0.8486,2,-2.3695,4,-1.7277,20,1.40273,10,-0.6433
ENSG00000069424,KCNAB2,234,1.99379,3,-4.3858,33,-1.1919,83,0.40250,42,-1.0130
ENSG00000116254,CHD5,112,1.02048,3,-4.2910,6,-3.3060,83,1.07866,38,-0.8424
ENSG00000116251,RPL22,61,-3.2549,1882,2.11538,593,0.13103,397,-0.7565,542,-0.0125
ENSG00000116237,ICMT,109,1.67909,9,-2.1237,75,1.03766,36,-0.2373,26,-0.7986
ENSG00000097021,ACOT7,450,0.59110,173,-0.8938,73,-2.1772,447,1.21636,163,-1.2040
ENSG00000162408,NOL9,110,2.27566,4,-2.7431,43,0.60590,25,-0.3385,17,-0.9823
ENSG00000162413,KLHL21,8,-2.2656,4,-3.3774,94,1.42719,41,0.15054,39,-0.0224
ENSG00000116273,PHF13,8,-0.9578,2,-2.4757,23,0.70691,18,0.66906,12,-0.4337
ENSG00000041988,THAP3,8,-0.9784,2,-2.4957,21,0.52020,18,0.67046,12,-0.3309
ENSG00000007923,DNAJC11,76,1.60599,2,-3.4407,25,-0.1783,27,-0.1337,26,-0.1723
ENSG00000171735,CAMTA1,238,0.11598,95,-1.2872,116,-0.9914,297,0.91632,162,-0.6065
ENSG00000049245,VAMP3,8,-3.1586,61,-0.1321,39,-0.7889,34,-1.4265,137,1.95204
ENSG00000049246,PER3,8,-1.7668,2,-3.2679,54,1.23536,26,0.11123,27,0.10067
ENSG00000116288,PARK7,253,-0.5025,388,0.15933,453,0.40162,401,0.38328,265,-0.5547
ENSG00000116285,ERRFI1,12,-0.6738,4,-2.3168,20,0.15271,19,0.14729,22,0.35319
ENSG00000162426,SLC45A1,77,1.59230,2,-3.4658,8,-1.8581,41,1.11037,11,-1.7040
ENSG00000142599,RERE,136,0.59791,79,-0.2693,112,0.28865,97,0.09527,77,-0.3923
ENSG00000074800,ENO1,686,0.11852,300,-1.1425,1165,0.97669,740,0.43784,418,-0.8075
ENSG00000171612,SLC25A33,8,-2.3735,28,-0.5042,42,0.15084,45,0.42568,39,0.00769
ENSG00000188807,TMEM201,8,-1.1619,2,-2.6746,15,-0.1188,21,0.65786,17,-0.0179
ENSG00000171603,CLSTN1,805,1.39389,126,-1.5220,586,0.85341,368,0.18048,188,-1.1324
ENSG00000178585,CTNNBIP1,93,1.27151,80,1.02884,13,-1.7641,40,-0.1650,32,-0.5734
ENSG00000162441,LZIC,8,-2.5148,3,-3.6308,71,0.81243,43,0.05312,53,0.46721
ENSG00000130939,UBE4B,8,-2.1821,3,-3.3428,42,0.33578,41,0.57941,35,0.06322
ENSG00000054523,KIF1B,487,0.72490,193,-0.7222,355,0.21619,303,-0.0582,293,-0.1142
ENSG00000142657,PGD,64,-0.0528,10,-2.7105,40,-0.7686,83,0.68211,62,-0.1398
ENSG00000160049,DFFA,56,0.17246,84,0.83274,24,-1.0877,42,-0.4513,59,0.35148
ENSG00000142655,PEX14,214,3.01101,73,0.94435,24,-0.8213,26,-0.9773,14,-1.8225
ENSG00000120948,TARDBP,8,-2.8057,10,-2.4638,82,0.67324,67,0.63792,50,-0.1603
ENSG00000116649,SRM,11,-2.4237,2,-4.4126,62,0.11207,80,1.03681,49,-0.3339
ENSG00000171824,EXOSC10,14,-0.7962,2,-3.1572,50,1.21388,25,0.17725,22,-0.1163
ENSG00000198793,MTOR,8,-2.3220,2,-3.8157,30,-0.3206,55,1.33505,28,-0.5620
ENSG00000116661,FBXO2,300,0.31886,259,0.08693,395,0.76325,285,0.42945,131,-1.1715
ENSG00000132879,FBXO44,299,2.00534,2,-5.1073,65,-0.5198,105,0.37897,49,-1.1708
ENSG00000116670,MAD2L2,93,1.91418,64,1.25139,33,0.16648,16,-1.2972,24,-0.4048
ENSG00000177674,AGTRAP,8,-0.9313,2,-2.4499,71,2.83486,6,-1.8343,18,0.44194
ENSG00000177000,MTHFR,17,0.34649,2,-2.3557,15,0.19633,13,-0.0195,15,0.23119
ENSG00000011021,CLCN6,10,-3.0104,128,0.78603,70,-0.1655,101,0.76286,51,-0.8086
ENSG00000116685,KIAA2013,10,-1.9487,2,-3.8372,80,1.21953,32,-0.3672,50,0.65278
ENSG00000083444,PLOD1,118,1.69849,32,-0.4311,36,-0.2372,42,0.01318,27,-0.8385
ENSG00000116688,MFN2,82,-0.5608,119,0.01403,65,-0.9012,149,0.71984,92,-0.4863
ENSG00000048707,VPS13D,8,-2.4521,2,-3.9722,82,1.11017,48,0.44397,39,-0.1293
ENSG00000162496,DHRS3,8,-1.5897,5,-2.2575,86,2.30956,21,-0.1411,16,-0.6040
ENSG00000116731,PRDM2,14,-1.6093,140,2.02946,33,-0.3592,29,-0.8340,46,0.17339
ENSG00000189337,KAZN,8,-2.8197,2,-4.3033,55,0.08930,57,0.25076,68,0.57161
ENSG00000142634,EFHD2,8,-2.0350,23,-0.4239,46,0.65357,44,1.19437,14,-1.4091
ENSG00000116138,DNAJC16,8,-1.4607,2,-2.9671,51,1.48934,24,0.41089,16,-0.5101
