Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8
ENSG00000188976,NOC2L,35,-0.6113,24,-1.4794,85,0.89071,72,0.89875
ENSG00000188290,HES4,20,-2.0461,85,0.28927,113,0.69787,71,-0.1220
ENSG00000187608,ISG15,544,3.53462,56,-1.3062,16,-2.9108,47,-1.6267
ENSG00000078808,SDF4,77,-0.3179,88,-0.1316,105,0.19294,100,0.16965
ENSG00000160087,UBE2J2,81,0.61255,30,-1.2212,61,0.15135,72,0.61640
ENSG00000127054,INTS11,104,1.03845,30,-1.2826,73,0.41692,63,0.24242
ENSG00000107404,DVL1,53,0.06069,32,-0.9669,82,0.79111,60,0.37302
ENSG00000175756,AURKAIP1,189,0.26144,149,-0.1798,95,-0.8344,186,0.35006
ENSG00000242485,MRPL20,215,0.21632,142,-0.6115,305,0.82042,188,-0.0046
ENSG00000179403,VWA1,44,-0.1080,68,0.96388,81,0.92387,16,-1.9993
ENSG00000160075,SSU72,189,0.03773,133,-0.6908,262,0.59346,208,0.29383
ENSG00000228594,FNDC10,13,-2.2612,44,-0.6220,4,-3.7946,109,1.82691
ENSG00000078369,GNB1,331,0.06179,264,-0.4174,336,0.08733,365,0.32140
ENSG00000067606,PRKCZ,43,-2.3032,137,-0.7170,184,-0.0686,300,1.22977
ENSG00000162585,FAAP20,110,1.16130,52,-0.1974,66,0.26023,40,-0.7108
ENSG00000157916,RER1,171,1.34563,53,-0.8437,128,0.81519,60,-0.6097
ENSG00000157870,PRXL2B,68,-0.4026,69,-0.5139,92,0.07593,111,0.59683
ENSG00000158109,TPRG1L,113,-0.4354,80,-1.2312,220,0.66746,205,0.82914
ENSG00000130764,LRRC47,90,-0.0427,57,-0.9736,99,0.12242,125,0.79233
ENSG00000069424,KCNAB2,33,-1.8716,56,-1.3570,148,0.46627,182,1.36909
ENSG00000116254,CHD5,22,-2.5325,99,-0.3578,246,1.33077,121,0.10774
ENSG00000116251,RPL22,520,0.54052,448,0.41631,434,0.22946,241,-0.9272
ENSG00000116237,ICMT,49,0.21075,56,0.66308,0,-6.0029,42,-0.0388
ENSG00000097021,ACOT7,77,-2.3705,195,-1.2429,466,0.42717,588,1.38076
ENSG00000162413,KLHL21,205,2.34511,22,-1.9183,0,-6.7592,71,0.39559
ENSG00000171735,CAMTA1,97,-1.6919,242,-0.3883,388,0.50328,365,0.59226
ENSG00000049245,VAMP3,41,-0.2708,68,0.86062,64,0.46718,27,-1.1937
ENSG00000116288,PARK7,358,0.59302,228,-0.2227,300,0.28678,225,-0.2539
ENSG00000142599,RERE,111,0.09722,104,-0.0250,199,1.12163,72,-0.7767
ENSG00000074800,ENO1,927,0.49150,555,-0.4810,414,-0.8212,845,0.49003
ENSG00000171612,SLC25A33,50,0.22512,65,1.07627,33,-0.4410,23,-1.2345
ENSG00000171603,CLSTN1,642,1.20728,177,-1.2084,448,0.55426,321,-0.0157
ENSG00000162441,LZIC,35,-0.3572,64,0.96603,50,0.19139,26,-1.0905
ENSG00000130939,UBE4B,42,-0.5720,41,-0.8033,63,0.08576,84,0.88041
ENSG00000054523,KIF1B,471,0.24628,382,-0.1374,360,-0.1951,424,0.09902
ENSG00000142657,PGD,42,-1.2859,81,-0.3446,149,0.78054,108,0.31107
ENSG00000160049,DFFA,52,0.24129,61,0.79153,15,-1.6491,36,-0.4681
ENSG00000120948,TARDBP,109,1.32691,36,-0.7566,65,0.40438,43,-0.3831
ENSG00000116649,SRM,73,-0.2197,68,-0.4365,45,-0.9668,115,0.82619
ENSG00000116661,FBXO2,454,0.37157,249,-0.7907,375,0.05331,443,0.49050
ENSG00000132879,FBXO44,38,-1.6487,55,-1.3590,86,-0.3812,194,1.74577
ENSG00000011021,CLCN6,67,-0.7411,60,-1.1493,114,0.11662,164,1.16860
ENSG00000116685,KIAA2013,96,1.01723,33,-0.9940,76,0.59640,52,-0.0521
ENSG00000116688,MFN2,88,-0.3506,96,-0.2980,174,0.78826,109,-0.0098
ENSG00000189337,KAZN,78,0.19680,70,0.00470,77,0.18109,64,-0.1933
ENSG00000142634,EFHD2,93,0.66536,25,-1.7696,36,-0.8903,99,1.28652
ENSG00000116786,PLEKHM2,49,-0.1974,48,-0.3282,79,0.58427,58,0.08832
ENSG00000065526,SPEN,36,-0.2300,52,0.58462,0,-6.2152,46,0.24687
ENSG00000159363,ATP13A2,56,-1.9565,129,-0.8882,292,0.65633,284,0.94462
ENSG00000117118,SDHB,64,-0.3315,48,-1.0182,132,0.87984,97,0.51349
ENSG00000117115,PADI2,104,0.04474,167,1.41074,93,-0.1431,38,-1.8540
ENSG00000053371,AKR7A2,256,1.99649,72,-0.4352,51,-0.8620,60,-0.7968
ENSG00000077549,CAPZB,299,0.36914,167,-0.7554,124,-1.0490,331,0.83757
ENSG00000173436,MICOS10,134,-0.6624,198,-0.0486,299,0.66773,197,-0.0611
ENSG00000158747,NBL1,114,-0.5484,86,-1.2324,220,0.54120,228,0.94217
ENSG00000162545,CAMK2N1,136,-1.5969,387,0.06476,946,1.67940,256,-0.8067
ENSG00000158828,PINK1,232,-0.7594,335,-0.2389,331,-0.1915,471,0.58642
ENSG00000127483,HP1BP3,285,0.78725,143,-0.4948,406,1.45758,106,-1.0739
ENSG00000075151,EIF4G3,157,0.22689,84,-0.9888,163,0.29506,173,0.59537
ENSG00000076864,RAP1GAP,17,-2.5506,55,-1.0905,206,1.39457,121,0.64082
ENSG00000090686,USP48,57,0.06903,51,-0.1424,0,-6.6104,75,0.82967
ENSG00000070831,CDC42,304,0.07535,212,-0.6658,190,-0.6815,397,0.81187
ENSG00000125944,HNRNPR,166,1.24576,72,-0.2722,120,0.65290,50,-0.9930
ENSG00000117318,ID3,187,2.80735,48,0.05636,18,-1.4876,8,-3.0551
ENSG00000142676,RPL11,689,0.91861,536,0.71593,297,-0.4967,215,-1.2712
ENSG00000057757,PITHD1,183,-0.7808,172,-1.1180,239,-0.3594,482,1.36093
ENSG00000189266,PNRC2,72,0.09527,54,-0.5015,68,-0.0168,81,0.42533
ENSG00000188529,SRSF10,91,0.75735,56,-0.0929,84,0.62939,41,-0.7387
ENSG00000001461,NIPAL3,46,-1.0358,87,-0.0370,93,0.07218,103,0.36137
ENSG00000133226,SRRM1,74,0.16062,64,-0.1076,134,1.22321,45,-0.8134
ENSG00000169504,CLIC4,114,0.91541,127,2.02056,16,-2.1415,8,-3.5870
ENSG00000117614,SYF2,133,1.10685,79,0.27209,12,-2.6629,61,-0.3338
ENSG00000117616,RSRP1,182,2.70655,33,-0.7150,1,-5.5685,31,-0.8728
ENSG00000183726,TMEM50A,50,-0.3930,63,-0.0083,41,-0.6945,76,0.43072
ENSG00000117640,MTFR1L,121,0.59557,66,-0.5330,66,-0.4072,98,0.34270
ENSG00000117632,STMN1,269,-1.3675,531,-0.4137,1054,0.85328,739,0.34131
ENSG00000142669,SH3BGRL3,304,0.36500,154,-0.9596,271,0.16981,307,0.56582
ENSG00000198830,HMGN2,392,1.96905,138,0.02836,118,-0.2319,55,-1.7291
ENSG00000117713,ARID1A,126,1.12230,66,-0.0142,72,0.13746,45,-0.8151
