Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000188976,NOC2L,41,-1.1753,169,1.21681,64,-0.4740,66,-0.4458,67,-0.4172,98,0.26709
ENSG00000188290,HES4,55,-1.3165,138,0.15183,142,0.20090,91,-0.5317,192,0.73207,132,0.10016
ENSG00000187608,ISG15,45,-1.1977,102,0.11517,35,-1.5535,157,0.89196,150,0.80449,88,-0.1577
ENSG00000078808,SDF4,26,-2.4190,191,0.71219,197,0.76968,142,0.18536,53,-1.3964,140,0.20220
ENSG00000127054,INTS11,54,-0.7204,107,0.40131,152,1.04332,61,-0.5268,47,-0.9347,85,0.01732
ENSG00000107404,DVL1,18,-2.3089,64,-0.3659,157,1.23700,98,0.35606,56,-0.5614,82,0.05532
ENSG00000175756,AURKAIP1,58,-1.4913,152,0.02683,293,1.21585,101,-0.6391,186,0.37138,129,-0.2957
ENSG00000221978,CCNL2,24,-2.0273,41,-1.2308,297,2.43196,70,-0.4109,44,-1.1294,75,-0.3511
ENSG00000242485,MRPL20,72,-1.4846,252,0.53929,312,0.92911,269,0.65247,142,-0.4342,123,-0.7651
ENSG00000160075,SSU72,103,-1.0337,226,0.23938,245,0.38139,192,-0.0400,138,-0.5787,235,0.37825
ENSG00000228594,FNDC10,25,-1.9505,157,1.08043,23,-2.0681,52,-0.8078,56,-0.6829,145,1.19984
ENSG00000078369,GNB1,108,-2.0218,649,0.89224,526,0.50890,359,-0.1463,405,0.05363,349,-0.2303
ENSG00000067606,PRKCZ,74,-1.2864,289,0.99927,150,-0.1538,164,-0.0066,145,-0.2118,166,0.01441
ENSG00000157916,RER1,57,-0.5046,89,0.22300,67,-0.2454,141,1.06007,73,-0.1167,59,-0.5239
ENSG00000157870,PRXL2B,36,-1.4725,106,0.23117,57,-0.7800,64,-0.6005,90,-0.0442,147,1.05033
ENSG00000158109,TPRG1L,62,-1.4701,328,1.33613,197,0.37603,29,-2.6205,111,-0.5813,190,0.38195
ENSG00000130764,LRRC47,40,-1.1332,71,-0.2261,104,0.40987,136,0.90039,22,-2.0458,100,0.41175
ENSG00000069424,KCNAB2,35,-1.6805,173,0.93986,24,-2.2129,85,-0.3081,139,0.52787,129,0.49949
ENSG00000116254,CHD5,47,-2.0389,264,0.73262,68,-1.4813,50,-1.9485,171,-0.0273,308,1.35578
ENSG00000116251,RPL22,402,-0.2476,247,-1.0258,491,0.08547,1134,1.67187,445,-0.0812,274,-0.9859
ENSG00000097021,ACOT7,88,-1.8867,921,2.28705,197,-0.6520,184,-0.7576,133,-1.2613,264,-0.2044
ENSG00000162413,KLHL21,38,-0.9216,116,0.93734,128,1.13011,44,-0.7026,13,-2.5330,69,0.02322
ENSG00000171735,CAMTA1,137,-1.3792,305,-0.1102,179,-0.9664,116,-1.6255,568,0.99291,487,0.89831
ENSG00000116288,PARK7,106,-1.5262,260,-0.1127,312,0.19227,333,0.30619,337,0.32570,300,0.15496
ENSG00000142599,RERE,66,-0.9799,48,-1.4719,157,0.43717,75,-0.7772,103,-0.2658,200,1.15397
ENSG00000074800,ENO1,138,-2.5200,1114,0.81695,1433,1.30626,280,-1.4576,583,-0.3047,679,-0.0634
ENSG00000171603,CLSTN1,151,-1.8698,794,0.82675,1019,1.31217,236,-1.1958,164,-1.7466,557,0.23691
ENSG00000054523,KIF1B,178,-1.0420,488,0.62854,350,0.05002,355,0.07386,241,-0.5627,384,0.25068
