Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000188976,NOC2L,32,-1.0860,59,-0.0234,130,1.82571,23,-1.4625,36,-0.9158
ENSG00000188290,HES4,59,-0.4389,203,1.82370,99,0.55977,29,-1.4634,26,-1.7873
ENSG00000187608,ISG15,26,-0.9914,103,1.46491,48,0.12944,39,-0.2392,36,-0.4291
ENSG00000078808,SDF4,45,-1.0965,115,0.52555,125,0.82280,1,-6.1538,108,0.50851
ENSG00000160087,UBE2J2,18,-1.5588,100,1.40344,67,0.81523,12,-1.9690,40,-0.2477
ENSG00000131584,ACAP3,37,-0.7003,51,-0.1233,50,-0.1601,52,-0.0799,80,0.78614
ENSG00000127054,INTS11,30,-0.8235,71,0.66571,72,0.85056,1,-5.3556,54,0.20699
ENSG00000107404,DVL1,26,-0.8386,90,1.34631,50,0.34607,1,-5.1565,46,0.18532
ENSG00000175756,AURKAIP1,60,-1.0304,120,0.19191,176,1.05291,73,-0.6133,97,-0.1978
ENSG00000221978,CCNL2,34,-0.5498,98,1.33612,56,0.38040,2,-4.1657,44,-0.0862
ENSG00000242485,MRPL20,66,-1.2447,274,1.25592,171,0.48751,92,-0.6098,117,-0.2561
ENSG00000179403,VWA1,22,-2.1943,24,-1.8805,15,-2.7314,31,-1.5193,263,3.58048
ENSG00000160075,SSU72,90,-0.6798,191,0.63814,228,1.20165,11,-3.6367,105,-0.4100
ENSG00000228594,FNDC10,24,-1.7397,124,1.06982,128,1.43672,49,-0.5175,30,-1.3808
ENSG00000078369,GNB1,176,-1.0748,404,0.37425,537,1.09505,41,-3.1376,356,0.18827
ENSG00000067606,PRKCZ,91,-1.0514,213,0.43079,330,1.58144,20,-3.1906,122,-0.5525
ENSG00000162585,FAAP20,33,-0.8181,47,-0.1947,71,0.59595,60,0.20923,54,0.02501
ENSG00000157916,RER1,33,-1.2246,76,0.24259,99,0.86503,22,-1.6698,81,0.42963
ENSG00000157870,PRXL2B,34,-0.8530,118,1.36698,86,0.95805,12,-2.2779,33,-0.8805
ENSG00000158109,TPRG1L,82,-1.2541,223,0.47380,374,1.90247,4,-5.2722,103,-0.8799
ENSG00000130764,LRRC47,45,-0.7943,107,0.72787,123,1.24557,1,-5.8812,57,-0.3830
ENSG00000069424,KCNAB2,38,-1.3092,148,1.06024,188,2.06293,1,-6.0968,21,-2.1974
ENSG00000116254,CHD5,97,0.07529,129,0.53828,202,1.80559,1,-6.3126,10,-3.5157
ENSG00000116251,RPL22,277,-0.6991,642,0.77927,175,-1.4651,434,0.10426,639,0.95116
ENSG00000116237,ICMT,29,-0.6868,44,0.02930,65,0.85853,70,0.83367,21,-1.2682
ENSG00000097021,ACOT7,151,-1.5887,320,-0.2811,1107,3.00794,7,-5.8427,97,-2.2807
ENSG00000162413,KLHL21,26,-0.9322,53,0.29631,58,0.55784,34,-0.4017,49,0.18853
ENSG00000007923,DNAJC11,23,-1.0074,89,1.38214,64,0.92841,11,-1.9706,26,-0.7740
ENSG00000171735,CAMTA1,198,-0.2655,379,0.87348,310,0.62568,136,-0.8252,147,-0.7942
ENSG00000049245,VAMP3,16,-2.5128,60,-0.3561,9,-3.3606,78,0.06637,204,2.69150
ENSG00000116288,PARK7,195,-0.5017,302,0.26919,383,0.83490,66,-2.1025,264,0.05712
ENSG00000142599,RERE,56,-1.0432,203,1.21671,89,-0.2448,165,0.83078,77,-0.5130
ENSG00000074800,ENO1,193,-0.4298,304,0.37545,481,1.55032,115,-1.1837,89,-1.7158
ENSG00000171612,SLC25A33,38,-0.0172,114,2.04044,26,-0.6848,34,-0.1756,15,-1.6163
ENSG00000171603,CLSTN1,209,-1.0757,639,0.88189,710,1.36870,192,-1.0923,199,-1.1617
ENSG00000162441,LZIC,28,-1.0341,39,-0.4216,29,-0.9804,61,0.30308,96,1.40740
ENSG00000130939,UBE4B,20,-2.0978,47,-0.6618,85,0.36070,254,2.50287,27,-1.6209
ENSG00000054523,KIF1B,188,-1.3481,302,-0.4769,350,-0.2805,934,1.49701,469,0.28230
ENSG00000142657,PGD,33,-1.0124,76,0.45208,110,1.43722,1,-5.5401,50,-0.2643
ENSG00000160049,DFFA,44,-0.3327,17,-1.7612,68,0.51130,29,-0.9635,76,0.75452
ENSG00000120948,TARDBP,38,-1.2628,132,0.90782,61,-0.4396,130,0.88005,81,0.08486
