cluster	gene	ensembl	fdr	logFC	p_value	t_stat
Astro_1	A2M	ENSG00000175899	0.0027486388629925	0.327847565166145	0.000295963643322382	3.70527752759437
Astro_1	AAK1	ENSG00000115977	0.100905888367555	0.265640104924658	0.0544436432154229	1.93840617792024
Astro_1	AAMP	ENSG00000127837	0.411605693935035	0.144618749299274	0.331182860604807	0.97487994221017
Astro_1	AARS	ENSG00000090861	0.996296050775277	-0.00100072514404301	0.99481383497943	-0.00651073732434273
Astro_1	AASDHPPT	ENSG00000149313	0.0166114720717747	0.429937525672873	0.00418067050653393	2.9085761533301
Astro_1	AATK	ENSG00000181409	0.915615005135944	-0.0174655671508048	0.892419624773876	-0.135471937460041
Astro_1	ABAT	ENSG00000183044	0.0291220541295646	0.269299623119762	0.009582188403157	2.62411036698852
Astro_1	ABCA2	ENSG00000107331	0.198410807915807	-0.125262578597792	0.130244413395155	-1.5214462812823
Astro_1	ABCA3	ENSG00000167972	0.283260049164332	0.18122082197554	0.205860452293741	1.27051414592985
Astro_1	ABCD3	ENSG00000117528	0.440598948791774	0.158022216344401	0.360956837790236	0.91633335521885
Astro_1	ABHD12	ENSG00000100997	0.0721057068008216	0.348216736343039	0.0346851155947419	2.1313270022431
Astro_1	ABHD14A	ENSG00000248487	0.0278233969593334	0.477912081758147	0.0089755118879476	2.64735160907815
Astro_1	ABHD17A	ENSG00000129968	0.14790046564877	0.219608488307038	0.0890776670123635	1.71133510652836
Astro_1	ABHD2	ENSG00000140526	0.94754109490877	0.0136299332108618	0.932269542424498	0.0851319477141921
Astro_1	ABHD8	ENSG00000127220	0.106017349350184	0.351993352567027	0.0580462587880583	1.90990443927796
Astro_1	ABI1	ENSG00000136754	0.361731364576957	0.192159221391224	0.283160406141694	1.07709379152232
Astro_1	ABI2	ENSG00000138443	0.233459632551715	0.214623702507453	0.161737221261962	1.40615665504222
Astro_1	ABLIM1	ENSG00000099204	0.0852912484079082	0.24753744635834	0.0437136152886551	2.03393049278795
