gene_name	LCNMadj_subclus	DEtest_unadjP.05_forCluster	Nsigmodels_forCluster
CRH	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ADCYAP1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FADS3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NELL1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PDGFD	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CHODL	5HT.1_LCNMadj	E4_noAncestry_noRin	4
KCTD20	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NMB	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GAL	5HT.1_LCNMadj	E4_noAncestry_noRin	4
EDNRB	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CST3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
LMO4	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SCN3A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NEAT1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MTRNR2L8	5HT.1_LCNMadj	E4_noAncestry_noRin	4
LRRFIP1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NDUFS3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ARFRP1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SNRNP27	5HT.1_LCNMadj	E4_noAncestry_noRin	4
COMMD6	5HT.1_LCNMadj	E4_noAncestry_noRin	4
HMGN1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TBC1D10B	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FGFR3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GAD1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
EMD	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CDH8	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NT5DC2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
C12orf57	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PTPN23	5HT.1_LCNMadj	E4_noAncestry_noRin	4
KIAA0408	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SLC1A3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PEPD	5HT.1_LCNMadj	E4_noAncestry_noRin	4
C1orf216	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NPEPPS	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NUP50	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ALDH5A1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ATP2A2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CARTPT	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NISCH	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CYGB	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MGAT5	5HT.1_LCNMadj	E4_noAncestry_noRin	4
UBE2I	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NBL1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
AHCYL1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MYT1L	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PLCXD3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TMEM208	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TRIL	5HT.1_LCNMadj	E4_noAncestry_noRin	4
VSTM2L	5HT.1_LCNMadj	E4_noAncestry_noRin	4
LINC00844	5HT.1_LCNMadj	E4_noAncestry_noRin	4
EFEMP1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
WASHC1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SF3B6	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PLPP3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
UBE2E1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CIPC	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FBXO3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CZIB	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SLC66A2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CLK1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
KLF7	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CPLX2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SDHAF2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
RPS3A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
UBE2Q2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TMED7	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MTMR9	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TMEM230	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SOX2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SCN2B	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MT1X	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SLC1A2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ZDHHC21	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FOS	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SCN9A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MOAP1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
RBM18	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GAD2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FAM216A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SPARC	5HT.1_LCNMadj	E4_noAncestry_noRin	4
LRRN3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TRAK2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ADRA2A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GJA1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SORL1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
DCBLD2	5HT.1_LCNMadj	E4_noAncestry_noRin	2
OLA1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
HBA1	5HT.1_LCNMadj	E4_noAncestry_noRin	3
RAC3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GABRQ	5HT.1_LCNMadj	E4_noAncestry_noRin	2
ATG4B	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ACIN1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
DGUOK	5HT.1_LCNMadj	E4_noAncestry_noRin	4
RAB9B	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CCSER2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
LNPK	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FAM217B	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PCDH10	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CDC42SE2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PRAF2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FAM168A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PABPC4	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SLC10A4	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SGSM1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TMEM219	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ABCA5	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CHCHD1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NHLH2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ITGB1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PRKAR2B	5HT.1_LCNMadj	E4_noAncestry_noRin	4
C6orf62	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SLC35B4	5HT.1_LCNMadj	E4_noAncestry_noRin	3
DHPS	5HT.1_LCNMadj	E4_noAncestry_noRin	4
DNAJC30	5HT.1_LCNMadj	E4_noAncestry_noRin	2
DBH	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TADA3	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GSTP1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MAPK1IP1L	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CSRNP2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
EIF5A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SCP2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
RHEB	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SCD5	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FAM219B	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MMUT	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GATM	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SLC7A14	5HT.1_LCNMadj	E4_noAncestry_noRin	4
HBB	5HT.1_LCNMadj	E4_noAncestry_noRin	2
CIT	5HT.1_LCNMadj	E4_noAncestry_noRin	3
ATP1A2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MPC1	5HT.1_LCNMadj	E4_noAncestry_noRin	2
MPP2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ACTR1A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
FGF12	5HT.1_LCNMadj	E4_noAncestry_noRin	4
ITM2C	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PTGDS	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PRXL2A	5HT.1_LCNMadj	E4_noAncestry_noRin	4
LSM7	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GABARAPL2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PTPRF	5HT.1_LCNMadj	E4_noAncestry_noRin	2
BTRC	5HT.1_LCNMadj	E4_noAncestry_noRin	4
RPS29	5HT.1_LCNMadj	E4_noAncestry_noRin	4
NFIA	5HT.1_LCNMadj	E4_noAncestry_noRin	4
PRNP	5HT.1_LCNMadj	E4_noAncestry_noRin	4
IFI27	5HT.1_LCNMadj	E4_noAncestry_noRin	4
CHD8	5HT.1_LCNMadj	E4_noAncestry_noRin	4
GDE1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TMEM63C	5HT.1_LCNMadj	E4_noAncestry_noRin	2
INSIG2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
SLC30A9	5HT.1_LCNMadj	E4_noAncestry_noRin	2
SLC6A11	5HT.1_LCNMadj	E4_noAncestry_noRin	4
MAN2A2	5HT.1_LCNMadj	E4_noAncestry_noRin	4
AQP1	5HT.1_LCNMadj	E4_noAncestry_noRin	4
TFRC	5HT.1_LCNMadj	E4_noAncestry_noRin	2
DPYSL5	5HT.1_LCNMadj	E4_noAncestry_noRin	4
