Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188976,NOC2L,193,2.09105,139,1.41725,10,-2.7471,28,-1.3242,16,-2.0333,11,-2.5390,64,0.07088
ENSG00000188290,HES4,193,1.35858,139,0.76125,15,-2.6509,61,-0.6532,35,-1.4183,54,-0.7720,117,0.55945
ENSG00000187608,ISG15,193,1.29081,139,0.69894,65,-0.5396,83,-0.1597,29,-1.7434,146,0.78524,41,-1.3461
ENSG00000078808,SDF4,193,1.11185,139,0.53331,85,-0.2635,44,-1.4073,125,0.35793,60,-0.8141,108,0.12941
ENSG00000160087,UBE2J2,193,1.97224,139,1.31330,27,-1.3323,14,-2.4290,46,-0.5541,27,-1.3563,61,-0.0933
ENSG00000131584,ACAP3,193,1.89675,139,1.24672,35,-0.9939,25,-1.6691,94,0.55975,32,-1.1550,31,-1.3091
ENSG00000127054,INTS11,193,1.78045,139,1.14335,10,-2.8749,21,-1.9603,90,0.39594,71,-0.0086,47,-0.7374
ENSG00000107404,DVL1,193,1.78133,139,1.14413,29,-1.3719,44,-0.8151,31,-1.2684,61,-0.2405,48,-0.6702
ENSG00000175756,AURKAIP1,193,0.89266,139,0.32847,67,-0.8277,55,-1.2489,69,-0.7732,141,0.35888,152,0.56122
ENSG00000221978,CCNL2,193,1.75991,139,1.12499,13,-2.5645,23,-1.8403,114,0.77612,75,0.07000,32,-1.3395
ENSG00000242485,MRPL20,193,0.64052,139,0.09050,49,-1.5082,62,-1.2671,161,0.33698,191,0.62210,162,0.39827
ENSG00000179403,VWA1,193,0.22460,139,-0.3066,287,0.90437,75,-1.3682,587,2.33925,70,-1.3479,43,-2.2342
ENSG00000160075,SSU72,193,0.38641,139,-0.1515,89,-0.8525,59,-1.5897,212,0.55031,129,-0.2719,246,0.96739
ENSG00000228594,FNDC10,193,1.85830,139,1.21264,13,-2.5237,12,-2.7666,3,-4.6501,11,-2.6997,117,1.08944
ENSG00000078369,GNB1,193,-0.9494,1330,2.52700,143,-1.4033,119,-1.8189,342,-0.0492,256,-0.5064,336,-0.0889
ENSG00000067606,PRKCZ,193,0.77093,139,0.21388,74,-0.7882,37,-1.9438,120,-0.0226,53,-1.2829,221,1.23755
ENSG00000162585,FAAP20,193,1.70829,139,1.07876,53,-0.5036,37,-1.1510,23,-1.8016,94,0.40197,43,-0.9385
ENSG00000157933,SKI,193,1.97401,139,1.31486,34,-1.0048,22,-1.8109,35,-0.9650,81,0.36737,29,-1.3550
ENSG00000157916,RER1,193,1.30492,139,0.71193,53,-0.8435,31,-1.7946,128,0.57631,78,-0.2464,82,-0.1886
ENSG00000157870,PRXL2B,193,1.24508,139,0.65676,29,-1.7834,23,-2.2527,50,-0.9893,70,-0.4656,157,1.05786
ENSG00000158109,TPRG1L,193,1.08987,139,0.51286,19,-2.5285,31,-1.9356,66,-0.6846,69,-0.6062,183,1.22085
ENSG00000130764,LRRC47,193,1.63342,139,1.01139,11,-2.8624,25,-1.8599,92,0.30700,53,-0.5843,75,-0.0309
ENSG00000116198,CEP104,193,2.13612,139,1.45640,65,0.11858,21,-1.7072,6,-3.2941,51,-0.2590,22,-1.6611
ENSG00000069424,KCNAB2,193,1.44259,139,0.83816,24,-1.9165,36,-1.4510,0,-6.9515,27,-1.7369,152,1.22196
ENSG00000116254,CHD5,193,1.18171,139,0.59814,24,-2.1286,59,-0.8698,10,-3.4112,36,-1.5058,176,1.24160
ENSG00000116251,RPL22,193,-0.8939,139,-1.3943,619,1.01964,417,0.39237,295,-0.2259,550,0.80829,215,-0.8054
ENSG00000116237,ICMT,193,2.11076,139,1.43439,20,-1.6927,17,-2.0795,27,-1.2310,53,-0.2033,40,-0.7198
ENSG00000097021,ACOT7,193,0.18630,139,-0.3434,57,-1.7068,52,-1.9630,48,-1.9476,59,-1.6377,473,2.45653
ENSG00000162408,NOL9,193,2.01607,139,1.35178,26,-1.3892,24,-1.6321,45,-0.5550,24,-1.4640,49,-0.4738
ENSG00000162413,KLHL21,193,1.74037,139,1.10752,74,0.03806,18,-2.2287,53,-0.4822,44,-0.7737,56,-0.4625
ENSG00000171735,CAMTA1,193,-0.0265,139,-0.5486,96,-1.1171,159,-0.3747,73,-1.5298,122,-0.7418,411,1.61010
ENSG00000049245,VAMP3,193,-0.4670,1371,3.51914,204,-0.3789,26,-3.5966,326,0.38149,75,-1.8898,51,-2.6125
ENSG00000116288,PARK7,193,0.31590,139,-0.2190,158,-0.0097,121,-0.4892,161,0.01867,247,0.73651,146,-0.1564
ENSG00000142599,RERE,193,1.08254,139,0.50604,59,-0.8630,47,-1.3303,92,-0.1732,120,0.26449,112,0.17004
ENSG00000074800,ENO1,193,-1.1369,139,-1.6331,154,-1.4766,309,-0.4588,190,-1.1610,789,1.17262,753,1.33946
ENSG00000171612,SLC25A33,193,1.90729,139,1.25603,4,-3.9510,18,-2.1000,57,-0.2416,106,0.77346,32,-1.2279
ENSG00000171603,CLSTN1,193,-0.9669,1314,2.46966,138,-1.4776,93,-2.2154,339,-0.0819,264,-0.4780,388,0.15924
ENSG00000178585,CTNNBIP1,193,1.99256,139,1.33116,54,-0.2829,29,-1.3561,14,-2.2883,44,-0.5903,38,-0.8925
ENSG00000162441,LZIC,193,1.55500,139,0.94046,52,-0.6713,44,-1.0049,110,0.53276,85,0.10892,24,-1.9567
ENSG00000130939,UBE4B,193,1.64791,139,1.02445,43,-0.9016,27,-1.7200,73,-0.0512,20,-2.0542,81,0.11590
ENSG00000054523,KIF1B,193,-0.8034,139,-1.3055,346,0.12292,222,-0.6543,425,0.46429,392,0.33081,474,0.77669
ENSG00000142657,PGD,193,1.42634,139,0.82331,51,-0.7842,23,-2.1472,65,-0.4313,63,-0.4607,104,0.38012
ENSG00000160049,DFFA,193,1.54239,139,0.92901,53,-0.6535,39,-1.2157,64,-0.3447,89,0.17091,52,-0.7558
ENSG00000120948,TARDBP,193,1.50265,139,0.89291,43,-0.9871,26,-1.8882,97,0.28966,78,-0.0635,66,-0.3831
ENSG00000116649,SRM,193,1.52061,139,0.90924,34,-1.3261,30,-1.6741,49,-0.7802,57,-0.5536,98,0.37184
ENSG00000198793,MTOR,193,1.98659,139,1.32592,24,-1.5264,10,-2.8785,48,-0.4537,62,-0.0496,46,-0.5876
ENSG00000116661,FBXO2,193,-0.2689,139,-0.7836,72,-1.7799,86,-1.6405,167,-0.4946,405,0.97590,452,1.46184
ENSG00000132879,FBXO44,193,1.09578,139,0.51835,18,-2.5965,26,-2.2096,46,-1.2390,82,-0.3377,191,1.33332
ENSG00000011021,CLCN6,193,0.96706,139,0.39822,42,-1.4566,52,-1.2470,57,-1.0032,68,-0.7473,188,1.12058
ENSG00000116685,KIAA2013,193,1.79503,139,1.15636,96,0.51746,14,-2.5938,37,-0.9926,52,-0.4946,45,-0.7877
ENSG00000083444,PLOD1,193,2.12744,139,1.44887,15,-2.1329,18,-1.9435,19,-1.7393,38,-0.7265,51,-0.2924
