Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7
ENSG00000078369,GNB1,154,-1.7548,330,-0.5754,977,1.34816,454,-0.0996
ENSG00000116251,RPL22,466,-1.1201,5,-7.7241,977,0.07409,1274,1.40035
ENSG00000171735,CAMTA1,116,-2.3332,14,-5.3956,977,1.13877,633,0.77708
ENSG00000116288,PARK7,119,-2.0787,447,-0.0099,977,1.43069,402,-0.3572
ENSG00000074800,ENO1,610,-0.6610,1703,1.11994,977,0.11188,778,-0.4951
ENSG00000171603,CLSTN1,132,-2.8554,1626,1.19414,977,0.25490,788,-0.2096
ENSG00000054523,KIF1B,259,-1.4574,1016,0.79089,977,0.71803,572,-0.3931
ENSG00000116661,FBXO2,146,-2.0733,767,0.57517,977,1.02597,491,-0.3596
ENSG00000117115,PADI2,354,0.22991,5,-6.1289,977,2.29974,207,-1.1006
ENSG00000173436,MICOS10,105,-1.9723,112,-1.8759,977,1.86310,348,-0.1931
ENSG00000158747,NBL1,92,-2.2130,5,-6.4299,977,1.78621,400,0.16003
ENSG00000162545,CAMK2N1,250,-1.1945,5,-6.8991,977,1.10854,615,0.58294
ENSG00000158828,PINK1,307,-0.7445,6,-6.3450,977,1.27371,527,0.29275
ENSG00000127483,HP1BP3,115,-2.0530,5,-6.5914,977,1.54138,473,0.37144
ENSG00000070831,CDC42,76,-2.8422,441,-0.1391,977,1.30194,465,-0.0987
ENSG00000142676,RPL11,913,-0.3627,704,-0.7810,977,-0.2522,1341,0.63340
ENSG00000117632,STMN1,116,-2.6966,137,-2.4533,977,0.67011,857,1.06258
ENSG00000142669,SH3BGRL3,94,-2.2406,23,-4.2788,977,1.71365,417,0.19389
ENSG00000198830,HMGN2,69,-2.9788,1097,1.55386,977,1.31142,299,-1.2568
ENSG00000090273,NUDC,91,-2.4770,869,1.20499,977,1.44523,298,-1.1140
ENSG00000126709,IFI6,85,-2.7465,844,0.92445,977,1.20963,401,-0.6624
ENSG00000130770,ATP5IF1,49,-3.3660,41,-3.6364,977,1.43820,518,0.54024
ENSG00000162512,SDC3,164,-1.9409,883,0.79265,977,0.98385,479,-0.4931
ENSG00000134644,PUM1,105,-2.0623,5,-6.4734,977,1.71804,417,0.20377
ENSG00000184007,PTP4A2,635,0.39764,5,-6.8300,977,1.20096,477,-0.1750
ENSG00000175130,MARCKSL1,160,-1.7731,74,-2.9126,977,1.25022,557,0.46502
ENSG00000116560,SFPQ,66,-3.3349,1731,2.13859,977,0.91394,328,-1.4925
ENSG00000020129,NCDN,82,-2.5485,5,-6.5830,977,1.55483,477,0.42668
ENSG00000116871,MAP7D1,110,-1.8964,5,-6.3792,977,1.87148,371,0.02890
ENSG00000197982,C1orf122,218,-1.2100,5,-6.7097,977,1.36640,512,0.35681
ENSG00000168653,NDUFS5,93,-2.7140,706,0.45742,977,1.05826,503,-0.2338
