Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6
ENSG00000188976,NOC2L,55,-0.1766,39,-0.7484,38,-0.8132,79,0.83684
ENSG00000188290,HES4,85,0.53619,38,-0.8051,132,1.42796,40,-1.0702
ENSG00000187608,ISG15,29,-1.7648,29,-1.7824,108,0.35837,121,1.12346
ENSG00000078808,SDF4,72,-0.5192,58,-0.8696,174,1.07248,95,-0.0992
ENSG00000127054,INTS11,55,-0.3733,17,-2.2144,105,0.78603,77,0.39782
ENSG00000175756,AURKAIP1,107,-0.6681,74,-1.2513,216,0.53550,188,0.50106
ENSG00000242485,MRPL20,159,-0.5149,103,-1.2097,320,0.71581,238,0.29171
ENSG00000160075,SSU72,229,0.43620,92,-1.0909,182,0.02956,190,0.18294
ENSG00000228594,FNDC10,94,-0.1737,18,-2.7131,54,-1.0671,152,1.45445
ENSG00000078369,GNB1,282,-0.5995,237,-0.8798,471,0.27170,477,0.53035
ENSG00000067606,PRKCZ,146,-0.8485,125,-1.0976,172,-0.5857,341,1.20170
ENSG00000157916,RER1,63,-0.5968,53,-0.8670,107,0.31729,105,0.49474
ENSG00000157870,PRXL2B,96,0.15322,18,-2.4509,98,0.17402,106,0.57696
ENSG00000158109,TPRG1L,192,-0.4868,45,-2.7310,255,-0.0106,349,1.08893
ENSG00000130764,LRRC47,85,-0.2832,55,-0.9906,115,0.23500,116,0.44713
ENSG00000069424,KCNAB2,45,-1.3306,40,-1.5175,68,-0.6963,156,1.59403
ENSG00000116254,CHD5,161,1.03586,53,-0.9239,154,0.94314,62,-0.9821
ENSG00000116251,RPL22,211,-0.7843,337,-0.0057,580,0.99969,300,-0.3235
ENSG00000097021,ACOT7,420,-0.8927,175,-2.2398,330,-1.2726,1131,1.87424
ENSG00000171735,CAMTA1,455,1.61962,210,0.09239,226,0.22211,101,-1.5509
ENSG00000116288,PARK7,249,-0.5970,131,-1.6155,421,0.29617,445,0.73570
ENSG00000142599,RERE,136,0.89186,42,-1.1243,121,0.66702,67,-0.5592
ENSG00000074800,ENO1,543,-0.5344,261,-1.6922,838,0.20153,946,0.78895
ENSG00000171603,CLSTN1,401,-0.1460,126,-1.9767,675,0.79366,473,0.23789
ENSG00000130939,UBE4B,71,0.11492,39,-0.8772,60,-0.1633,76,0.41991
ENSG00000054523,KIF1B,524,0.45503,291,-0.5571,486,0.31843,378,-0.1990
ENSG00000142657,PGD,78,-0.6034,46,-1.4459,132,0.29383,138,0.69639
ENSG00000120948,TARDBP,62,0.17691,76,0.54326,98,1.05523,33,-1.2476
ENSG00000116649,SRM,73,0.08272,34,-1.1777,91,0.47329,73,0.15408
ENSG00000116661,FBXO2,152,-1.4074,116,-1.8186,362,0.00539,513,1.28510
ENSG00000132879,FBXO44,141,-0.0203,33,-2.3187,185,0.46303,166,0.46939
ENSG00000011021,CLCN6,115,-0.1315,45,-1.6132,76,-0.8127,169,1.10098
ENSG00000116685,KIAA2013,20,-1.7338,44,-0.5265,94,0.81590,68,0.35359
ENSG00000116688,MFN2,186,0.73701,62,-1.1271,122,-0.0316,124,0.01425
ENSG00000189337,KAZN,19,-1.7262,69,0.36653,58,0.04720,64,0.38748
ENSG00000116786,PLEKHM2,51,-0.0779,51,-0.0811,67,0.39587,50,-0.1537
ENSG00000159363,ATP13A2,282,-0.1555,64,-2.4733,161,-1.0675,448,1.40504
ENSG00000117118,SDHB,70,0.09296,58,-0.2227,30,-1.2857,80,0.59740
ENSG00000117115,PADI2,38,-1.4904,254,2.00419,78,-0.3334,67,-0.8841
ENSG00000127463,EMC1,87,0.42400,13,-2.5192,59,-0.2423,84,0.64597
ENSG00000053371,AKR7A2,46,-0.4646,22,-1.6503,92,0.73623,69,0.36912
ENSG00000077549,CAPZB,130,-1.0869,123,-1.1685,158,-0.7697,366,1.41496
ENSG00000173436,MICOS10,142,-0.7955,153,-0.6796,280,0.35104,267,0.48006
ENSG00000158747,NBL1,133,-0.4861,59,-1.7628,222,0.39291,218,0.65389
ENSG00000162545,CAMK2N1,416,0.08139,319,-0.3728,471,0.29849,393,-0.0337
ENSG00000158828,PINK1,351,-0.3382,204,-1.2155,412,-0.0686,535,0.73052
ENSG00000127483,HP1BP3,204,0.64618,167,0.27791,192,0.53264,97,-0.9437
ENSG00000075151,EIF4G3,148,0.27094,86,-0.6501,229,1.09871,99,-0.6291
ENSG00000076864,RAP1GAP,78,-0.3104,45,-1.2027,92,-0.0374,116,0.69458
ENSG00000090686,USP48,43,-0.6514,50,-0.4111,100,0.81636,63,-0.0239
ENSG00000070831,CDC42,251,-0.5798,164,-1.2562,357,0.01247,451,0.81040
ENSG00000173369,C1QB,77,0.41854,44,-0.5384,185,2.35003,19,-2.3586
ENSG00000125944,HNRNPR,67,-0.6558,79,-0.3948,146,0.67942,103,0.07348
ENSG00000142676,RPL11,448,0.22856,529,0.53071,714,1.11615,223,-1.3371
ENSG00000057757,PITHD1,275,-0.6719,112,-2.0647,232,-0.9432,615,1.57443
ENSG00000001461,NIPAL3,113,-0.2329,124,-0.0750,89,-0.6287,150,0.46848
ENSG00000133226,SRRM1,55,-0.5030,176,1.68533,151,1.33471,22,-2.5072
ENSG00000117614,SYF2,85,0.91165,38,-0.5118,96,1.15641,30,-1.2550
ENSG00000117640,MTFR1L,97,0.35740,71,-0.1982,83,0.08983,75,-0.1611
ENSG00000117632,STMN1,649,-0.7286,608,-0.8328,740,-0.5152,1344,1.01255
ENSG00000142669,SH3BGRL3,197,-0.9407,135,-1.5299,235,-0.6575,507,1.42285
ENSG00000198830,HMGN2,122,0.20714,93,-0.2574,224,1.39631,70,-1.0596
ENSG00000090273,NUDC,147,0.03401,64,-1.3155,261,1.11799,130,-0.2722
