Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to7,Feature log2 fold change topic 6to7
ENSG00000188290,HES4,52,-1.2617,116,0.01940,51,-1.2823,177,0.96824
ENSG00000187608,ISG15,83,-0.1662,27,-2.3784,23,-2.1110,227,2.59609
ENSG00000078808,SDF4,46,-1.4114,111,-0.0407,105,-0.1141,152,0.65192
ENSG00000160087,UBE2J2,43,-0.6550,91,1.00414,78,0.32170,29,-1.4052
ENSG00000127054,INTS11,38,-0.7125,65,0.25917,57,-0.0551,61,0.07491
ENSG00000107404,DVL1,49,-0.6127,70,-0.0133,84,0.27962,76,0.14828
ENSG00000175756,AURKAIP1,98,-0.6456,150,0.06702,106,-0.5150,183,0.48743
ENSG00000221978,CCNL2,66,0.38410,37,-0.8146,22,-1.3721,86,1.10174
ENSG00000242485,MRPL20,127,-0.2946,128,-0.4031,133,-0.2238,210,0.69835
ENSG00000179403,VWA1,77,-0.7134,18,-3.4516,529,3.33539,91,-0.5345
ENSG00000160075,SSU72,88,-1.2789,234,0.48691,177,-0.1682,202,0.05887
ENSG00000228594,FNDC10,28,-1.7706,179,3.30242,31,-1.6157,6,-4.2273
ENSG00000078369,GNB1,148,-1.0940,304,0.09618,393,0.50913,298,0.03636
ENSG00000067606,PRKCZ,81,-1.3010,264,1.08462,217,0.27981,99,-1.1317
ENSG00000162585,FAAP20,77,-0.0291,31,-1.8762,53,-0.6156,162,1.85814
ENSG00000157916,RER1,33,-1.7446,80,-0.5392,139,0.55178,147,0.83178
ENSG00000157870,PRXL2B,73,-0.6739,182,1.65320,12,-3.4056,73,-0.7921
ENSG00000158109,TPRG1L,32,-2.1160,169,0.89863,81,-0.6813,124,0.00063
ENSG00000130764,LRRC47,51,-0.6593,88,0.36787,27,-1.6318,97,0.50239
ENSG00000069424,KCNAB2,53,-1.1740,216,2.75882,12,-3.3335,30,-2.2109
ENSG00000116254,CHD5,119,0.12764,165,1.22921,14,-3.1022,73,-0.7749
ENSG00000116251,RPL22,349,0.04944,147,-1.7128,369,0.14307,608,1.38693
ENSG00000097021,ACOT7,92,-1.7420,511,2.31144,164,-0.8524,77,-2.2061
