Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to6,Feature log2 fold change topic 3to6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000188976,NOC2L,248,2.07096,105,0.48301,53,-0.8298,80,0.05906,4,-4.1694,48,-0.7546
ENSG00000188290,HES4,248,0.95416,88,-0.7321,47,-2.0890,48,-1.7643,780,3.49261,0,-7.8946
ENSG00000078808,SDF4,248,1.20966,125,0.04290,66,-1.2515,132,0.15811,194,0.77561,117,-0.0623
ENSG00000127054,INTS11,248,1.85399,107,0.34860,39,-1.5885,128,0.74819,66,-0.4152,30,-1.5986
ENSG00000175756,AURKAIP1,248,0.82595,61,-1.3940,74,-1.4465,233,0.84052,167,0.16065,270,0.96891
ENSG00000242485,MRPL20,248,0.45367,198,0.08262,76,-1.7710,330,1.11509,228,0.31020,239,0.38708
ENSG00000160075,SSU72,248,0.58242,226,0.42811,118,-0.8437,214,0.37991,242,0.53799,125,-0.5166
ENSG00000228594,FNDC10,248,2.31332,192,1.77283,38,-1.2297,14,-2.4838,47,-0.6116,25,-1.5272
ENSG00000078369,GNB1,248,0.14717,306,0.48924,137,-1.0556,300,0.52311,347,0.70033,216,-0.0745
ENSG00000067606,PRKCZ,248,1.22556,404,2.18174,52,-1.6672,106,-0.2301,1,-6.9698,130,0.13188
ENSG00000162585,FAAP20,248,1.33074,73,-0.6895,54,-1.4957,227,1.40609,85,-0.4581,59,-1.0017
ENSG00000157870,PRXL2B,248,1.66997,141,0.64903,68,-0.7212,99,0.07980,80,-0.2644,8,-3.6463
ENSG00000158109,TPRG1L,248,1.54894,230,1.40086,45,-1.6059,126,0.41466,59,-0.8258,39,-1.4452
ENSG00000116254,CHD5,248,1.25100,249,1.25871,128,0.19822,81,-0.6576,0,-7.1394,11,-3.4798
ENSG00000116251,RPL22,2417,1.71728,156,-2.6520,418,-1.5514,796,-0.2225,1838,1.20169,1352,0.66445
ENSG00000097021,ACOT7,248,0.30564,1166,3.55201,123,-1.0881,19,-3.7004,0,-7.9323,114,-0.9223
ENSG00000171735,CAMTA1,248,-0.1425,474,0.92766,200,-0.6699,306,0.21858,500,1.01980,80,-1.8669
ENSG00000116288,PARK7,248,0.16892,110,-1.1040,170,-0.6122,266,0.32263,390,0.92494,277,0.34583
ENSG00000142599,RERE,248,0.91091,130,-0.1622,94,-0.9128,154,0.12221,293,1.20140,83,-0.8527
ENSG00000074800,ENO1,248,-1.2666,685,0.31610,660,0.40230,784,0.62577,331,-0.8322,162,-1.9039
ENSG00000171603,CLSTN1,248,-0.2195,341,0.29097,130,-1.5744,683,1.87615,88,-1.8028,288,0.01435
ENSG00000054523,KIF1B,248,-0.8797,740,0.87557,354,-0.4755,694,0.89934,315,-0.5131,259,-0.8151
