cluster	gene	ensembl	fdr	logFC	p_value	t_stat
Oligo	A2M	ENSG00000175899	1.01097296501129e-07	-0.54054543252038	1.73647334817587e-08	-5.84994497168557
Oligo	AAK1	ENSG00000115977	0.00627261172440612	-0.294091789276068	0.00262863045285364	-3.04233336157401
Oligo	AARS	ENSG00000090861	0.122823312029946	0.175513374570698	0.0796915644151136	1.76050520734291
Oligo	AASDHPPT	ENSG00000149313	0.654466675544001	-0.0591686641328167	0.575012537775619	-0.561510957894017
Oligo	AATK	ENSG00000181409	2.18128648336667e-09	0.672831619763583	2.86391930370084e-10	6.60545736191329
Oligo	ABAT	ENSG00000183044	1.52927246036893e-05	-0.388985378781295	3.70628532436535e-06	-4.74593728190824
Oligo	ABCA2	ENSG00000107331	1.1979507559725e-26	1.0309967671754	1.99299361380317e-28	12.7787656258952
Oligo	ABHD12	ENSG00000100997	5.2317834858778e-06	0.527905411016039	1.17621031606965e-06	4.99684867941
Oligo	ABHD17A	ENSG00000129968	1.46307349176728e-09	0.720613366721082	1.87489183971977e-10	6.68022613802738
Oligo	ABI2	ENSG00000138443	0.484621317767632	-0.0833286661790246	0.395873569667588	-0.850653121095054
Oligo	ABLIM1	ENSG00000099204	0.000229844558602879	-0.532315321024203	6.92427402265869e-05	-4.05514513516491
Oligo	ABR	ENSG00000159842	2.27003985100462e-06	-0.610119060874705	4.75646839284242e-07	-5.18843859787148
Oligo	AC009041.2	ENSG00000260807	0.000302802594261287	0.543891675926084	9.42173539697889e-05	3.97724785789376
Oligo	ACADVL	ENSG00000072778	0.492365644979368	0.0914978426348131	0.404474835151666	0.835241401878592
Oligo	ACBD5	ENSG00000107897	0.783866992108744	0.0384310836851531	0.716547479746887	0.363537457362429
Oligo	ACER3	ENSG00000078124	0.158493590690441	0.211074910752706	0.107752836836307	1.61486317119807
Oligo	ACHE	ENSG00000087085	0.268233428543578	-0.171292794096841	0.198883508843687	-1.28856418257271
Oligo	ACLY	ENSG00000131473	0.237867987358904	0.158922635322536	0.173588014156251	1.36512483066293
Oligo	ACO2	ENSG00000100412	0.0256862504990776	-0.232152943397352	0.0129586209802001	-2.5050237269569
Oligo	ACOT7	ENSG00000097021	0.766125102760364	-0.0420140492566931	0.697573441137472	-0.389099505936236
Oligo	ACSBG1	ENSG00000103740	0.607621695475401	0.087231558742317	0.524565492496749	0.637326197660542
Oligo	ACSL1	ENSG00000151726	1.54333937296578e-10	0.994056087932476	1.75568732626053e-11	7.08907718054914
Oligo	ACSL3	ENSG00000123983	0.330068085909648	0.093395305852171	0.251409774069669	1.1499138573535
Oligo	ACTB	ENSG00000075624	2.82948446604288e-28	0.611680127864013	3.56230058674464e-30	13.3193491087569
