Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188290,HES4,47,-0.9255,149,1.00136,137,0.84680,117,0.57108,43,-1.0295,93,0.18241,50,-0.8273,32,-1.4785
ENSG00000187608,ISG15,20,-1.6311,65,0.19092,68,0.27114,30,-1.0240,71,0.33887,91,0.77011,38,-0.6802,80,0.54251
ENSG00000078808,SDF4,73,-0.1353,103,0.43159,97,0.33151,40,-1.0715,83,0.08296,125,0.77264,37,-1.2096,77,-0.0459
ENSG00000127054,INTS11,46,0.09824,64,0.65154,67,0.72333,28,-0.6897,27,-0.7362,32,-0.4799,11,-2.1002,73,0.87615
ENSG00000107404,DVL1,51,-0.1106,100,1.03453,39,-0.5574,73,0.46122,25,-1.2585,51,-0.1373,50,-0.1479,52,-0.0887
ENSG00000175756,AURKAIP1,113,-0.2156,106,-0.3279,211,0.84465,147,0.20985,153,0.27674,130,0.00529,98,-0.4397,76,-0.8363
ENSG00000221978,CCNL2,49,-0.2623,69,0.27236,65,0.19364,41,-0.5556,112,1.14276,43,-0.4661,22,-1.4805,63,0.12996
ENSG00000242485,MRPL20,207,0.29218,148,-0.2621,236,0.51597,215,0.35694,138,-0.3751,200,0.23053,122,-0.5734,125,-0.5301
ENSG00000160075,SSU72,199,0.32279,264,0.81824,195,0.29077,183,0.17991,130,-0.3776,131,-0.3580,110,-0.6353,99,-0.8051
ENSG00000228594,FNDC10,82,0.75328,49,-0.1156,86,0.83677,43,-0.3210,83,0.77971,37,-0.5594,22,-1.3841,19,-1.5565
ENSG00000078369,GNB1,572,0.67473,503,0.44961,455,0.27929,308,-0.3617,370,-0.0662,330,-0.2503,209,-0.9696,333,-0.2389
ENSG00000067606,PRKCZ,270,1.14330,129,-0.1435,188,0.49299,89,-0.7287,160,0.21024,121,-0.2430,109,-0.4112,59,-1.3715
ENSG00000162585,FAAP20,40,-0.4435,32,-0.7899,114,1.34619,26,-1.1366,20,-1.5437,83,0.76356,36,-0.6107,74,0.55761
ENSG00000157916,RER1,66,-0.1285,96,0.49012,114,0.80229,105,0.65862,16,-2.2637,68,-0.0908,29,-1.4066,77,0.13455
ENSG00000157870,PRXL2B,76,0.45569,124,1.33877,17,-1.8893,79,0.50818,81,0.55961,50,-0.2436,21,-1.5405,17,-1.9215
ENSG00000158109,TPRG1L,307,1.15715,109,-0.5929,250,0.78234,189,0.29004,124,-0.4017,147,-0.1207,61,-1.4828,80,-1.0729
ENSG00000130764,LRRC47,71,-0.1547,102,0.44160,141,1.01238,133,0.90250,59,-0.4722,42,-0.9812,37,-1.1718,43,-0.9505
ENSG00000069424,KCNAB2,180,0.94880,89,-0.2450,131,0.39005,93,-0.1772,138,0.47841,69,-0.6518,59,-0.9041,71,-0.5994
ENSG00000116254,CHD5,68,-0.4197,79,-0.1936,267,2.06833,45,-1.0755,83,-0.1094,66,-0.4724,51,-0.8847,51,-0.8759
ENSG00000116251,RPL22,290,-0.7897,375,-0.3849,235,-1.1146,457,-0.0620,536,0.20189,636,0.49145,591,0.36554,680,0.60977
ENSG00000097021,ACOT7,775,1.50873,339,0.02074,417,0.36872,325,-0.0505,355,0.09860,299,-0.1874,90,-2.0380,79,-2.2225
ENSG00000171735,CAMTA1,73,-1.8252,322,0.51038,368,0.74575,189,-0.3731,226,-0.0798,355,0.68197,218,-0.1431,151,-0.7261
ENSG00000049245,VAMP3,36,-0.4116,31,-0.6163,41,-0.1815,25,-0.9513,21,-1.1893,24,-1.0380,52,0.20508,138,2.05013
ENSG00000116288,PARK7,423,0.26669,346,-0.0679,352,-0.0393,414,0.22786,366,0.02259,469,0.44305,234,-0.6911,281,-0.4047
ENSG00000142599,RERE,47,-0.8395,124,0.72851,61,-0.4459,95,0.27473,101,0.37491,110,0.52080,63,-0.3930,44,-0.9720
ENSG00000074800,ENO1,1093,0.64962,1000,0.49370,643,-0.2424,668,-0.1811,799,0.11365,892,0.29939,430,-0.8783,443,-0.8316
ENSG00000171612,SLC25A33,14,-1.9083,113,1.53121,38,-0.3838,55,0.23104,18,-1.4823,46,-0.0555,41,-0.2683,59,0.34186
ENSG00000171603,CLSTN1,268,-0.1737,454,0.72031,694,1.52045,268,-0.1740,220,-0.4889,183,-0.7817,122,-1.3954,175,-0.8512
ENSG00000178585,CTNNBIP1,57,0.21080,44,-0.2080,38,-0.4650,74,0.65961,39,-0.3906,34,-0.6166,38,-0.4427,77,0.73001
ENSG00000162441,LZIC,28,-0.9095,67,0.52252,29,-0.8188,34,-0.6129,56,0.20166,33,-0.6425,58,0.25971,90,1.04535
ENSG00000130939,UBE4B,76,0.58017,63,0.25632,45,-0.2972,63,0.24501,108,1.21833,27,-1.0689,23,-1.3223,27,-1.1107
ENSG00000054523,KIF1B,381,0.30894,335,0.09527,307,-0.0527,360,0.21365,416,0.45847,311,-0.0264,235,-0.4806,187,-0.8361
ENSG00000142657,PGD,124,1.22694,44,-0.5517,93,0.69625,61,-0.0079,50,-0.3239,38,-0.7827,25,-1.3871,58,-0.1036
ENSG00000160049,DFFA,60,0.52189,37,-0.2771,18,-1.3637,60,0.52907,45,0.02550,31,-0.5513,18,-1.3902,83,1.09147
ENSG00000120948,TARDBP,56,-0.3912,77,0.10354,89,0.36322,63,-0.2230,91,0.39337,68,-0.0858,46,-0.7221,85,0.28326
