Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to13,Feature log2 fold change topic 11to13
ENSG00000228794,LINC01128,8,-0.8787,2,-2.3987,22,0.71811,27,1.78331,7,-1.0784,0,-4.1863,0,-7.1721,10,-0.5230
ENSG00000188976,NOC2L,60,0.71517,2,-3.8612,28,-0.4819,52,0.67071,23,-0.7743,45,0.24863,38,-0.0237,32,-0.3456
ENSG00000188290,HES4,257,2.00304,39,-1.0649,19,-2.1239,87,0.21848,86,0.14347,131,0.82053,10,-2.9803,44,-1.0227
ENSG00000187608,ISG15,95,0.78145,3,-4.1736,27,-1.1487,45,-0.5302,78,0.46630,163,1.70384,42,-0.4886,57,-0.0411
ENSG00000078808,SDF4,8,-3.0158,2,-4.5148,116,1.03857,75,0.46220,66,0.13436,50,-0.3109,91,0.63934,52,-0.2756
ENSG00000176022,B3GALT6,28,0.23470,2,-3.2117,26,0.10401,40,1.19440,15,-0.7576,22,-0.1501,16,-0.6695,15,-0.7798
ENSG00000160087,UBE2J2,8,-2.0549,12,-1.3386,36,0.25892,39,0.49130,39,0.37589,47,0.67634,25,-0.3045,26,-0.3092
ENSG00000131584,ACAP3,9,-1.2806,17,-0.3382,8,-1.4806,26,0.42083,17,-0.3114,10,-1.1168,22,0.05370,30,0.67218
ENSG00000127054,INTS11,76,0.73298,32,-0.6269,90,1.00977,52,0.17641,23,-1.1228,78,0.78765,35,-0.4559,27,-1.0154
ENSG00000224051,CPTP,89,2.17130,2,-3.2406,19,-0.3689,24,-0.0430,25,0.00300,5,-2.4208,7,-1.7973,26,0.07826
ENSG00000107404,DVL1,80,0.86865,76,0.77965,59,0.37029,38,-0.3956,43,-0.1270,8,-2.5881,45,-0.0415,47,0.02236
ENSG00000175756,AURKAIP1,174,0.35240,106,-0.4185,204,0.60882,136,-0.0467,130,-0.1073,146,0.07519,136,-0.0313,123,-0.2302
