Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to12,Feature log2 fold change topic 6to12
ENSG00000188976,NOC2L,117,1.17969,15,-1.9495,1,-5.5250,10,-2.5039,67,0.25431,67,0.67339
ENSG00000188290,HES4,117,0.15077,22,-2.3581,27,-2.0567,0,-7.6394,423,2.43838,98,-0.2600
ENSG00000187608,ISG15,117,0.86652,193,1.74750,10,-2.8830,2,-5.1922,157,1.36575,49,-0.9541
ENSG00000078808,SDF4,117,-0.8283,910,2.73591,244,0.31009,231,0.22033,153,-0.4214,108,-1.6163
ENSG00000160087,UBE2J2,117,0.91579,36,-0.9140,67,0.02120,83,0.35078,73,0.14740,60,-0.3251
ENSG00000131584,ACAP3,117,1.26181,14,-1.9721,48,-0.1866,29,-0.9307,54,-0.0017,55,0.07339
ENSG00000127054,INTS11,117,0.89072,151,1.32963,60,-0.1849,90,0.45437,28,-1.3184,52,-0.7762
ENSG00000107404,DVL1,117,0.49782,298,2.15932,28,-1.7050,63,-0.4760,116,0.47972,58,-1.0918
ENSG00000175756,AURKAIP1,117,0.07415,14,-3.0242,87,-0.3793,131,0.25293,134,0.28622,122,0.33678
ENSG00000221978,CCNL2,117,0.92826,14,-2.2572,49,-0.4466,88,0.45133,86,0.42245,62,-0.1833
ENSG00000242485,MRPL20,117,-0.6530,467,1.60948,123,-0.5759,131,-0.4804,101,-0.8818,172,-0.1227
ENSG00000179403,VWA1,117,0.82120,14,-2.3507,264,2.31505,73,0.05106,12,-2.6643,52,-0.8779
ENSG00000160075,SSU72,117,-0.5082,14,-3.5691,122,-0.4454,248,0.67448,161,-0.0168,184,0.47530
ENSG00000228594,FNDC10,117,0.34014,371,2.40929,38,-1.3919,7,-3.7366,39,-1.3584,80,-0.5047
ENSG00000197530,MIB2,117,1.64077,14,-1.6609,4,-3.4061,58,0.43479,68,0.69458,38,-0.4566
ENSG00000078369,GNB1,117,-1.6209,390,0.21111,379,0.16640,275,-0.3332,410,0.29232,360,0.19652
ENSG00000067606,PRKCZ,117,-0.0696,14,-3.1574,129,0.08447,56,-1.1971,75,-0.7593,154,0.97282
ENSG00000162585,FAAP20,117,1.07656,14,-2.1293,6,-3.4434,70,0.22900,57,-0.1011,66,0.32000
ENSG00000157933,SKI,117,1.28935,14,-1.9490,64,0.29654,63,0.26840,79,0.63153,43,-0.6436
ENSG00000157916,RER1,117,0.35893,193,1.18958,134,0.57611,186,1.12216,41,-1.2625,64,-1.0536
ENSG00000157870,PRXL2B,117,-0.1723,497,2.34340,35,-1.9647,97,-0.4607,47,-1.5471,111,-0.5157
ENSG00000158109,TPRG1L,117,0.01926,143,0.33306,34,-1.8271,127,0.15174,40,-1.5991,132,0.51706
ENSG00000130764,LRRC47,117,0.66738,14,-2.4863,75,-0.0383,78,0.01855,81,0.07639,80,0.12817
ENSG00000116198,CEP104,117,1.87725,14,-1.4745,1,-5.2068,27,-0.5551,36,-0.0887,38,-0.0287
ENSG00000196581,AJAP1,117,1.72457,14,-1.5941,13,-1.7065,0,-6.3065,25,-0.7792,48,0.47915
ENSG00000069424,KCNAB2,117,0.38487,212,1.38332,12,-3.0442,35,-1.4777,74,-0.3323,93,0.05368
ENSG00000116254,CHD5,117,-0.2406,14,-3.3170,37,-1.9629,67,-1.0876,126,-0.1305,183,1.33243
ENSG00000116251,RPL22,117,-2.0516,75,-2.6993,423,-0.1189,374,-0.3082,924,1.15775,509,0.41065
ENSG00000116237,ICMT,117,1.06541,162,1.64145,19,-1.7666,88,0.59214,21,-1.5657,46,-0.8166
ENSG00000097021,ACOT7,117,-0.5752,14,-3.6326,126,-0.4667,40,-2.1601,91,-0.9512,236,1.59390
ENSG00000162408,NOL9,117,1.30529,14,-1.9357,21,-1.3966,67,0.36999,55,0.05712,52,-0.0881
ENSG00000162413,KLHL21,117,0.66436,14,-2.4891,75,-0.0537,276,2.21330,75,-0.0399,53,-1.0715
ENSG00000007923,DNAJC11,117,1.63067,14,-1.6690,30,-0.5852,19,-1.2737,35,-0.3719,45,0.06076
ENSG00000171735,CAMTA1,117,-1.5734,16,-4.4092,129,-1.4252,160,-1.1074,238,-0.5096,472,1.83150
ENSG00000049245,VAMP3,117,0.20467,193,1.02355,379,2.27988,21,-2.3355,188,0.98140,48,-1.8981
ENSG00000049246,PER3,117,0.90831,14,-2.2746,71,0.10701,135,1.14849,110,0.79866,50,-0.8195
ENSG00000116288,PARK7,117,-1.0962,204,-0.2557,325,0.48555,212,-0.1939,219,-0.1439,257,0.25710
ENSG00000142599,RERE,117,-0.5539,200,0.28045,138,-0.3015,196,0.24636,138,-0.3040,175,0.14557
ENSG00000074800,ENO1,117,-2.5001,688,0.16639,166,-1.9852,920,0.63584,369,-0.7994,739,0.70786
ENSG00000171612,SLC25A33,117,1.04323,14,-2.1579,93,0.65788,14,-2.2380,67,0.14182,62,0.02027
ENSG00000171603,CLSTN1,117,-2.0735,1208,1.61013,171,-1.5155,975,1.22515,299,-0.6751,398,-0.4758
ENSG00000178585,CTNNBIP1,117,0.98051,191,1.85715,64,-0.0060,20,-1.7060,27,-1.2796,50,-0.7520
ENSG00000162441,LZIC,117,1.19558,14,-2.0280,101,0.94602,4,-3.8722,64,0.19894,54,-0.1599
ENSG00000130939,UBE4B,117,0.66036,191,1.50416,54,-0.5573,34,-1.2531,24,-1.7394,73,-0.2079
ENSG00000054523,KIF1B,117,-2.0440,726,0.75673,534,0.25783,481,0.09165,253,-0.8991,477,0.17472
ENSG00000142657,PGD,117,-0.0905,430,2.15415,168,0.48476,99,-0.3531,58,-1.1553,88,-0.9822
ENSG00000160049,DFFA,117,0.68189,193,1.54227,13,-2.6685,83,0.12333,78,0.03647,62,-0.6362
ENSG00000120948,TARDBP,117,0.41144,14,-2.7159,83,-0.1384,215,1.43542,89,-0.0213,81,-0.3547
ENSG00000116649,SRM,117,0.49569,61,-0.5309,62,-0.5110,73,-0.2422,28,-1.6714,98,0.52392
ENSG00000198793,MTOR,117,1.47697,14,-1.7936,49,0.02083,12,-2.0926,46,-0.0839,48,0.02888
ENSG00000116661,FBXO2,117,-1.3719,221,-0.4139,167,-0.8427,358,0.34214,224,-0.3904,339,0.64042
ENSG00000132879,FBXO44,117,-0.0801,338,1.70059,89,-0.4953,39,-1.7526,97,-0.3661,114,-0.2541
ENSG00000011021,CLCN6,117,-0.1618,108,-0.2821,117,-0.1584,76,-0.8244,31,-2.1509,158,0.81390
ENSG00000116685,KIAA2013,117,0.97679,14,-2.2152,93,0.59053,164,1.57105,41,-0.6932,49,-0.8173
ENSG00000116688,MFN2,117,-0.3891,183,0.30694,26,-2.6126,172,0.20648,65,-1.2713,178,0.65622
ENSG00000048707,VPS13D,117,0.55208,69,-0.2930,59,-0.5242,115,0.52131,57,-0.5637,82,-0.0167
ENSG00000162496,DHRS3,117,1.46306,14,-1.8050,0,-6.7105,107,1.30481,117,1.45498,32,-1.1279
ENSG00000116731,PRDM2,117,0.71051,193,1.57126,91,0.29600,93,0.33644,10,-3.0251,57,-0.8134
ENSG00000189337,KAZN,117,0.62101,14,-2.5277,244,1.91441,122,0.69204,51,-0.6734,58,-0.9238
ENSG00000142634,EFHD2,117,1.26612,14,-1.9685,10,-2.5044,79,0.60945,85,0.72662,49,-0.3147
ENSG00000116786,PLEKHM2,117,0.81663,14,-2.3547,29,-1.3193,34,-1.0952,100,0.55529,79,0.41217
ENSG00000065526,SPEN,117,0.38138,14,-2.7431,104,0.19700,146,0.73834,131,0.56105,85,-0.2750
ENSG00000055070,SZRD1,206,1.90064,96,0.56408,83,0.33434,67,-0.0164,33,-1.1005,46,-1.0575
ENSG00000219481,NBPF1,117,1.44157,14,-1.8227,64,0.42067,54,0.13806,48,-0.0308,42,-0.5097
ENSG00000159363,ATP13A2,117,-0.3188,14,-3.3904,52,-1.5406,97,-0.5999,50,-1.5961,199,1.58220
ENSG00000117118,SDHB,117,0.47776,14,-2.6560,53,-0.7422,127,0.60860,75,-0.2207,93,0.26854
ENSG00000117115,PADI2,117,-0.8844,14,-3.9277,761,2.26292,95,-1.2030,97,-1.1662,202,-0.0998
ENSG00000074964,ARHGEF10L,117,1.30129,14,-1.9390,0,-6.7255,206,2.38005,12,-2.1513,41,-0.7651
ENSG00000117154,IGSF21,117,1.54096,14,-1.7414,0,-6.6485,3,-3.6997,50,0.11406,53,0.51613
ENSG00000159423,ALDH4A1,117,2.14555,14,-1.2713,0,-6.1925,6,-2.6004,10,-1.7839,37,0.31419
ENSG00000127481,UBR4,117,1.36698,178,2.15556,0,-6.3138,18,-1.5381,42,-0.2961,37,-0.9430
ENSG00000127463,EMC1,117,0.84512,114,0.79338,12,-2.5885,28,-1.3895,71,0.02760,70,0.04129
ENSG00000053372,MRTO4,117,1.80910,14,-1.5276,0,-6.4405,51,0.38326,31,-0.4078,38,-0.1570
ENSG00000053371,AKR7A2,117,0.65583,193,1.51354,7,-3.4528,157,1.15342,27,-1.5705,62,-0.7021
ENSG00000077549,CAPZB,117,-1.0984,309,0.40281,238,-0.0140,354,0.62419,323,0.47259,220,-0.2861
ENSG00000173436,MICOS10,117,-0.6386,43,-2.1369,182,0.04617,116,-0.6497,211,0.27634,208,0.63410
ENSG00000158747,NBL1,117,-0.7509,297,0.70982,54,-1.8936,144,-0.4335,363,1.04747,188,-0.0541
ENSG00000162545,CAMK2N1,117,-2.2204,844,0.80863,535,0.07069,59,-3.2229,283,-0.9132,615,0.74152
ENSG00000090432,MUL1,117,0.80719,326,2.76126,41,-0.8525,100,0.55466,18,-2.0040,35,-1.7524
ENSG00000183114,FAM43B,117,1.62226,14,-1.6756,15,-1.6102,48,0.11354,0,-5.8166,48,0.30464
ENSG00000158828,PINK1,117,-1.4716,352,0.21100,45,-2.8600,84,-1.9597,321,0.06427,397,1.10763
ENSG00000127483,HP1BP3,117,-1.2934,689,1.54367,257,-0.0996,192,-0.5465,215,-0.3756,259,-0.1816
ENSG00000075151,EIF4G3,117,-0.5523,372,1.31667,80,-1.1223,128,-0.4204,123,-0.4830,170,0.05296
ENSG00000076864,RAP1GAP,117,0.39601,24,-2.0214,5,-4.3141,2,-5.0980,93,0.03651,122,1.33023
ENSG00000090686,USP48,117,0.51444,280,2.05160,46,-0.9487,72,-0.2597,63,-0.4618,63,-0.8692
ENSG00000070831,CDC42,117,-1.5804,231,-0.5596,604,0.97553,415,0.35469,398,0.29075,316,-0.1577
ENSG00000004487,KDM1A,117,0.91327,14,-2.2703,39,-0.8245,116,0.89677,45,-0.5972,67,0.01021
ENSG00000169641,LUZP1,117,0.83639,31,-1.2295,34,-1.0827,62,-0.1815,83,0.28093,73,0.14894
ENSG00000125944,HNRNPR,117,-0.0697,32,-2.0302,193,0.73257,130,0.09165,120,-0.0293,125,0.08258
ENSG00000117318,ID3,117,0.95423,14,-2.2347,18,-1.9393,3,-4.1604,396,3.49015,33,-1.7232
ENSG00000142676,RPL11,117,-2.5936,747,0.19577,714,0.12299,672,0.02858,1500,1.36052,596,-0.3314
ENSG00000057757,PITHD1,117,-1.0665,15,-4.0753,131,-0.8940,167,-0.5252,198,-0.2641,313,1.31226
ENSG00000189266,PNRC2,117,0.57293,14,-2.5707,50,-0.7617,100,0.32143,170,1.19895,76,-0.2527
ENSG00000188529,SRSF10,117,0.59058,14,-2.5549,0,-6.9113,203,1.53698,137,0.84473,71,-0.4016
ENSG00000001461,NIPAL3,117,-0.2824,247,0.91453,211,0.65460,41,-1.8578,52,-1.5016,145,0.12000
ENSG00000117602,RCAN3,117,1.10707,180,1.88514,20,-1.5997,51,-0.2477,60,0.01244,41,-1.0666
ENSG00000133226,SRRM1,117,-0.1095,213,0.85378,128,0.02750,72,-0.8602,145,0.22741,119,-0.1814
ENSG00000169504,CLIC4,117,0.05183,14,-3.0448,173,0.67842,101,-0.1864,154,0.48831,114,0.03306
ENSG00000117614,SYF2,117,-0.3574,469,1.98527,41,-1.9228,188,0.38788,168,0.20758,112,-0.8079
ENSG00000117616,RSRP1,117,0.99375,14,-2.2005,84,0.44617,128,1.14205,78,0.32961,49,-0.7896
ENSG00000183726,TMEM50A,117,0.38241,14,-2.7422,188,1.16735,39,-1.2904,165,0.94522,83,-0.3335
ENSG00000162430,SELENON,117,0.66983,14,-2.4838,49,-0.6938,302,2.40657,65,-0.2669,54,-1.0167
ENSG00000117640,MTFR1L,117,0.64429,40,-1.0406,69,-0.1945,118,0.65254,41,-0.9851,79,0.04402
ENSG00000117632,STMN1,1164,0.80756,363,-1.0221,2220,1.96378,208,-1.8515,296,-1.3258,604,-0.4939
ENSG00000142684,ZNF593,117,0.49082,549,3.63087,50,-0.8408,4,-4.4340,45,-0.9894,38,-1.9886
ENSG00000142669,SH3BGRL3,117,-0.7617,14,-3.8103,243,0.37122,326,0.85782,194,0.01767,201,0.17043
ENSG00000198830,HMGN2,117,-0.8119,204,0.04395,284,0.57025,540,1.68522,195,-0.0249,149,-0.8456
ENSG00000117713,ARID1A,117,0.25782,14,-2.8537,105,0.07829,145,0.60440,60,-0.7731,107,0.28257
ENSG00000090273,NUDC,117,-0.6950,121,-0.6397,94,-1.0191,441,1.45462,143,-0.3942,184,0.00758
ENSG00000253368,TRNP1,117,1.48802,14,-1.7845,0,-6.6905,26,-0.9301,32,-0.6343,55,0.53208
