Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8
ENSG00000078808,SDF4,87,-0.1821,87,-0.1894,62,-0.7171,85,-0.2588,99,0.02451,137,0.70538
ENSG00000175756,AURKAIP1,175,0.45736,271,1.25690,62,-1.1889,98,-0.5544,143,0.11416,108,-0.3824
ENSG00000242485,MRPL20,237,0.25760,314,0.74801,214,0.09018,111,-1.0723,235,0.24730,200,-0.0246
ENSG00000179403,VWA1,24,-2.7163,10,-4.0261,111,-0.4359,35,-2.3887,202,0.55336,375,2.42361
ENSG00000160075,SSU72,232,0.37706,473,1.71186,82,-1.2888,131,-0.6356,110,-0.8360,162,-0.2516
ENSG00000078369,GNB1,598,0.62950,807,1.17627,212,-1.0578,282,-0.6953,482,0.25723,321,-0.4681
ENSG00000067606,PRKCZ,327,1.38145,325,1.36762,53,-1.6368,76,-1.2088,64,-1.3324,142,-0.1115
ENSG00000157916,RER1,82,-0.7494,164,0.36787,47,-1.6067,82,-0.8454,293,1.43454,150,0.26624
ENSG00000158109,TPRG1L,327,2.05620,181,0.86943,76,-0.5771,98,-0.2028,3,-5.1462,45,-1.5165
ENSG00000116251,RPL22,267,-1.3336,420,-0.6339,880,0.58482,377,-0.9006,1562,1.67446,551,-0.2332
ENSG00000097021,ACOT7,705,1.89719,809,2.21331,32,-3.1466,138,-1.0833,62,-2.1595,72,-2.1158
ENSG00000171735,CAMTA1,199,-0.2136,551,1.60798,203,-0.1807,227,0.00179,272,0.30290,68,-2.0401
ENSG00000049245,VAMP3,43,-1.4703,11,-3.4108,177,0.79965,74,-0.7351,58,-1.0207,225,1.61934
ENSG00000116288,PARK7,435,0.12749,911,1.46506,430,0.10842,191,-1.3050,408,0.02128,327,-0.3861
ENSG00000074800,ENO1,1244,1.18795,1229,1.16393,281,-1.2806,671,0.11278,260,-1.4015,355,-1.0316
ENSG00000171603,CLSTN1,429,0.30960,969,1.84791,98,-2.0045,251,-0.6365,283,-0.3701,284,-0.4195
ENSG00000054523,KIF1B,636,0.85731,144,-1.5428,386,-0.0029,317,-0.3711,192,-1.1097,550,0.72908
ENSG00000116661,FBXO2,574,1.43266,574,1.43546,217,-0.2777,234,-0.1763,71,-1.9984,77,-2.0340
ENSG00000116688,MFN2,195,0.46016,326,1.40170,100,-0.6388,111,-0.5332,154,0.05431,96,-0.7933
ENSG00000189337,KAZN,109,-0.4219,132,-0.1210,65,-1.2172,57,-1.5589,104,-0.4931,305,1.79228
ENSG00000159363,ATP13A2,468,2.00060,449,1.90768,3,-5.9315,88,-1.0690,36,-2.2871,76,-1.2972
ENSG00000117118,SDHB,118,0.55398,124,0.63411,128,0.69388,64,-0.5228,13,-2.7737,84,-0.0103
ENSG00000117115,PADI2,51,-3.2248,213,-1.1014,270,-0.7345,268,-0.8453,183,-1.3343,1085,2.37357
ENSG00000077549,CAPZB,167,-0.3120,300,0.67130,167,-0.3125,171,-0.3133,225,0.17498,209,0.06018
ENSG00000173436,MICOS10,344,-0.1151,451,0.33448,731,1.20302,186,-1.2066,506,0.53340,274,-0.5465
ENSG00000158747,NBL1,99,-0.4669,257,1.16217,56,-1.3561,103,-0.4569,408,2.13252,16,-3.3966
ENSG00000162545,CAMK2N1,573,-0.0266,1018,0.96687,479,-0.3194,364,-0.8465,172,-1.8917,845,0.77086
ENSG00000158828,PINK1,771,1.71506,401,0.48332,265,-0.2127,241,-0.4174,84,-1.9846,205,-0.7031
ENSG00000127483,HP1BP3,200,0.03369,112,-0.8889,197,0.00351,201,0.04562,193,-0.0230,233,0.33702
ENSG00000075151,EIF4G3,166,0.21135,348,1.56858,122,-0.2936,115,-0.4330,60,-1.3809,120,-0.3609
ENSG00000070831,CDC42,557,0.39912,542,0.35287,228,-1.0376,175,-1.5854,593,0.50649,621,0.71368
ENSG00000125944,HNRNPR,153,0.22097,64,-1.1684,48,-1.6105,100,-0.5289,209,0.76176,198,0.81810
ENSG00000142676,RPL11,201,-2.0985,473,-0.8020,1359,0.96199,440,-1.0235,1783,1.48420,774,-0.0164
ENSG00000057757,PITHD1,911,2.29759,349,0.39369,84,-1.8373,194,-0.6372,10,-4.9113,231,-0.3286
ENSG00000001461,NIPAL3,108,-0.7465,293,0.92100,182,0.09211,63,-1.7233,32,-2.5808,318,1.36216
ENSG00000169504,CLIC4,17,-4.2506,84,-1.9269,170,-0.8632,116,-1.5946,992,2.36172,422,0.75958
ENSG00000117616,RSRP1,15,-3.0331,106,-0.1133,48,-1.3419,87,-0.4994,257,1.44884,156,0.63748
ENSG00000183726,TMEM50A,58,-1.3325,89,-0.6765,106,-0.4102,48,-1.7717,291,1.34088,226,1.07514
ENSG00000117632,STMN1,1156,-0.1201,1444,0.24945,782,-0.7436,444,-1.7642,502,-1.4242,2588,1.70132
ENSG00000142669,SH3BGRL3,373,0.37926,351,0.27453,241,-0.3411,142,-1.2918,614,1.28178,258,-0.2664
ENSG00000198830,HMGN2,121,-0.6308,68,-1.5144,161,-0.1789,86,-1.2951,387,1.36441,264,0.80080
ENSG00000090273,NUDC,230,0.72740,174,0.24285,182,0.32241,105,-0.6513,146,-0.0486,130,-0.2737
ENSG00000158195,WASF2,18,-2.7296,13,-3.1989,57,-0.9877,74,-0.6724,250,1.53184,184,1.18482
ENSG00000126709,IFI6,488,1.00685,205,-0.4641,101,-1.5499,189,-0.6686,832,2.10318,90,-1.8825
ENSG00000117758,STX12,249,0.50472,213,0.23477,99,-0.9949,133,-0.5992,132,-0.5408,260,0.69767
ENSG00000126698,DNAJC8,161,0.00107,237,0.65774,163,0.01914,107,-0.7432,252,0.76456,131,-0.3865
ENSG00000130770,ATP5IF1,796,1.03187,1222,1.89461,509,0.24417,188,-1.4765,225,-1.0628,196,-1.4117
ENSG00000162512,SDC3,46,-1.6833,110,-0.3458,116,-0.2576,246,1.30414,118,-0.2324,103,-0.5095
ENSG00000134644,PUM1,188,0.33527,253,0.85727,82,-0.9988,140,-0.1721,270,0.98129,78,-1.2001
ENSG00000121766,ZCCHC17,133,0.50263,123,0.37190,84,-0.2703,112,0.24319,7,-3.9957,110,0.20771
ENSG00000084636,COL16A1,24,-2.3728,64,-0.9381,4,-5.0328,33,-2.0836,231,1.22022,267,2.03173
ENSG00000184007,PTP4A2,111,-1.9170,187,-1.1310,625,0.84464,279,-0.5809,272,-0.5524,654,1.16159
ENSG00000121774,KHDRBS1,151,0.05927,85,-0.8607,230,0.78294,108,-0.5481,165,0.21174,158,0.16896
ENSG00000084623,EIF3I,230,0.98693,85,-0.6799,60,-1.2017,95,-0.5702,206,0.79262,134,0.05546
ENSG00000175130,MARCKSL1,80,-3.5850,461,-0.9814,576,-0.6359,282,-1.8879,685,-0.3585,2236,2.50156
ENSG00000160058,BSDC1,90,-0.2178,162,0.76479,60,-0.8619,76,-0.5657,89,-0.2446,137,0.56977
ENSG00000162521,RBBP4,44,-1.6038,139,0.19647,69,-0.9111,110,-0.2153,185,0.69027,164,0.58562
ENSG00000134686,PHC2,109,-0.0227,95,-0.2316,78,-0.5632,29,-2.2215,74,-0.6381,234,1.75427
ENSG00000116560,SFPQ,121,-0.9470,178,-0.3432,79,-1.6041,157,-0.6163,394,1.01564,336,0.89224
ENSG00000020129,NCDN,722,1.69401,1041,2.55105,31,-3.3503,167,-0.9584,16,-4.2635,69,-2.3701
ENSG00000126067,PSMB2,305,1.18987,252,0.83476,84,-0.9623,103,-0.7369,128,-0.3077,131,-0.3032
ENSG00000116871,MAP7D1,349,0.20632,348,0.20134,129,-1.3683,127,-1.5376,281,-0.1491,552,1.28305
ENSG00000054118,THRAP3,81,-0.3209,179,1.01987,35,-1.6179,70,-0.6442,108,0.13545,126,0.47665
ENSG00000163875,MEAF6,235,1.00667,255,1.15782,76,-0.8787,92,-0.6461,157,0.29867,72,-1.0564
ENSG00000197982,C1orf122,299,-0.3208,362,-0.0124,414,0.21159,221,-0.8971,172,-1.1849,613,1.12186
ENSG00000174574,AKIRIN1,250,0.95951,140,-0.0405,73,-1.0748,83,-0.9677,142,-0.0164,188,0.54849
ENSG00000168653,NDUFS5,619,0.31138,1076,1.31090,571,0.17488,352,-0.6864,256,-1.1043,442,-0.2835
ENSG00000127603,MACF1,196,-0.7483,187,-0.8216,183,-0.8484,282,-0.1912,394,0.39016,487,0.93754
ENSG00000116983,HPCAL4,272,2.08589,189,1.31795,4,-4.6222,97,0.13912,2,-5.6576,29,-1.8855
ENSG00000131236,CAP1,229,0.17373,298,0.62567,145,-0.5695,86,-1.5096,341,0.86433,232,0.23392
ENSG00000131238,PPT1,224,0.43966,337,1.17027,85,-1.1214,138,-0.4170,160,-0.1285,150,-0.2626
ENSG00000049089,COL9A2,23,-2.3288,33,-1.7702,151,0.62683,38,-1.7176,86,-0.3163,233,1.91232
