Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000188290,HES4,201,2.32492,47,-0.2589,108,1.10685,85,0.68136,22,-1.4229,26,-1.3886,9,-2.8897
ENSG00000187608,ISG15,201,1.77091,37,-1.0542,31,-1.3236,102,0.54639,75,0.05385,48,-0.7872,69,-0.0936
ENSG00000078808,SDF4,201,1.51630,30,-1.5704,92,0.17081,122,0.62759,118,0.56863,58,-0.6792,47,-0.9804
ENSG00000131584,ACAP3,201,2.58294,21,-1.2897,48,-0.0567,31,-0.7270,77,0.70918,32,-0.8482,12,-2.2049
ENSG00000127054,INTS11,201,2.40220,26,-1.1484,58,0.10337,43,-0.3499,53,-0.0427,45,-0.3705,13,-2.2757
ENSG00000175756,AURKAIP1,201,0.32732,66,-1.4119,191,0.24619,103,-0.7368,112,-0.6013,213,0.56603,166,0.01973
ENSG00000221978,CCNL2,201,2.18288,26,-1.2714,50,-0.2820,98,0.81926,40,-0.6369,29,-1.3398,48,-0.3759
ENSG00000242485,MRPL20,201,0.31331,74,-1.2378,185,0.17810,143,-0.2325,171,0.04497,171,0.06241,185,0.20431
ENSG00000179403,VWA1,201,1.69452,33,-1.2805,14,-2.5048,178,1.46136,161,1.27271,36,-1.3381,31,-1.4909
ENSG00000160075,SSU72,201,0.62703,74,-0.9543,182,0.45529,178,0.42488,113,-0.3009,124,-0.1994,125,-0.1605
ENSG00000248333,CDK11B,201,2.44049,4,-3.6068,11,-2.3809,34,-0.6823,13,-2.1254,53,0.00554,54,0.03099
ENSG00000078369,GNB1,201,-0.3787,138,-0.9567,445,0.92243,322,0.37311,279,0.13851,230,-0.2112,241,-0.1087
ENSG00000067606,PRKCZ,201,1.26620,107,0.18823,277,1.88191,29,-1.7966,111,0.25353,59,-0.8920,24,-2.2287
ENSG00000162585,FAAP20,201,1.67542,22,-1.9019,38,-1.0856,108,0.56812,70,-0.1455,70,-0.1867,58,-0.4667
ENSG00000157916,RER1,201,1.61914,24,-1.8155,99,0.36234,59,-0.4564,121,0.70787,60,-0.5412,53,-0.6930
ENSG00000157911,PEX10,201,2.44824,10,-2.4603,43,-0.3156,11,-2.3913,57,0.12958,54,0.03881,22,-1.4103
ENSG00000158109,TPRG1L,201,1.51618,52,-0.7404,303,2.36121,43,-1.0230,45,-0.9455,35,-1.5664,41,-1.1657
ENSG00000130764,LRRC47,201,2.13504,36,-0.8264,77,0.37943,37,-0.7597,49,-0.3313,51,-0.3486,28,-1.2990
ENSG00000069424,KCNAB2,201,2.16295,28,-1.1572,195,2.09131,21,-1.6274,8,-2.9472,25,-1.5804,37,-0.8114
ENSG00000116254,CHD5,201,2.51893,52,0.03303,155,1.94088,0,-8.6175,0,-8.6188,21,-1.6107,22,-1.4062
ENSG00000116251,RPL22,201,-2.3381,208,-2.2876,242,-2.0665,1910,1.20270,760,-0.3332,1168,0.47668,1276,0.58055
ENSG00000097021,ACOT7,201,0.25583,141,-0.3164,935,3.42097,26,-2.8178,49,-1.8980,92,-1.1603,44,-2.1826
ENSG00000171735,CAMTA1,201,0.36887,151,-0.0928,201,0.36626,96,-0.8065,83,-1.0180,155,-0.0681,203,0.43773
ENSG00000049245,VAMP3,201,1.28680,26,-1.9198,25,-1.9794,116,0.33381,213,1.39051,54,-1.0208,98,0.07095
ENSG00000116288,PARK7,201,-0.7610,125,-1.4837,402,0.33397,292,-0.1811,321,-0.0319,388,0.36136,385,0.29773
ENSG00000142599,RERE,201,1.62985,39,-1.0648,71,-0.1553,58,-0.4712,25,-1.7210,71,-0.2061,88,0.21806
ENSG00000074800,ENO1,201,-1.7524,255,-1.3982,952,0.67582,445,-0.5494,398,-0.7242,977,1.01444,566,-0.1947
ENSG00000142583,SLC2A5,201,2.26024,41,-0.5223,15,-2.0044,40,-0.5821,85,0.63155,41,-0.6312,35,-0.8582
ENSG00000171612,SLC25A33,201,1.82571,7,-3.4479,29,-1.3730,32,-1.2360,44,-0.7452,83,0.34441,73,0.05895
ENSG00000171603,CLSTN1,201,0.21528,106,-0.7951,431,1.54269,107,-0.7752,212,0.29826,158,-0.2191,115,-0.7329
ENSG00000162441,LZIC,201,1.53140,11,-2.9419,29,-1.5719,57,-0.5725,93,0.18835,58,-0.6741,129,0.86584
ENSG00000054523,KIF1B,201,-0.0958,117,-0.9432,385,0.97979,40,-2.5275,243,0.20902,209,-0.0476,263,0.38119
ENSG00000142657,PGD,201,1.80235,30,-1.3476,133,1.03517,36,-1.0573,72,0.00072,58,-0.4082,35,-1.1933
ENSG00000160049,DFFA,201,1.66221,21,-1.9609,54,-0.5530,28,-1.5207,37,-1.1178,80,0.06786,95,0.38194
ENSG00000120948,TARDBP,201,1.68054,33,-1.2899,62,-0.3153,44,-0.8655,49,-0.6804,59,-0.5068,99,0.47523
ENSG00000116649,SRM,201,2.10969,24,-1.4122,78,0.36976,83,0.46985,41,-0.6347,41,-0.7858,34,-1.0011
ENSG00000116661,FBXO2,201,-0.8448,121,-1.6077,522,0.67650,107,-1.7938,160,-1.1970,522,0.94755,391,0.22378
ENSG00000132879,FBXO44,201,1.87946,46,-0.6452,203,1.89647,39,-0.8773,20,-1.8967,48,-0.6902,19,-2.1032
ENSG00000011021,CLCN6,201,2.34800,35,-0.6961,153,1.77569,9,-2.7525,43,-0.3926,26,-1.3537,17,-1.9427
ENSG00000116688,MFN2,201,1.54130,43,-1.0059,160,1.12311,35,-1.3108,43,-0.9912,82,-0.0097,47,-0.9587
ENSG00000048707,VPS13D,201,2.04432,27,-1.2900,53,-0.2812,28,-1.2575,38,-0.7885,56,-0.2655,61,-0.0841
ENSG00000162493,PDPN,201,1.41398,21,-2.1637,12,-2.9861,104,0.27163,91,0.04822,104,0.35844,69,-0.4181
ENSG00000116731,PRDM2,201,1.94342,35,-0.9773,20,-1.8581,42,-0.7403,23,-1.6044,55,-0.3948,92,0.59422
ENSG00000189337,KAZN,201,1.89824,14,-2.3429,68,0.00260,28,-1.3413,103,0.66673,44,-0.8490,69,0.01252
ENSG00000142634,EFHD2,201,1.86880,24,-1.6031,43,-0.7408,141,1.18995,87,0.35650,39,-1.0842,41,-0.8909
ENSG00000116786,PLEKHM2,201,2.72130,27,-0.8486,68,0.59605,60,0.39564,43,-0.1520,11,-2.4218,19,-1.4712
ENSG00000065526,SPEN,201,2.13230,29,-1.1671,18,-1.8166,51,-0.2781,14,-2.2435,56,-0.1741,65,0.11082
ENSG00000055070,SZRD1,201,1.80418,23,-1.7196,16,-2.2724,132,1.01585,64,-0.1729,35,-1.2963,87,0.36519
ENSG00000159363,ATP13A2,201,1.27357,68,-0.5294,366,2.48938,54,-0.8684,60,-0.7204,55,-1.0305,18,-2.6378
ENSG00000117118,SDHB,201,1.76903,20,-1.9397,77,0.07610,72,-0.0154,97,0.45704,42,-1.0092,68,-0.1353
ENSG00000117115,PADI2,201,-0.0220,71,-1.6217,18,-3.5854,90,-1.2650,593,1.87912,243,0.37680,169,-0.3340
ENSG00000053372,MRTO4,201,2.50636,32,-0.7567,50,-0.0526,40,-0.3939,15,-1.8134,40,-0.5168,30,-0.9379
ENSG00000053371,AKR7A2,201,1.86219,25,-1.5571,43,-0.7410,52,-0.4712,32,-1.1800,75,0.15441,59,-0.2910
ENSG00000077549,CAPZB,201,-0.1529,115,-1.0199,283,0.39847,340,0.70390,198,-0.1787,172,-0.4909,281,0.43893
ENSG00000173436,MICOS10,201,-0.3794,80,-1.7827,216,-0.2681,212,-0.2956,510,1.16315,283,0.21415,245,-0.0804
ENSG00000158747,NBL1,201,0.93841,71,-0.7435,241,1.26349,295,1.64268,44,-1.4647,54,-1.3558,64,-0.9880
ENSG00000162545,CAMK2N1,201,-0.8362,193,-0.8962,360,0.07177,95,-1.9586,444,0.41506,388,0.25813,490,0.67176
ENSG00000158828,PINK1,201,-0.2407,165,-0.5520,540,1.42836,171,-0.4927,153,-0.6653,271,0.30925,150,-0.7694
ENSG00000127483,HP1BP3,201,6.33084,57,-1.9274,60,-1.8555,203,0.01332,118,-0.8279,199,-0.0266,389,1.33001
ENSG00000075151,EIF4G3,201,1.14208,35,-1.6412,134,0.44767,55,-0.9548,64,-0.7224,58,-1.0486,178,1.09515
ENSG00000076864,RAP1GAP,201,2.62875,58,0.26034,108,1.32887,1,-5.0629,0,-7.4544,25,-1.2387,24,-1.1797
ENSG00000090686,USP48,201,1.78540,38,-1.0068,55,-0.4332,34,-1.1521,40,-0.9073,39,-1.1297,119,0.96067
ENSG00000070831,CDC42,201,-0.1206,103,-1.1551,350,0.78713,240,0.16030,247,0.20979,141,-0.8245,304,0.63527
ENSG00000173372,C1QA,201,0.28651,64,-1.4863,22,-3.0211,757,2.86969,80,-1.1568,141,-0.3507,69,-1.4880
ENSG00000159189,C1QC,201,0.33004,113,-0.5832,19,-3.1905,471,1.85417,172,0.07080,185,0.25838,54,-1.8138
ENSG00000173369,C1QB,201,-0.6363,193,-0.7013,43,-2.9206,878,1.88063,323,0.10696,338,0.23687,184,-0.8463
ENSG00000169641,LUZP1,201,2.48950,29,-0.9231,25,-1.1354,99,1.07997,16,-1.7823,25,-1.3520,38,-0.5364
ENSG00000125944,HNRNPR,201,0.73419,23,-2.6038,62,-1.1310,165,0.40039,100,-0.4058,123,-0.0909,184,0.67700
ENSG00000117318,ID3,201,0.91756,5,-4.4642,18,-2.7676,226,1.11890,16,-2.9251,143,0.45135,132,0.23357
ENSG00000142676,RPL11,201,-2.3915,347,-1.5837,212,-2.3152,2708,1.79595,1052,0.12674,1065,0.19102,1004,0.05849
ENSG00000057757,PITHD1,201,0.71282,100,-0.4230,486,2.41063,34,-2.0535,125,-0.0708,73,-1.0865,70,-1.0402
ENSG00000189266,PNRC2,201,1.70004,10,-3.0379,26,-1.6122,157,1.23655,34,-1.2171,40,-1.1872,104,0.60022
ENSG00000188529,SRSF10,201,1.85361,13,-2.5256,55,-0.3648,40,-0.8704,36,-1.0068,46,-0.8086,108,0.83798
ENSG00000001461,NIPAL3,201,1.43408,80,-0.1250,116,0.46871,8,-3.5542,135,0.72295,51,-1.0005,88,0.02334
ENSG00000133226,SRRM1,201,0.70369,65,-1.0748,81,-0.7426,116,-0.1962,97,-0.4672,130,-0.0197,180,0.59756
ENSG00000169504,CLIC4,201,0.37253,22,-2.9420,21,-3.0437,182,0.21098,80,-1.0666,149,-0.1412,322,1.43010
ENSG00000117614,SYF2,201,0.60058,45,-1.7304,41,-1.8786,164,0.26565,61,-1.2721,162,0.32616,197,0.65713
ENSG00000117616,RSRP1,201,2.55492,10,-2.4191,29,-0.8655,30,-0.8028,65,0.41639,23,-1.4283,51,0.00701
ENSG00000183726,TMEM50A,201,1.58761,17,-2.3052,30,-1.5038,92,0.21874,114,0.57033,61,-0.5180,81,0.03141
ENSG00000162430,SELENON,201,2.05629,13,-2.3243,28,-1.2405,117,1.02065,27,-1.3012,59,-0.1269,34,-1.0405
ENSG00000117640,MTFR1L,201,1.81725,13,-2.5201,64,-0.1759,67,-0.0965,35,-1.0897,89,0.48229,32,-1.3060
ENSG00000117632,STMN1,201,-1.6171,199,-1.6352,927,0.78516,144,-2.1105,1532,1.70155,364,-0.8757,836,0.70773
ENSG00000142684,ZNF593,201,1.84408,31,-1.2518,114,0.79070,52,-0.4620,32,-1.2209,59,-0.3436,48,-0.6620
ENSG00000142669,SH3BGRL3,201,-0.5134,87,-1.7801,335,0.29909,515,1.02536,336,0.30343,247,-0.2420,286,0.04605
ENSG00000198830,HMGN2,201,-0.4059,62,-2.1875,75,-1.8913,459,0.94623,251,-0.0579,265,0.03971,379,0.71623
ENSG00000117713,ARID1A,201,2.32191,31,-0.8877,32,-0.8725,46,-0.3197,87,0.73183,31,-1.1129,35,-0.7929
ENSG00000090273,NUDC,201,0.28358,66,-1.4371,128,-0.4377,156,-0.1220,85,-1.0657,205,0.41882,218,0.47854
ENSG00000186501,TMEM222,201,1.65015,34,-1.2543,96,0.34511,80,0.05790,90,0.24296,70,-0.2129,32,-1.4577
ENSG00000158195,WASF2,201,0.84418,55,-1.1999,6,-4.3440,152,0.37575,153,0.38182,104,-0.3076,165,0.58294
ENSG00000126709,IFI6,201,0.90521,64,-0.9216,218,1.04623,260,1.36746,73,-0.7345,74,-0.8613,64,-1.0246
ENSG00000117758,STX12,201,0.88335,55,-1.1875,142,0.30187,136,0.22728,112,-0.0779,88,-0.5682,135,0.24325
ENSG00000117748,RPA2,201,2.39682,10,-2.5549,43,-0.3440,10,-2.4936,21,-1.4470,65,0.40329,30,-0.9936
ENSG00000126698,DNAJC8,201,-0.1042,56,-2.0342,102,-1.1592,207,-0.0601,95,-1.2518,251,0.33459,366,1.04816
ENSG00000130770,ATP5IF1,201,-0.7191,103,-1.7317,594,1.04204,277,-0.2245,278,-0.2151,345,0.16919,349,0.16410
ENSG00000198492,YTHDF2,201,1.73037,63,-0.2555,83,0.18379,78,0.07820,51,-0.5977,41,-1.1130,72,-0.0485
ENSG00000116350,SRSF4,201,1.74160,15,-2.3487,25,-1.6735,149,1.17095,21,-1.8734,55,-0.5638,81,0.17214
ENSG00000162511,LAPTM5,201,0.17126,152,-0.2764,32,-2.6058,274,0.68336,230,0.39010,228,0.49860,118,-0.7274
ENSG00000162512,SDC3,201,0.43290,101,-0.6675,143,-0.1236,61,-1.4143,87,-0.8843,246,1.09543,105,-0.6572
ENSG00000134644,PUM1,201,1.60932,47,-0.7954,134,0.86653,69,-0.2283,50,-0.7148,55,-0.6873,62,-0.4143
ENSG00000121766,ZCCHC17,201,0.81298,45,-1.5443,140,0.20234,82,-0.6360,126,0.04069,117,-0.0938,142,0.26347
ENSG00000121769,FABP3,201,1.74427,37,-1.0460,166,1.37919,23,-1.7379,85,0.21686,45,-0.9432,46,-0.8127
ENSG00000162517,PEF1,201,2.05620,13,-2.3960,125,1.13662,70,0.14981,59,-0.1097,28,-1.4647,41,-0.7496
ENSG00000084636,COL16A1,201,1.64922,68,-0.2058,16,-2.3999,50,-0.6721,207,1.70099,49,-0.8504,43,-1.0095
ENSG00000184007,PTP4A2,201,-0.4447,196,-0.4882,107,-1.4077,246,-0.1265,362,0.49705,278,0.08234,362,0.57150
ENSG00000121774,KHDRBS1,201,0.81830,38,-1.7808,77,-0.7300,171,0.54028,138,0.18657,105,-0.3110,144,0.28879
ENSG00000025800,KPNA6,201,1.74015,35,-1.1504,70,-0.0993,55,-0.4735,34,-1.2061,69,-0.1466,70,-0.1058
ENSG00000084652,TXLNA,201,2.40130,12,-2.2263,48,-0.1902,63,0.24116,23,-1.3028,32,-0.9572,48,-0.2052
ENSG00000084623,EIF3I,201,0.86826,43,-1.5438,156,0.43416,153,0.40718,110,-0.1261,108,-0.1992,102,-0.2723
ENSG00000175130,MARCKSL1,201,-1.1863,131,-1.8300,103,-2.1857,150,-1.6298,1771,2.63810,346,-0.4410,467,0.13874
ENSG00000160058,BSDC1,201,2.15615,33,-0.9494,59,-0.0356,43,-0.5168,76,0.36922,41,-0.7524,35,-0.9270
ENSG00000176261,ZBTB8OS,201,2.37942,21,-1.4673,28,-1.0300,43,-0.3911,21,-1.4394,39,-0.6225,57,0.07288
