Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to6,Feature log2 fold change topic 4to6
ENSG00000188976,NOC2L,47,-0.5336,38,-0.8132,79,0.83684
ENSG00000188290,HES4,62,-0.0378,132,1.42796,40,-1.0702
ENSG00000187608,ISG15,29,-2.0086,108,0.35837,121,1.12346
ENSG00000078808,SDF4,65,-0.8166,174,1.07248,95,-0.0992
ENSG00000127054,INTS11,36,-1.2363,105,0.78603,77,0.39782
ENSG00000175756,AURKAIP1,91,-1.0985,216,0.53550,188,0.50106
ENSG00000242485,MRPL20,131,-0.9788,320,0.71581,238,0.29171
ENSG00000160075,SSU72,160,-0.2305,182,0.02956,190,0.18294
ENSG00000228594,FNDC10,56,-1.1856,54,-1.0671,152,1.45445
ENSG00000078369,GNB1,260,-0.8715,471,0.27170,477,0.53035
ENSG00000067606,PRKCZ,136,-1.1351,172,-0.5857,341,1.20170
ENSG00000157916,RER1,58,-0.8631,107,0.31729,105,0.49474
ENSG00000157870,PRXL2B,57,-0.8493,98,0.17402,106,0.57696
ENSG00000158109,TPRG1L,118,-1.4562,255,-0.0106,349,1.08893
ENSG00000130764,LRRC47,70,-0.7221,115,0.23500,116,0.44713
ENSG00000069424,KCNAB2,43,-1.6314,68,-0.6963,156,1.59403
ENSG00000116254,CHD5,107,0.33143,154,0.94314,62,-0.9821
ENSG00000116251,RPL22,274,-0.4338,580,0.99969,300,-0.3235
ENSG00000097021,ACOT7,297,-1.6446,330,-1.2726,1131,1.87424
ENSG00000171735,CAMTA1,332,1.32686,226,0.22211,101,-1.5509
ENSG00000116288,PARK7,190,-1.2068,421,0.29617,445,0.73570
ENSG00000142599,RERE,89,0.13661,121,0.66702,67,-0.5592
ENSG00000074800,ENO1,402,-1.1914,838,0.20153,946,0.78895
ENSG00000171603,CLSTN1,264,-0.9871,675,0.79366,473,0.23789
ENSG00000130939,UBE4B,55,-0.3897,60,-0.1633,76,0.41991
ENSG00000054523,KIF1B,407,0.00970,486,0.31843,378,-0.1990
ENSG00000142657,PGD,62,-1.1420,132,0.29383,138,0.69639
ENSG00000120948,TARDBP,69,0.47538,98,1.05523,33,-1.2476
ENSG00000116649,SRM,53,-0.5390,91,0.47329,73,0.15408
ENSG00000116661,FBXO2,134,-1.8237,362,0.00539,513,1.28510
ENSG00000132879,FBXO44,87,-0.9707,185,0.46303,166,0.46939
