Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6
ENSG00000188976,NOC2L,55,-0.1766,39,-0.7484,38,-0.8132,53,-0.2577,59,-0.0569,125,1.34256
ENSG00000188290,HES4,85,0.53619,38,-0.8051,132,1.42796,20,-1.8163,32,-1.0992,69,0.16819
ENSG00000187608,ISG15,29,-1.7648,29,-1.7824,108,0.35837,114,0.44997,94,0.10898,156,1.05391
ENSG00000078808,SDF4,72,-0.5192,58,-0.8696,174,1.07248,39,-1.4936,169,1.01197,76,-0.4322
ENSG00000127054,INTS11,55,-0.3733,17,-2.2144,105,0.78603,149,1.50791,28,-1.4290,56,-0.3357
ENSG00000175756,AURKAIP1,107,-0.6681,74,-1.2513,216,0.53550,148,-0.1323,154,-0.0689,261,0.89807
ENSG00000242485,MRPL20,159,-0.5149,103,-1.2097,320,0.71581,176,-0.3464,317,0.69795,219,0.02918
ENSG00000160075,SSU72,229,0.43620,92,-1.0909,182,0.02956,187,0.07231,204,0.23041,180,0.01246
ENSG00000228594,FNDC10,94,-0.1737,18,-2.7131,54,-1.0671,145,0.60147,173,0.93333,139,0.52499
ENSG00000078369,GNB1,282,-0.5995,237,-0.8798,471,0.27170,472,0.27476,439,0.14532,521,0.45297
ENSG00000067606,PRKCZ,146,-0.8485,125,-1.0976,172,-0.5857,473,1.25315,212,-0.2387,336,0.57235
ENSG00000157916,RER1,63,-0.5968,53,-0.8670,107,0.31729,126,0.60405,99,0.17957,90,0.00447
ENSG00000157870,PRXL2B,96,0.15322,18,-2.4509,98,0.17402,95,0.12066,131,0.70709,92,0.07409
ENSG00000158109,TPRG1L,192,-0.4868,45,-2.7310,255,-0.0106,372,0.67326,322,0.40283,353,0.57287
