gene_id	rn	source	type	gene_version	gene_name	gene_type	gene_search	chr	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000165795	ENSG00000165795	HAVANA	gene	23	NDRG2	protein_coding	NDRG2; ENSG00000165795	chr14	-0.884682577075973	9.03558759797357	-17.8246222491202	5.98168860300133e-39	3.80076493834705e-35	78.0511046531791
ENSG00000107317	ENSG00000107317	HAVANA	gene	13	PTGDS	protein_coding	PTGDS; ENSG00000107317	chr9	-0.842185121804452	9.29747781551031	-16.8946226922755	5.42373008246768e-36	1.72311904719998e-32	71.2775500585451
ENSG00000125462	ENSG00000125462	HAVANA	gene	18	C1orf61	protein_coding	C1orf61; ENSG00000125462	chr1	-0.861320620808334	8.73640360853843	-15.9714753434369	4.16847266151384e-34	8.82882509708631e-31	66.9732727962265
ENSG00000166925	ENSG00000166925	HAVANA	gene	9	TSC22D4	protein_coding	TSC22D4; ENSG00000166925	chr7	-0.8707319308438	7.15235321315205	-14.9695732625017	1.54650969767138e-33	2.45663065475099e-30	65.5860681754309
ENSG00000167614	ENSG00000167614	HAVANA	gene	14	TTYH1	protein_coding	TTYH1; ENSG00000167614	chr19	-0.868805840566667	7.46702271326977	-14.8201628458049	4.2327554568822e-33	5.3789856346059e-30	64.6093149830017
ENSG00000112531	ENSG00000112531	HAVANA	gene	17	QKI	protein_coding	QKI; ENSG00000112531	chr6	-0.923827742045548	7.5531276433286	-14.8828936366468	1.18237615369208e-32	1.25213634675992e-29	63.6128485091905
ENSG00000046653	ENSG00000046653	HAVANA	gene	15	GPM6B	protein_coding	GPM6B; ENSG00000046653	chrX	-0.65066372306897	8.44678577868147	-14.5923675206435	1.96860606282384e-32	1.78693184616895e-29	63.0706879701452
ENSG00000064393	ENSG00000064393	HAVANA	gene	16	HIPK2	protein_coding	HIPK2; ENSG00000064393	chr7	-0.852709880542387	6.85206443833306	-14.2719173113707	1.71683394631181e-31	1.36359536185816e-28	60.9099643128036
ENSG00000147588	ENSG00000147588	HAVANA	gene	7	PMP2	protein_coding	PMP2; ENSG00000147588	chr8	-0.968059457248787	7.65374519083876	-14.7858794284107	2.57226319358682e-31	1.81601781467229e-28	60.6043683835381
ENSG00000164106	ENSG00000164106	HAVANA	gene	8	SCRG1	protein_coding	SCRG1; ENSG00000164106	chr4	-1.16193009553294	5.81804938442825	-14.0739917934674	6.55230833533567e-31	4.16333671627229e-28	59.3957586303432
ENSG00000197971	ENSG00000197971	HAVANA	gene	15	MBP	protein_coding	MBP; ENSG00000197971	chr18	-0.882640929505712	10.8782074741976	-14.0890163650018	2.23787512152224e-28	1.29267804746839e-25	53.594542086927
ENSG00000100234	ENSG00000100234	HAVANA	gene	11	TIMP3	protein_coding	TIMP3; ENSG00000100234	chr22	-0.969571160166439	6.23881023710188	-13.1382338049958	3.71819914897722e-28	1.96878644938344e-25	53.2707342066716
