Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to7,Feature log2 fold change topic 2to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188290,HES4,568,2.17701,111,-1.4378,335,1.11629,1,-7.0283
ENSG00000187608,ISG15,10,-3.9002,69,-2.0142,335,1.54156,495,2.37738
ENSG00000078808,SDF4,192,0.67006,101,-0.8647,335,1.70001,25,-2.4840
ENSG00000107404,DVL1,11,-2.9811,65,-0.8328,335,2.73053,1,-5.9374
ENSG00000175756,AURKAIP1,10,-4.1329,137,-0.6671,335,1.23393,307,1.07368
ENSG00000242485,MRPL20,10,-3.9958,166,0.52013,335,1.41215,1,-6.7998
ENSG00000160075,SSU72,1502,3.04201,164,-2.0028,335,0.03167,137,-1.3569
ENSG00000228594,FNDC10,10,-3.5052,102,-0.1814,335,2.10301,1,-6.3150
ENSG00000078369,GNB1,865,1.38647,350,-0.4274,335,-0.2439,211,-0.9621
ENSG00000067606,PRKCZ,10,-4.1772,182,0.35508,335,1.17639,82,-1.1335
ENSG00000157916,RER1,10,-3.1593,59,-1.1636,335,2.67062,54,-0.7019
ENSG00000157870,PRXL2B,10,-3.1343,66,-0.8056,335,2.71229,1,-5.9474
ENSG00000158109,TPRG1L,10,-4.3322,203,0.36201,335,0.98099,128,-0.6036
ENSG00000130764,LRRC47,338,1.90349,64,-1.8066,335,1.88717,1,-6.4576
ENSG00000069424,KCNAB2,2146,4.12290,108,-2.9372,335,-0.0587,1,-8.0218
ENSG00000116254,CHD5,10,-3.6559,119,0.04277,335,1.88287,1,-6.4616
ENSG00000116251,RPL22,10,-4.9528,344,0.95693,335,0.24609,186,-0.6947
ENSG00000097021,ACOT7,2044,2.39068,463,-0.7763,335,-0.8464,1,-8.4161
ENSG00000171735,CAMTA1,434,0.80276,258,-0.1714,335,0.36119,104,-1.4804
ENSG00000116288,PARK7,10,-4.9182,253,-0.4183,335,0.28582,670,1.52228
ENSG00000142599,RERE,10,-3.7349,90,-1.1073,335,1.76945,236,1.09266
ENSG00000074800,ENO1,801,0.30171,650,-0.1091,335,-1.0778,966,0.61779
