ensg	gene_name	chr	Outcome	Region	SxG_beta	SxG_SE	SxG_p	fem_beta	fem_SE	fem_p	fem_fdr	male_beta	male_SE	male_p	male_fdr	model
ENSG00000016602	CLCA4	1	Tangles	DLPFC	-0.15336605	0.070974206	0.031093901	0.168521898	0.052641539	0.001513333	0.029699475	0.015989303	0.049289328	0.745860701	0.900100417	e4adj
ENSG00000054267	ARID4B	1	Tangles	DLPFC	-0.206132223	0.071252158	0.003952024	0.174976064	0.050692862	0.000636292	0.01944078	-0.039796392	0.050400075	0.430371129	0.715345475	e4adj
ENSG00000055070	SZRD1	1	Tangles	DLPFC	-0.187795518	0.071343657	0.008696432	0.212506093	0.049157108	2.09E-05	0.004328982	0.026220901	0.051815043	0.613189693	0.831999193	e4adj
ENSG00000069275	NUCKS1	1	Tangles	DLPFC	-0.186885388	0.070777268	0.008490997	0.168638332	0.051648804	0.001219629	0.02699457	-0.020038279	0.048453953	0.679493061	0.867879947	e4adj
ENSG00000077152	UBE2T	1	Tangles	DLPFC	0.1424742	0.070804853	0.04463695	-0.197355317	0.049772833	9.16E-05	0.00794375	-0.053620451	0.050062129	0.28498391	0.59851525	e4adj
ENSG00000081026	MAGI3	1	Tangles	DLPFC	0.209437647	0.070506841	0.003090513	-0.203391894	0.052542811	0.000132795	0.009260776	0.007425963	0.048323807	0.877971191	0.956142714	e4adj
ENSG00000085433	WDR47	1	Tangles	DLPFC	0.202281921	0.071250788	0.004676037	-0.179416746	0.050125513	0.00040097	0.015419039	0.023520003	0.050349129	0.640735623	0.846236826	e4adj
ENSG00000099260	PALMD	1	Tangles	DLPFC	-0.223209184	0.070833251	0.001705724	0.047869016	0.05410009	0.376953581	0.59435322	-0.180555876	0.046979659	0.000147838	0.011981806	e4adj
ENSG00000116132	PRRX1	1	Tangles	DLPFC	-0.224877315	0.07109699	0.001639302	0.15372756	0.051181592	0.002890824	0.041369772	-0.071472154	0.049903365	0.153110816	0.448223069	e4adj
ENSG00000116138	DNAJC16	1	Tangles	DLPFC	0.202068222	0.071042343	0.004599654	-0.159923232	0.050708479	0.001773387	0.031997739	0.041079727	0.049761276	0.40971469	0.701904442	e4adj
ENSG00000116260	QSOX1	1	Tangles	DLPFC	0.170592549	0.070368955	0.015629266	-0.208671352	0.051333932	6.13E-05	0.006812231	-0.03700163	0.048448583	0.445620562	0.727598523	e4adj
ENSG00000116675	DNAJC6	1	Tangles	DLPFC	0.154509233	0.070966845	0.029848023	-0.185830873	0.050575854	0.000281948	0.013189398	-0.029705313	0.049631057	0.549936919	0.794854689	e4adj
ENSG00000117153	KLHL12	1	Tangles	DLPFC	0.256449616	0.071915695	0.000390908	-0.183150587	0.049610408	0.000264039	0.012801761	0.074654559	0.051738639	0.150073441	0.442426653	e4adj
ENSG00000117298	ECE1	1	Tangles	DLPFC	-0.14814611	0.071486462	0.038650838	0.191249255	0.051540661	0.000245907	0.012154029	0.041550654	0.050058594	0.407167304	0.700621339	e4adj
