ens	zstat	p	fdr	symbol	dx	method	citation	method_stat_thresh	other_notes
ENSG00000134243				SORT1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000119185				ITGB1BP1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000119203				CPSF3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000134330				IAH1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000151694				ADAM17	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000271855				RP11-214N9.1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000055332				EIF2AK2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000218739				CEBPZOS	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000003509				NDUFAF7	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000115825				PRKD3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000071051				NCK2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000204217				BMPR2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000138439				FAM117B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000163596				ICA1L	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000233579				KRT8P15	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000138442				WDR12	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000138380				CARF	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000144426				NBEAL1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000196549				MME	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000185619				PCGF3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000178950				GAK	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000127419				TMEM175	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000145214				DGKQ	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000145217				SLC26A1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000127415				IDUA	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000179979				CRIPAK	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000078177				N4BP2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000168421				RHOH	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000154124				OTULIN	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000154122				ANKH	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000127184				COX7C	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000145901				TNIP1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000146090				RASGEF1C	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000249853				HS3ST5	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000219545				UMAD1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000003147				ICA1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000106460				TMEM106B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000153814				JAZF1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000234336				JAZF1-AS1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000132432				SEC61G	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000146648				EGFR	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000164733				CTSB	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000254507				RP11-481A20.10	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000181135				ZNF707	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000178719				GRINA	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000179526				SHARPIN	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000165029				ABCA1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000108091				CCDC6	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000151150				ANK3	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000272447				RP11-182L21.6	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000122359				ANXA11	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000151224				MAT1A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000170788				DYDC1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000133665				DYDC2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000122378				FAM213A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000108219				TSPAN14	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000095585				BLNK	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000107447				DNTT	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000197430				OPALIN	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000107679				PLEKHA1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000166033				HTRA1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000123064				DDX54	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000139405				RITA1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000166578				IQCD	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000186815				TPCN1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000277566				RP11-545P7.9	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000089060				SLC8B1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000185347				C14orf80	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000103642				LACTB	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000185088				RPS27L	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000166128				RAB8B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000138613				APH1B	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000103657				HERC1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000166797				FAM96A	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000028528				SNX1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000157734				SNX22	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000169118				CSNK1G1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000103811				CTSH	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000259807				RP11-426C22.4	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000254206				NPIPB11	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000254634				SMG1P6	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000183336				BOLA2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000169203				NPIPB12	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000205534				SMG1P2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000103495				MAZ	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000174938				SEZ6L2	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000174939				ASPHD1	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
ENSG00000174943				KCTD13	AD	CustomMultiomicAnnoPipeline	Bellenguez22	Authors	Suptab20
