"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"1","XKR4","ENSMUSG00000051951","1.1.1","XKR4","ENSG00000206579","XK related 4 [Source:HGNC Symbol;Acc:HGNC:29394]"
"2","GM1992","ENSMUSG00000089699","2.1.1","N/A","N/A","N/A"
"3","MRPL15","ENSMUSG00000033845","3.1.1","MRPL15","ENSG00000137547","mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]"
"4","LYPLA1","ENSMUSG00000025903","4.1.1","LYPLA1","ENSG00000120992","lysophospholipase 1 [Source:HGNC Symbol;Acc:HGNC:6737]"
"5","TCEA1","ENSMUSG00000033813","5.1.1","TCEA1","ENSG00000187735","transcription elongation factor A1 [Source:HGNC Symbol;Acc:HGNC:11612]"
"6","RGS20","ENSMUSG00000002459","6.1.1","RGS20","ENSG00000147509","regulator of G protein signaling 20 [Source:HGNC Symbol;Acc:HGNC:14600]"
"7","ATP6V1H","ENSMUSG00000033793","7.1.1","ATP6V1H","ENSG00000047249","ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]"
"8","OPRK1","ENSMUSG00000025905","8.1.1","OPRK1","ENSG00000082556","opioid receptor kappa 1 [Source:HGNC Symbol;Acc:HGNC:8154]"
"9","RB1CC1","ENSMUSG00000025907","9.1.1","RB1CC1","ENSG00000023287","RB1 inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]"
"10","4732440D04RIK","ENSMUSG00000090031","10.1.1","N/A","N/A","N/A"
"11","ST18","ENSMUSG00000033740","11.1.1","ST18","ENSG00000147488","ST18 C2H2C-type zinc finger transcription factor [Source:HGNC Symbol;Acc:HGNC:18695]"
"12","PCMTD1","ENSMUSG00000051285","12.1.1","PCMTD1","ENSG00000168300","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30483]"
"13","GM26901","ENSMUSG00000097797","13.1.1","N/A","N/A","N/A"
"14","SNTG1","ENSMUSG00000025909","14.1.1","SNTG1","ENSG00000147481","syntrophin gamma 1 [Source:HGNC Symbol;Acc:HGNC:13740]"
"15","RRS1","ENSMUSG00000061024","15.1.1","RRS1","ENSG00000179041","ribosome biogenesis regulator 1 homolog [Source:HGNC Symbol;Acc:HGNC:17083]"
"16","ADHFE1","ENSMUSG00000025911","16.1.1","ADHFE1","ENSG00000147576","alcohol dehydrogenase iron containing 1 [Source:HGNC Symbol;Acc:HGNC:16354]"
"17","3110035E14RIK","N/A","17.1.1","N/A","N/A","N/A"
"18","MYBL1","ENSMUSG00000025912","18.1.1","MYBL1","ENSG00000185697","MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]"
"19","VCPIP1","ENSMUSG00000045210","19.1.1","VCPIP1","ENSG00000175073","valosin containing protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:30897]"
"20","1700034P13RIK","ENSMUSG00000097893","20.1.1","N/A","N/A","N/A"
"21","SGK3","ENSMUSG00000025915","21.1.1","SGK3","ENSG00000104205","serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]"
"22","MCMDC2","ENSMUSG00000046101","22.1.1","MCMDC2","ENSG00000178460","minichromosome maintenance domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26368]"
"23","SNHG6","ENSMUSG00000098234","23.1.1","N/A","N/A","N/A"
"24","COPS5","ENSMUSG00000025917","24.1.1","COPS5","ENSG00000121022","COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:HGNC:2240]"
"25","CSPP1","ENSMUSG00000056763","25.1.1","CSPP1","ENSG00000104218","centrosome and spindle pole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26193]"
"26","ARFGEF1","ENSMUSG00000067851","26.1.1","ARFGEF1","ENSG00000066777","ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]"
"27","CPA6","ENSMUSG00000042501","27.1.1","CPA6","ENSG00000165078","carboxypeptidase A6 [Source:HGNC Symbol;Acc:HGNC:17245]"
"28","PREX2","ENSMUSG00000048960","28.1.1","PREX2","ENSG00000046889","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:22950]"
"29","A830018L16RIK","ENSMUSG00000057715","29.1.1","C8orf34","ENSG00000165084","chromosome 8 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:30905]"
"30","SULF1","ENSMUSG00000016918","30.1.1","SULF1","ENSG00000137573","sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]"
"31","SLCO5A1","ENSMUSG00000025938","31.1.1","SLCO5A1","ENSG00000137571","solute carrier organic anion transporter family member 5A1 [Source:HGNC Symbol;Acc:HGNC:19046]"
"32","NCOA2","ENSMUSG00000005886","32.1.1","NCOA2","ENSG00000140396","nuclear receptor coactivator 2 [Source:HGNC Symbol;Acc:HGNC:7669]"
"33","TRAM1","ENSMUSG00000025935","33.1.1","TRAM1","ENSG00000067167","translocation associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:20568]"
"34","LACTB2","ENSMUSG00000025937","34.1.1","LACTB2","ENSG00000147592","lactamase beta 2 [Source:HGNC Symbol;Acc:HGNC:18512]"
"35","EYA1","ENSMUSG00000025932","35.1.1","EYA1","ENSG00000104313","EYA transcriptional coactivator and phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3519]"
"36","GM9947","ENSMUSG00000054493","36.1.1","N/A","N/A","N/A"
"37","KCNB2","ENSMUSG00000092083","37.1.1","N/A","N/A","N/A"
"38","TERF1","ENSMUSG00000025925","38.1.1","TERF1","ENSG00000147601","telomeric repeat binding factor 1 [Source:HGNC Symbol;Acc:HGNC:11728]"
"39","SBSPON","ENSMUSG00000032719","39.1.1","SBSPON","ENSG00000164764","somatomedin B and thrombospondin type 1 domain containing [Source:HGNC Symbol;Acc:HGNC:30362]"
"40","4930444P10RIK","ENSMUSG00000067795","40.1.1","C8orf89","ENSG00000274443","chromosome 8 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:51258]"
"41","RPL7","ENSMUSG00000043716","41.1.1","N/A","N/A","N/A"
"42","RDH10","ENSMUSG00000025921","42.1.1","RDH10","ENSG00000121039","retinol dehydrogenase 10 [Source:HGNC Symbol;Acc:HGNC:19975]"
"43","GM28095","ENSMUSG00000100868","43.1.1","N/A","N/A","N/A"
"44","STAU2","ENSMUSG00000025920","44.1.1","STAU2","ENSG00000040341","staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]"
"45","GM7568","ENSMUSG00000089982","45.1.1","N/A","N/A","N/A"
"46","UBE2W","ENSMUSG00000025939","46.1.1","UBE2W","ENSG00000104343","ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]"
"47","ELOC","ENSMUSG00000079658","47.1.1","ELOC","ENSG00000154582","elongin C [Source:HGNC Symbol;Acc:HGNC:11617]"
"48","TMEM70","ENSMUSG00000025940","48.1.1","TMEM70","ENSG00000175606","transmembrane protein 70 [Source:HGNC Symbol;Acc:HGNC:26050]"
"49","LY96","ENSMUSG00000025779","49.1.1","LY96","ENSG00000154589","lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]"
"50","GM28376","ENSMUSG00000101640","50.1.1","N/A","N/A","N/A"
"51","JPH1","ENSMUSG00000042686","51.1.1","JPH1","ENSG00000104369","junctophilin 1 [Source:HGNC Symbol;Acc:HGNC:14201]"
"52","GDAP1","ENSMUSG00000025777","52.1.1","GDAP1","ENSG00000104381","ganglioside induced differentiation associated protein 1 [Source:HGNC Symbol;Acc:HGNC:15968]"
"53","GM28154","ENSMUSG00000100053","53.1.1","N/A","N/A","N/A"
"54","GM16070","ENSMUSG00000085125","54.1.1","N/A","N/A","N/A"
"55","CRISPLD1","ENSMUSG00000025776","55.1.1","CRISPLD1","ENSG00000121005","cysteine rich secretory protein LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18206]"
"56","GM28153","ENSMUSG00000099895","56.1.1","N/A","N/A","N/A"
