Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to9,Feature log2 fold change topic 4to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to13,Feature log2 fold change topic 11to13
ENSG00000228794,LINC01128,8,-0.8787,2,-2.3987,22,0.71811,19,1.09799,0,-7.1721,10,-0.5230
ENSG00000188976,NOC2L,60,0.71517,2,-3.8612,28,-0.4819,46,0.51708,38,-0.0237,32,-0.3456
ENSG00000188290,HES4,257,2.00304,39,-1.0649,19,-2.1239,94,0.53192,10,-2.9803,44,-1.0227
ENSG00000187608,ISG15,95,0.78145,3,-4.1736,27,-1.1487,70,0.52404,42,-0.4886,57,-0.0411
ENSG00000078808,SDF4,8,-3.0158,2,-4.5148,116,1.03857,69,0.37552,91,0.63934,52,-0.2756
ENSG00000176022,B3GALT6,28,0.23470,2,-3.2117,26,0.10401,33,0.93516,16,-0.6695,15,-0.7798
ENSG00000160087,UBE2J2,8,-2.0549,12,-1.3386,36,0.25892,40,0.80514,25,-0.3045,26,-0.3092
ENSG00000131584,ACAP3,9,-1.2806,17,-0.3382,8,-1.4806,22,0.06621,22,0.05370,30,0.67218
ENSG00000127054,INTS11,76,0.73298,32,-0.6269,90,1.00977,51,0.20481,35,-0.4559,27,-1.0154
ENSG00000224051,CPTP,89,2.17130,2,-3.2406,19,-0.3689,21,-0.4000,7,-1.7973,26,0.07826
ENSG00000107404,DVL1,80,0.86865,76,0.77965,59,0.37029,34,-0.7532,45,-0.0415,47,0.02236
ENSG00000175756,AURKAIP1,174,0.35240,106,-0.4185,204,0.60882,137,-0.0476,136,-0.0313,123,-0.2302
ENSG00000221978,CCNL2,9,-2.0695,9,-2.0303,99,1.62428,38,0.08519,47,0.39160,29,-0.4374
ENSG00000242485,MRPL20,288,0.73787,108,-0.7894,241,0.45362,193,0.17423,150,-0.2943,137,-0.5074
ENSG00000235098,ANKRD65,9,-1.0783,2,-2.8488,42,1.28225,14,-0.7231,47,1.45568,21,0.18450
ENSG00000179403,VWA1,15,-2.1912,53,-0.3122,63,-0.0499,25,-1.9326,225,2.11663,112,1.12710
ENSG00000205090,TMEM240,8,-0.7859,2,-2.3086,21,0.78027,16,0.56699,11,-0.2941,10,-0.3635
ENSG00000160075,SSU72,277,1.01348,30,-2.3811,155,0.07323,177,0.52243,88,-0.7881,103,-0.6361
ENSG00000228594,FNDC10,125,1.52450,2,-4.2256,21,-1.2911,66,0.91038,27,-0.8966,23,-1.2881
ENSG00000272106,AL691432.2,8,-1.2464,43,1.43048,25,0.53961,15,-0.4618,22,0.32483,15,-0.2948
ENSG00000197530,MIB2,24,-0.4965,57,0.85445,46,0.52172,32,-0.0708,34,0.05473,25,-0.4761
ENSG00000189339,SLC35E2B,111,2.45380,3,-3.2731,24,-0.1492,24,-0.2939,31,0.20308,12,-1.2924
ENSG00000008130,NADK,8,-1.5928,2,-3.0967,37,0.79979,26,0.45339,22,0.00107,21,-0.0902
ENSG00000078369,GNB1,173,-0.9193,119,-1.4709,293,-0.1107,396,0.69132,322,0.03447,270,-0.2831
ENSG00000187730,GABRD,8,-0.8239,2,-2.3455,48,2.15342,11,-0.4500,6,-1.2072,14,0.13710
ENSG00000067606,PRKCZ,319,1.26937,135,-0.1201,85,-0.8281,158,0.20934,108,-0.4692,103,-0.6323
ENSG00000162585,FAAP20,91,0.88430,23,-1.2122,68,0.42084,54,0.11559,41,-0.3812,43,-0.3552
ENSG00000157933,SKI,8,-1.5154,3,-2.8413,47,1.28859,17,-0.5402,25,0.23708,31,0.72031
ENSG00000157916,RER1,145,1.13424,11,-2.7875,105,0.60175,70,-0.0768,70,-0.0319,61,-0.2859
ENSG00000157911,PEX10,8,-1.5287,2,-3.0176,50,1.36086,22,0.00816,31,0.54915,20,-0.1415
ENSG00000157870,PRXL2B,9,-2.3083,17,-1.4526,52,0.19756,65,1.12014,23,-1.0514,35,-0.4772
ENSG00000158109,TPRG1L,89,-0.3419,22,-2.3891,136,0.31686,154,1.05114,52,-1.1361,73,-0.7397
ENSG00000130764,LRRC47,8,-3.0421,58,-0.0668,54,-0.1852,80,0.85330,53,-0.2095,46,-0.5185
ENSG00000116198,CEP104,8,-1.8317,26,-0.0025,42,0.73317,21,-0.5808,43,0.76584,33,0.44691
ENSG00000196581,AJAP1,8,-0.8486,2,-2.3695,4,-1.7277,20,1.40273,0,-7.1509,13,-0.0812
ENSG00000069424,KCNAB2,234,1.99379,3,-4.3858,33,-1.1919,83,0.40250,21,-1.8103,49,-0.6849
ENSG00000116254,CHD5,112,1.02048,3,-4.2910,6,-3.3060,83,1.07866,10,-2.5660,47,-0.4046
ENSG00000116251,RPL22,61,-3.2549,1882,2.11538,593,0.13103,397,-0.7565,713,0.42425,485,-0.2160
ENSG00000116237,ICMT,109,1.67909,9,-2.1237,75,1.03766,36,-0.2373,23,-0.7835,27,-0.6841
ENSG00000097021,ACOT7,450,0.59110,173,-0.8938,73,-2.1772,447,1.21636,118,-1.4643,178,-0.9751
ENSG00000162408,NOL9,110,2.27566,4,-2.7431,43,0.60590,25,-0.3385,12,-1.2899,19,-0.7577
ENSG00000162413,KLHL21,8,-2.2656,4,-3.3774,94,1.42719,41,0.15054,63,0.74560,31,-0.4332
ENSG00000116273,PHF13,8,-0.9578,2,-2.4757,23,0.70691,18,0.66906,17,0.22147,10,-0.6659
ENSG00000041988,THAP3,8,-0.9784,2,-2.4957,21,0.52020,18,0.67046,18,0.32059,10,-0.5833
ENSG00000007923,DNAJC11,76,1.60599,2,-3.4407,25,-0.1783,27,-0.1337,21,-0.4811,28,-0.0348
ENSG00000171735,CAMTA1,238,0.11598,95,-1.2872,116,-0.9914,297,0.91632,126,-0.8594,174,-0.4309
ENSG00000049245,VAMP3,8,-3.1586,61,-0.1321,39,-0.7889,34,-1.4265,298,2.64964,83,0.43774
ENSG00000049246,PER3,8,-1.7668,2,-3.2679,54,1.23536,26,0.11123,40,0.73587,22,-0.2550
ENSG00000116288,PARK7,253,-0.5025,388,0.15933,453,0.40162,401,0.38328,350,-0.0020,236,-0.7045
ENSG00000116285,ERRFI1,12,-0.6738,4,-2.3168,20,0.15271,19,0.14729,42,1.32738,15,-0.3626
ENSG00000162426,SLC45A1,77,1.59230,2,-3.4658,8,-1.8581,41,1.11037,9,-1.7919,12,-1.4893
ENSG00000142599,RERE,136,0.59791,79,-0.2693,112,0.28865,97,0.09527,105,0.18215,67,-0.5859
ENSG00000074800,ENO1,686,0.11852,300,-1.1425,1165,0.97669,740,0.43784,360,-0.8704,438,-0.6670
ENSG00000171612,SLC25A33,8,-2.3735,28,-0.5042,42,0.15084,45,0.42568,60,0.69124,32,-0.3527
ENSG00000188807,TMEM201,8,-1.1619,2,-2.6746,15,-0.1188,21,0.65786,10,-0.7105,19,0.20224
ENSG00000171603,CLSTN1,805,1.39389,126,-1.5220,586,0.85341,368,0.18048,206,-0.7862,183,-1.1041
ENSG00000178585,CTNNBIP1,93,1.27151,80,1.02884,13,-1.7641,40,-0.1650,37,-0.1915,30,-0.6342
ENSG00000162441,LZIC,8,-2.5148,3,-3.6308,71,0.81243,43,0.05312,73,0.86712,46,0.14148
ENSG00000130939,UBE4B,8,-2.1821,3,-3.3428,42,0.33578,41,0.57941,48,0.56238,30,-0.1960
