Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to10,Feature log2 fold change topic 6to10
ENSG00000228794,LINC01128,122,2.25135,20,-1.0690,81,1.41624,18,-1.5417
ENSG00000187634,SAMD11,122,2.70838,16,-1.0594,4,-2.9744,22,-0.6162
ENSG00000188976,NOC2L,122,1.11066,37,-1.0084,49,-0.3841,69,0.30360
ENSG00000188290,HES4,122,0.50613,62,-0.7159,135,0.67408,91,0.03570
ENSG00000187608,ISG15,122,0.99259,41,-0.9282,162,1.50296,53,-0.6112
ENSG00000078808,SDF4,122,0.49399,64,-0.6581,134,0.65535,90,0.01256
ENSG00000176022,B3GALT6,122,2.15818,23,-0.8322,14,-1.4287,32,-0.3782
ENSG00000160087,UBE2J2,122,1.73109,24,-1.1450,6,-2.9598,50,0.31354
ENSG00000131584,ACAP3,122,2.32938,22,-0.7690,4,-3.2074,29,-0.4135
ENSG00000127054,INTS11,122,1.12437,41,-0.8058,66,0.09582,63,0.01140
ENSG00000224051,CPTP,122,2.36429,18,-1.1637,4,-3.1756,31,-0.2117
ENSG00000107404,DVL1,122,1.18505,41,-0.7392,98,0.79799,52,-0.3941
ENSG00000175756,AURKAIP1,122,-0.0432,129,0.05844,45,-1.5680,140,0.33604
ENSG00000221978,CCNL2,122,1.57641,31,-0.8316,21,-1.2483,50,0.07131
ENSG00000242485,MRPL20,122,-0.5653,188,0.14487,187,0.10551,176,0.01083
ENSG00000179403,VWA1,122,1.38379,91,1.23747,33,-0.7582,23,-1.9030
ENSG00000205090,TMEM240,122,2.41703,15,-1.4089,39,0.30443,24,-0.7804
ENSG00000160075,SSU72,122,-0.6878,146,-0.5085,302,0.77250,206,0.25714
ENSG00000228594,FNDC10,122,0.64191,45,-1.1069,29,-1.5899,107,0.89747
ENSG00000197530,MIB2,122,1.79849,35,-0.4262,23,-0.9649,37,-0.4327
ENSG00000215790,SLC35E2A,122,2.33040,19,-1.0318,4,-3.2072,31,-0.2526
ENSG00000008130,NADK,122,2.21938,29,-0.3699,5,-2.9599,28,-0.6097
ENSG00000078369,GNB1,122,-1.7670,340,-0.2621,456,0.26428,455,0.50943
ENSG00000187730,GABRD,122,2.93955,33,0.50934,18,-0.5446,4,-3.3350
ENSG00000067606,PRKCZ,122,-0.4675,115,-0.6898,108,-0.6520,214,0.89100
ENSG00000162585,FAAP20,122,0.88346,45,-0.8597,167,1.45104,58,-0.5498
ENSG00000157933,SKI,122,2.80099,31,0.21625,4,-2.9207,12,-1.8535
ENSG00000157916,RER1,122,0.58101,54,-0.8569,200,1.45135,74,-0.3884
ENSG00000157911,PEX10,122,2.39927,26,-0.4537,9,-1.8531,24,-0.8158
ENSG00000157870,PRXL2B,122,0.88866,39,-1.1171,4,-4.2664,94,0.94833
