Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5
ENSG00000175756,AURKAIP1,426,1.07183,279,0.22392,139,-0.9768,195,-0.5236
ENSG00000242485,MRPL20,365,0.85941,105,-1.3335,138,-0.8954,280,0.46511
ENSG00000160075,SSU72,56,-2.2116,308,0.62606,129,-0.9185,306,0.89528
ENSG00000078369,GNB1,671,1.00645,440,0.16888,286,-0.5884,305,-0.6119
ENSG00000067606,PRKCZ,101,-1.0330,14,-3.9875,118,-0.7788,349,2.15793
ENSG00000158109,TPRG1L,249,0.47589,64,-1.8018,88,-1.3161,282,1.07353
ENSG00000116254,CHD5,124,-0.2333,2,-5.9096,105,-0.5143,238,1.61671
ENSG00000116251,RPL22,271,-1.3331,1235,1.47745,594,-0.0216,454,-0.6258
ENSG00000097021,ACOT7,176,-1.4205,69,-2.8317,135,-1.8312,840,2.72440
ENSG00000171735,CAMTA1,457,0.46627,33,-3.7240,244,-0.6538,523,1.09575
ENSG00000116288,PARK7,53,-3.2457,680,0.96104,295,-0.5918,524,0.61202
ENSG00000142599,RERE,139,-0.1969,154,-0.0134,144,-0.1336,169,0.21858
ENSG00000074800,ENO1,500,-1.1657,1461,0.72805,606,-0.8523,1210,0.49996
ENSG00000171603,CLSTN1,231,-1.3453,1081,1.52866,181,-1.7263,543,0.12599
ENSG00000054523,KIF1B,562,0.23432,593,0.33543,372,-0.4997,473,-0.1047
ENSG00000116661,FBXO2,962,0.97186,487,-0.3218,189,-1.8526,643,0.23449
ENSG00000011021,CLCN6,216,0.92766,2,-5.8249,53,-1.5334,199,1.13292
ENSG00000159363,ATP13A2,171,-0.2088,25,-3.1946,84,-1.3876,341,1.86531
ENSG00000077549,CAPZB,55,-2.2318,225,0.04338,192,-0.2377,313,0.98972
ENSG00000173436,MICOS10,116,-1.4850,175,-0.8302,210,-0.5245,460,1.45704
