gene_id	rn	source	type	gene_version	gene_name	gene_type	gene_search	chr	dev_nobatch	rank_nobatch
ENSG00000243485	ENSG00000243485	HAVANA	gene	5	MIR1302-2HG	lncRNA	MIR1302-2HG; ENSG00000243485	chr1	21.5358948968958	29194.5
ENSG00000238009	ENSG00000238009	HAVANA	gene	6	AL627309.1	lncRNA	AL627309.1; ENSG00000238009	chr1	1992.38204606185	16834
ENSG00000239945	ENSG00000239945	HAVANA	gene	1	AL627309.3	lncRNA	AL627309.3; ENSG00000239945	chr1	24.0778912137636	28227
ENSG00000241860	ENSG00000241860	HAVANA	gene	7	AL627309.5	lncRNA	AL627309.5; ENSG00000241860	chr1	6155.20175903034	13635
ENSG00000286448	ENSG00000286448	HAVANA	gene	1	AP006222.2	lncRNA	AP006222.2; ENSG00000286448	chr1	59.0724390435106	26670
ENSG00000229905	ENSG00000229905	HAVANA	gene	1	AL669831.2	lncRNA	AL669831.2; ENSG00000229905	chr1	94.6116262886962	25460
ENSG00000237491	ENSG00000237491	HAVANA	gene	10	LINC01409	lncRNA	LINC01409; ENSG00000237491	chr1	8348.17668345155	12666
ENSG00000177757	ENSG00000177757	HAVANA	gene	2	FAM87B	lncRNA	FAM87B; ENSG00000177757	chr1	237.820666540938	22932
ENSG00000228794	ENSG00000228794	HAVANA	gene	9	LINC01128	lncRNA	LINC01128; ENSG00000228794	chr1	20795.6701769187	8426
ENSG00000225880	ENSG00000225880	HAVANA	gene	5	LINC00115	lncRNA	LINC00115; ENSG00000225880	chr1	1610.78412504826	17443
ENSG00000230368	ENSG00000230368	HAVANA	gene	2	FAM41C	lncRNA	FAM41C; ENSG00000230368	chr1	2888.1889071301	15830
ENSG00000272438	ENSG00000272438	HAVANA	gene	1	AL645608.6	lncRNA	AL645608.6; ENSG00000272438	chr1	90.65231614986	25580
ENSG00000230699	ENSG00000230699	HAVANA	gene	2	AL645608.2	lncRNA	AL645608.2; ENSG00000230699	chr1	243.519857946707	22867
ENSG00000241180	ENSG00000241180	HAVANA	gene	1	AL645608.4	lncRNA	AL645608.4; ENSG00000241180	chr1	298.66648768773	22307
ENSG00000223764	ENSG00000223764	HAVANA	gene	2	LINC02593	lncRNA	LINC02593; ENSG00000223764	chr1	4067.63646765205	14851
ENSG00000187634	ENSG00000187634	HAVANA	gene	12	SAMD11	protein_coding	SAMD11; ENSG00000187634	chr1	19817.9778223899	8738
ENSG00000188976	ENSG00000188976	HAVANA	gene	11	NOC2L	protein_coding	NOC2L; ENSG00000188976	chr1	41444.9179404237	3880
ENSG00000187961	ENSG00000187961	HAVANA	gene	14	KLHL17	protein_coding	KLHL17; ENSG00000187961	chr1	9597.02126257824	12215
ENSG00000187583	ENSG00000187583	HAVANA	gene	11	PLEKHN1	protein_coding	PLEKHN1; ENSG00000187583	chr1	176.086052854604	23752
ENSG00000187642	ENSG00000187642	HAVANA	gene	9	PERM1	protein_coding	PERM1; ENSG00000187642	chr1	94.7823193066609	25456
ENSG00000272512	ENSG00000272512	HAVANA	gene	1	AL645608.7	lncRNA	AL645608.7; ENSG00000272512	chr1	4134.70508293153	14803
ENSG00000188290	ENSG00000188290	HAVANA	gene	10	HES4	protein_coding	HES4; ENSG00000188290	chr1	52660.1105367286	2524
ENSG00000187608	ENSG00000187608	HAVANA	gene	10	ISG15	protein_coding	ISG15; ENSG00000187608	chr1	45187.0860437597	3357
ENSG00000224969	ENSG00000224969	HAVANA	gene	1	AL645608.1	lncRNA	AL645608.1; ENSG00000224969	chr1	22.0388614080423	28972
ENSG00000188157	ENSG00000188157	HAVANA	gene	15	AGRN	protein_coding	AGRN; ENSG00000188157	chr1	16995.8723915834	9654
ENSG00000237330	ENSG00000237330	HAVANA	gene	3	RNF223	protein_coding	RNF223; ENSG00000237330	chr1	20.2725553293199	29583
ENSG00000131591	ENSG00000131591	HAVANA	gene	17	C1orf159	protein_coding	C1orf159; ENSG00000131591	chr1	11178.2397479069	11643
ENSG00000285812	ENSG00000285812	HAVANA	gene	1	AL390719.3	lncRNA	AL390719.3; ENSG00000285812	chr1	63.1028681864649	26372
ENSG00000223823	ENSG00000223823	HAVANA	gene	1	LINC01342	lncRNA	LINC01342; ENSG00000223823	chr1	25.0583182818875	28052.5
ENSG00000272141	ENSG00000272141	HAVANA	gene	1	AL390719.2	lncRNA	AL390719.2; ENSG00000272141	chr1	37.0866820440968	27910
ENSG00000205231	ENSG00000205231	HAVANA	gene	1	TTLL10-AS1	lncRNA	TTLL10-AS1; ENSG00000205231	chr1	119.829510785566	24822
ENSG00000162571	ENSG00000162571	HAVANA	gene	13	TTLL10	protein_coding	TTLL10; ENSG00000162571	chr1	783.506346382007	19521
ENSG00000186891	ENSG00000186891	HAVANA	gene	14	TNFRSF18	protein_coding	TNFRSF18; ENSG00000186891	chr1	852.216510361719	19286
ENSG00000186827	ENSG00000186827	HAVANA	gene	11	TNFRSF4	protein_coding	TNFRSF4; ENSG00000186827	chr1	1441.04595707074	17763
ENSG00000078808	ENSG00000078808	HAVANA	gene	17	SDF4	protein_coding	SDF4; ENSG00000078808	chr1	55547.5601211155	2227
ENSG00000176022	ENSG00000176022	HAVANA	gene	7	B3GALT6	protein_coding	B3GALT6; ENSG00000176022	chr1	28852.2440030302	6359
ENSG00000184163	ENSG00000184163	HAVANA	gene	3	C1QTNF12	protein_coding	C1QTNF12; ENSG00000184163	chr1	2938.49896697528	15797
ENSG00000260179	ENSG00000260179	HAVANA	gene	1	AL162741.1	lncRNA	AL162741.1; ENSG00000260179	chr1	136.474197423643	24451
ENSG00000160087	ENSG00000160087	HAVANA	gene	20	UBE2J2	protein_coding	UBE2J2; ENSG00000160087	chr1	36013.6997503247	4814
ENSG00000230415	ENSG00000230415	HAVANA	gene	1	LINC01786	lncRNA	LINC01786; ENSG00000230415	chr1	351.854288261158	21828
ENSG00000162572	ENSG00000162572	HAVANA	gene	21	SCNN1D	protein_coding	SCNN1D; ENSG00000162572	chr1	12314.349326074	11244
ENSG00000131584	ENSG00000131584	HAVANA	gene	19	ACAP3	protein_coding	ACAP3; ENSG00000131584	chr1	34878.9185306964	5028
ENSG00000169972	ENSG00000169972	HAVANA	gene	12	PUSL1	protein_coding	PUSL1; ENSG00000169972	chr1	12283.4559308581	11259
ENSG00000127054	ENSG00000127054	HAVANA	gene	20	INTS11	protein_coding	INTS11; ENSG00000127054	chr1	39386.5379614805	4215
ENSG00000240731	ENSG00000240731	HAVANA	gene	1	AL139287.1	lncRNA	AL139287.1; ENSG00000240731	chr1	62.1413256414879	26437
ENSG00000224051	ENSG00000224051	HAVANA	gene	7	CPTP	protein_coding	CPTP; ENSG00000224051	chr1	27328.2369335296	6726
ENSG00000169962	ENSG00000169962	HAVANA	gene	5	TAS1R3	protein_coding	TAS1R3; ENSG00000169962	chr1	373.748053278417	21647
ENSG00000107404	ENSG00000107404	HAVANA	gene	20	DVL1	protein_coding	DVL1; ENSG00000107404	chr1	41523.1488815218	3874
ENSG00000162576	ENSG00000162576	HAVANA	gene	16	MXRA8	protein_coding	MXRA8; ENSG00000162576	chr1	18125.9840807952	9303
ENSG00000175756	ENSG00000175756	HAVANA	gene	13	AURKAIP1	protein_coding	AURKAIP1; ENSG00000175756	chr1	67988.358385783	1400
ENSG00000221978	ENSG00000221978	HAVANA	gene	12	CCNL2	protein_coding	CCNL2; ENSG00000221978	chr1	38157.3289581988	4442
ENSG00000224870	ENSG00000224870	HAVANA	gene	7	MRPL20-AS1	lncRNA	MRPL20-AS1; ENSG00000224870	chr1	15470.0762471786	10173
ENSG00000242485	ENSG00000242485	HAVANA	gene	6	MRPL20	protein_coding	MRPL20; ENSG00000242485	chr1	75630.2194537695	1065
ENSG00000272455	ENSG00000272455	HAVANA	gene	1	AL391244.2	lncRNA	AL391244.2; ENSG00000272455	chr1	2317.35480122711	16432
ENSG00000235098	ENSG00000235098	HAVANA	gene	8	ANKRD65	protein_coding	ANKRD65; ENSG00000235098	chr1	19630.7840658783	8794
ENSG00000225905	ENSG00000225905	HAVANA	gene	1	AL391244.1	lncRNA	AL391244.1; ENSG00000225905	chr1	57.8718417213113	26756
