gene_id	HVG_rank	gene_name
ENSG00000000003	8582	TSPAN6
ENSG00000000457	4918	SCYL3
ENSG00000000938	4194	FGR
ENSG00000000971	1718	CFH
ENSG00000001084	1968	GCLC
ENSG00000001167	2889	NFYA
ENSG00000001460	9036	STPG1
ENSG00000001461	646	NIPAL3
ENSG00000001497	2839	LAS1L
ENSG00000001561	1020	ENPP4
ENSG00000001617	4889	SEMA3F
ENSG00000001629	1436	ANKIB1
ENSG00000001630	2475	CYP51A1
ENSG00000001631	5128	KRIT1
ENSG00000002016	4891	RAD52
ENSG00000002549	1721	LAP3
ENSG00000002586	530	CD99
ENSG00000002587	7118	HS3ST1
ENSG00000002745	8941	WNT16
ENSG00000002746	4516	HECW1
ENSG00000002822	3756	MAD1L1
ENSG00000002919	5996	SNX11
ENSG00000002933	2855	TMEM176A
ENSG00000003137	3059	CYP26B1
ENSG00000003393	5263	ALS2
ENSG00000003400	5720	CASP10
ENSG00000003402	1731	CFLAR
ENSG00000003436	4525	TFPI
ENSG00000003756	2284	RBM5
ENSG00000004139	4743	SARM1
ENSG00000004399	1099	PLXND1
ENSG00000004455	1686	AK2
ENSG00000004468	2259	CD38
ENSG00000004534	2708	RBM6
ENSG00000004700	8927	RECQL
ENSG00000004776	3467	HSPB6
ENSG00000004777	3418	ARHGAP33
ENSG00000004799	758	PDK4
ENSG00000004846	11290	ABCB5
ENSG00000004864	3033	SLC25A13
ENSG00000004939	5325	SLC4A1
ENSG00000004948	9246	CALCR
ENSG00000005007	6589	UPF1
ENSG00000005075	1511	POLR2J
ENSG00000005100	2433	DHX33
ENSG00000005108	4028	THSD7A
ENSG00000005156	4292	LIG3
ENSG00000005206	1671	SPPL2B
ENSG00000005243	3096	COPZ2
ENSG00000005339	1169	CREBBP
ENSG00000005379	3910	TSPOAP1
ENSG00000005421	7361	PON1
ENSG00000005436	4052	GCFC2
ENSG00000005471	8999	ABCB4
ENSG00000005483	464	KMT2E
ENSG00000005513	251	SOX8
ENSG00000005700	1102	IBTK
ENSG00000005801	7069	ZNF195
ENSG00000005812	2984	FBXL3
ENSG00000005844	10085	ITGAL
ENSG00000005882	7963	PDK2
ENSG00000005889	2323	ZFX
ENSG00000005893	178	LAMP2
ENSG00000005981	7379	ASB4
ENSG00000006007	1613	GDE1
ENSG00000006025	4389	OSBPL7
ENSG00000006042	1068	TMEM98
ENSG00000006128	50	TAC1
ENSG00000006283	9164	CACNA1G
ENSG00000006451	877	RALA
ENSG00000006459	2505	KDM7A
ENSG00000006468	1673	ETV1
ENSG00000006534	4415	ALDH3B1
ENSG00000006555	11641	TTC22
ENSG00000006576	3194	PHTF2
ENSG00000006607	3189	FARP2
ENSG00000006611	727	USH1C
ENSG00000006638	6473	TBXA2R
ENSG00000006652	10800	IFRD1
ENSG00000006695	7339	COX10
ENSG00000006712	3745	PAF1
ENSG00000006747	6950	SCIN
ENSG00000006756	5257	ARSD
ENSG00000006757	4954	PNPLA4
ENSG00000006788	11814	MYH13
ENSG00000006831	450	ADIPOR2
ENSG00000006837	3024	CDKL3
ENSG00000007001	11586	UPP2
ENSG00000007062	3070	PROM1
ENSG00000007080	2419	CCDC124
ENSG00000007216	10363	SLC13A2
ENSG00000007237	409	GAS7
ENSG00000007255	2060	TRAPPC6A
ENSG00000007264	3216	MATK
ENSG00000007314	9080	SCN4A
ENSG00000007341	3781	ST7L
ENSG00000007372	3961	PAX6
ENSG00000007384	3772	RHBDF1
ENSG00000007520	2081	TSR3
ENSG00000007541	3971	PIGQ
ENSG00000007866	5471	TEAD3
ENSG00000007908	11458	SELE
ENSG00000007923	3230	DNAJC11
ENSG00000007944	3640	MYLIP
ENSG00000007952	10953	NOX1
ENSG00000008083	3355	JARID2
ENSG00000008086	3517	CDKL5
ENSG00000008128	2082	CDK11A
ENSG00000008256	1940	CYTH3
ENSG00000008282	276	SYPL1
ENSG00000008283	829	CYB561
ENSG00000008294	569	SPAG9
ENSG00000008300	6918	CELSR3
ENSG00000008311	1510	AASS
ENSG00000008394	1078	MGST1
ENSG00000008405	5373	CRY1
ENSG00000008438	11088	PGLYRP1
ENSG00000008441	299	NFIX
ENSG00000008513	5360	ST3GAL1
ENSG00000008516	6746	MMP25
ENSG00000008517	2652	IL32
ENSG00000008710	11351	PKD1
ENSG00000008838	9055	MED24
ENSG00000008853	3408	RHOBTB2
ENSG00000008988	243	RPS20
ENSG00000009413	1881	REV3L
ENSG00000009709	12209	PAX7
ENSG00000009724	10982	MASP2
ENSG00000009765	10029	IYD
ENSG00000009780	5895	FAM76A
ENSG00000009790	7058	TRAF3IP3
ENSG00000009830	5365	POMT2
ENSG00000009950	5794	MLXIPL
ENSG00000009954	451	BAZ1B
ENSG00000010030	9596	ETV7
ENSG00000010244	6320	ZNF207
ENSG00000010278	239	CD9
ENSG00000010282	202	HHATL
ENSG00000010292	5980	NCAPD2
ENSG00000010310	6899	GIPR
ENSG00000010318	7542	PHF7
ENSG00000010319	1941	SEMA3G
ENSG00000010327	6297	STAB1
ENSG00000010361	2510	FUZ
ENSG00000010379	3770	SLC6A13
ENSG00000010671	13252	BTK
ENSG00000010803	4948	SCMH1
ENSG00000010810	2369	FYN
ENSG00000010818	3329	HIVEP2
ENSG00000010932	9871	FMO1
ENSG00000011007	8225	ELOA
ENSG00000011028	7814	MRC2
ENSG00000011083	10316	SLC6A7
ENSG00000011105	5168	TSPAN9
ENSG00000011114	2782	BTBD7
ENSG00000011132	5983	APBA3
ENSG00000011198	1190	ABHD5
ENSG00000011243	3718	AKAP8L
ENSG00000011258	4748	MBTD1
ENSG00000011275	2842	RNF216
ENSG00000011304	2378	PTBP1
ENSG00000011376	4726	LARS2
ENSG00000011405	904	PIK3C2A
ENSG00000011422	7945	PLAUR
ENSG00000011426	115	ANLN
ENSG00000011451	4589	WIZ
ENSG00000011465	356	DCN
ENSG00000012048	5087	BRCA1
ENSG00000012061	5492	ERCC1
ENSG00000012124	2187	CD22
ENSG00000012171	265	SEMA3B
ENSG00000012211	10950	PRICKLE3
ENSG00000012223	7592	LTF
ENSG00000012232	2949	EXTL3
ENSG00000012660	2258	ELOVL5
ENSG00000012963	5121	UBR7
ENSG00000012983	1001	MAP4K5
ENSG00000013297	58	CLDN11
ENSG00000013306	8687	SLC25A39
ENSG00000013364	2297	MVP
ENSG00000013375	2507	PGM3
ENSG00000013441	1062	CLK1
ENSG00000013523	4307	ANGEL1
ENSG00000013573	5463	DDX11
ENSG00000013583	4764	HEBP1
ENSG00000013588	9015	GPRC5A
ENSG00000013725	10007	CD6
ENSG00000014123	1758	UFL1
ENSG00000014138	6680	POLA2
ENSG00000014164	8966	ZC3H3
ENSG00000014257	12586	ACPP
ENSG00000014641	462	MDH1
ENSG00000014919	9116	COX15
ENSG00000015133	5118	CCDC88C
ENSG00000015153	2313	YAF2
ENSG00000015171	723	ZMYND11
ENSG00000015475	5211	BID
ENSG00000015520	12602	NPC1L1
