Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to7,Feature log2 fold change topic 6to7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000188976,NOC2L,2,-4.3597,29,-0.6952,72,1.06633,33,-0.5236,47,0.06320
ENSG00000188290,HES4,32,-1.0361,24,-1.4946,87,0.69546,71,0.21133,58,-0.1652
ENSG00000187608,ISG15,231,2.36231,22,-1.5764,38,-0.9689,55,-0.2247,51,-0.4041
ENSG00000078808,SDF4,30,-1.6844,166,1.00399,109,0.38514,94,0.06374,66,-0.6175
ENSG00000176022,B3GALT6,60,1.04479,25,-0.3600,30,-0.0903,23,-0.5628,32,0.01423
ENSG00000160087,UBE2J2,2,-4.2065,62,0.83070,47,0.50152,26,-0.6331,39,0.08539
ENSG00000131584,ACAP3,10,-1.4927,20,-0.4969,35,0.47814,22,-0.3844,33,0.35761
ENSG00000127054,INTS11,66,0.60918,72,0.76386,54,0.37434,39,-0.2553,25,-1.1060
ENSG00000224051,CPTP,96,2.15131,27,-0.1110,22,-0.4938,15,-1.0669,22,-0.4699
ENSG00000107404,DVL1,2,-4.2040,82,1.15339,42,0.03051,33,-0.3913,45,0.20908
ENSG00000175756,AURKAIP1,176,0.25066,172,0.21243,158,0.10244,140,-0.1296,135,-0.2267
ENSG00000221978,CCNL2,87,0.98162,72,0.65367,46,-0.0984,37,-0.4578,37,-0.5092
ENSG00000242485,MRPL20,72,-1.3928,269,0.67567,193,0.16731,158,-0.2140,182,0.04413
ENSG00000179403,VWA1,19,-1.3493,52,0.20963,25,-1.1225,57,0.38548,67,0.83760
ENSG00000205090,TMEM240,2,-3.4831,15,-0.5828,39,1.32255,27,0.36142,12,-1.1629
ENSG00000160075,SSU72,95,-0.8071,191,0.28758,188,0.34585,151,-0.0971,148,-0.1487
ENSG00000228594,FNDC10,76,0.32675,14,-2.2748,109,1.36459,31,-1.1727,48,-0.5143
ENSG00000197530,MIB2,2,-3.8838,39,0.43269,27,-0.2125,29,-0.0284,39,0.60882
ENSG00000008130,NADK,20,-0.2825,40,0.78655,33,0.65038,20,-0.3823,15,-0.8473
ENSG00000078369,GNB1,238,-0.4311,280,-0.1738,381,0.42353,259,-0.3332,316,0.02478
ENSG00000187730,GABRD,16,-0.6810,37,0.65532,17,-0.7322,53,1.56552,12,-1.2142
ENSG00000067606,PRKCZ,96,-0.5339,68,-1.0757,221,1.15752,83,-0.8290,120,-0.2380
ENSG00000162585,FAAP20,14,-2.1895,113,1.08712,58,-0.0400,68,0.26384,51,-0.2852
ENSG00000157933,SKI,142,1.99813,48,0.08054,26,-1.0257,51,0.17616,29,-0.8387
ENSG00000157916,RER1,61,-0.3490,123,0.79834,88,0.32852,55,-0.5389,66,-0.2780
ENSG00000157911,PEX10,45,0.50477,58,0.93074,29,-0.2614,34,0.08076,24,-0.6328
ENSG00000157870,PRXL2B,89,0.43499,40,-0.8049,87,0.54283,61,-0.1954,56,-0.3931
ENSG00000158109,TPRG1L,124,-0.0599,90,-0.5608,194,0.93751,94,-0.5532,102,-0.4622
ENSG00000130764,LRRC47,13,-2.6984,72,-0.1506,122,1.00695,70,-0.2018,66,-0.3556
ENSG00000116198,CEP104,2,-3.2399,6,-1.8244,25,0.55807,22,0.20530,23,0.31242
ENSG00000196581,AJAP1,33,0.55077,0,-7.5174,40,1.26765,15,-0.7153,17,-0.6083
ENSG00000069424,KCNAB2,64,-0.2874,27,-1.5977,112,0.82839,53,-0.6420,80,0.07425
ENSG00000116254,CHD5,246,1.44755,20,-2.4917,114,0.16993,61,-0.9158,107,0.03929
ENSG00000116251,RPL22,433,-0.1054,728,0.75034,295,-0.8574,810,1.10826,319,-0.7116
ENSG00000116237,ICMT,3,-3.6932,72,1.11208,52,0.75593,35,-0.1184,23,-0.8623
ENSG00000097021,ACOT7,622,1.02361,89,-2.0303,538,1.09522,144,-1.4169,254,-0.5563
ENSG00000162408,NOL9,12,-1.2918,31,0.16802,31,0.28019,23,-0.2912,31,0.22461
ENSG00000162413,KLHL21,25,-0.9703,100,1.24481,63,0.60831,31,-0.7228,33,-0.6788
ENSG00000007923,DNAJC11,2,-3.9066,30,-0.0119,45,0.90767,22,-0.5614,30,0.01952
ENSG00000171735,CAMTA1,242,-0.1607,139,-1.0235,375,0.75583,217,-0.3722,247,-0.1686
ENSG00000049245,VAMP3,2,-4.5003,75,0.76615,26,-1.0926,81,1.04331,52,0.19289
ENSG00000049246,PER3,34,0.28725,36,0.40309,19,-0.7335,42,0.77180,23,-0.3748
ENSG00000116288,PARK7,300,0.11869,454,0.80979,274,-0.0295,321,0.26407,188,-0.7532
ENSG00000116285,ERRFI1,2,-3.1027,24,0.47095,22,0.49969,16,-0.1716,17,-0.0357
ENSG00000162426,SLC45A1,2,-3.7925,20,-0.4781,50,1.44636,18,-0.7426,23,-0.3667
ENSG00000142599,RERE,24,-1.9872,114,0.40967,114,0.54610,97,0.17053,71,-0.4434
ENSG00000074800,ENO1,477,-0.6184,1367,1.10839,717,0.02928,730,0.05827,538,-0.5336
ENSG00000142583,SLC2A5,2,-3.5866,88,2.07961,8,-2.0796,51,1.27083,18,-0.7512
ENSG00000171612,SLC25A33,2,-4.4216,63,0.51794,42,-0.1934,78,1.03180,38,-0.3879
ENSG00000171603,CLSTN1,151,-1.3146,696,1.14067,416,0.34960,238,-0.6793,321,-0.1963
ENSG00000178585,CTNNBIP1,20,-1.0631,52,0.40049,35,-0.2795,39,-0.0641,50,0.44017
ENSG00000162441,LZIC,83,1.21745,69,0.87748,20,-1.2569,44,0.14812,34,-0.3155
ENSG00000130939,UBE4B,29,-0.7452,21,-1.2536,72,0.98130,38,-0.3665,43,-0.1937
ENSG00000054523,KIF1B,242,-0.3050,278,-0.0837,364,0.46781,228,-0.4382,288,-0.0367
ENSG00000142657,PGD,165,1.03043,87,-0.0447,102,0.27978,62,-0.6370,70,-0.4639
ENSG00000160049,DFFA,2,-4.2092,52,0.55646,37,-0.0160,44,0.32142,39,0.12084
ENSG00000142655,PEX14,60,1.02995,20,-0.7222,42,0.59426,16,-1.1501,28,-0.3024
ENSG00000120948,TARDBP,37,-0.5302,104,1.18844,65,0.49406,41,-0.3812,32,-0.8783
ENSG00000116649,SRM,16,-2.2072,65,-0.1499,84,0.34035,88,0.38202,68,-0.0834
ENSG00000198793,MTOR,24,-0.7674,41,0.04884,70,1.38440,32,-0.3910,19,-1.3088
ENSG00000116661,FBXO2,425,0.39533,407,0.32609,371,0.22627,333,0.00126,240,-0.6360
ENSG00000132879,FBXO44,183,1.12210,24,-2.0255,126,0.66662,48,-1.1063,84,-0.2141
ENSG00000177674,AGTRAP,2,-3.6226,118,3.00548,10,-1.6488,24,-0.0373,17,-0.7471
ENSG00000011021,CLCN6,4,-4.4799,50,-0.8031,154,1.50347,58,-0.6344,69,-0.3786
ENSG00000116685,KIAA2013,2,-4.2575,104,1.68037,31,-0.4560,28,-0.5979,46,0.34078
ENSG00000083444,PLOD1,15,-1.0229,34,0.22482,50,1.24823,22,-0.5232,17,-0.9596
ENSG00000116688,MFN2,18,-2.4533,50,-0.9498,127,0.70165,94,0.02742,96,0.08109
ENSG00000048707,VPS13D,15,-1.5358,30,-0.5100,36,-0.2625,63,0.80554,45,0.15748
ENSG00000162496,DHRS3,4,-3.0709,80,1.48556,13,-1.6952,57,1.04625,32,-0.0534
ENSG00000116731,PRDM2,22,-0.8616,39,0.03852,43,0.26450,47,0.39581,32,-0.3427
ENSG00000189337,KAZN,103,0.95513,83,0.58553,67,0.29632,31,-1.0565,44,-0.5393
ENSG00000142634,EFHD2,236,2.35686,60,-0.1129,63,-0.0696,28,-1.4100,36,-1.0840
ENSG00000116138,DNAJC16,10,-1.2741,38,0.71261,30,0.40426,16,-0.7461,25,0.07085
ENSG00000116786,PLEKHM2,2,-4.2695,33,-0.2807,46,0.34640,41,0.09794,45,0.30826
ENSG00000065526,SPEN,2,-3.9919,29,-0.2902,43,0.48839,39,0.23458,35,0.04780
ENSG00000037637,FBXO42,39,0.71166,34,0.51937,31,0.44155,5,-2.4793,25,-0.0147
ENSG00000055070,SZRD1,8,-2.1121,47,0.58669,26,-0.4267,52,0.89210,30,-0.1887
ENSG00000219481,NBPF1,2,-3.4335,26,0.30500,24,0.17433,22,-0.0053,25,0.28941
ENSG00000159363,ATP13A2,256,0.37697,72,-1.5949,301,0.90175,144,-0.5930,170,-0.3503
ENSG00000117118,SDHB,8,-3.1742,104,0.70034,81,0.37456,65,-0.0608,64,-0.1088
ENSG00000117115,PADI2,293,1.24309,194,0.52835,57,-1.6216,148,0.09624,150,0.13829
ENSG00000074964,ARHGEF10L,2,-3.7789,31,0.16316,23,-0.3174,33,0.32884,36,0.55547
ENSG00000159423,ALDH4A1,61,1.12923,42,0.46742,16,-1.2348,36,0.24752,30,-0.0806
ENSG00000127463,EMC1,4,-3.3811,52,0.44599,55,0.73183,40,0.01954,31,-0.4405
ENSG00000053372,MRTO4,2,-3.9157,21,-0.5746,41,0.66768,29,-0.0761,33,0.17800
ENSG00000053371,AKR7A2,3,-4.4289,217,1.83103,73,-0.0917,62,-0.3548,66,-0.2775
ENSG00000077549,CAPZB,210,0.01284,285,0.50616,241,0.30985,172,-0.3404,175,-0.3543
ENSG00000173436,MICOS10,91,-1.1321,183,-0.0466,244,0.56906,218,0.26652,147,-0.4824
ENSG00000158747,NBL1,364,1.21123,120,-0.6203,186,0.09476,156,-0.2287,141,-0.4551
ENSG00000162545,CAMK2N1,860,1.04094,106,-2.2298,549,0.36956,372,-0.3795,420,-0.1891
ENSG00000090432,MUL1,3,-3.5162,53,0.83378,39,0.45370,27,-0.2734,30,-0.1128
ENSG00000183114,FAM43B,2,-3.8191,38,0.20681,60,1.43186,24,-0.5677,22,-0.7960
ENSG00000158828,PINK1,504,0.72625,156,-1.1302,420,0.56628,250,-0.4571,275,-0.3308
ENSG00000244038,DDOST,2,-3.4663,80,2.30693,13,-0.9272,23,0.05439,18,-0.3992
ENSG00000127483,HP1BP3,15,-3.4073,118,-0.3447,192,0.59808,206,0.63783,115,-0.4751
ENSG00000075151,EIF4G3,90,-0.3256,113,0.03781,154,0.74614,78,-0.5997,95,-0.3141
ENSG00000117298,ECE1,195,2.75263,45,-0.0236,26,-1.0402,42,-0.1314,17,-1.7216
ENSG00000076864,RAP1GAP,47,-0.7970,24,-1.8079,125,1.12038,45,-0.9102,80,0.06401
ENSG00000090686,USP48,41,-0.0550,49,0.22931,41,-0.0892,44,0.06398,42,-0.0429
ENSG00000070831,CDC42,490,0.90474,333,0.25482,297,0.09071,200,-0.6094,243,-0.3123
ENSG00000173372,C1QA,3,-4.0658,172,1.90879,15,-2.2956,153,2.13618,18,-2.0269
ENSG00000159189,C1QC,11,-2.6571,162,1.57120,21,-1.9368,170,2.12728,24,-1.7680
ENSG00000173369,C1QB,25,-2.4655,264,1.19165,37,-2.1810,345,2.16228,71,-1.1335
ENSG00000004487,KDM1A,4,-3.4871,52,0.37172,55,0.61905,38,-0.1254,39,-0.1323
ENSG00000169641,LUZP1,48,0.05330,14,-1.7861,62,0.64295,22,-1.2141,57,0.43735
ENSG00000125944,HNRNPR,22,-2.0157,113,0.44647,109,0.52953,105,0.38519,61,-0.6594
ENSG00000117318,ID3,34,-0.7480,172,1.99972,25,-1.4600,99,1.12292,26,-1.3610
ENSG00000142676,RPL11,623,0.01412,942,0.69521,371,-0.9641,1071,1.08480,453,-0.6034
ENSG00000011007,ELOA,74,1.75840,17,-0.7156,14,-1.1729,33,0.34392,24,-0.2654
ENSG00000057757,PITHD1,156,-0.5694,128,-0.8806,344,0.98555,155,-0.6444,207,-0.1653
