Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to10,Feature log2 fold change topic 4to10
ENSG00000078808,SDF4,3,-5.7636,366,1.92138,110,-1.1555
ENSG00000175756,AURKAIP1,123,-0.6955,366,1.29128,153,-0.8967
ENSG00000242485,MRPL20,358,0.80966,366,0.99585,158,-1.1975
ENSG00000179403,VWA1,545,1.77711,366,1.23307,100,-2.0898
ENSG00000160075,SSU72,4,-5.6280,366,0.98594,210,-0.2229
ENSG00000078369,GNB1,3,-6.5188,366,0.69723,257,0.07187
ENSG00000067606,PRKCZ,3,-5.7471,366,1.95436,107,-1.1886
ENSG00000162585,FAAP20,440,1.52695,366,1.43558,91,-2.0899
ENSG00000116254,CHD5,3,-5.8100,366,1.83322,117,-1.0670
ENSG00000116251,RPL22,473,-0.1867,366,-0.6493,588,0.55014
ENSG00000097021,ACOT7,3,-6.2145,366,1.14521,188,-0.3769
ENSG00000171735,CAMTA1,3,-6.4091,366,0.85380,231,-0.0849
ENSG00000116288,PARK7,641,1.29556,366,0.37393,231,-0.9852
ENSG00000142599,RERE,3,-5.7152,366,2.01762,102,-1.2521
ENSG00000074800,ENO1,542,-0.6573,527,-0.7669,948,0.83320
ENSG00000171603,CLSTN1,3,-6.7754,366,0.34879,328,0.42084
ENSG00000162441,LZIC,3,-5.6005,366,2.25770,87,-1.4933
ENSG00000054523,KIF1B,6,-6.1981,366,-0.3618,536,1.12357
ENSG00000160049,DFFA,221,0.57128,366,1.81379,87,-1.8645
ENSG00000116661,FBXO2,3,-6.6332,366,0.53939,287,0.22997
ENSG00000132879,FBXO44,3,-5.7837,366,1.88312,113,-1.1171
ENSG00000116688,MFN2,3,-5.7016,366,2.04512,100,-1.2798
ENSG00000065526,SPEN,3,-5.9677,366,1.54865,142,-0.7815
ENSG00000055070,SZRD1,5,-4.8074,366,2.00818,103,-1.2533
ENSG00000159363,ATP13A2,3,-5.7058,366,2.03641,101,-1.2710
ENSG00000117115,PADI2,3,-6.1349,366,1.27086,173,-0.5029
ENSG00000053371,AKR7A2,3,-5.6950,366,2.05827,100,-1.2930
