Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to10,Feature log2 fold change topic 4to10
ENSG00000188290,HES4,201,2.32492,47,-0.2589,108,1.10685,29,-2.0255
ENSG00000187608,ISG15,201,1.77091,37,-1.0542,31,-1.3236,66,-0.4435
ENSG00000078808,SDF4,201,1.51630,30,-1.5704,92,0.17081,73,-0.5674
ENSG00000131584,ACAP3,201,2.58294,21,-1.2897,48,-0.0567,33,-1.4516
ENSG00000127054,INTS11,201,2.40220,26,-1.1484,58,0.10337,37,-1.3632
ENSG00000175756,AURKAIP1,201,0.32732,66,-1.4119,191,0.24619,169,0.14823
ENSG00000221978,CCNL2,201,2.18288,26,-1.2714,50,-0.2820,46,-1.0088
ENSG00000242485,MRPL20,201,0.31331,74,-1.2378,185,0.17810,171,0.15469
ENSG00000179403,VWA1,201,1.69452,33,-1.2805,14,-2.5048,73,-0.1840
ENSG00000160075,SSU72,201,0.62703,74,-0.9543,182,0.45529,131,-0.2195
ENSG00000248333,CDK11B,201,2.44049,4,-3.6068,11,-2.3809,45,-0.6742
ENSG00000078369,GNB1,201,-0.3787,138,-0.9567,445,0.92243,253,-0.0466
ENSG00000067606,PRKCZ,201,1.26620,107,0.18823,277,1.88191,52,-1.8908
ENSG00000162585,FAAP20,201,1.67542,22,-1.9019,38,-1.0856,72,-0.2690
ENSG00000157916,RER1,201,1.61914,24,-1.8155,99,0.36234,66,-0.6976
ENSG00000157911,PEX10,201,2.44824,10,-2.4603,43,-0.3156,39,-1.1024
ENSG00000158109,TPRG1L,201,1.51618,52,-0.7404,303,2.36121,39,-2.2241
ENSG00000130764,LRRC47,201,2.13504,36,-0.8264,77,0.37943,42,-1.2987
ENSG00000069424,KCNAB2,201,2.16295,28,-1.1572,195,2.09131,25,-2.4520
ENSG00000116254,CHD5,201,2.51893,52,0.03303,155,1.94088,15,-3.1354
ENSG00000116251,RPL22,201,-2.3381,208,-2.2876,242,-2.0665,1247,2.51848
ENSG00000097021,ACOT7,201,0.25583,141,-0.3164,935,3.42097,63,-2.7497
ENSG00000171735,CAMTA1,201,0.36887,151,-0.0928,201,0.36626,150,-0.2982
ENSG00000049245,VAMP3,201,1.28680,26,-1.9198,25,-1.9794,98,0.21834
ENSG00000116288,PARK7,201,-0.7610,125,-1.4837,402,0.33397,364,0.58192
ENSG00000142599,RERE,201,1.62985,39,-1.0648,71,-0.1553,67,-0.6195
ENSG00000074800,ENO1,201,-1.7524,255,-1.3982,952,0.67582,701,0.57750
ENSG00000142583,SLC2A5,201,2.26024,41,-0.5223,15,-2.0044,45,-0.9103
ENSG00000171612,SLC25A33,201,1.82571,7,-3.4479,29,-1.3730,67,-0.2253
ENSG00000171603,CLSTN1,201,0.21528,106,-0.7951,431,1.54269,146,-0.7506
ENSG00000162441,LZIC,201,1.53140,11,-2.9419,29,-1.5719,83,0.04574
ENSG00000054523,KIF1B,201,-0.0958,117,-0.9432,385,0.97979,205,-0.1911
ENSG00000142657,PGD,201,1.80235,30,-1.3476,133,1.03517,50,-1.2605
ENSG00000160049,DFFA,201,1.66221,21,-1.9609,54,-0.5530,71,-0.3817
ENSG00000120948,TARDBP,201,1.68054,33,-1.2899,62,-0.3153,67,-0.5653
ENSG00000116649,SRM,201,2.10969,24,-1.4122,78,0.36976,45,-1.1631
ENSG00000116661,FBXO2,201,-0.8448,121,-1.6077,522,0.67650,373,0.40726
ENSG00000132879,FBXO44,201,1.87946,46,-0.6452,203,1.89647,34,-2.1100
ENSG00000011021,CLCN6,201,2.34800,35,-0.6961,153,1.77569,23,-2.4522
