Gene Symbol	Gene for PCA, Harmony, Clustering	Rank (n=85 sections)	Deviance (n=85 sections)	Ensembl Gene ID
MT-CO1	Yes	1	3402509.4	ENSG00000198804
MT-CO3	Yes	2	2728669.16	ENSG00000198938
MT-CO2	Yes	3	2535645.22	ENSG00000198712
MT-ND2	Yes	4	2288164.12	ENSG00000198763
MTRNR2L12	Yes	5	2281842.09	ENSG00000269028
MT-ND1	Yes	6	2106130.58	ENSG00000198888
MT-ATP6	Yes	7	2103345.3	ENSG00000198899
MT-ND4	Yes	8	2013975.46	ENSG00000198886
MT-ND3	Yes	9	1447271.63	ENSG00000198840
MBP	Yes	10	1375219.75	ENSG00000197971
MT-CYB	Yes	11	1213302.48	ENSG00000198727
PLP1	Yes	12	1097719.11	ENSG00000123560
GFAP	Yes	13	1089223.54	ENSG00000131095
MTRNR2L8	Yes	14	823138.48	ENSG00000255823
HBA2	Yes	15	760869.36	ENSG00000188536
C5orf63	Yes	16	759265.79	ENSG00000164241
HBB	Yes	17	717450.67	ENSG00000244734
MALAT1	Yes	18	656736.81	ENSG00000251562
MT-ND5	Yes	19	652123.63	ENSG00000198786
UCHL1	Yes	20	431807.35	ENSG00000154277
CLU	Yes	21	405295.8	ENSG00000120885
NEFL	Yes	22	401699.16	ENSG00000277586
HBA1	Yes	23	380942.72	ENSG00000206172
MT-ND4L	Yes	24	376933.29	ENSG00000212907
HSP90AA1	Yes	25	371907.84	ENSG00000080824
MTRNR2L1	Yes	26	360173.76	ENSG00000256618
MAP1B	Yes	27	353843.37	ENSG00000131711
MT-ATP8	Yes	28	345482.97	ENSG00000228253
GNAS	Yes	29	340215.45	ENSG00000087460
TF	Yes	30	318841.17	ENSG00000091513
MOBP	Yes	31	311164.52	ENSG00000168314
NEFM	Yes	32	306422.79	ENSG00000104722
ATP1B1	Yes	33	287304.27	ENSG00000143153
S100B	Yes	34	286900.47	ENSG00000160307
TUBA1A	Yes	35	283985.42	ENSG00000167552
SCG2	Yes	36	280901.49	ENSG00000171951
CST3	Yes	37	273193.77	ENSG00000101439
PTGDS	Yes	38	271551.84	ENSG00000107317
TUBA1B	Yes	39	267385.5	ENSG00000123416
MT2A	Yes	40	264447.41	ENSG00000125148
TUBB2A	Yes	41	263885.15	ENSG00000137267
APOE	Yes	42	261870.56	ENSG00000130203
SPP1	Yes	43	256406.9	ENSG00000118785
FTH1	Yes	44	253678.36	ENSG00000167996
CRYAB	Yes	45	253493.6	ENSG00000109846
GPM6B	Yes	46	252571.71	ENSG00000046653
STMN2	Yes	47	250947.22	ENSG00000104435
SPARC	Yes	48	249857.3	ENSG00000113140
DBH	Yes	49	243659.36	ENSG00000123454
GAPDH	Yes	50	240894.81	ENSG00000111640
EEF1A1	Yes	51	236595.93	ENSG00000156508
SCD	Yes	52	229175.26	ENSG00000099194
RPL41	Yes	53	225895.52	ENSG00000229117
TMSB4X	Yes	54	225502.69	ENSG00000205542
SNAP25	Yes	55	222277.43	ENSG00000132639
CNP	Yes	56	220015.15	ENSG00000173786
FTL	Yes	57	219292.96	ENSG00000087086
SPARCL1	Yes	58	217248.96	ENSG00000152583
TMSB10	Yes	59	215521.6	ENSG00000034510
AQP4	Yes	60	213787.97	ENSG00000171885
MT3	Yes	61	212627.82	ENSG00000087250
CHGB	Yes	62	208973.14	ENSG00000089199
RPL37A	Yes	63	208162.52	ENSG00000197756
HSPA8	Yes	64	207431.73	ENSG00000109971
HSP90AB1	Yes	65	206773.62	ENSG00000096384
UBB	Yes	66	205846.41	ENSG00000170315
TAC1	Yes	67	205516.62	ENSG00000006128
B2M	Yes	68	200688.48	ENSG00000166710
TTR	Yes	69	200042.2	ENSG00000118271
RPS27	Yes	70	198658.64	ENSG00000177954
ACTG1	Yes	71	197840.95	ENSG00000184009
NDRG2	Yes	72	196247.19	ENSG00000165795
TH	Yes	73	193721.54	ENSG00000180176
AL627171.2	Yes	74	192002.67	ENSG00000282885
TUBB3	Yes	75	191615.67	ENSG00000258947
APOD	Yes	76	191044.74	ENSG00000189058
SYT1	Yes	77	190390.42	ENSG00000067715
RPL37	Yes	78	190240.62	ENSG00000145592
SLC6A2	Yes	79	190108.13	ENSG00000103546
SLC18A2	Yes	80	189528.6	ENSG00000165646
CALM2	Yes	81	189059.16	ENSG00000143933
YWHAG	Yes	82	188471.13	ENSG00000170027
RPL34	Yes	83	187317.03	ENSG00000109475
PMP2	Yes	84	186844.41	ENSG00000147588
TPT1	Yes	85	186629.73	ENSG00000133112
RPLP1	Yes	86	184925.77	ENSG00000137818
NEFH	Yes	87	184434.06	ENSG00000100285
ACTB	Yes	88	182574.79	ENSG00000075624
CLDND1	Yes	89	181634.13	ENSG00000080822
PTMA	Yes	90	181315.43	ENSG00000187514
CPE	Yes	91	179843.35	ENSG00000109472
ATP1A1	Yes	92	179618.11	ENSG00000163399
PPIA	Yes	93	179598.96	ENSG00000196262
GPM6A	Yes	94	179271.01	ENSG00000150625
GLUL	Yes	95	179128.68	ENSG00000135821
SELENOP	Yes	96	179041.7	ENSG00000250722
RPS12	Yes	97	178790.99	ENSG00000112306
RTN1	Yes	98	177441.77	ENSG00000139970
RTN4	Yes	99	177355.2	ENSG00000115310
BCAS1	Yes	100	177039.19	ENSG00000064787
C1orf61	Yes	101	176720.19	ENSG00000125462
SOD1	Yes	102	175646.41	ENSG00000142168
MT-ND6	Yes	103	173926.66	ENSG00000198695
