gene_id	gene_name	nsigsamps	meanrank	V13M06-331_A1s2	V13M06-331_A1s1	V13M06-331_B1s2	V13M06-331_B1s1	V13M06-331_C1s2	V13M06-331_C1s1	V13M06-331_D1s2	V13M06-333_A1s1	V13M06-333_A1s2	V13M06-333_B1s2	V13M06-333_B1s1	V13M06-333_C1s1	V13M06-333_C1s2	V13M06-333_D1s1	V13M06-333_D1s2	V13M06-332_A1s1	V13M06-332_A1s2	V13M06-332_B1s1	V13M06-332_B1s2	V13M06-332_D1s2	V13M06-332_D1s1	V13M06-404_A1s1	V13M06-404_A1s2	V13M06-404_B1s2	V13M06-404_B1s1	V13M06-404_C1s1	V13M06-404_C1s2	V13M06-404_D1s1	V13M06-404_D1s2	V13M06-403_D1s2	V13M06-403_D1s1	V13M06-402_A1s1	V13M06-402_A1s2	V13M06-402_B1s2	V13M06-402_B1s1	V13M06-402_C1s2	V13M06-402_C1s1	V13M06-402_D1s2	V13M06-402_D1s1	V13M06-401_A1s2	V13M06-401_A1s1	V13M06-401_C1s1	V13M06-401_D1s1	V13M06-401_D1s2	V13M06-386_A1s2	V13M06-386_A1s1	V13M06-386_C1s1	V13M06-386_D1s1	V13M06-386_D1s2	V13B23-366_A1s1	V13B23-284_A1s1	V13B23-284_A1s2	V13B23-284_C1s2	V13B23-284_C1s1	V13B23-284_D1s2	V13B23-284_D1s1	V13F27-339_A1s1	V13F27-339_A1s2	V13F27-339_B1s2	V13F27-339_B1s1	V13F27-339_C1s1	V13B23-286_A1s1	V13B23-286_A1s2	V13M06-331_D1s1	V13M06-401_B1s2	V13M06-401_B1s1	V13B23-284_B1s1	V13F27-339_C1s2
ENSG00000000003	TSPAN6	1	74										74																																																										
ENSG00000001036	FUCA2	1	60																																																															60					
ENSG00000001084	GCLC	1	59					59																																																															
ENSG00000001461	NIPAL3	1	38																																												38																								
ENSG00000001561	ENPP4	1	334																																																																			334	
ENSG00000001629	ANKIB1	1	82	82																																																																			
ENSG00000001630	CYP51A1	2	95																																								63							127																					
ENSG00000002330	BAD	1	81																																																													81							
ENSG00000002586	CD99	4	118.75																		31	304	95																									45																							
ENSG00000002746	HECW1	1	19																			19																																																	
ENSG00000002834	LASP1	1	203					203																																																															
ENSG00000003249	DBNDD1	1	183						183																																																														
ENSG00000003402	CFLAR	1	147															147																																																					
ENSG00000003756	RBM5	1	103																																																																				103
ENSG00000004059	ARF5	1	123						123																																																														
ENSG00000004142	POLDIP2	2	199																			313																																												85					
ENSG00000004487	KDM1A	2	81																								115																																										47		
ENSG00000004660	CAMKK1	2	227.5												201																																																			254					
ENSG00000004779	NDUFAB1	2	68.5																																																	18												119							
ENSG00000004864	SLC25A13	1	29												29																																																								
ENSG00000004897	CDC27	2	240	307																																																	173																		
ENSG00000005007	UPF1	1	115																				115																																																
ENSG00000005022	SLC25A5	1	16																																																												16								
ENSG00000005238	FAM214B	2	165	290																															40																																				
ENSG00000005249	PRKAR2B	3	95														39			5			241																																																
ENSG00000005302	MSL3	2	155.5	234						77																																																													
ENSG00000005448	WDR54	2	168						93																																																								243						
ENSG00000005486	RHBDD2	4	85.5					43															217	27														55																																	
ENSG00000005810	MYCBP2	1	81																																		81																																		
ENSG00000005882	PDK2	1	67																																																																	67			
ENSG00000005884	ITGA3	1	210																				210																																																
ENSG00000006015	REX1BD	3	145							100				112																																	223																								
ENSG00000006116	CACNG3	1	442																																																																			442	
ENSG00000006125	AP2B1	1	187															187																																																					
ENSG00000006128	TAC1	11	45.0909090909091									13			9		4	223									90									19										1	64						14			2									57						
ENSG00000006210	CX3CL1	1	35																																																																		35		
ENSG00000006451	RALA	1	153																																																																				153
ENSG00000006715	VPS41	1	394																																																																			394	
ENSG00000006740	ARHGAP44	1	76																																																																				76
ENSG00000006744	ELAC2	1	63						63																																																														
ENSG00000007080	CCDC124	2	164.5										155	174																																																									
ENSG00000007168	PAFAH1B1	3	199																																																													89				77		431	
ENSG00000007402	CACNA2D2	1	94																																																															94					
ENSG00000007516	BAIAP3	4	80.5												96																									52																												137	37		
ENSG00000007520	TSR3	1	64																																																																			64	
ENSG00000007541	PIGQ	1	137																																																															137					
ENSG00000008018	PSMB1	4	182.75	275																								96																																						191					169
ENSG00000008056	SYN1	4	125.75						30															142													83																													248					
ENSG00000008118	CAMK1G	2	95	164																																			26																																
ENSG00000008130	NADK	2	106															121																																																		91			
ENSG00000008196	TFAP2B	4	87																																								7													46									92		203				
ENSG00000008277	ADAM22	1	11																																																					11															
ENSG00000008282	SYPL1	1	13																																											13																									
ENSG00000008283	CYB561	12	92.25	124				32						78									73	9		45												40																			7								168	200		206		125	
ENSG00000008394	MGST1	1	11														11																																																						
ENSG00000008441	NFIX	1	69																	69																																																			
ENSG00000008710	PKD1	1	230										230																																																										
ENSG00000008735	MAPK8IP2	4	112											141																																						32													103	172					
ENSG00000008838	MED24	3	176.333333333333											170																																	137																					222			
ENSG00000008869	HEATR5B	1	26																																																																26				
ENSG00000008952	SEC62	2	240.5																																																																			320	161
ENSG00000009307	CSDE1	3	108.666666666667								69																																										149														108				
ENSG00000009335	UBE3C	1	46	46																																																																			
ENSG00000009694	TENM1	1	110																		110																																																		
ENSG00000009844	VTA1	1	23									23																																																											
ENSG00000010256	UQCRC1	1	306	306																																																																			
ENSG00000010270	STARD3NL	4	122								94																																	19																					266						109
ENSG00000010295	IFFO1	1	38												38																																																								
ENSG00000010322	NISCH	1	196																																												196																								
ENSG00000010404	IDS	3	81												199																		23																																					21	
ENSG00000010438	PRSS3	1	242																		242																																																		
ENSG00000010810	FYN	1	330	330																																																																			
ENSG00000011007	ELOA	1	70																																																		70																		
ENSG00000011021	CLCN6	1	26																																	26																																			
ENSG00000011201	ANOS1	3	180					48																																													115															377			
ENSG00000011275	RNF216	1	136																																																															136					
ENSG00000011295	TTC19	1	112																																															112																					
ENSG00000011347	SYT7	1	51																																														51																						
ENSG00000011454	RABGAP1	1	12																																																			12																	
ENSG00000011523	CEP68	1	233																																												233																								
ENSG00000011677	GABRA3	1	234										234																																																										
ENSG00000012061	ERCC1	1	120																					120																																															
ENSG00000012232	EXTL3	2	18.5						23		14																																																												
ENSG00000012660	ELOVL5	3	125					53															108																																												214				
ENSG00000012817	KDM5D	2	87.5					28							147																																																								
ENSG00000012822	CALCOCO1	2	161.5																			288			35																																														
ENSG00000013016	EHD3	1	165											165																																																									
ENSG00000013275	PSMC4	1	26																														26																																						
ENSG00000013306	SLC25A39	1	43																																	43																																			
ENSG00000013375	PGM3	3	71.3333333333333									6									126																																															82			
ENSG00000013392	RWDD2A	1	45											45																																																									
ENSG00000013561	RNF14	1	102																					102																																															
ENSG00000013583	HEBP1	1	492																																																																			492	
ENSG00000014641	MDH1	1	61																							61																																													
ENSG00000014919	COX15	1	36																																																																		36		
ENSG00000015153	YAF2	2	68																							101																																													35
ENSG00000015676	NUDCD3	2	207.5																																							45																										370			
ENSG00000017260	ATP2C1	2	158.5														113																																																204						
ENSG00000018189	RUFY3	2	183	183																																																															183				
ENSG00000018236	CNTN1	3	143.666666666667																																								69																						295					67	
ENSG00000018510	AGPS	1	213															213																																																					
ENSG00000018625	ATP1A2	7	136		183										137										61		104																										73												184		210				
ENSG00000019144	PHLDB1	1	42																			42																																																	
ENSG00000019505	SYT13	1	23																				23																																																
ENSG00000019582	CD74	7	66																		21			26			91	159																						23														44		98					
ENSG00000020129	NCDN	3	160																				184																																									117						179	
ENSG00000021300	PLEKHB1	1	16								16																																																												
ENSG00000021645	NRXN3	3	197.333333333333																				277				134																																						181						
ENSG00000022267	FHL1	3	133.333333333333								51																												42																															307	
ENSG00000022277	RTF2	1	16																																16																																				
ENSG00000022355	GABRA1	5	109					199	36															284																				18												8															
ENSG00000022840	RNF10	1	360																																																																	360			
ENSG00000023041	ZDHHC6	1	343																																																																	343			
ENSG00000023287	RB1CC1	3	52.3333333333333			15											103																																					39																	
ENSG00000023516	AKAP11	3	161.666666666667																			289																		50																														146	
ENSG00000023572	GLRX2	1	14																			14																																																	
ENSG00000023734	STRAP	1	169																				169																																																
ENSG00000023909	GCLM	1	280																			280																																																	
