gene_name	logFC	P.Value	adj.P.Val	t	B	gene_id	chr
NDRG2	-0.892127418823632	8.63994458675334e-42	5.82073066809573e-38	-18.7934840000946	84.5446245019199	ENSG00000165795	chr14
PTGDS	-0.873856549830233	3.68391612159718e-38	1.24092714556001e-34	-17.7673751038062	76.2477186629542	ENSG00000107317	chr9
QKI	-0.940036744405583	1.16988746278424e-36	2.6271772789258e-33	-16.0980927721399	72.7271692173637	ENSG00000112531	chr6
TSC22D4	-0.893461609816734	2.12837495778762e-35	3.5847155226538e-32	-15.6073289610959	69.8265254557845	ENSG00000166925	chr7
TTYH1	-0.89057089254256	3.96859954909575e-35	5.34729103245161e-32	-15.5143522094524	69.234503550953	ENSG00000167614	chr19
C1orf61	-0.882475307578567	9.20261618417846e-35	1.03330042054684e-31	-16.2861934012554	68.478673731453	ENSG00000125462	chr1
GPM6B	-0.672606427413453	5.63064073888192e-34	5.41908952254964e-31	-15.1194246561522	66.5984321245838	ENSG00000046653	chrX
HIPK2	-0.856163190561993	1.30819591063233e-33	1.10166448124125e-30	-14.9941792649773	65.726624374075	ENSG00000064393	chr7
CSRP1	-0.697381764724872	9.92137750617243e-32	7.42670225100929e-29	-14.3527877362545	61.4853285850946	ENSG00000159176	chr1
SCRG1	-1.15060871498103	1.94172777897193e-31	1.30814200469339e-28	-14.2535047800267	60.627598861632	ENSG00000164106	chr4
PMP2	-0.977425423096252	3.8390844163523e-31	2.35126470117868e-28	-14.7964051737066	60.2157810387673	ENSG00000147588	chr8
MBP	-0.896901297226602	2.55993268248238e-30	1.43718887349032e-27	-14.869237311267	58.0552067013209	ENSG00000197971	chr18
CST3	-0.749417647496172	1.78727780453306e-29	9.26222351472249e-27	-14.4925485698921	56.2737551070595	ENSG00000101439	chr20
TIMP3	-0.968070419493237	5.91024123678178e-29	2.84409251515706e-26	-13.4093538109367	55.0855668512996	ENSG00000100234	chr22
AHCYL1	-0.726514012906616	1.10568691143715e-28	4.96600848156806e-26	-13.3169601484134	54.5426801955224	ENSG00000168710	chr1
C1QTNF4	-0.951561673235488	2.66271992418316e-28	1.12117150807637e-25	-13.1873155793431	53.642695104673	ENSG00000172247	chr11
APOE	-0.789059296519275	4.78666495806868e-28	1.89692716602992e-25	-13.9505501163827	52.9835505116651	ENSG00000130203	chr19
RPS6	-0.490001177928177	6.70771535983043e-28	2.5105487988432e-25	-13.0510129974357	52.6854503813214	ENSG00000137154	chr9
LINC00844	-1.03313328390918	7.5083025396145e-28	2.66228601102015e-25	-13.0343772805768	52.4894314690284	ENSG00000237949	chr10
FXYD1	-0.94922334154908	8.21339805273172e-28	2.76668313406268e-25	-13.0211337979318	52.4365134900955	ENSG00000266964	chr19
MOBP	-0.973247849255915	2.55709029777663e-27	8.20338920767673e-25	-13.4675972810169	51.5101510928017	ENSG00000168314	chr3
PAQR6	-0.879509327686926	3.5780239229524e-27	1.09568850767865e-24	-12.8039427331557	51.1001873836825	ENSG00000160781	chr1
NFIA	-1.05493821627636	5.07813580409353e-27	1.48745221357296e-24	-12.7522486986824	50.6121599365685	ENSG00000162599	chr1
A2M	-0.923994935401094	1.37384400510134e-26	3.85233097055061e-24	-12.605255241183	49.7455689382161	ENSG00000175899	chr12
EEF1A1	-0.398283693682439	1.4295424412018e-26	3.85233097055061e-24	-12.5993837679721	49.41978413765	ENSG00000156508	chr6
RNASE1	-0.996247118343279	2.4431677966537e-26	6.33062363309844e-24	-12.5201880684199	49.1002411920819	ENSG00000129538	chr14
RAB3C	0.408495550491367	3.52811717612239e-26	8.80330570945798e-24	12.4658696823819	48.6782906439975	ENSG00000152932	chr5
RPS27	-0.61919318519322	1.84973178908502e-25	4.45058680823779e-23	-12.6686969215262	47.1168938560547	ENSG00000177954	chr1
ZCCHC24	-0.980458102763012	2.10529603051069e-25	4.89082046812088e-23	-12.2015833981849	46.8542467597756	ENSG00000165424	chr10
METTL7A	-0.931524066322724	3.10084021577598e-25	6.9634535112276e-23	-12.2437445333924	46.7068236638345	ENSG00000185432	chr12
RPS11	-0.443850609987592	4.47822481388635e-25	9.73219373262979e-23	-12.0897701410606	46.236580115274	ENSG00000142534	chr19
GSN	-0.834832837774975	5.62756080964512e-25	1.1847774117056e-22	-12.0559081259049	46.092231322263	ENSG00000148180	chr9
ITPKB	-0.955486059893027	6.42862330400321e-25	1.31241318785059e-22	-12.03617734519	45.8765409504447	ENSG00000143772	chr1
SPARC	-0.895657441506701	7.05783001810928e-25	1.39848825976477e-22	-12.7008874264098	45.8075022654729	ENSG00000113140	chr5
B2M	-0.670157930519186	7.73718670814811e-25	1.48929791007982e-22	-12.238304944146	45.7625152847123	ENSG00000166710	chr15
GFAP	-0.887315605289496	1.35396008609169e-24	2.53378586111104e-22	-12.5913066362838	44.7866502423723	ENSG00000131095	chr17
SPARCL1	-0.868217756425351	1.7058099471323e-24	3.10595719292712e-22	-12.524899749696	45.0148347984164	ENSG00000152583	chr4
PTPRZ1	-0.924001492440561	1.80657701533753e-24	3.20287088219183e-22	-11.8828742665644	44.9015059609703	ENSG00000106278	chr7
GPR37L1	-0.927751925489529	2.121573555024e-24	3.58856836437672e-22	-11.8590085715997	44.7769835495965	ENSG00000170075	chr1
PBXIP1	-0.855187068640298	2.13066252894566e-24	3.58856836437672e-22	-11.858373720306	44.7775285635273	ENSG00000163346	chr1
RHOC	-1.06352988370429	2.32982167467023e-24	3.82829478591546e-22	-11.845102521602	44.5148259501234	ENSG00000155366	chr1
MT3	-0.457873138338227	2.65817423377814e-24	4.26383805070555e-22	-12.2578923854785	44.2698719947309	ENSG00000087250	chr16
MT-ATP8	-0.74408974795395	2.91235271124806e-24	4.56291167806469e-22	-12.4600251755615	44.2330085122804	ENSG00000228253	chrMT
SLC1A3	-0.908075098139659	3.07058619434774e-24	4.70148617984562e-22	-11.9618756115792	44.4611852366832	ENSG00000079215	chr5
CNP	-0.631579821957669	3.81423651741636e-24	5.71033587062978e-22	-11.7718604457215	44.190208127526	ENSG00000173786	chr17
BCAS1	-1.02935910337964	5.45123905879605e-24	7.98369511719761e-22	-12.0944380907458	43.9206919823224	ENSG00000064787	chr20
CLU	-0.501250614117224	5.62774940853498e-24	8.06683995006386e-22	-12.3199518691929	43.4692551505234	ENSG00000120885	chr8
PLEKHB1	-0.561443669673295	5.81662247260675e-24	8.16387199957326e-22	-11.7091191734868	43.7400203263594	ENSG00000021300	chr11
FTL	-0.42457125111792	6.47545733377737e-24	8.90309307299145e-22	-11.69315883245	43.4426240258934	ENSG00000087086	chr19
MALAT1	-0.800516321627011	7.95108238170874e-24	1.06909855633171e-21	-12.2885944954246	43.3080170404538	ENSG00000251562	chr11
FGFR3	-0.867930733206589	8.09322047987492e-24	1.06909855633171e-21	-11.6599784779201	43.4758742374609	ENSG00000068078	chr4
