gene_id	gene_name	V13M06-331_A1s2	V13M06-331_A1s1	V13M06-331_B1s1	V13M06-331_B1s2	V13M06-331_C1s2	V13M06-331_C1s1	V13M06-331_D1s1	V13M06-331_D1s2	V13M06-333_A1s2	V13M06-333_A1s1	V13M06-333_B1s1	V13M06-333_B1s2	V13M06-333_C1s2	V13M06-333_C1s1	V13M06-333_D1s1	V13M06-333_D1s2	V13M06-332_A1s2	V13M06-332_A1s1	V13M06-332_B1s1	V13M06-332_B1s2	V13M06-332_C1s1	V13M06-332_C1s2	V13M06-332_D1s2	V13M06-332_D1s1	V13M06-404_A1s1	V13M06-404_A1s2	V13M06-404_B1s2	V13M06-404_B1s1	V13M06-404_C1s1	V13M06-404_C1s2	V13M06-404_D1s1	V13M06-404_D1s2	V13M06-403_A1s1	V13M06-403_A1s2	V13M06-403_B1s2	V13M06-403_B1s1	V13M06-403_C1s1	V13M06-403_C1s2	V13M06-403_D1s1	V13M06-403_D1s2	V13M06-402_A1s1	V13M06-402_A1s2	V13M06-402_B1s1	V13M06-402_B1s2	V13M06-402_C1s2	V13M06-402_C1s1	V13M06-402_D1s1	V13M06-402_D1s2	V13M06-401_A1s1	V13M06-401_A1s2	V13M06-401_B1s1	V13M06-401_B1s2	V13M06-401_C1s1	V13M06-401_C1s2	V13M06-401_D1s1	V13M06-401_D1s2	V13M06-386_A1s2	V13M06-386_A1s1	V13M06-386_B1s2	V13M06-386_B1s1	V13M06-386_C1s1	V13M06-386_C1s2	V13M06-386_D1s2	V13M06-386_D1s1	V13B23-366_A1s1	V13B23-284_A1s2	V13B23-284_A1s1	V13B23-284_B1s2	V13B23-284_B1s1	V13B23-284_C1s2	V13B23-284_C1s1	V13B23-284_D1s1	V13B23-284_D1s2	V13F27-339_A1s1	V13F27-339_A1s2	V13F27-339_B1s1	V13F27-339_B1s2	V13F27-339_C1s2	V13F27-339_C1s1	V13F27-339_D1s2	V13F27-339_D1s1	V13B23-286_A1s1	V13B23-286_A1s2	V13B23-286_B1s2	V13B23-286_B1s1	meanrank	samples_signif	Gene for PCA, Harmony, Clustering
ENSG00000001036	FUCA2															539																																																																							539	1	No
ENSG00000001461	NIPAL3										1909				1986			808																																																													703	1386							1358.4	5	No
ENSG00000001561	ENPP4									764	1839	1483	1732		1715					1994																											313																					510																			1293.75	8	No
ENSG00000001629	ANKIB1												1993																			979																																																							1486	2	No
ENSG00000001630	CYP51A1	384	169		430		893					315	1082		1182	1040				1326						2157	788		986													1289	1068	1443		551	194					575	754					340				869	1142					1118	718						752	534		755	672				1233				853.758620689655	29	No
ENSG00000002330	BAD									1349	2220				2049	1047				2056						1890	1691	1423	1933															1243																								1445															1345	581			1559.38461538462	13	No
ENSG00000002549	LAP3										1571		973			1684																1312	987																																																						1305.4	5	No
ENSG00000002586	CD99			145				30	69	11	11	323	218	19	83		1544	356		313	166			101	67	170	329	111	35	35		92	52									222	48	315	338					125	116	539	1054									101		349											434	179		240	806				382	315	109		255.179487179487	39	No
ENSG00000002834	LASP1						2073	985	991		2510							1318		1022	1436					1965		1754																									1219			901																							793	1077							1388	13	No
ENSG00000002933	TMEM176A													843																																																																									843	1	No
ENSG00000003056	M6PR													2580			1502			2102																																																																			2061.33333333333	3	No
ENSG00000003096	KLHL13														1945																																																																								1945	1	No
ENSG00000003249	DBNDD1														2683	1092	1656			1914	1272			842																				945									984																											1858				1363			1460.9	10	No
ENSG00000003756	RBM5						1608			1451			2292																																																																										1783.66666666667	3	No
ENSG00000004059	ARF5													1989			1797																																																																						1893	2	No
ENSG00000004142	POLDIP2						1956						1737				1028																																																																						1573.66666666667	3	No
ENSG00000004455	AK2													2183																																																																									2183	1	No
ENSG00000004478	FKBP4					862	703						2221	1174				795		1131	985			874		1938	1590	1151	1180													687	832								936												1083						735																		1110.41176470588	17	No
ENSG00000004487	KDM1A													2152																																																																									2152	1	No
ENSG00000004534	RBM6														1883																																																																								1883	1	No
ENSG00000004660	CAMKK1					732																																																																																	732	1	No
